Лепшы падарунак|кніга
Любоўная гісторыя|раман
Любоўная масць|чарвякі
Палюбоўніца Дюруа ў рамане “Мілы сябар” Ги дэ Мапасана|Кло
Палюбоўніца, якая падставіла біблейскага Самсона|Даліла
Любоўны яблык родам з амерыканскага кантынента|тамат
Любоўныя адносіны паміж мужчынам і жанчынай?|раман
Любоўны застрэльшчык|Амур
Любоўны паядынак|інтым
Каханне да Радзімы?|патрыятызм
Каханне да гультайства|лянота
Каханне француза|амор
Любое густое, бясформавае ці цестападобнае|маса
Любая прылада для вымярэння|мерка
Любай алкагольны напой, разведзены содавай ці мінеральнай|хайбол
Любай выгляд дзейнасці, які прыносіць прыбытак|бізнэс
Любай малы круг небесн. сферы, паралельны гарызонту|альмукантарат
Любай метал пасля апрацоўкі “філасофскім каменем”|золата
Любай муж, які адрозніваецца ад танка, у вачах сваёй жонкі|ануча
Любай насельнік “Матроскай цішыні”|вязень
Любай спіртны напой, што наліваецца па-над колатым лёдам|мист
Любай спіртны напой, які наліваецца па-над кубікамі лёду|лоубол
Любай кветка і прыгожая дзяўчына ў малалецтве|бутон
Цікаўны орган нейкай Варвары|нос
Цікаўны мінак?|разявака
Людаед-дзікун|канібал
Людвіг ван ...?|Бетховен
Людзі адной нацыянальнасці, якія жывуць па-за сваёй гістарычнай радзімай|дыяспара
Людзі якой прафесіі засялялі афінскае прадмесце пад назвай Керамік?|ганчары
Людзі якой прафесіі здольныя адрозніваць некалькі сотняў адценняў чырвонага колеру?|сталявары
Людзі звычайна сівеюць да старасці. А якая жывёла з самага нараджэння з'яўляецца сівым, ды яшчэ і шэрым?|грызлі
Людзі з процілеглымі перакананнямі, поглядамі, рысамі характару|антыподы
Людзі, дасведчаныя пра нас больш нас саміх. (неизв.)|суседзі
Людзі, якіх фашысцкі генерал (Н. Гриценко) назваў “порхатыми”, чаму яго спадарожнік Шцірліц (Н. Ціханаў) вельмі развесяліўся|казакі
Людзі, змешчаныя дзе-небудзь у якасці гледачоў, слухачоў|публіка
Людзі, найманыя для стварэння поспеху ці правалу ўяўлення (апладысментамі, праявамі захаплення ці наадварот)|клакёры
Людзі, найманыя для аплодирования артыстам, аратарам ці освистывания іх|клака
Людзі, найманыя для апладысментаў ці освистывания|клака
Людзі, найманыя для стварэння поспеху ці правалу ўяўлення (апладысментамі, праявамі захаплення ці наадварот)|клака
Людзі, якія аб'ядналіся ў знак пратэсту супраць што склаліся адносін у грамадстве, якія кідаюць яму выклік сваёй пасіўнасцю і бяздзейнасцю|хіпі
Людзі, адпрэчаныя грамадствам|ізгоі
Людзі, што належаць да згнілых, злачынных, антыграмадскіх элементаў|набрыдзь
Людзі, народжаныя ў год гэтага знака, мэтанакіраваныя і акуратныя, абаяльныя і славалюбівыя, сумленныя, але не прочкі папляткарыць|пацук
Людзі, група людзей|народ
Людзі|люд
Людаед, які з'еў сваю жонку|удавец
Людаедка, якая з'ела свайго мужа|удава
Людаедства|антрапафагія
Люк ззаду грот-шчоглы|ахтерлюк
Калыска для кенгуренка|торба
Лютэранскі храм|кирха
Люцічы, старажытнаславянскае племя|велеты
Лютневидный музычная прылада румына-малдаўскага паходжання|кобза
Ляссе|закладка
