Карточн. масць, па-старадаўняму “жлуди”|хрысці
Кассаву выкарыстоўваюць для атрымання тапиоки, глациову – для атрымання каучуку. Агульная назва|маніёк
Каста|ізгоі
Кастрир. самец буйнай рагатай скаціны|вол
Спакладаны баран|баран
Спакладаны бык|вол
Спакладаны жарабец. Адрозніваецца спакойным норавам, таму зручнейшы ў працы (успомніце фразу з казкі пра цара Гвидона: “–Конь вось ціхонь? –Як карова”)?|конь
Спакладаны самец свінні|парсюк
Спакладаны кнор|парсюк
Спакладаны чалавек, пакладанец|лягчанец
Каталажка ў войскі (жаргон.)|губа
Каталог моднай адзежы (назва)|отто
Катапульта вялікага памеру|анагр
Катар (сталіца, цэнтр)|даха
Катастрофа, паломка, парушэнне працы|аварыя
Катэгарычная разнавіднасць крана|стоп
Катэгарычнае “Няма”|адмова
Катэгорыя ў сістэматыку раслін|аддзел
Катэгорыя валютна-анучных спекулянтаў пры сацыялізме|фарца
Катэгорыя дзеяслова|час
Катэгорыя, разрад|ранг
Катэгорыя, падраздзяленне|клас
Катэгорыя, разрад тавара, прадукцыі|гатунак
Каталіцкая абедня|імша
Каталіцкі ігумен|прыёр
Каталіцкі манах|езуіт
Каталіцкі манаскі ордэн?|капуцыны
Каталіцкі прыхадскі святар|кюрэ
Каталіцкі святы, покровит. усім дзячкам|Гвидо
Каталіцкі святар, манах|патар
Каталіцкі храм у Польшчы|касцёл
Шпулька для намотвання магн. стужкі|бабіна
Шпулька ці барабан, на якія намотваецца штосьці|бабіна
Шпулька з наматаным на яе провадам|бухта
Катык з кропам і соллю|чивот
Якая коціцца частка ровара|кола
Што коціцца камень мохам не абрастае. Менавіта гэтай прыказкай матывавала выбар сваёй назвы група ... (адказ ангел. літарамі)?|rоlling stоnеs
Каўстычная сода|натр
Каучуконосное расліна|гевея
Кафэ, рэстаранчык з эстраднай праграмай|кабарэ
Кафедра прапаведніка ў мячэці|минбар
Кафтан з грубіянскага сукна|бравэрка
Кафтан з тоўстага сукна?|бравэрка
Якасць нарыхтоўкі капусты, агуркоў і грыбоў|засол
Якасць атрыманай пакуты|памол
Якасць прадукцыі?|гатунак
Якасць, спосаб выканання|праца
Каша з гогалеўскіх “Вечароў на сялібе каля Диканьки”|путря
Каша з соладу з ягадамі чаромхі|блынд
Кашное дрэва з белай карой|бяроза
Каюта вышэйшага класа|люкс
Каюта, якая адправілася па чыгунцы?|купэ
Квадратная пляцоўка для бокса, агароджаная лінамі|рынг
Квадратны выраз каўняра на сукенку|карэ
Квазары – гэта аб'екты?|астраноміі
Квазизвездный аб'ект|квазар
Квазичастица|фанон
Кваліфікаваны працаўнік у якой-небудзь вытворчай вобласці|майстар
Кваліфікаваны, дасведчаны працаўнік якой-небудзь вытворчай вобласці|майстар
Квант гуку?|фанон
Квант святла|фатон
Квант электрамагнітнага поля|фатон
Квант энергіі пругкіх ваганняў цвёрдага цела|фанон
Квантавы генератар, узмацняльнік|мазер
Квантавы момант колькасці руху (кручэнні) элементарнай часціцы|спін
Квартал у традыцыйным селішчы филиппинск. горан. народаў|ато
Квартал з пераважным габрэйскім насельніцтвам|гета
Квартэт плюс квартэт|актэт
Квартэт+Квінтэт|нанет
Кватэра Шэрлака Холмса размяшчалася на ...-стрыт?|Бэйкер
Кватэра, жыллё (жарг.)|хазу
Кватэра, якая можа праваліцца|яўка
Кватарантка ў пушных жывёл|блыха
Кватэрная прыбудова, для адных – сад, для іншых – склад|гаўбец
Кватэрная гаспадыня Шэрлака Холмса і дактары Ватсона|Хадсон
Квасной дражджавы хлеб, освящаемый у дзень вялікдня|артос
Дзежка для жытняга цеста пры выпечцы збажыны|дзежка
Квінтэт і трыа, якія рашылі папрацаваць разам|актэт
Квітанцыя не сур'езна?|квіток
Квітанцыя, выписываемая пры аказанні паслуг|купон
Кедравая жыхарка?|гуз
Келар гэта ў сутнасці?|манах
Кельт. племя, заваяванае рымлянамі|аллоброги
Кельцкія плямёны?|галы
Кельцкі паэт|бард
Келля ў медрэсэ|худжра
Кім быў Гулівер да таго, як стаў капітанам?|хірург
Кім быў Риголетто пры двары караля|блазан
Кім быў у стаўленні Юдэі Понцій Пілат, як гэта адлюстравана ў “Майстру і Маргарыце”?|пракуратар
Кім быў па паходжанні Рурык?|вараг
Кім быў па родзе заняткаў Багой, які атруціў персідскага цара і ўсіх яго спадчыннікаў, але не што здолеў тое ж самае прарабіць з Дарыем III|еўнух
Кім быў па родзе заняткаў бацька рускага навукоўца Іллі Мечникова?|афіцэр
Кім была Жана д’Арк для ангельцаў?|ведзьмай
Кім была якая закахалася ў Нарцыса Рэха?|німфа
Кім яшчэ павінен стаць майстар на ўсе рукі, калі ён ужо і сшывальшчык, і на дудзе ігрок?|жнец
Кім на сённяшні дзень з'яўляецца Пуцін?|прэзідэнтам
Кім па прафесіі быў вынаходнік электрычнага крэсла?|дантыст
Кім даводзіцца Эмилио Эстевес Марціну Шыну|сын
Кім даводзіцца наш акадэмік Данііл Бярнулі матэматыку Іягану Бярнулі?|сынам
Кім пачуваўся Сільвестр Сталлоне на здымках у Афганістане?|Рембо
Кеніяц, адзіны лыжнік-негр на Алімпіядзе-98 у Нагана|Бойт
Кенійскі пісьменнік|Нгвено
Керамічныя вырабы (посуд, статуэткі, ізалятары і інш.)|парцалян
Керкира, выспа., дзе адбывалася марская бітва ў 1799, Расія–Турцыя|Корфу
Кетгут як яна ёсць|нітка
Кетчуп, бешамель, маянэз па сваёй сутнасці|соус
Кеты, народнасць Поўначы, Расія|асцякі
Кешью, дрэва сем. сумаховых|анакардиум
Кібернетычны арганізм?|кібарг
Кібарг, адзін з герояў Арнольда Шварцэнэгера?|Тэрмінатар
Кіў?|паклон
Кіеўская княгіня, якая здушыла паўстанне дрэўлян|Вольга
Кіеўскі князь, герой оперы А. Барадзіна|Ігар
Килевая яхта міжнароднага класа|цмок
Килевая яхта алімп. класа|солинг
Килевая яхта алімпійскага класа|солинг
Кілер у законе|кат
Кілер, які складаецца на дзяржаўнай службе|кат
Километражная цукерка|касач
Кім ... Сен|Ір
Кінжал з вострым і тонкім, часам трохкантовым лязом, завострыванне|штылет
Кінаакцёр і рэжысёр, народны артыст СССР|Быкаў
Кінаакцёр, “Цмок” караце|Лі
Кінаакцёр, народны артыст СССР, які зняўся ў фільме “вясковы дэтэктыў”|Жаров
Кінаакцёр, народны артыст СССР|Гарин
Кінаакцёр|Носік
Кінаактрыса, выканаўца галоўнай ролі ў фільме “Вясна”|Арлова
Кінаактрыса, нар. артыстка СССР|Лучко
Кінаартыст з фільма “Дзікая архідэя”|Выглядаў
