Буйны дэкаратыўны хмызняк|аралія
Кручаная нітка, выкарыстоўваная пры вырабе аўтапакрышак|корд
Кручаная прасмоленая ці наваксаваная нітка для швіва абутку, гарбарных вырабаў|дратва
Кручаная прасмоленая ці наваксаваная нітка, выкарыстоўваная сялянамі для швіва абутку|дратва
Кручанае прадзіва з дробнымі завіткамі|букле
Кручаная тонкая вяроўка ці нітка для пакавання|шпагат
Кручаная тонкая вяроўка|шнур
Крушэнне надзей інжынера Гарина|крах
Агрэст|агрус
Крылатая зладзейка бліскучых прадметаў|сарока
Крылатая навальніца жаб|чапля
Крылатая пастка|сава
Крылатая спявачка, замоўклая, калі да яе набліжаешся|цыкада
Крылатая ракета, згаданая ў народным телесер. “17 імгненняў вясны”|фау
Крылатая фраза з кинокомедии “Дыяментавая рука” Леаніда Гайдая гучыць так: “дзецям ... , яго бабе – кветкі”?|марозіва
Крылатая, якая злётае з мовы|фраза
Крылатае жаданне|мара
Крылаты сродак дастаўкі дзяцей|бусел
Крылаты ганец|анёл
Крылаты конь Зеўса (греч. міф.)|Пегас
Крылаты хлопчык, ён жа Купідон|Амур
Крылаты прыз Венецыянскага кінафэсту|леў
Крылаты драпежнік, чыё апярэнне ў вадзе не намакае|кагалу
Крылаты юнак у старажытнагрэцкай міфалогіі|икар
Крылаты юнак у самым росквіце сіл, але не Карлсан|анёл
Крылоў так ахарактарызаваў Асла, а Пушкін – ...|дзядзьку
Крымская дынастыя|Гірай
Крымскі вінаград|кокур
Крымскі курорт, дзе сустрэліся героі аповяду А. Чэхава “Дама з сабачкай”|Ялта
Крымскае дэсертнае белае віно|кокур
Крымскае ханства ў адносінах да Турцыі, пачынальна з 15 стагоддзі|васал
Пацук на каўнер ці футра|нутрыя
Крытая галерэя з каланадай|порцік
Крытая галерэя з калонамі, прилегаюшая да будынка|порцік
Крытая галерэя з шэрагамі крам ці кантор|пасаж
Крытая галерэя з шэрагам крам|пасаж
Крытая галерэя з гандлёвымі памяшканнямі|пасаж
Крытая галерэя з гандлёвымі шэрагамі|пасаж
Крытая пляцоўка вонкавых усходаў у старажытнарускай архітэктуры|скрыня
Крыты воз для паклажы|фургон
Крыты аўтамабіль для перавозкі грузаў|фургон
Дах для цела і душы|хата
Дах будынка ў выглядзе паўшар'я|купал
Дах на слупах|падстрэшак
Дах над галавой|жыллё
Дах над галавой|прытулак
Дах над намётам|тэнт
Дах, дах (саламяная і т. п., устар.)|страха
Дах, насціл на кроквах|дах
Дах, збор у выглядзе паўшар'я|купал
Вечка, якая зачыняе і адкрывалая адтуліна ў корпусе музычнай духавай прылады|клапан
Вечка што правалілася справе|капут
Вечка з адтулінай, якая накручваецца на мікрафон тэлефоннай трубкі для засцярогі яго ад пашкоджанняў|амбушур
Вечка, пад якой хаваецца рухавік|капот
Крышная конік|канёк
Крючкотворец (устар.)|данос
Гаплік, на які мараход ловіць зямлю?|якар
Гаплік, не які выпускае з дзіўнасці|заскок
Камлюк у Карэліі|сельга
Што кракае сенсацыя|качка
Хто “знаходзіць” непотерянные рэчы|злодзей
Хто “азірнуўся паглядзець, ці не азірнулася яна”?|Леанідаў
Хто – туды, хто па дровы|лес
Хто ... не відаў, і рыззя рад (посл.)|навіна
Хто аўтар верша (песні): “Тройка імчыцца, тройка скача, уецца пыл з пад капытоў...”?|Вяземскі
Хто быў першым рэдактарам першай рускай газеты?|Пётр I
Хто быў царом Итаки?|Адысей
Хто быў штатным чарадзеем пры каралю Артуру?|Мерлин
Хто ў 1947 г. упершыню падняў сцяг незалежнасці Індыі|Неру
Хто ў ХV ст. упрыгожваў свае ўстановы пудзіламі кракадзілаў, чарапах і інш. мудрагелістых жывёл?|аптэкары
Хто ў багацці павінен вадзіцца ў вадаёме, каб побач з ім пасялілася кагалу|рыба
Хто ў рымскай міфалогіі быў богам вінаробства?|Бахус
Хто ў сваёй кнізе “Філасофія заалогіі”, якая выйшла ў 1809 г., даў першую паслед. тэорыю эвалюцыі жывых арганізмаў|Ламарк
Хто ў сям'і пугача буйней|самка
Хто ў сучаснай турме ажыццяўляе кантроль за паводзінамі зняволеных?|наглядчык
Хто ў царскім войску валодаў прывілеем замест нумара часці насіць на фуражках і гузіках малюнак двухгаловага арла?|гвардзейцы
Хто вінаваты ў тым, што Рабінзон апынуўся на незаселенай выспе?|Дэфо
Хто ўзначаліў рускае пасольства, адпраўленае ў Кітай у 1654 г.|Байкаў
Хто ўзначальваў рымскія сілы ў бітве на Каталунских палях у 451 г. (Флавий)|Этий
Хто ўваскрэсіў Руслана? (Руслан і Людміла)|Фін
Хто выхоўваў будучага вялікага нямецкага кампазітара І. Баха пасля таго, як ён у 9 лёт стаў сіратой|брат
Хто ўсім запраўляе ў крымінальнай структуры|араны
Хто выслабаніў Маўглі з малпінага палону?|Каа
Хто вылізвае пыжыка шурпатай мовай?|важенка
Хто выстругаў казачнага Бураціны|Карла
Хто галоўны герой у кнізе Р. Киплинга “Кніга джунгляў”?|Маўглі
Хто галоўны кат сабак усіх часоў і народаў?|Паўлаў
Хто рыхтуе эль?|півавар
Хто для грэкаў з'яўляецца “заканадаўцам поля”?|аграном
Хто завёз бульбу ў Расію?|Пётр I
Хто склаў вецер у шкалу ўласнага вынаходства|Бофорт
Хто клікаў савецкіх салдатаў на фронт?|радзіма
Хто з амерыканскіх полутяжеловесов стаў алімпійскім чэмпіёнам у 1960 г.|Алі
Хто з ангельцаў дапамог галандцу Хрысціяну Гюйгенсу ўсталяваць сталыя кропкі тэрмометра?|Гук
Хто з ангельцаў дапамог галандцу Христианусу Гюйгенсу ўсталяваць сталыя кропкі тэрмометра|Гук
Хто з апосталаў быў раскрыжаваны ўніз галавой?|Пётр
Хто з ахейцев-герояў Траянскай вайны быў мужам Клитемнестры?|Агамемнон
Хто з найблізкіх вучняў Ісуса Хрыста ўзяў на сябе ў вырашальную хвіліну вялікую адказнасць|Юда
Хто з вялікіх імпрэсіяністаў перажыў “перламутравы” перыяд у сваёй творчасці?|Рэнуар
Хто з вялікіх французскіх кампазітараў прымусіў Фаўста спяваць|Гуно
Хто з вялікіх футбалістаў лічыў, што гуляць трэба нагамі, а думаць галавой?|Пеле
Хто з лекараў адказвае за чалавечы матор?|кардыёлаг
Хто з усім вядомых герояў кніг быў гэтак бессардэчны, што нават пра сардэчную хваробу марыў як пра выгоду?|жалезны дрывасек
Хто са старажытнагрэцкіх богаў лопнуў са злосці|Мом
Хто з зорак сучаснага кінематографа даводзіцца цёзкай міжнароднай арганізацыі рэвалюцыйнай моладзі?|Бэсинджер
Хто з вядомых літаратурных герояў думаў адразу двума паўшар'ямі і мозачкам у дадатак?|Джефф Питерс
Хто з класікаў амерыканскай літаратуры першым прынёс у выдавецтва рукапіс, аддрукаваную на машынцы|Твен
Хто з цяпер якія жывуць лонданцаў абавязаны сваёй мянушкай (бобби) брытанскаму прэм'еру ў 30-х гадах мінулага стагоддзя Роберту Пілую?|паліцэйскія
Хто з бацькоў Фёдара Дастаеўскага адбываўся з купецкай сям'і|маці
Хто з расійскіх кампазітараў склаў балет “Ангара”|Эшпай
Хто з рускіх пісьменнікаў дэбютаваў у часопісе “Страказа”|Чэхаў
Хто з рускіх паэтаў стаў мужам “вялікай басаножкі” Айседоры Дункан|Ясенін
Хто з сям'і французскага пісьменніка Анарэ дэ Бальзака служыў па ведамстве ваеннага забеспячэння|бацька
Хто з сучаснікаў Івана Грознага мог бы апісаць яго жыццё мовай сапраўднай трагедыі, але так гэтага і не зрабіў?|Шэкспір
Хто з тэнісістаў на працягу 3 лёт быў мужам галівудскай зоркі Брук Шилдс|Агасі
Хто з французскіх дырыжораў аранжаваў песні Шарля Азнавура?|Моруа
Хто з французскіх хімікаў служыў міністрам замежных спраў?|Бертло
Хто з цароў можа глядзець на сонца, не міргнуўшы вокам|леў
Хто вылепіў “Мысляра”?|Роден
Хто вынайшаў прэзерватыў?|Кондом
Хто выконваў песню “Трымай мяне, саломінка, трымай”?|Пугачова
Хто крыкнуў “ЭЎРЫКА”?|Архімед
Хто лечыць бахураў?|педыятр
Хто можа з гарантыяй выгаіць мігрэнь?|кат
Хто мы (па версіі Метра)?|свінні
Хто на пытанне лорда Баскервіля “Што гэта?” адказаў: “Аўсянка, сэр”?|Бэрымор
Хто на канале НТБ штотыдзень падводзіў “Вынікі”, а цяпер падводзіць на “ТБ-6”?|Кісялёў
Хто на сабе свая хата цягае?|слімак
Хто на сонейку ляжыць?|чарапаха
Хто над зямлёю цар? (Загадка.)|вецер
