Калекцыянер і аматар кніг?|бібліяфіл
Колючая зброя з прамым доўгім клінком|шпага
Колючая зброя з тонкім, доўгім і гнуткім клінком прямоуг. перасекі|рапіра
Колючая зброя, вядомае з эпохі ранняга палеаліту|дзіда
Колючая зброя, якое прымацоўваецца да канца ствала вінтоўкі|багнет
Колючая зброя, род дзіды|піка
Колючая зброя; у 18 ст. – отл. прыкмета ўнтар-афіцэраў|бярдыш
Колючая зброя|бярдыш
Колючая халодная зброя з доўгім гнуткім чатырохкутным клінком|рапіра
Колючая халодная зброя з прамым (1 м і больш) клінком|шпага
Колючы канец ці рэжучая частка чаго-небудзь|лязо
Калыска, у якую запрагаецца чалавек|рыкша
Колючая зброя, пристегиваемое да агнястрэльнай зброі|багнет
Колючая, якая сячэ ўсходняя зброя|ятаган
Кома гарэння|тленне
Каманда “ўгару” ў стропальшчыкаў|віра
Каманда – чэмпіён першай лігі ЧР ’00?|Сокал
Каманда – чэмпіён першай лігі ЧР ’01?|Шыннік
Каманда – чэмпіён першай лігі ЧР ’94?|Чарнаморац
Каманда – чэмпіён першай лігі ЧР ’95?|Балтыка
Каманда – чэмпіён першай лігі ЧР ’96?|Цюмень
Каманда – чэмпіён першай лігі ЧР ’97?|Уралан
Каманда – чэмпіён першай лігі ЧР ’98?|Сатурн
Каманда Акелы|зграя
Каманда Дзі Стэфана|Рэал
Каманда Хуліа Іглесіяса|Рэал
Каманда вышэйшай лігі, якой Блохин забіў свой 1-й і 100-й мяч|Днепр
Каманда карабля “Арго”, якая адправілася за залатым руном (міф. Грэцыі)|арганаўты
Каманда карабля, самалёта|экіпаж
Каманда афіцэра, па якой па словах таго ж афіцэра “для салдатаў настае цёмны час сутак”|адбой
Каманда, якая пакінула вышэйшую расійскую лігу ’01?|Паходня
Каманда, якая пакінула вышэйшую расійскую лігу ’01?|Чарнаморац
Каманда сабакам на паляванні|ату
Каманда сабаку, якая азначае забарона|фу
Каманда сабаку: “прынясі, падай”|апорт
Каманда суддзі на рынгу, што азначае, што баксёр у накаўце|аўт
Каманда ў такелажнікаў для апускання грузу|майна
Каманда, якая заняла 2-е месца першай лігі ЧР ’00?|Тарпеда-зіл
Каманда, якая заняла 2-е месца першай лігі ЧР ’01?|Уралан
Каманда, якая заняла 2-е месца першай лігі ЧР ’94?|Ростсельмаш
Каманда, якая заняла 2-е месца першай лігі ЧР ’95?|Лада
Каманда, якая заняла 2-е месца першай лігі ЧР ’96?|Шыннік
Каманда, якая заняла 2-е месца першай лігі ЧР ’97?|Металург Ліпецк
Каманда, якая заняла 2-е месца першай лігі ЧР ’98?|Лакаматыў
Каманда, якая заняла 2-е месца першай лігі ЧР ’99?|Паходня
Каманда, якой Блохин забіў свой 50-й мяч|Нистру
Каманда, якая ўдзельнічае ў гонках па формуле адзін|Лижье
Краіна, фіналіст ЕЎРА ’96|Чэхія
Камандарм, герой Савецкага Звяза, удзельнік Сталінградскай бітвы|Батов
Камандзір Сумских партызан|Ковпак
Камандзір Сумского партызанскага злучэння ў Вялікую Айчынную вайну, двойчы Герай Савецкага Звяза (1942, 1944)|Ковпак
Камандзір дырыжабля “Нарвегія” ў экспедыцыі Р. Амундсена 1926 г.|Нобілю
Камандзір казачай сотні|есаул
Камандзір крэйсера “Вараг”?|Руднеў
Камандзір партызанскага атрада ў Айчыннай вайне 1812 г.|Кожина
Камандзіровачнае пасведчанне для мужа, не ночевавшего хаты|алібі
Камандзірскае распараджэнне?|загад
Камандная гульня з нашумелага дыснэеўскага фільма “Флаббер”?|баскетбол
Камандная гульня з мячом, у якой ён для расейцаў асабліва “круглы”|футбол
Камандная гульня|хакей
Камандная спартовая гульня з драўляным мячом і клюшкамі конна на канях|пола
Камандны тэкставы файл, прызначаны для выканання пад кіраваннем програмы-інтэрпрэтатара|скрыпт
Камандаваў трыерай триарх, вахтавы афіцэр называўся прореусом, веслярамі ведаў келеустос, а штурман меў нечакана сучасная назва. Якое?|кибернетос
Камандуючы ў Грунвальдскай бітве|Ягайла
Камандуючы войскамі рымскай рэспублікі, адбілых нашэсце плямёнаў Кимвров і Тэўтонаў|Марый
Камандуючы інш.-рым. імператарскай гвардыяй, германец|Одоакр
Камандуючы аб'яднаным пад уладай гунаў звязам плямёнаў|Атыла
Камандуючы руска-польска-літоўскім саюзным войскам у Грунвальдскай бітве 1410 гады|Ягайла
Камандуючы рускім войскам у вайне з Турцыяй 1735–39 гг.|Миних
Камандуючы флотам у Старажытнай Грэцыі|наварх
Камандуючы франтамі ў гражд. вайну; опера Ўласава|Фрунзе
Камандуючы франтамі ў гражд. вайну|Фрунзе
Вельмі цяжкае, пагрозлівае жыцці стан з засмучэннем функцый усіх органаў пачуццяў, адсутнасцю рэфлексаў, парушэннем кровазвароту, дыхання|кома
Камбікорм для людзей, канцэнтрат піт. вещ-ва ў выглядзе пласцінак|папье
Камбінацыі QWЕRТY адпавядае рускае?|ЙЦУКЕН
Камбінацыя з васьмі двайковых разрадаў (біт)|байт
Камбінацыя з некрасовск. верш. “Нядаўні час”; карт. гульня|терц
Камбінацыя з трох пальцаў|кукіш
Камедыйная гутарковая сцэнка цыркавых блазнаў|антрэ
Камедыйны акцёр савецкага кіно|Вицин
Камедыйны жанр у антычным народным тэатры|мім
Камедыя : Гольдони; Корнеля; байка І. Крылова|ілгун
Камедыя А. Чэхава|лясун
Камедыя Альфьери; сродак супраць яду?|проціяддзе
Камедыя Альфьери|лішнія
Камедыя Альфьери|вакенца
Камедыя Альфьери|развод
Камедыя Ариосто|зводніца
Камедыя Д. Фонвизина?|недалетак
Камедыя Ж. Мольера|Тартюф
Камедыя Мольера|скупы
Камедыя Н. В. Гогаля|гульцы
Камедыя Плавта (выраз “чалавек для чалавека – воўк”)|аслы
Камедыя С. Міхалкова|пена
Камедыя Шеридана|дуэння
Камедыя жахаў Р. Вянка|вамп
Камедыя-вадэвіль|фарс
Камедыя-жарт С. В. Міхалкова|дзікуны
Камета Галлея|джотто
Комі (горад)|Печора
Комік наадварот|трагік
Комік нямога кіно|Китон
Камісар, дарэмна які лавіў Фантомаса|Жюв
Камісійная ўзнагарода, што выплачваецца біржавым маклерам твару, які выступае пасроднікам паміж маклерам і пакупніком каштоўных папер|ремиз
Комич. импровиз. дыялог у народным узб. творчасці|аския
Камічная п'еса ў інш. Рыме|ателлана
Камічныя нумары, трукі ў камедыі дель арте|лацци
Камічны персанаж у балаганных уяўленнях|блазан
Камякі снега, у якія так кахаюць гуляць дзеці|снежкі
Каментары інш.-еврейск. мудрацоў да законаў Мишны|гемара
Каментатар экскурсіі?|гід
Камерцыйная гульня з “Чорнай маланкі” А. Купрына|рамс
Камерцыйныя ўмовы, якія вызначаюць парадак пастаўкі і аплаты тавараў у міжнародным гандлі, што ўлічваюць транспартна-пагрузныя аперацыі|фоб
Камерцыйны рахунак|конто
Камерцыйны, гандлёвы звычай, які дапаўняе ўмовы дамовы|узанс
Камерцыйнае апавяшчэнне|авізо
Камуністычны кіраўнік Вугоршчыны, папярэднік Яноша Кадара|Надзь
Комн. расліна з пахкімі кветкамі|герань
Комн. расліна|ахименес
Комн. расліна|кринум
Комн. расліна|фуксія
Комн. кветка|іпамея
Комн. кветка|кливия
Пакой у лякарні; п'еса Алешина; памяшканне ў палацы|палата
Пакой у лякарні|палата
Пакой для прыёмаў?|салон
Пакой, у якой киногерой Меньшыкава выявіў сабе вены пасля арышту камандарма Котова|ванны
Пакаёвы ці паляўнічы сабака|такса
Пакаёвая печ|камін
Пакаёвая складаная пераносная перагародка|шырма
Пакаёвы сабака з кучаравай поўсцю|пудзель
Пакаёвы сабака з пухнатай поўсцю|шпіц
Пакаёвая сабачка з вялікай круглай галавой і скарочанай пысай|мопс
Пакаёвая дэкаратыўная расліна з шырокім лісцем|фікус
Пакаёвая расліна з гладкім круглявым лісцем|седум
Пакаёвая расліна|аспарагус
Пакаёвая расліна|кливия
Пакаёвая расліна|фікус
Пакаёвая травяністая расліна|кливия
Пакаёвыя, садовыя, лугавыя, лясныя расліны (адказ у мн. ч.)|кветкі
Пакаёвы выгляд спаржы|аспарагус
Пакаёвы дождж|душ
Пакаёвая кветка, чамусьці сталы знакам мяшчанства?|фікус
Пакаёвая кветка|фуксія
Комовая каменная соль|буза
