Механічны сігнальны гудок аўтамабіля|клаксон
Металічны трымальнік для ручных гадзін|бранзалет
Металічная прылада, што выдае пры ўдары гук, які з'яўляецца эталонам вышыні пры наладжванні прылад|камертон
Металічная музычная прылада, прылічаны да драўляных|саксафон
Металічны шарык з кавалачкамі металу ўсярэдзіне, які пазвоньвае пры ўстрэсванні|бразготка
Кідальная машына ў старажытнасці|баліста
Кідальная зброя (устар.)|каменямёт
Кідальная зброя аўстралійскіх першабытнікаў|бумеранг
Кідальная зброя ў аўстралійцаў – выгнутая драўляная булава з плоскім адным бокам і выпуклай іншай, якая здзяйсняе ў палёце круцільныя рухі і апісвальная складаную траекторыю|бумеранг
Кідальная зброя|протазан
Кідальны снарад|бумеранг
Кідальны канвеер для сыпкіх грузаў|трымер
Метеорное шкло з Паўднёвай Аўстраліі|австралит
Метеорный струмень з радыянтам у сузор'і Льва|леаніды
Завея без снегапада, однимающая снег з зямлі|замець
Метад падзелу тонкоизмельченных часціц і ўзбагачэнні руд, заснаваны на рознай смачиваемости|флатацыя
Метад Холмса|дэдукцыя
Метад гравіравання|акватинта
Метад гравітацыйнага ўзбагачэння карысных выкапняў|адсаджванне
Метад картачнай варажбы|ленорман
Метад атрымання стереоскопических малюнкаў|анаглифия
Метады лячэння, не злучаныя з хірургічным умяшаннем|тэрапія
Метр з кепкай|кнігаўка
Метрычна слабое месца напачатку верша|анакруса
Трапны і майстэрскі стралок|снайпер
Мара добрага салдата|генерал
Мара, прадукт уяўлення|фантазія
Летуценнік, непрактычны чалавек|ідэаліст
Летуценнік, фантазёр, што захапляецца няздзейснымі планамі|утапіст
Мешаніна, сумесь чаго-небудзь разнастайнага|мешанка
Мяшок, у якім Шурык у Каўказскай палонніцы апынуўся ў горнай рацэ|спальнік
Моск. вуліца (бывш. Інтэрнацыянальная)|Яўзская
Моск. начны дыскаклуб|Арлекіна
Маскоўская вуліца, знакамітая хатай N38|пятроўка
Маскоўская купецкая сям'я, з якой выйшлі тры вядомых брата – пісьменнік, мастак і лекар (адказ у мн. ч.)|Боткины
Маскоўскае войска ХVI–пач. ХVIII стст., узброенае агнястрэльнай зброяй|стральцы
Маскоўскае навуковае выдавецтва|энергія
Маскоўскі раён, у назве якога расце лістападнае дрэва|Ясянёва
Маскоўскі дойлід ХV стагоддзі|Ермолин
Маскоўскі купец – уладальнік самых знакамітых у Маскве булочных|Піліпаў
Маскоўскі мітрапаліт, які ўдзельнічаў у складанні маніфеста 1861 гады пра адмену прыгоннага права|Філарэт
Маскоўскі тэатр драмы і камедыі|трыножкі
Мост для транспарта (напр., у шматузроўневай дарожнай развязцы), пракладкі камунікацый і т. п.|эстакада
Моравы, старажытнаславянскае племя|моравяне
Марская (Інд. акіян) рыба сем. серрановых отр. окунеобразных|таувина
Марская сваячка ярша завецца ...|скорпена
Марская рыба сямейства трасковых|камбала
Марская рыба атрада окунеобразных, каштоўны аб'ект здабычы|зубатка
Марская рыба, роднасная акуню|зубатка
Марская мера даўжыні|кабельтаў
Марская дробная рыба са смачным мясам|барабуля
Марская прамысловая рыба, якая плавае на карце Ю. Амерыкі|аргентына
Марская плоская прамысловая Рыба|камбала
Марская птушка|сякерка
Марская трава, зостера, выкарыстоўваная для набівання матрацаў|взморник
Марская чайка|паморнік
Марская чарапаха|каретта
Марская атрутная рыба|спинорог
Марскі сродак перасоўвання, якое павінна раскачагарвацца|параход
Марская істота ў еўрапейскай міфалогіі|русалка
Марское рыбалоўнае судна на Поўначы|дрыфтар
Марская бесхрыбтовая жывёла тыпу иглокожих, якое ўжываецца ў ежу|трэпанг
Марское времяисчесление|склянка
Марское дно, затопленае пры прыліве|литораль
Марское дно, затопляемое пры прыліве|литораль
Марская жывёла сямействы дэльфінаў|касатка
Марская жывёла сямействы дельфиновых|афалина
