Муз. п'еса 16–17 стст.|канцона
Мадагаскар, правінцыя, адм. ц. г. Анцеранана|Анцеранана
Мадагаскар, правінцыя, адм. цэнтр г. Антананариву|Антананариву
Мадагаскарский прымат?|лемур
Мадам па-швецку|фру
Мадэмуазель, якая афіцыйна дала маху|мадам
Мадмуазель з брачком|мадам
Мадмуазель, якая спявае блюз|Каас
Мадрыдскі футбольны клуб|рэал
Мажор|лад
Майна|віра
Маёр з серыяла “Следства вядуць знаўцы”|Томин
Маёр, карнет, паручнік|афіцэр
Маёр, адзін са “знаўцаў”, служба якіх “і небяспечная, і цяжкая”|Томин
Майя будавалі пышныя дарогі, ужываючы розныя механізмы. Адзін такі быў знойдзены поруч руін горада Коба. Ён аспрэчвае адно ходкае ўяўленне пра індзейцаў. Што гэта за механізм?|коўзанка
Макао (сталіца, цэнтр)|Аомынь
Макаронны выраб?|вермішэль
Макаронны выраб|локшына
Македон. вайскавод; аўтар назвы “Сем цудаў свету”|Антипатр
Македон. вайскавод|Антипатр
Македонскі вайскавод, Диадох|Селевк
Макет зямнога шара; тэатр у Лондане (Шексп.)|глобус
Макет зямнога шара|глобус
Маклеры, якія займаюцца пасродніцтвам у гандлі таварамі і каштоўнымі паперамі на біржы?|брокеры
Мака, марская драпежніца|акула
Максімальная эфектыўнасць працы, дзеянняў|аддача
Максімальная павага|піетэт
Малы, ды заліхвацкі (энергетич.)|атам
Малайский кінжал|крыс
Малы ангельскі хорт|виппет
Малая група людзей, связ. крэўнай сувяззю|сям'я
Малая дзель|крыха
Малая планета, астэроід, дыяметр ок. 20 км|Эрас
Малая планета, астэроід|Амур
Малая планета, астэроід|Ахилл
Малая планета, астэроід|Гермес
Малая планета, астэроід|Гигия
Малая планета, астэроід|Давыда
Малая планета, астэроід|Еўропа
Малая планета, астэроід|Ирида
Малая планета, астэроід|Кибела
Малая планета, астэроід|Сирона
Малая планета, якая звяртаецца вакол Сонца|астэроід
Малая планета, адкрытая В. Бааде|Икар
Малая планета, памер 290 х 245 км|Юнона
Малая планета?|Давыда
Малая планета?|Церера
Малая планета?|Аданіс
Малая планета?|Паллада
Малая планета?|Эрас
Малая планета?|Гермес
Малая планета|Апалон
Малая планета|Арыэль
Малая птушка|птах
Малая радзіма “твараў каўказскай нацыянальнасці”|аул
Маленькая Вера ў свету|Негода
Маленькі матылёк, гусеніца якой з'яўляецца шкоднікам меха, шарсці, хлебных зерняў, раслін|моль
Маленькая бутэлечка са спіртным на студэнцкай “фене”|раиска
Маленькая выгінастая сталёвая пласцінка з расшчэпленым канцом для пісання чарніламі, тушшу|пяро
Маленькая якая джаліць “тарпеда”|аса
Маленькая жалязяка, устаўляемая ў дрыль|свердзел
Маленькая жывая рыбка, насаживаемая на гаплік для лоўлі буйнай рыбы|жывец
Маленькае жыццё (па Максіме Горкаму)|дзень
Маленькі пакаёвы сабака|мопс
Маленькі конік, што катае дзетак|поні
Маленькая марская рыба сямейства корушак|мойва
Маленькая круглявая часціца вадкасці|кропля
Маленькая пярэстая птушка|шчыгол
Маленькая пярэстая птушачка|сініца
Маленькая падушачка|думка
Маленькая птушачка (разгов.)?|пташка
Маленькая рэчка|раўчук
Маленькая рыба сямейства сельдевых|салака
Маленькая рыбка ці малюск, нядаўна якія выйшлі з лічынкі, з яйка|маляўка
Маленькая рыбка, што мае грудную прысоску|сомик
Маленькая рыбка, лёгка якая робіцца вялікім задавальненнем да піва|таран
Маленькая рыбка, што ўздымаецца па вадаспадзе|стронга
Маленькая рыбка, добра абсмаленая ў прованском масле – выдатная закуска|шпрот
Маленькая здобная булачка|плюшка
Маленькі сабака|шчанюк
Беленька сабачка ў падваротню глядзіць (загадка)|гурба
Маленькая сабачка, згарнуўшыся, ляжыць – не брэша, не кусае, а ў хату не пускае|замак
Маленькая краіна з вялікім насельніцтвам|Японія
Маленькі тонкі абаранак|сушка
Маленькая кранальная птушачка|птах
Маленькая часціца чаго-небудзь|дробка
Маленькі капялюшык у праваслаўнага духавенства|скуфья
Маленькая шустрая рыбка|уюн
Маленькая яма|ямка
Маленькія пацеркі з дзірачкамі|пацеркі
Маленькія абсмаленыя рыбкі са слоіка. Добрыя з лімончыкам да каньячка|шпроты
Маленькія па 3, але ўчора|ракі
Маленькі белы шарык у папулярнай гульні ў шары|джекки
Маленькі балід|метэор
Маленькі абаранак|сушка
Маленькі буй (сігнальны плывучы знак)|буёк
Маленькі горкі чырвоны перац|агеньчык
Маленькая канапа|канапе
Маленькі даносчык|данос
