З'яўленне, наступ чаго-небудзь ізноў|зварот
Ўскрышныя працы|вскрыша
Хвалепадобны кароткачасовы ўздым вады ці іншай вадкасці, расплаўленай масы, што ўтвараецца яе рухам ці падзеннем у яе прадметаў|воплеск
Раптоўнае і хуткае ўзгаранне|выбліск
Раптоўнае і кароткачасовае з'яўленне святла ад крыніцы|выбліск
Прадмет, устаўляемы ці ўстаўлены ў адмыслова адведзенае для яго месца (звычайна які замацоўваецца чым-небудзь)|устаўка
Дадатак навошта-або асноўнаму|устаўка
Выпадковае ці наўмыснае спатканне|сустрэча
Падрыхтаваны прыём каго-або, імпрэза з нагоды прыбыцці каго-чаго-небудзь|сустрэча
Сутыкненне з чым-небудзь, што рухаюцца насустрач|сустрэча
Другі дзень тыдня, наступны за панядзелкам|аўторак
Студэнт вну|внузавец
Паглыбленне на паверхні якое ўтварылася ў выніку ўдару, частай язды і т. п.|выбоіна
Адыходы, якія выкідаюцца ў атмасферу ці ў вадаёмы|выкіды
Мякіна, пыл, смецце і т. п., якія адлучыліся ад збожжа пры прасейванні|вывевки
Дошка з надпісам, малюнкам, што пазначаюць найменне, род дзейнасці прадпрыемства, установы і т. п.|шыльда
Дзіцяняты (птушак, жывёл), выведзеныя адной самкай і якія трымаюцца разам|кодла
Характар вымаўлення гукаў мовы|вымова
Адмоўная адзнака ўчынку, адносіны да працы і т. п. як выгляд дысцыплінарнага спагнання|вымова
Адукацыя ў абзацы дадатковага радка шляхам павелічэння прабелаў паміж словамі, даданні новых слоў і т. п.|выганка
Выманне, здабыванне пасродкам перагонкі, перапрацоўкі|выганка
Выраб|выраб
Якасць аздаблення, апрацоўкі вырабленага|выраб
Выраб пасродкам выдзімання, з дапамогай бруі паветра|выдзіманне
Схільнасць выдумляць, прыдумляць; вынаходлівасць|выдумка
Прыплод кабылы, самкі вярблюда, асла|ажарэб
Грошы, маёмасць і т. п., набытыя гульнёй (у карты, лато і т. п.) ці атрыманыя пры розыгрышы (тыражу, латарэі і т. п.)|выйгрыш
Поспех у гульні, які дае права на атрыманне грошай, маёмасці і т. п.|выйгрыш
Спрыяльны зыход, перамога, поспех у змаганні ці ў гульні, споры і т. п.|выйгрыш
Перавага, выгада, карысць|выйгрыш
Адыходы, адкіды вытворчасці|выкіданні
Самаадвольнае заўчаснае спыненне цяжарнасці|выкідак
Раптоўны напад войскаў гарнізона абложанай крэпасці на якія абложваюць войскі|вылазка
Пазначэнне на матэрыі ўзору для вышывання|выметка
Паглыбленне на паверхні зямлі, утвораныя ў выніку вымывання струменем вады ці ў выніку ўдараў хваль|вымоіна
Прыручэнне лоўчых птушак для палявання (у гаворкі паляўнічых)|вынаска
Зямля, знясіленая шматгадовым ворывам|выпашка
Што выплюхнулася вадкасць|выплюхванне
Ашалёўка з меха па краях адзежы, абутку|аблямоўка
Выманне, адтуліна|выразка
Выразаная, вынятая, вынятая частка|выразка
Месца, дзе высечаны лес|высечка
Высечаная адтуліна, паглыбленне ў чым-небудзь; выманне, засечка|высечка
Абразанні цвёрдай скуры, металу і т. п., атрымоўваныя пры штампоўцы вырабаў|высечка
Грошы, атрыманыя ад продажу ці ў якасці прыбытку, прыбытку|выручка
Кавальская аперацыя фармавання металічных вырабаў (шасцерняў, нітаў і т. п.) з дапамогай прэса|высадка
Расліна, высаджанае з аднаго месца і пасаджанае ў іншае|высадак
Імгненны бляск, зіхаценне|высверк
Рэшткі, якія атрымліваюцца пры прасейванні сыпкіх целаў|высеўкі
Мястэчка на новым месцы, што вылучыўся з іншага паселішча|засценак
Выкіданне снарада (кулі, міны і т. п.) з канала ствала агнястрэльнай зброі ў выніку выбуху зарада|стрэл
Сукупнасць боепрыпасаў, неабходных для вытворчасці стральбы з прылады, мінамёта, гранатамёта (у ваеннай справе)|стрэл
Прылада на караблі ў выглядзе драўлянага бруса, які ўсталёўваецца перпендыкулярна борту і службоўца для мацавання да судна шлюпак і катэраў падчас якарнай стаянкі і для пасадкі ў іх каманды|стрэл
Выдаленне з месца жыхарства, з мясцовасці, краіны (звычайна па рашэнні адміністрацыйнай ці судовай улады)|высыланне
Груды, скупнасці што абсыпалася пароды|высыпанні
Невялікая зморшчына, застрачиваемая з выварату, з дапамогай якой адзежа падганяецца па постаці|вытачка
Вывастранае, апрацаванае вастрэннем выраб ці месца ў вырабе|выточванне
Выпростванне, выцягванне корпуса і рук, апушчаных уздоўж тулава, у знак выканання вайсковай дысцыпліны|выцяжка
Раствор, выняты з арганічнага рэчыва, тканіны з дапамогай адмысловага растваральніка, выбарча дзейснага на кампаненты апрацоўванага прадукта; экстракт|выцяжка
Прышэлец з іншай краіны, з іншага краю|выхадзец
Чалавек, які выйшаў з адной сацыяльнай групы і сталы чальцом іншай|выхадзец
Нечаканы, незвычайны, дзёрзкі ўчынак|выхадка
Спосаб, якасць узорнага швіва|гафт
Выраб, якое злучана ці вяжацца|вязанне
Звязак дроў, галля, саломы і т. п.|вязанка
Сямейства драўняных двухдольных раслін; ильмовые|вязовые
Сукупнасць вонкавых прыкмет, вонкавы выгляд (чалавека, жывёльнага, расліннага арганізма, крышталя)|габітус
Народ усходне-австронезийской групы австронезийской этноязыковой сем'і, які складае карэннае насельніцтва Гавайскіх выспаў|гавайцы
Паўночная марская птушка сямейства чистиковых велічынёй з невялікую качку|гагарка
Народ цюркскай этноязыковой групы, што жыве ў паўднёвых раёнах Малдавіі, у сумежных з імі раёнах Украіны, а таксама ў Балгарыі і Румыніі|гагаўзы
Святая вайна, прадпісаная Каранам і якая аб'яўляецца мусульманамі іншаверцам; джыхад|газават
Гаручая вадкасць, што атрымліваецца пры перагонцы нафты ці пры падзеле прамысловых газаў|газалін
Прыбор для вымярэння колькасці і выдатку газу|газамер
Вераўчаная ці ланцужная ліна, выкарыстоўваны пры пасадцы дырыжабля ці сферычнага аэрастата|гайдроп
Сталёвы трос, які ўваходзіць у камплект прыдновага трала|гайдроп
Доўгі і вузкі крыты калідор ці гаўбец уздоўж сцяны будынка|галерэя
Падземны ход, службовец для вытворчых, вайскоўцаў і т. п. мэт|галерэя
Адмысловае памяшканне, у якім для агляду змесцаваны творы мастацтва; мастацкі музей|галерэя
Элемент адзежы – звычайна мужчынскі – у выглядзе паласы прыбранай тканіны, якая ахоплівае шыю пад каўняром кашулі, блузы і т. п. і якая завязваецца спераду вузлом|гальштук
Украінская страва ў выглядзе кавалачкаў зваранага цеста|галушкі
Па-анатамічнаму адасобленая скупнасць нервовых клетак, валокнаў і суправаджалай іх тканіны; нервовы вузел|ганглій
Спартовая гульня паміж камандамі, у якой гульцы, перакідаючы рукамі мяч адзін аднаму, імкнуцца закінуць яго ў вароты суперніка; ручны мяч|гандбол
Ручны спартовы снарад у выглядзе двух металічных шароў ці набораў металічных дыскаў, злучаных кароткай дзяржальняй|гантэля
Запавеса, што завешвае акно, дзвярны праём і т. п.|гардзіна
Клавішна-пнеўматычная музычная прылада, які ўяўляе сабою рухомыя мяхі з расцягвальнымі складчатыми сценкамі і з планкамі па абодвух іх баках, забяспечанымі клавіятурай|гармонік
Невялікая балотная птушка атрада ржанкообразных з доўгай тонкай дзюбай|гаршнэп
Хвароба, што характарызуецца запаленнем слізістай абалонкі страўніка|гастрыт
Артылерыйская гармата з кароткім ствалом для навясной стральбы звычайна па накрытых мэтах|гаўбіца
Прылада для прывядзення ў дзеянне спускавога механізму агнястрэльнай зброі (звычайна аўтаматычнага)|гашэтка
Адборныя вайсковыя часткі|гвардыя
Той, каму прыналежыць кіраўнічая роля ў чым-небудзь; хто пануе, вяршэнствуе над кім-або (звычайна пра класы, партыях, дзяржавах і т. п.)|гегемон
Сямейства гадаў атрада яшчарак|гекконы
Медная духавая музычная прылада басовай групы ў выглядзе колцападобна выгнутай трубы з вялікім раструбам|гелікон
Мінерал, аксід жалеза, выкарыстоўваны як руда, а таксама як вырабны і ювелірны камень; чырвоны жалязняк|гематыт
Разбурэнне эрытрацытаў, якое суправаджаецца вылучэннем у вадкае асяроддзе крыві гемаглабіну|гемоліз
Паходжанне, узнікненне; працэс адукацыі, станаўленні|генэза
Вайсковае званне ці чын вышэйшага каманднага складу ў войскі|генерал
Сукупнасць генаў, спадчынная аснова дадзенага арганізма|генатып
Дзеянні, што здзяйсняюцца з намерам знішчыць цалкам ці часткова нацыянальную, этнічную, расавую ці рэлігійную групу як такую|генацыд
Генеральны план|генплан
Генеральны штаб|генштаб
Садовая шматгадовая расліна сямейства сложноцветных з буйнымі кветкамі разнастайнай афарбоўкі|вяргіня
Рэчыва, якое змяшчаецца ў печані, лёгкіх, артэрыяльных сценках і што перашкаджае згортванню крыві; лекавы прэпарат, які ўжываецца для папярэджання адукацыі тромбаў|гепарын
Хвароба, што характарызуецца запаленнем печані і звычайна якая суправаджаецца жаўцізной скурнага полага, бялкоў вачэй і т. п.|гепатыт
Гераічнае ўтрыманне, гераічны бок чаго-небудзь|героіка
Веснік, вяшчальнік пры дварах феадальных кіраўнікоў у сярэднія вякі, пазней – пры дварах каралёў, які ведаў таксама складаннем гербаў і радаслоўяў (у краінах Заходняй Еўропы)|герольд
Распарадчык на імпрэзах, турнірах і т. п.|герольд
Цыбульная дэкаратыўная расліна сямейства лилейных з доўгім лісцем і духмянымі кветкамі рознай афарбоўкі, сабранымі ў пэндзаль|гіяцынт
Мінерал, каштоўны камень, празрыстая разнавіднасць цыркону жаўтлява-карычневага і чырванавата-карычневага колеру|гіяцынт
Сямейства чалавекападобных малп, якія насяляюць на дрэвах|гібоны
Вобласць медыцыны, што вывучае ўплыў фактараў навакольнага асяроддзя на здароўе чалавека і распрацоўвальная мерапрыемствы па папярэджанні хвароб і стварэнню ўмоў жыцця і працы, якія забяспечваюць захаванне здароўя|гігіена
Сукупнасць практычных мер, дзеянняў, што забяспечваюць захаванне здароўя|гігіена
Водаразборная калонка ці кран, усталяваныя на лініі вадаправода і службоўцы для палівання вуліц, тушэнні пажараў і т. п.|гідрант
Аб'яднанне купцоў (у Англіі таксама і рамеснікаў), якое бараніла інтарэсы і прывілеі сваіх чальцоў (у сярэднія вякі ў Заходняй Еўропе)|гільдыя
Одзін з трох (з 1863 г. – дзвюх) саслоўна-податных разрадаў, на якія падзялялася купецтва ў залежнасці ад маёмаснага становішча (у Расійскай дзяржаве да 1917 г.)|гільдыя
Бог шлюбу, шлюбу (у антычнай міфалогіі)|Гіменэй
Жаночая палова ў задняй частцы хаты (у Старажытнай Грэцыі)|гинекей
Нестабільная элементарная часціца, маса якой больш масы пратона ці нейтрона|гіперон
Залоза ўнутранай сакрэцыі, размешчаная ў падставы галаўнога мозгу чалавека і хрыбетных жывёл і аказвальная ўплыў на рост, развіццё, абменныя працэсы і т. п. арганізма; мазгавы прыдатак|гіпофіз
Кіраўнік; важак, правадыр (звычайна з адценнем неодобрительности)|верхавод
Галоўнакамандуючы (у гаворкі вайскоўцаў)|галаўкам
Галоўны рэжысёр (у гаворкі акцёраў)|главреж
Назва літары старажытнай славянскай ці старой рускай азбукі|глаголь
Шклопадобнае пакрыццё на керамічных вырабах, замацаванае абпалам|глазура
Выбарны чалец гарадской думы ці земскага збору (у Расійскай дзяржаве да 1917 г.)|галосны
Слізгальнае па ў танцы|глісад
Невялікае хуткаходнае судна (катэр), слізгальнае па паверхні вады дзякуючы адмысловай прыладзе дна|глісер
Газава-пылавыя адукацыі ў Галактыцы, якія вылучаюцца ў выглядзе цёмных плям на фоне светлых туманнасцяў|глобулы
Адлегласць ад паверхні, верхняга краю чаго-небудзь да дна, ніжняга краю чаго-небудзь ці да якой-небудзь кропкі па кірунку да дна, да нізу; працягласць па вертыкалі зверху ўніз; тоўшча|глыбіня
Працягласць ад пярэдняга, вонкавага боку краю ўнутр да канца ці да якой-небудзь кропкі|глыбіня
Прастора, размешчанае на вялікай адлегласці ад зямной ці воднай паверхні|глыбіні
Буйная лясная птушка сямейства цецеруковых|глушэц
Вялікая шруба з квадратнай ці шестигранной галоўкай|глушэц
Поўная ці частковая адсутнасць слыху|глухата
местн. Глухмень, глухмень|глухата
Вуглявод, які змяшчаецца ў раслінах і жывёльных арганізмах; вінаградны цукар|глюкоза
Месца скупнасці гною; нарыў|гнайнік
Сцянны дыван ручной працы з вытканымі ўзорамі, малюнкам|габелен
Шчыльная дэкаратыўная тканіна з вытканымі ўзорамі|габелен
Пресноводная рыба сямейства карповых|галавень
Цяжкія выпрабаванні, пакуты, претерпеваемые кім-або|галгофа
Птушка, што насяляе ў лясах Цэнтральнай і Паўднёвай Амерыкі|галавач
Жук сямейства пластинчатоусых з кароткім целам і вялікай галавой – шкоднік сельскай гаспадаркі|галавач
Патоўшчаная ці выступалая наперад – звычайна круглявая – частка, ускраек чаго-небудзь|галоўка
Шаровидное ці даўгаватае суквецце, шарападобны плён некаторых раслін|галоўка
местн. То ж, што: головашки|галоўкі
Якое цьмее ці абгарэлае палена, бервяно|асмалак
Хвароба раслін (звычайна хлебнай травы), выкліканая грыбамі-паразітамі|асмалак
Пласт шчыльнага лёду на паверхні зямлі, на дрэвах, праводзінах і т. п., які ўтвараецца пры замярзанні на іх кропель дажджу ці смугі|галалёд
Бярвеністы ці дашчаны будынак з двухсхільным дахам і крыжом на ёй ці драўляны крыж з двухсхільнай кровелькой, што ўсталёўваюцца на магіле|галубец
Старадаўнія рускія народныя скокі|галубец
Самка голуба|галубка
Страва з тушеного мяснога фаршу, загорнутага ў капуснае лісце|галубцы
Хімічны элемент, які адносіцца да лантаноідаў, рэдкі метал серабрыста-белага колеру, што сустракаецца ў прыродзе ў злучэннях|гольмій
Доўгая аднавёславая плоскодонная венецыянская лодка з паднятым фігурным носам і высокай кармой, якая мае каюту ці адмысловы тэнт для пасажыраў|гандола
Таварны вагон без даху, з люкамі ў падлозе, што адкрываюцца для высыпання грузу|гандола
Падвесны кошык паветранага шара, кабіна аэрастата, дырыжабля для месцавання экіпажа, абсталяванні і баласта|гандола
Элемент канструкцыі самалёта, шрубалёта для месцавання рухавіка, шасі і іншых прылад, які мае абцякальную форму|гандола
Частка батыскафа ў выглядзе сталёвага шара, у якім мясцуюцца экіпаж, прыборы і т. п.|гандола
Пераслед, прыгнёт сталыя нападкі|ганенне
Грашовая ўзнагарода за працу, выкананую па дамове, дамове літаратарамі, мастакамі, адвакатамі і т. п.|ганарар
Венерычная хвароба, якая выклікаецца гонококком; трыпер|ганарэя
Адна з дошчачак гонты|гонтина
