Палюбоўнік, змешчаны на ўтрыманні жанчыны|альфонс
Насычэнне паветрам ці кіслародам|аэрацыя
Пасажырскі самалёт вялікай ёмістасці|аэробус
Казурка з дзвюма парамі крылаў разнастайнай афарбоўкі, пакрытых мікраскапічнымі лускавінкамі|матылёк
Гальштук у выглядзе невялікага банта|матылёк
Маці бацькі ці мацюкай у адносінах да іх дзяцей|бабуля
Насельніцтва былой дзяржавы Баварыя і землі Баварыя ў Федэратыўнай Рэспубліцы Нямеччыны|баварцы
Спартовец, які ўдзельнічае ў спаборніцтвах на багги|баггист
местн. Выдзеўбаная з дрэва пасудзіна для захоўвання мёда|вядзерца
Вулканічная горная парода дробназярністага ці шчыльнага будынка, звычайна чорнага ці цёмна-шэрага колеру|базальт
Полукустарниковое і хмызняковая расліна сямейства губоцветных, распаўсюджанае ў тропіках і субтропіках, некаторыя выгляды якога апрацоўваюцца для атрымання эфірных маслаў і выкарыстоўваюцца як рэзкая затаўка|базілік
Старадаўні узкогорлый драўляная пасудзіна з вечкам ці коркам, які выкарыстоўваўся для пераносу і захоўванні вадкасцяў|біклага
Сямейства птушак атрада весланогіх з цёмным апярэннем, з дужай вострай дзюбай|бакланы
Курс ветразнага судна пры спадарожна-бакавым ветры|бакштаг
Трос для замацавання суднавых шчоглаў, дымавых труб і т. п.|бакштаг
Канец троса, спушчальны за карму судна, для мацавання змешчаных на вадзе карабельных шлюпак і катэраў|бакштоў
Лёгкая пабудова, якая выкарыстоўвалася для часавага жылля, гандлю і т. п.|балаган
Часавая пабудова для тэатральных, цыркавых і іншых уяўленняў|балаган
Тэатральнае ўяўленне, звычайна на кірмашах, якое складалася з камічных сцэнак, цыркавых нумароў і т. п.|балаган
Старадаўняя сялянская верхняя адзежа вольнага крою з палатна, парусіны і т. п.|балахон
Груз, змяшчаны на дно карабля ці аэрастата для забеспячэння неабходных мореходных якасцяў судна ці для рэгулявання вышыні палёту аэрастата|баласт
Сыпкі матэрыял (друз, жвір, пясок і т. п.), выкарыстоўваны для ўмацавання шпал пры пабудове верхняй часткі чыгуначнага палатна|баласт
Буйная драпежная птушка сямейства сакаліных шаравата-бурай афарбоўкі з белымі плямістымі грудзьмі|балобан
Густы духмяны сок некаторых раслін, які змяшчае эфірныя маслы і смолы, асобныя выгляды якога выкарыстоўваюцца ў медыцыне, парфумернай прамысловасці і тэхніцы|бальзам
Мазь, у склад якой уваходзіць сок некаторых лекавых раслін|бальзам
Духмяная настойка на траве|бальзам
Металічныя вобада, напрананыя на дэталі машын, канструкцый і т. п. для павелічэння іх трываласці ці памяншэнні зносу|бандажы
Ўкраінскі народны многострунный шчыпковая музычная прылада з авальным корпусам і кароткім грыфам|бандура
Адно з кірункаў пратэстанцызму, якое характарызуецца здзяйсненнем абраду вадохрышча ў свядомым узросце і адмаўленнем духавенства як пасродніка паміж вернікамі і Богам|баптызм
Ударная музычная прылада ў выглядзе полага цыліндру, падставы якога абцягнуты скурай|барабан
Цыліндрычная ці шматгранная верхняя частка будынка, што абапіраецца на зборы і служэлая падставай купала (у архітэктуры)|барабан
Дэталь машыны, механізму і т. п. у выглядзе полага цыліндру|барабан
Булочное выраб з заварного цесты ў выглядзе невялікага кольца|абаранак
Гайка з дзвюма вушкамі ці дужкай, якія дазваляюць закручваць яе ўручную|двухвушнік
Млекопитающее сямействы мядзведзяў, што насяляе ў лясах Паўночнай Амерыкі; чорны мядзведзь|барибал
Мужчынскі голас, сярэдні па вышыні паміж тэнарам і басам|барытон
Спявак з голасам, сярэднім па вышыні паміж тэнарам і басам|барытон
Спадчынны дваранскі тытул у Англіі (сярэдні паміж тытуламі вышэйшай шляхты і найнізкага дваранства)|баранэт
Адзінка ёмістасці і аб'ёму вадкіх і сыпкіх рэчываў у ЗША, Англіі і шэрагу іншых краін|барэль
Права, лад жыцця пана пані|панства
Становішча пана, пані|панства
Прадстаўнікі саслоўя дваран (у Расійскай дзяржаве да 1917 г.)|панства
Пяшчаныя наносные ўзгоркі ў пустэльнях і паўпустынях|барханы
Дармовая прымусовая праца сялян на пана-абшарніка як павіннасць пры прыгонным праве|паншчына
Прыгонныя сяляне, якія працавалі на абшарніка|паншчына
Незамужняя дачка пана|спадарычна
Адкрыты ці змешчаны ў зачыненым памяшканні штучны вадаём для плавання, скачкоў у ваду і т. п.|басейн
Сукупнасць прытокаў ракі, а таксама пляц сцёку павярхоўных і падземных вод у вадаём (раку, возера, мора)|басейн
Вобласць залягання карысных выкапняў|басейн
Гібрыд, які атрымліваецца ад скрыжавання арганізмаў розных выглядаў ці родаў (у біялогіі)|бастард
Пазашлюбны сын уплывовай асобы – караля, герцага і т. п. (у Заходняй Еўропе ў сярэднія вякі)|бастард
Старадаўняе прыгоннае ці палявое ўмацаванне ў форме пяцікутніка|бастыён
Бітва, бітва|баталія
Артылерыйскае падраздзяленне, якое складаецца з некалькіх прылад і абслуговых іх агнявых узводаў|батарэя
Прылада, што ўяўляе сабою злучэнне некалькіх аднолькавых ці аднатыпных прыбораў, апаратаў і т. п.|батарэя
Зона марскога дна ад 200 да 3000 метраў, якая займае прамежкавае становішча паміж сублиторалью і абиссалью|батыяль
Тасьма з побач вольна што звісаюць нітак, пэндзлікаў і т. п., служэлая для аздаблення, упрыгожванні адзежы, мэблі і т. п.|махры
Бактэрыя ў форме палачкі|бацыла
Народ цюркскай этноязыковой групы, які складае карэннае насельніцтва Башкірыі|башкіры
Нізкі, зачынены абутак для вуліцы – чаравікі ці паўбоцікі|чаравікі
Буйнае парнакапытнае млекопитающее з масіўным тулавам і кароткімі нагамі, што жыве ў пресноводных басейнах экватарыяльнай Афрыкі; гіпапатам|бегемот
Трапічная і субтрапічная расліна з буйным хораша афарбаваным лісцем ці яркімі кветкамі, шматлікія выгляды якога разводзяцца як дэкаратыўныя|бягонія
Сыход, ад'езд (звычайна паспешны, нечаканы)|уцёкі
Хуткі бязладны адступ (пра войскі)|уцёкі
Дэталь крутильного механізму прядильной машыны|лятунок
Птушка сямейства тиркушковых, якая насяляе ў пустэльнях Афрыкі і Азіі і добра што бегае|лятунок
Бедныя, немаёмныя людзі; беднякі|бяднота
Арабы-качэўнікі пустэльняў Пярэдняй Азіі і Паўночнай Афрыкі, якія займаюцца звычайна гадоўляй вярблюдаў|бедуіны
Спартовая камандная гульня з мячом і бітай, што нагадвае рускую лапту|бейсбол
Яркі белы колер|беласць
Сямейства млекаспажыўцоў атрада грызуноў, да якога ставяцца вавёрка, бурундук, байбак і т. п.|вавёрчыны
Чыставы тэкст, чыставы рукапіс|чыставік
Шматгадовая травяністая расліна сямейства камнеломковых з белымі адзінкавымі кветкамі з пяці пялёсткаў, якое расце на волкіх сенажацях|відомец
Дрэва ці хмызняк сямейства вярбовых са светлымі ўцёкамі; вярба прутьевидная|белотал
Народ іранскай этноязыковой групы, што жыве ў Пакістане, Іране, Афганістане і некаторых іншых месцах|белуджы
Ядомы пласціністы грыб з белай, па краі пухнатым капялюшыкам|бялянка
Сямейства дзённых матылькоў з белымі ці жоўтымі крыламі з чорным малюнкам, да якіх ставяцца капустница, боярышница і т. п.|бялянкі
Народы, якія жывуць у краінах Паўночна-заходняй Афрыкі|берберы
Горная парода, што змяшчае кварц, альбіт, руды золата і іншых металаў, блізкая па складзе да граніту|беразіт
Штучна атрыманы радыёактыўны хімічны элемент|берклій
Старадаўняя рачная ці азёрная драўляная баржа|берліна
Логава мядзведзя|бярлог
Крытая лёгкая пабудова ў садзе, парку для адпачынку, абароны ад дажджу і сонцы|альтанка
Тонкая вяроўка|аборка
Лыжная гонка са стральбой з вінтоўкі ў мэту як выгляд спорту|біятлон
Службовец, правяральны квіткі пры ўваходзе ў кінатэатр, тэатр і т. п.|квіткар
Гульня на адмысловым стале, пры якой ударамі кія шары заганяюцца ў лузы|більярд
Ручны аптычны прыбор з дзвюх паралельных глядзельных труб для разгледжвання аддаленых прадметаў|бінокль
Касметычны крэм, у склад якога ўваходзяць биостимулирующие рэчывы|біякрэм
Горныя пароды, якія складаюцца галоўным чынам з рэштак вымерлых жывёл, раслін ці прадуктаў іх жыццядзейнасці|біяліты
Кірунак кібернетыкі, што ўжывае веды пра жывую прыроду для рашэння навукова-тэхнічных задач|біёніка
Сячэнне часткі тканіны ці органа жывога арганізма для мікраскапічнага даследавання з дыягнастычнай мэтай|біяпсія
Электрамагнітныя ваганні, якія ўзнікаюць у клетках і тканінах чалавека і жывёл|біятокі
Кандытарскае выпечное выраб, цеста для якога рыхтуецца з пакуты, цукры і ўзбітых яйкаў|бісквіт
Не пакрытае глазурай парцалянавы выраб, абпаленае да з'яўлення лёгкага бляску|бісквіт
Круглыя невялікія катлеты з сечанага мяса|біточкі
Маленькія, тонкія пласцінкі, лускавінкі металу, лушчака, сцякла і т. п., адбівалыя святло і выкарыстоўваныя для ўпрыгожвання адзежы|бліскаўкі
Бліскучыя часціцы выпраменьвальныя ці адбівалыя святло|бліскаўкі
Сваякі, сябры|блізкія
Любай чалавек у адносінах да іншага (з якім ён знакам, злучаны выявай і т. п.)|блізкі
