Прамысловая рыба сямейства ласосевых|гарбуша
Залатая (пазней срэбная) манета ў некаторых еўрапейскіх краінах (Францыі, Нямеччыны і т. п. у ХIII–ХХ стст.)|гульдэн
Старадаўняя руская народная гульня, у якой адзін з якія гулялі лавіў іншых удзельнікаў гульні|гулючки
Масавае свята на свежым паветры|гулянне
Баўленне часу вялікай колькасці людзей пад голым небам з забаўкамі, танцамі і т. п.|гулянне
Этнаграфічная група грузінаў|гурийцы
Птушаня гусака|гусянё
Рыба сямейства карповых|густера
Мазь для чысткі скуранога абутку|гуталін
Трохскладовая ступня ў сілаба-танічным вершаскладанні, якая складаецца з аднаго ўдарнага і наступных за ім двух ненаціскных складоў|дактыль
Трохскладовая ступня ў антычнай метрыцы з першым доўгім і наступнымі двума кароткімі складамі|дактыль
Старажытнагрэцкія плямёны|данайцы
Зала для танцаў, звычайна пры кафэ ці рэстаране|дансінг
Адмысловец-практык па лячэнні і пратэзаванню зубоў, не мелы вышэйшай адмысловай адукацыі (у адрозненне ад стаматолага)|дантыст
Бязвыплатная перадача маёмасці адным тварам ва ўласнасць іншаму (у правазнаўстве)|дарэнне
Народ германскай этноязыковой групы, што складае асноўнае насельніцтва Даніі|датчане
Буйныя доўгія цвікі, выкарыстоўваныя для прибивания дошак у два шэрагу|двоетес
Чалавек, які мае поўнае падабенства з іншым|двайнік
Два зрослых крышталя аднаго і таго ж мінерала|двайнік
Прадмет, што мае дзве аднастайныя часткі ці які складаецца з дзвюх частак|двайнік
Алгебраічны выраз, што ўяўляе сабою суму ці рознасць двух адначленаў (у матэматыку); біном|двухсклад
Твар ці ўстанова, абавязанае зрабіць (звычайна аплаціць штосьці), абумоўленае раней дамовай ці іншым абавязаннем; даўжнік|дэбітор
Дзіця ці падлетак жаночай падлогі|дзяўчынка
Твар жаночай падлогі, дасягнулае палавой сталасці, але не якое складаецца ў шлюбе|дзяўчына
Прыслужніца ў панскай, абшарніцкай хаце|дзяўчына
Травяністая ці хмызняковая расліна сямейства сложноцветных са шматлікімі звычайна жоўтымі кветкамі, сабранымі ў суквецце, выкарыстоўванае ў фармакалогіі|дзівасіл
Ігральная карта, што мае дзевяць знакаў, ачкоў|дзявятка
Разнавіднасць гульні ў карты|дзявятка
Кулямёт сістэмы Дзегцярова (у гаворкі вайскоўцаў)|дегтярь
Асноўная характарыстыка судна – поўная яго грузападымальнасць, якая ўключае вага грузаў, людзей на борце, а таксама ўсіх неабходных для плавання запасаў паліва, воды і т. п.|дедвейт
Разнавіднасць поліаміднага валакна, выраблянага ў Нямеччыне|дедерон
Ядро атама дэйтэрыя|дэйтрон
Назва дванаццатага месяца каляндарнага года|снежань
Адміністрацыйна-навучальнае кіраванне факультэта ў вышэйшай навучальнай установе, якое ўзначальваецца дэканам|дэканат
Геаметрычнае цела, абмежаванае дзесяццю плоскасцямі; дзесяцікантовік|дэкаэдр
Выбарны прадстаўнік, упаўнаважаны калектывам, арганізацыяй, дзяржавай|дэлегат
Матэматычнае дзеянне, пасродкам якога вызначаецца, колькі разоў адна колькасць утрымоўваецца ў іншым|дзяленне
Раскладанне аб'ёму радавога паняцця на падпарадкаваныя яму краявідныя (у класіфікацыі паняццяў)|дзяленне
Бясполае размнажэнне ў найпростых арганізмаў, пры якім цела распадаецца на дзве часткі|дзяленне
Лік, якое – у дзеянні дзялення – падвяргаецца дзяленню (у матэматыку)|падзельнае
Марское млекопитающее падатрада зубатых кітоў|дэльфін
Спосаб спартовага плавання на грудзі, пры якім на адзін грабок аберуч робіцца адначасова два ўдару нагамі (разнавіднасць батэрфляя)|дэльфін
Наносы, што запасяцца ў падставы ўзвышшаў у выніку оползания, зносу дажджавымі ці адталымі водамі прадуктаў разбурэння горных парод|дэлювій
Участак зямлі, вылучаны для апрацоўкі (ворывы, сенажаці і т. п.), забудовы, ці ўчастак лесу для высечкі|дзялянка
Продаж тавараў на вонкавым рынку па штучна прыніжаных коштах з мэтай выцяснення канкурэнтаў|дэмпінг
Прылада для ўхілення ці памяншэнні шкодных хвалевых ці механічных ваганняў у машынах, механізмах, прыборах|дэмпфер
Прыстасаванне ў некаторых музычных прыладах для спынення гучання, ваганні струн; глушыцель|дэмпфер
Галінаваны атожылак нервовай клеткі, які ўспрымае імпульс ад іншых нервовых клетак (у анатоміі)|дендрит
Грашовы знак|грашзнак
Грашовыя сродкі ці каштоўныя паперы, змяшчаныя на захоўванне ў крэдытныя ўстанова – банк, натарыяльную кантору і т. п. – і дзейнікі звароту ўнесламу іх твару па наступе вызначаных умоў|дэпазіт
Грашовая сума, уносная даўжніком у судовыя ўстановы для перадачы крэдытору|дэпазіт
Выбарны прадстаўнік, чалец выбарнага органа дзяржаўнай ці мясцовай улады|дэпутат
Выбарны твар, упаўнаважанае для даручэнняў|дэпутат
Конь рысистой ці скаковой пароды, якая ўдзельнічае ў дэрбі|дербист
Сельскае – звычайна невялікае – селішча|вёска
Сельская – у адрозненне ад горада – мясцовасць|вёска
Абшарніцкі прыгонны маёнтак з сядзібай (у Расійскай дзяржаве да 1917 г.)|вёска
Зарасніка дерена|дереняк
Незалежная, самастойная дзяржава|дзяржава
Вытворнае ад чаго-небудзь першаснага; прадукт чаго-небудзь|дэрыват
Вытворнае слова (у лінгвістыцы)|дэрыват
Месца, з якога сняць дзёран|дернище
Цэнтр мішэні ў выглядзе чорнага кружка|дзясятка
Ігральная карта, якая мае дзесяць знакаў, ачкоў|дзясятка
Назва перадапошняй лічбы шматзначнага ліку|дзясяткі
Нявызначана вялікая колькасць каго-чаго-небудзь|дзясяткі
Адзінка рахунку, роўная дзесяці; дзесяць аднолькавых прадметаў|дзясятак
Цэнтральная ўмацаваная частка старажытнарускага горада, абнесеная сценамі; крэмль|дзяцінец
Пакой для дзяцей|дзіцячая
Дзіцячы ўзрост, дзіцячыя гады|дзяцінства
Перавышэнне выдаткаў у параўнанні з прыбыткамі; страта|дэфіцыт
Лагарыфмічная адзінка для супастаўлення значэнняў фізічных велічынь (узроўняў гукавой магутнасці, каэфіцыента ўзмацнення электронных прыбораў і т. п.), роўная адной дзясятай дзелі белая|дэцыбел
Парнакапытная жывёла роды газэляў, якое насяляе ў пустэльнях і паўпустынях Азіі|джэйран
Вязаная кофта без каўняра і зашпілек, напрананая праз галаву|джэмпер
Аднагадовая травяністая расліна роду сорга|джугара
Густыя, цяжкапраходныя лясныя зараснікі тропікаў і субтропікаў|джунглі
Густыя зараснікі|джунглі
Ўсталяванне хваробы на падставе даследавання хворага|дыягназ
Галаўная павязка ці металічны абруч з каштоўных камянёў як знак царскай улады (у старажытнасці); вянок, карона|дыядэма
Жаночае ўпрыгожванне з каштоўных камянёў у выглядзе адкрытай кароны|дыядэма
Разнавіднасць агульнанароднай мовы, што ўжываецца абмежаванай групай твараў, злучаных тэрытарыяльнай, прафесійнай ці сацыяльнай агульнасцю|дыялект
Одзін з самых дробных друкарскіх шрыфтоў (у паліграфіі)|дыямент
Адрэзак прамы, які злучае дзве кропкі акружнасці і праходзілы праз цэнтр (у матэматыку)|дыяметр
Папярочнік любога круглага ці ўяўнага круглым целы, прасторы|дыяметр
Аптычны прыбор для разгледжвання дыяпазітываў, дыястужак і т. п. на светопропускающем экране, убудаваным у прыбор|диаскоп
Вайсковае злучэнне з некалькіх палкоў ці брыгад|дывізія
Выгляд працы па навучанні арфаграфіі і пунктуацыі, які складаецца ў запісванні тэксту пад дыктоўку|дыктоўка
Выснова, што змяшчае два выключальных адзін аднаго становішча, не дапускалых магчымасці трэцяга (у логіцы)|дылема
Неабходнасць выбару аднаго з двух магчымых (звычайна аднолькава цяжкіх) рашэнняў|дылема
Два рамана ці драматычных творы, злучаныя паміж сабою агульнасцю задумы, сюжэту і дзейсных твараў|дылогія
Выбуховае рэчыва, у склад якога ўваходзяць нітрагіцэрын, салетра і іншыя рэчывы|дынаміт
Срэбная манета ў Старажытным Рыме|дынарый
Хімічнае злучэнне, у якім адзін атам элемента злучаны з двума атамамі кіслароду|дыяксід
Карціна, напісаная на які прасвечвае матэрыяле (матавым шкле, тканіны і т. п.) і адмыслова асветленая для стварэння ілюзіі аб'ёмнасці|дыярама
Карціна з аб'ёмным пярэднім планам|дыярама
Высокі дзіцячы голас|дискант
Гукі высокага рэгістра|дискант
Партыя ў тхару ці ў вакальным ансамблі, выкананая высокімі дзіцячымі ці высокімі жаночымі галасамі|дискант
Форма сярэднявечнага двухгалоснага, пазней – шматгалоснага спеву|дискант
Хлопчык-спявак з высокім голасам|дискант
Улік вэксаляў (у банкаўскай практыцы)|дысконт
Адсотак, спаганяемы банкам пры ўліку вэксаляў (у банкаўскай практыцы)|дысконт
Зніжка з кошту тавара ці курсу валюты (у біржавых і валютных угодах)|дысконт
Прылада візуальнага адлюстравання інфармацыі ў выглядзе тэксту, табліцы, чарцяжа і т. п. звычайна на экране электронна-прамянёвага прыбора|дысплей
Спалучэнне двух галосных гукаў, якія вымаўляюцца як адзін склад (у лінгвістыцы)|дыфтонг
Сшытак для запісу зададзеных вучню на хату ўрокаў і выстаўленні адзнак|дзённік
Невялікая частка чаго-небудзь, што дапаўняе взвешиваемое да патрабаванай вагі|даважка
Ўхіленне дэфектаў (звычайна ў новай машыне, новым агрэгаце і т. п.) перад рэштай|даводка
Канчатковая механічная апрацоўка паверхні изготовляемого вырабы|даводка
Думка, здагадка, заснаваныя на верагоднасці, магчымасці чаго-небудзь|здагадка
Дамова (звычайна пісьмовае), усталёўвалае ўзаемныя абавязанні паміж дзяржавамі, установамі, асобнымі тварамі|дамова
Старадаўняе народнае свята ў дзень канчатка жніва|дажынкі
Прылада для аўтаматычнага отмеривания вызначанай колькасці вадкасці ці сыпкіх рэчываў|дазатар
Народ цюркскай этноязыковой групы, які жыве ў Таймырскай аўтаномнай акрузе на поўначы Краснаярскага краю|даўгане
Працягласць, працягласць|даўгата
Адна з каардынат, што вызначаюць становішча кропкі на паверхні Землі, Сонцы, планет і на нябеснай сферы адносна пачатковага мерыдыяна|даўгата
Гусарскі мундзір адмысловага крою, вышываны шнурамі|даламан
Старадаўняя верхняя жаночая адзежа|даламан
Выгляд танічнага верша, рытмічныя радкі якога сувымяраюцца па ліку націскных складоў пры вольнай колькасці і месцазнаходжанні ненаціскных складоў|дольнік
Механізм для ўздыму які абапіраецца на яго грузу на невялікую вышыню|дамкрат
Добры ці злы дух, што жыве – па забабонных уяўленнях – у хаце|дамавік
Вынік домысливания|здагадка
Дадатковая плата|даплата
Дапушчальныя тэхнічнымі нормамі адхілення ад патрабаванага памеру пры вырабе вырабаў|допускі
Адно з асноўных старажытнагрэцкіх плямёнаў|дорийцы
Мытная праверка, агляд асабістых рэчаў, тавараў і т. п.|надгляд
Баявы рыштунак, узбраенне ваяра (даўней)|даспехі
Грашовыя сродкі, якія выдаюцца прадпрыемствам, арганізацыям з бюджэту дзяржавы беззваротна|датацыя
Рачное плоскодонное судна; вялікая лодка для пераправы, перавозу грузаў|дашчанік
Целаахоўнік, чалец ганаровай варты (у мінулым)|драбант
Дзяншчык ці сігнальны афіцэра ў казачых войсках (у Расійскай дзяржаве да 1917 г.)|драбант
Трапічная і субтрапічная дрэвападобная ці хмызняковая расліна сямейства агавовых з вечназялёным доўгім лісцем, некаторыя выгляды якога разводзяцца як дэкаратыўныя|драцена
Механічная чыгуначная каляска з ручным прывадам, аўтамабільным ці матацыклетным рухавіком, прызначаная для перавозкі людзей і грузаў на невялікія адлегласці|дрызіна
Стан, блізкае да сну (звычайна папярэдняе сну)|дрымота
Марское рыбалоўнае судна, прыстасаванае для лоўлі адмысловай сеткай падчас яго дрэйфу|дрыфтар
Одзін шарык дробу|шраціна
Густая, нерастваральная частка сусла|шраціна
