Пяхотнік, узброены крамянёўкай (у войскі Расійскай дзяржавы пачатку ХVIII ст.)|фузилер
Службовае слова, унослае дадатковыя адценні ў значэнні іншых слоў, словазлучэнняў, прапаноў ці служэлае для выраза рознага роду граматычных адносін (у лінгвістыцы)|часціца
Невялікія цвёрдыя макулінкі, з якіх складаецца|часціцы
Прыватны гандляр, прадпрымальнік|прыватнік
Лік, атрыманае ад дзялення адной велічыні на іншую (у матэматыку)|дзель
Велічыня, што выказвае колькасць аднолькавых рухаў, ваганняў і т. п. у адзінку часу|чашчыня
Шматгадовая травяністая расліна сямейства частуховых са стеблевыми лісцем на доўгіх хвосціках і невялікімі кветкамі|шальнік
Вонкавы – звычайна зялёнага колеру – полаг кветкі, які засцерагае яго ад шкодных уздзеянняў у перыяд яго паспявання, у стане бутона|кубачак
Надколенная круглая костка|кубачак
Смажаны ў масле плоскі піражок з прэснага цеста з начыннем з барановага фаршу і вострымі заправамі|чабурэк
Рэльефны малюнак на паверхні металічных вырабаў|чаканка
Ўдарна-клавішная музычная прылада, што ўяўляе сабою набор металічных пласцінак, з якіх пры дапамозе ўдарнага молоточного механізму, забяспечанага клавіятурай, здабываюць гукі, якія нагадваюць звон званка|челеста
Жывая істота, у адрозненне ад жывёлы што валодае дарма гаворкі, думай і здольнасцю вырабляць прылады працы і карыстацца імі|чалавек
Уладальнік лепшых інтэлектуальных ці маральных якасцяў|чалавек
Любы твар; усякі|чалавек
Кожная з дзвюх асабовых костак, у якіх умацаваны зубы|сківіца
Пласцінка са штучнымі зубамі верхняга ці ніжняга шэрагу; зубны пратэз|сківіца
Старадаўняя адзежа тыпу сурдута ці казакіна|чемарка
Скрынка з прымацаваным якое замыкаецца вечкам, выкарыстоўваная для перавозкі рэчаў, зробленая са скуры ці трывалага матэрыялу|валізка
Званне пераможца спаборніцтваў па выглядзе спорту|чэмпіён
Жывёла, што атрымала вышэйшы прыз на адмысловай выставе ці ў спаборніцтвах|чэмпіён
Травяністая цыбульная расліна сямейства лилейных з шырокім лісцем і белымі кветкамі; дзікарослы часнык|чарэмшына
Падстава, ножка, сцяблінка|тронак
Сучок пладовага дрэва, прызначаны для прышчэпкі дзічкі|тронак
Сучок пладовага дрэва, які саджаецца ў зямлю і давальны карані|тронак
Абломак, аскепак пабітага глінянага, парцалянавага, фаянсавага і т. п. вырабы|чарапок
Пладовае дрэва сямейства розоцветных з буйнымі сакавітымі костачкавымі ягадамі|чарэшня
Назва кабардынцаў, якія жывуць у Карачаево-Чаркесіі|чэркесы
Дробны дзікарослы хмызняк сямейства брусничных з чорнымі ядомымі ягадамі|чарніца
Водны раствор што фарбуе рэчыва, які ўжываецца пры лісце|чарніла
Яркі чорны ці цёмны колер|чарноцце
Прылада для часання лёну, шарсці і т. п.|часалка
Інфекцыйнае скурнае захворванне, якое выклікаецца пранікненнем карослівага кляшча ў скуру чалавека ці жывёлы і праяўляльнае ў выглядзе пузырьковой сыпы і моцнага свербу|кароста
Назва чацвёртага пасля нядзелі дня тыдня|чацвер
Гульня, у якой гульцы па чарзе скачуць праз сваіх партнёраў, што стаяць у сагнутым становішчы ці на карачках|чахарда
Народ Паўночнага Каўказа, які складае асноўнае насельніцтва Чачні|чачэнцы
Невялікая пявучая птушка сямейства вьюрковых|чачотка
Самка чечета|чачотка
Танец, што адрозніваецца вельмі дробным, дробавым і частым пристукиванием ног пра падлога|чачотка
Адна пласцінка лускі|лускавінка
Пласцінка ахоўнага полага на крылах некаторых казурак|лускавінка
Валакно вышэйшага гатунку, якое атрымліваецца пасля часання|чесанец
Птушаня чырка|чыраня
Чалец-карэспандэнт Акадэміі навук|чалецкар
Асаблівасць вымаўлення, што складаецца ў неразличении гукаў [ц] і [ч], у вымаўленні [ч] на месцы [ц], характэрная для шэрагу рускіх гаворак (у лінгвістыцы)|чокание
Конь, які мае цёмныя плямы на светлай поўсці ці плямы поўсці іншага колеру|стракаты
Стан, у якім чалавек здольны ўсведамляць атачальнае, валодаць сваімі душэўнымі і фізічнымі здольнасцямі|пачуцці
Здольнасць дзейна перажываць штосьці, адгукацца на жыццёвыя ўражанні, спагадаць чаму-небудзь|пачуцці
Здольнасць жывой істоты ўспрымаць вонкавыя ўражанні|пачуццё
Самы працэс адчування, успрыманні|пачуццё
Псіхафізічны стан жывой істоты, тое, што яно выпрабоўвае, адчувае|пачуццё
Чужы бок, зямля|чужына
Прыбор для вымярэння адлегласці ў кроках; педометр|крокамер
Прыбор для вымярэння велічыні кроку разьбы, зубчастага кола і т. п.|крокамер
Мяккая шурпатая скура – козлиная, барановая, конская і т. п. – з малюнкам, якія нагадваюць натуральны малюнак козлиной скуры|шчыгрын
Плоскодонная мелкосидящая баржа, прызначаная для перавозкі зямлі, пяску, а таксама ў рыбнай гаспадарцы для разгрузкі і нагрузкі судоў ці для дастаўкі рыбы да месца яе апрацоўкі|шаланда
Плоскодонная ветразная рыбалоўная лодка|шаланда
Ўчынак дзеля забавы, вясёлае свавольства, выхадка|свавольства
Парода трусаў мяса-шкурковой прадуктыўнасці|шампань
Вадкі ці гелепадобны мыйны сродак, вырабленае з выкарыстаннем адмысловых маслаў, духмяных рэчываў і іншых дадаткаў|шампунь
Аднагадовая садовая расліна сямейства сложноцветных з жоўтымі і памяранцавымі кветкамі|капялюшыкі
Прылада, што нагадвае фрэзу ці набор фрэз, якім апрацоўваюць паверхню каменя, вырабляюць ачыстку ад іржы і т. п.|шарошка
Гатунак дужага духмянага лікёру|шартрэз
Жанчына з цёмна-русымі валасамі|шатэнка
Гульня паміж двума супернікамі па вызначаных правілах 32 адмысловымі постацямі – па 16 белых ці чорных постацяў напачатку гульні ў кожнай з бакоў – на квадратнай дошцы, падзеленай на 64 светлыя і цёмныя клеткі|шахматы
Трос ці ланцуг для падцягвання і мацаванні судна навошта-або падчас стаянкі|швартов
Брамнік, парцье, вартаўнік у знадворных дзвярэй гасцініцы, у пад'ездах устаноў і жылых хат|швейцар
Перасек металічных ці жалезабетонных бэлек, формай якое нагадвае літары “П”|швелер
Лёгкае рассоўнае крэсла, у якім можна напаўляжаць|шэзлонг
Сістэма ўдасканалення, карэктоўкі жаночай постаці з дапамогай фізічных практыкаванняў, масажу, дыеты і т. п.|шэйпінг
Звернутая да каня частка нагі вершніка ад калена да шчыкалаткі, якая служыць для кіравання канём|шэнкель
Пабудова, калі людзі ў ладу стаяць на адной лініі, адзін поруч іншага і тварам звернутыя ў адзін бок|шэраг
Доўгі шэраг прадметаў|шэраг
Буйнае перепончатокрылое што джаліць казурка сямейства вос (звычайна жоўтай афарбоўкі з чырвона-бурым адценнем)|шэршань
Масавае ўрачыстае мінанне людзей у сувязі са знамянальнай падзеяй ці паводле звычаю, абраду; працэсія|шэсце
Грамадская дзейнасць па аказанні сістэматычнай таварыскай дапамогі|шэфства
Ангельская манета, роўная 1/20 фунта стэрлінгаў|шылінг
Грашовая адзінка Аўстрыі, роўная 100 драбязе|шылінг
Грашовая адзінка некаторых афрыканскіх краін (Кеніі, Танзаніі і т. п.), роўная 100 цэнтам|шылінг
Невялікая вадзяная расліна з шиловидными лісцем|шильник
Адмысловы шчыток з тканіны ці скуры з пракладкай, напрананы на галёнку для абароны ад удараў у некаторых спартовых гульнях|шингард
Згодны гук, які ўтвараецца з характэрным для яго шумам (у лінгвістыцы)|шыпячы
Расцяг тканіны на адмысловых машынах, прыстасаваных для аднаўлення стандартнай шырыні, ліквідацыі перакосаў і т. п. (у тэкстыльнай вытворчасці)|ширение
Дэкаратыўная дэталь афармлення будынкаў у выглядзе паглыбленага квадрата, нярэдка з устаўкамі з каляровых кафляў (у архітэктуры)|шырынка
Прашытая ці ўстаўленая паласа тканіны ад кроку да верха ў пярэдняй частцы портак, штаноў|шырынка
Разрэз у пярэдняй частцы портак, штаноў|шырынка
Галосны гук, які ўтвараецца пры нізкім уздыме мовы і вялікім расчыненні рота (у лінгвістыцы)|шырокі
Што падсмажыліся цвёрдыя кавалачкі, пакінутыя пасля вытапливания сала|скваркі
Гэбель з падвойным лязом для чыстай габлёўкі|шліхтубель
Прылада для прабівання адтулін у каменных і бетонных частках будынкаў і збудаванняў у выглядзе сталёвай трубкі са шчарбінамі на канцы|шлямбур
Польскі дробнамаянтковы дваранін|шляхціч
Тонкая отбивная катлета|шніцаль
Вялікая сечаная катлета|шніцаль
Парашок – звычайна з цукрам і рэзкімі затаўкамі – з расцёртага насення какавы, які ідзе на выраб кандытарскіх вырабаў|шакалад
Спартовец, што займаецца фехтаваннем на шпагах|шпажыст
Шчыт ці рашотка, па якіх уюцца расліны ці да якіх прывязваюцца галіны дрэў для надання ім вызначанай формы|шпалера
Прылада ў выглядзе лапатачкі для нанясення і выраўноўванні шпаклявання|шпатэль
Тупы нож з вельмі тонкай і гнуткай сталі, выкарыстоўваны для змешвання алейных фарбаў на палітры ці замест шырокага пэндзля для накладання фарбы на палатно|шпатэль
Лапатачка для прытрымлівання мовы пры аглядзе рота, зяпы|шпатэль
Прыстасаванне для закалывания волас у прычосцы ў выглядзе сагнутай напалову правалокі ці двузубчатой вилочки|шпілька
Доўгая шпілька з галоўкай для прикалывания жаночых капялюшоў|шпілька
Шавецкі цвік з падвойным капялюшыкам|шпілька
Стрыжань са шрубавай нарэзкай для змацавання дзвюх дэталяў (у машынабудаванні)|шпілька
Выгляд ізаморфнага мінерала, звычайна чырвонага колеру, некаторыя разнавіднасці якога з'яўляюцца каштоўнымі камянямі|шпинель
Злачынная дзейнасць, якая складаецца ў зборы сакрэтных звестак, выкраданні матэрыялаў, што з'яўляюцца дзяржаўнай ці ваеннай таямніцай, і перадачы іх замежнай дзяржаве|шпіянаж
Шпулька ў машынах – швейных, прядильных, ткацкіх – для намотвання нітак, прадзіва|шпулька
