Сінонім лепра (мёд.)|свавольства
Славянскі дух, які карае за парушэнне звычаяў|дамавік
Славянскі край, што згадваецца Герадотам|Неврида
Славянскі асветнік, стваральнік славянскай азбукі (ок. 815–885)|Мяфодзій
Салодасны стан, якое нападае на супрацоўніка пасля смачнага абеду|дрымота
Салодкая маса з працёртых і звараных з цукрам пладоў|павідла
Салодкая настойка на садавіне, ягадах|наліўка
Салодкая фруктовая маса|павідла
Салодкая страва з садавіны, ягад|варэнне
Салодкае грэцкае брэндзі|метакса
Салодкае мацаванае вінаграднае віно|портвейн
Салодкая страва з ягад ці садавіны з цукрам|варэнне
Салодкі лікёр на аснове садавіны|кордиал
Салодкі мядовы лікёр|мараскін
Салодкі напой з застылай масы какавы з цукрам|шакалад
Салодкі ахаладжальны напой, звычайна з цытрынавым сокам|ліманад
Слайдоскоп|диаскоп
Сланцавая горная парода|милонит
Сланцавая метамарфічная горная парода|милонит
След, што пакідаецца плугам пры ворыве|разора
Следства карозіі металу|іржа
Следства недахопу тавараў|чарга
Прытрымліванне традыцыям у навуцы і мастацтве|акадэмізм
Слязістае рэчыва, якое ўтвараецца пры гарэнні тлушчу|акралеін
Пластовы торт, названы ў гонар французскага імператара|напалеон
Словы ці грамматич. канструкцыі, цалкам ці збольшага супадальныя па сэнсе|сінонімы
Словы, якія маюць аднолькавае гучанне, але рознае значэнне|амонімы
Слоўнікавы склад твора|лексіка
Слоўнікавы склад мовы, якога-небудзь стылю, сферы, таксама чыіх-небудзь твораў, асобнага твора|лексіка
Слоўнікавы запас мовы ў цэлым, а таксама характэрны для вызначанай прадметнай вобласці|лексікон
Слоўнік ці збор дадзеных, цалкам што ахоплівае тэрміны, паняцці якой-небудзь адмысловай сферы|тэзаўрус
Слоўнік мовы, цалкам адбівалы ўсю яго лексіку|тэзаўрус
Слоўнік, які адлюстроўвае сэнсавыя адносіны паміж лексічнымі адзінкамі|тэзаўрус
Слоўнік, пабудаваны па тэматычным прынцыпе|тэзаўрус
Славесная шчыліна|выкрут
Славеснае пазначэнне рэчы, з'явы|назва
Славесны выклад якіх-небудзь падзей|аповяд
Славесны абмен меркаваннямі, гутарка|гутарка
Славесны тэкст оперы|лібрэта
