Вонкавае апраўленне аркі|бонивур
Научн. выданне матэрыялаў, публікуемых да выйсця ў святло выдання|препринт
Навуковая ступень|акадэмік
Навуковая ступень|магістр
Навуковая аснова рацыянальнага прыродакарыстання і аховы прыроды|экалогія
Навуковая дысцыпліна, частка геалогіі|геахімія
Навуковая дысцыпліна|біяхімія
Навуковая дысцыпліна|медыцына
Навуковая тэорыя|дактрына
Навукова абгрунтаваныя прадказанні, здагадкі пра далейшы ход падзей|прагноз
Навукова-папулярны раман акадэміка В. А. Обручева|плутонія
Навукова-асветная ўстанова, у якім утрымоўваюць у няволі дзікіх жывёл|заапарк
Навукова-тэхнічны супрацоўнік лабараторыі, навуковай установы|лабарант
Навуковае складанне, напісанае ў форме развагі і прысвечанае вызначанаму пытанню ці праблеме|трактат
Навуковая ці навучальная ўстанова|акадэмія
Навуковая назва жаўтухі|гепатыт
Навуковае, творчага збор, прысвечанае абмеркаванню вызначаных пытанняў|семінар
Навуковая праца па асобным пытанні, праблеме|трактат
Набор ударных музычных прылад|талеркі
Набор лекаў для аказання першай дапамогі|аптэчка
Набор мэблі|гарнітур
Набор прадметаў туалета ў футарале|несэсэр
Набор прадметаў, службоўцаў для якой-небудзь адной мэты|гарнітур
Набор прыладдзя для туалета, швіва|несэсэр
Набожнасць, святыня|рэлігія
Набокава часта параўноўвалі з ім. І ён зашыфраваў яго прозвішча ў “Адзе” ў выглядзе Осберх|Борхес
Накід убаку ад асноўнага малюнка|рэмарка
Набіваючы яе, камусьці надакучаеш|аскома
Назіраная вонкавая прыкмета хваробы|сімптом
Назіральнік адбывалага з боку|глядач
Наглядальная вышка ў будынку пажарнай часткі|каланча
Наглядальная вышка над будынкам пажарнай часткі|каланча
Падстрэшак у акна для абароны ад сонца|маркіза
Падстрэшак над царкоўным алтаром|полаг
Падстрэшак, строй над тронам, церк. алтаром, пасцеляй|полаг
Навясныя байніцы|машикули
Наваксаваная папера для раскочвання алейнага цеста|вашчанка
Навий дзень|радаўніца
Дыхт, вымова|лупцоўка
Галізна|галізна
Нарыхтаваць малацьбой (сущ. ад глаг.)|намалот
Узнагарода|адрозненне
Нагрэў вадкасці вышэй яе кропкі кіпення|перагрэў
Награвальны прыбор у сістэме апалу|радыятар
Награвальны прыбор|керогаз
Нагнятанне цементн. раствора ў горную пароду|тампанаж
Нагнаенне ў тканіны, нойник|нарыў
Надсемейство дзённых матылькоў|агнёўкі
Надбудова над сярэдзінай хаты|мезанін
Надбудова над сярэдняй часткай жылой хаты, часта з гаўбцом|мезанін
Надрадковая коска|апостраф
Надрадковы знак|апостраф
Надрадковы значок, у рускай мове зрэдку употр. для замены опускаемой пры вымаўленні галоснай, шырэй ужываецца ва ўкраінскім і шэрагу інш. моў|апостраф
Надзейны таварыш па барацьбе, дзейнасці|паплечнік
Надрезание дрэва для вымання жывіцы, соку|падсочка
Надуманы, няздзейсны праект|пражэкт
Надмагілле, звычайна ў выглядзе каменнай труны|саркафаг
Надмагільны надпіс, звычайна ў вершах|эпітафія
Надмагільны палац ці манументальнае збудаванне|маўзалей
Надземная дарога|эстакада
Нагляд за друкам і сродкамі масавай інфармацыі, які дазваляе ці забараняльны публікацыю матэрыялаў|цэнзура
Пыха, фанабэрыстасць|пыха
Надпісы з перакладам тэксту ў ніжняй частцы экрана пры дэманстрацыі замежных фільмаў|субтытры
Надпіс на помніку ў інш. Грэцыі|эпіграф
Надпіс на посудзе ў савецкіх сталовых|агульнахарч
Наземны малюск атрада стебельчатоглазых|смоўж
Наземны малюск, не мелы ракавіны|смоўжань
Назв. внутр. укрепл. у рус. ср.-стагоддзе. горадзе (з 14 ст. – крэмль)|дзяцінец
Назв. гарады Целиноград да 1961 г.|Акмолинск
Назва денги Пскова, якая чаканілася з 1424–1425 гг.|псковка
Назва старажытных шахмат на Ср. і Бл. Усходзе|шатранг
Назва кітайскіх імператараў у рускіх граматах 16–17 стст.|багдыхан
Назва мястэчка, на месцы якога пабудаваны МЛТИ (МГУЛ)|Тытуннік
Назва Арменіі самімі армянамі|Хайастан
Назва амерыканскіх цыгарэт|мальбара
Назва антыгерманскай кааліцыі ў першую сусветную вайну|антанта
Назва самага вялікага ў свеце судна, патанулага ў Атлантычным акіяне|тытанік
Назва серебр. денария ў рымскіх пісьменнікаў (Лівій, ліній)|аргентеус
Назва супу і мясной стравы|салянка
Назва віхраслупу, свідруй у ЗША|тарнада
Назва старадаўняга выдання, збор кіраваў паводзін|хатабуд
Назва старадаўняга выдання|апостал
Назва старадаўняга выдання|вульгата
Назва старадаўняга выдання|звон
Назва старадаўняга выдання|летапіс
Назва старадаўняга выдання|свісток
Назва старадаўняга выдання|труцень
Назва старадаўняга выдання|фізіёлаг
Назва сталіцы Інданэзіі Джакарты (горад у Азіі)|Батавія
Назва Крымскага п-у амбасадару яго присоед-я да Рос. у 1783 г.|Таўрыда
Назва о. Вялікдні на мове мясцовых жыхароў|Рапануи
Назва абменнай рэакцыі паміж рэчывам і вадой|гідроліз
Назва аднаго з месяцаў года|кастрычнік
Назва аднаго з ракета-носьбітаў, створаных у Расіі|энергія
Назва афіцэрскага знака адрознення на пятліцах у Чырвоным Войску да 1943 гады|квадрат
Назва розных тэхнічных прылад у форме цыліндру ці наогул падоўжаных|калонка
Назва рус. дзяржавы ў иностр. крыніцах 16 ст.|Масковія
Назва рускага тэкставага рэдактара (компьют.)|лексікон
Назва кіраўнічых дзярж. пасад у шэрагу краін, напр., у Нямеччыне і Аўстрыі|канцлер
Назва рыб атрада иглобрюхообразных|вожыкі
Назва шэрагу інфармацыйных і пасродніцкіх арганізацый|агенцтва
Назва шэрагу мінералаў класа сульфідаў|падманка
Назва паглыблення перад сцэнічнай пляцоўкай у тэатры|аркестр
Назва ўмацаваных замкаў ці палацаў у Іспаніі|алькасар
Назва ўмацаваных замкаў ці палацаў у Іспаніі|магуайер
Назва вуліцы ў Маскве, злучанай з ваеннымі гульнямі Пятра I|Пацешная
Назва Валгаграда да 1925 г.|Царицын
Назва Старажытнай Русі ў ХIV–ХV стст.|Масковія
Назва Джакарты да 1949 г.|Батавія
Назва Парыжа да 3 стагоддзі н. э.|Лютэцыя
Назва баявых судоў вікінгаў|дракары
Назва ў сярэднявечча Сафіі|Сердика
Назва вярхоўнага суда ў старажытных Афінах|арэапаг
Назва г. Кемерава ў 20-х гадах|Щегловск
Назва г. Белгарад-Днестровский да 1944, Украіна, Адэская вобл., порт на Днестровском лімане (горад)|Аккерман
Назва дзяржаўнага органа, які здзяйсняе нагляд за пабудовай і эксплуатацыяй судоў|рэгістр
Назва горада Раквере (Эстонія) у рус. летапісах|Ракобор
Назва горада Белгарад-Днестровский да 1944 гады|Аккерман
Назва горада і азёры ў Канадзе|Виннипег
Назва горнай выпрацоўкі|ходня
Назва грузавога касмічнага карабля|прагрэс
Назва групы музыкаў|ансамбль
Назва палаца, у якім былі збудаваны парадныя і жылыя палаты для цара Міхася Фёдаравіча ў ХVI ст.|теремный
Назва якога-небудзь твора ці асобнай яго часткі|загаловак
Назва кітайскіх імператараў, прынятае ў рускіх граматах 16–17 стст. і ў іншай літаратуры|багдыхан
Назва матроскай песні, а таксама танца|яблычак
Назва мясцовасці ў лукавіне Масквы-рэкі|лужнікі
Назва мясцовасці, у якой нарадзіўся Гермес|Аркадзя
Назву манеты, папскага гроса 16 ст., чаканенага ў Балонні|габелла
Назва некалькіх версальскіх палацаў|трианон
Назва некаторых аркестраў|капэла
Назва некаторых адукацый у жывым арганізме|прыдатак
Назва некаторых рэлігійных арганізацый, грамадстваў|братэрства
Назва некаторых устаноў, прадпрыемстваў адмысловага прызначэння, абсталяваных навуковай і іншай апаратурай|станцыя
Назва некаторых дзікіх і дэкаратыўных травяністых раслін сямейства гваздзіковых з ярка-жоўтымі і чырвонымі кветкамі|светнік
Назва некаторых інфармацыйных, пасродніцкіх і т. п. устаноў|агенцтва
Назва некаторых кафэ-кандытарскіх|ласуха
Назва некаторых міжнародных дамоў|трактат
Назва некаторых прафесійных звязаў|гільдыя
Назва некаторых травяністых раслін з жоўтымі кветкамі|кураслеп
Назва партызанскай вайны ў Іспаніі|герилья
Назва партый, рухаў, выбарных органаў у некаторых краінах|канвент
Назва пальца|мезенец
Назва першага дня месяца ў старажытных рымлян|календы
Назва першых папяровых грошай, уведзеных у Аўстрыі ў 1762 г.|банкоцеттель
Назва перыядычнага выдання, тоўсты часопіс|кастрычнік
Назва перыядычнага выдання|гарызонт
Назва перыядычнага выдання|кракадзіл
Назва перыядычнага выдання|Масква
Назва перыядычнага выдання|прырода
Назва перыядычнага выдання|аднагодак
Назва падраздзялення міліцыі, з якога можна выказаць здагадку, што яны шукаюць вугорцаў|крымвышук
