Спецыялізацыя пісьменніка|фантаст
Спорт. грузапад'ёмнік|штангіст
Спорт. інвентар|гантэлі
Спорт. інвентар|ракетка
Спорт. калектыў|каманда
Спорт. лодка|байдарка
Клас спартовых яхт|зорны
Клас спартовых яхт|аптыміст
Клас спартовых яхт|темпест
Клас спартовых яхт|тарнада
Спортсм., дуль. катанне|Шишкова
Спартовец (барацьбіт, баксёр, цяжкаатлет) лёгкай вагавай катэгорыі|лёгкаатлет
Спартовец, які займаецца веславаннем|канаіст
Спартовец, адмысловец па ўзняцці цяжараў|гіравік
Спартовец, удзельнік аўтамабільных спаборніцтваў|раллист
Спартовец, удзельнік каманднай гульні|хакеіст
Спартовец, што бегае на кароткія дыстанцыі|спрынтар
Спартовец, бягун|спрынтар
Спартовец, выступоўца ў замежным клубе|легіянер
Спартовец, які займаецца ўзняццем цяжараў, практыкаваннямі з гірамі|гіравік
Спартовец, што мае лепшыя шанцы на перамогу ў спаборніцтве|фаварыт
Спартовец, які ад ветра пампуецца|яхтсмен
Спартовец-адзінаборац|каратист
Спартовец-плывун, які плавае стылем трус|краліст
Спартоўка, артыстка цырка|акрабатка
Спартоўка, што займаецца бегам|бягунка
Спартоўка, фігурнае катанне|Ельцова
Спартовае шабля|эспадрон
Спартовая спецыялізацыя алімпійскага чэмпіёна Аляксея Немова|гімнаст
Спартовая гульня з ракеткамі|бадмінтон
Спартовая гульня з мячом|валейбол
Спартовая гульня з мячом|софтбол
Спартовая гульня ў мяч дзвюх каманд, па правілах якой дазваляецца гуляць толькі рукамі|гандбол
Спартовая гульня ў мяч на педальных машынах|велобол
Спартовая гульня, аблюбаваная амерыканцамі|рэгбі
Спартовая гульня|керлинг
Спартовая ці турысцкая лёгкая лодка без уключын, якая мае двухлопасцевыя вёслы|байдарка
Спартовая каманда, што выступае ад імя краіны|зборная
Спартовая каманда, часам змушаная гуляць у палітычныя гульні|зборная
Спартовая камандная гульня з мячом і ракеткамі-клюшкамі на травяным полі|лякросс
Спартовая камандная гульня з мячом і бітай|бейсбол
Спартовая камандная гульня: род футбола на матацыклах|мотабол
Спартовая камандная гульня|гандбол
Спартовая лёгкая лодка|байдарка
Спартовая лодка|байдарка
Спартовая настольная гульня|шахматы
Спартовая прафесія|дзюдаіст
Спартовае амплуа С. Бубки|шестовик
Спартовае збудаванне для веласіпедных гонак|веладром
Спартовае збудаванне для выканання скачкоў на лыжах|трамплін
Спартовае збудаванне на Вараб'ёвых горах у Маскве|трамплін
Спартовае спаборніцтва розных па класе ўдзельнікаў з папярэднім раўнаваннем шанцаў на перамогу|гандикап
Спартовае стрэльбішча|лукодром
Спартовы занятак кручэння абруча вакол стану|хулахуп
Спартовае ветразнае одномачтовое мелкосидящее судна з высоўным кілем|швертбот
Спартовыя змаганні, у якіх больш слабому суперніку падаецца фора|гандикап
Спартовыя гонкі на микролитражных аўтамабілях|картынг
Спартовы снарад|граната
Спартовы снарад|ракетка
Спартовы спосаб рыбнай лоўлі|нахлыст
Спартовы каментатар на тэлебачанні (жанчына)|Еремина
Спартовы кідала|дыскабол
Спартовы паядынак|сустрэча
Спартовы плыток|акваплан
Спартовы трыбунал|стадыён
Спартовы фільм, падчас якога аўтамабіль з Алегам Янковским і Яўгенам Лявонавым патрапіў на трасе ў аварыю|гоншчыкі
Паплечнік Багдана Хмяльніцкага па імі Максім|крыванос
Паплечнік Жырыноўскага|ліберал
Даведкавая кніга|слоўнік
Даведкавае выданне рэкламнага характару|праспект
Даведкавае выданне|слоўнік
Спуск на санках па адмысловай трасе|натурбан
Спускавы гаплік у паляўнічай стрэльбе|сабачка
Спадарожнік Сатурна|Гіперыён
Спадарожнік Нептуна (адкрыты ў 1989 г.)|Ларисса
Спадарожнік ручных гадзін|бранзалет
Спадарожнік ручных гадзін|папружка
Спадарожнік Урана, адкрыты з Зямлі|Міранда
Спадарожнік Урана, адкрыты з Зямлі|Титания
Спадарожнік Урана, адкрыты з Зямлі|Умбриэль
Спадарожнік Урана|Белинда
Спадарожнік Юпітара, адкрыты С. Нікалсанам у 1938 г.|Лиситея
Спадарожнік Юпітара|Адрастея
Спадарожнік Юпітара|Гималия
Спадарожнік бога віна і весялосці, юрлівае лясное бажаство ўрадлівасці з козлиной галавой (греч. міф.)|сатыр
Спадарожнік у дарозе|спадарожнік
Спадарожнік і змоўшчык лісы Алісы|Базилио
Спадарожнік па няволі|канваір
Спадарожнік планеты Сатурн|Праметэй
Спадарожнік планеты Сатурн|Эпиметий
Спадарожнік планеты Няптун|Галатэя
