І “напалеон”, і “палена”?|торт
Як вядома, прафесійная прыказка краўцоў – “сем разоў адмерай, адзін раз адрэж”. Людзі якой прафесіі кажуць: “Сем разоў падумай, адзін раз адрэж”?|хірургі
Як вядома, сафія – значыць “мудрасць”. А як клікалі траіх дочак пакутніцы Сафіі, пакараных разам з ёй у Рыме ва 2 павеку?|Вера Надзея Каханне
Як вядома, у чукч добрыя песні. А што сказаў італьянскі мастак ХVI ст. Корреджо, калі ўбачыў карціну Рафаэля “Святая Цэцылія”?|я таксама мастак
Як мы завём тое, што ў княжых садах Яраслава Мудрага ганарліва называлі “ягрус”, “берсень” ці “крыж”?|агрэст
Як завецца ліст шчыльнай паперы, пакрыты пластом абястлушчанага насення “синапсис арренсис”?|гарчычнік
Як ні дзіўна, але гэты геаграфічны тэрмін адбыўся ад рускага слова, які азначае “вялікі, дужы, моцны”, цяпер што ўжываецца ў адносінах да некаторых драпежнікаў. Што ж гэта?|мацярык
Як перакладаецца слова “анёл”?|веснік
Як па-старажытнаіндыйску будзе “рака”?|інд
Як раней на Русі звалі вавёрчына гняздо, калі адзін з райцэнтраў пермскай вобласці завецца “вавёрчыны гнёзды”?|гайно
Як, па-вашаму, гучыць на ненецкай мове “канец зямлі”?|Ямал
Неяк вялікі палітык Отто Бісмарк адзначыў: “Людзям уласціва больш за ўсё маніць пасля палявання, падчас шпацыру і перад ...”. Перад чым? “перад ...”|выбарамі
Неяк на трапезе ў знакамітага чалавека блазан сказаў: “Благословен бог, які стварыў гэтак дасканалую сферу”. Пра што ж ён так сказаў? “о ...”|яйку
Якія “жалуды” растуць у нас ва ўваходу ў глотку?|гланды
Якія побытавыя вырабы першай выпускала фірма пад назвай “адзінства”?|унітаз
Якія рэцэпты сабраны ў сусветна вядомай “паваранай кнізе анархіста”?|рэцэптуры выбуховак
З якім прозвішчам былі злучаны падзеі расійскай гісторыі, якія канцлер і гетьман Польшчы Ян Замойский назваў “рымскай камедыяй”?|Лахманоў
Якім вядомым усім тэрмінам, у вялікай ступені распаўсюджаным цяпер на чыгунцы, завецца аўтамабіль з кузавам тыпу “двухдверный седан”?|купэ
Якім напоем вядомы выспа, які індзейцы завуць “выспай крыніц”?|ромам
Якім словам Вільгельм Марр не зусім, праўда, сапраўды, замяніў нямецкае паняцце “юденхасс”?|антысемітызм
Якая ў Малайзіі пасада чалавека, поўны тытул якога гучыць так: “дзьмулі янг маху мулиа шри подуна багинда янг дзі пержуан агунг”?|кароль
Якое паходжанне слова “псік”?|прыбярыся
Якога савецкага пісьменніка калегі звалі “доктар Фаўст”?|Паўстоўскага
Якая страва, уласнаручна прыгатаванае Надзяй Шевельковой, ганаравалася непахвальных эпітэтаў “гадасць” і “стрыхнін”?|заліўная рыба
Якая жывёла Бярнард Гржимек назваў “адзіным абаронцам сланоў і зебр у тых выпадках, калі чалавек спрабуе адабраць у іх радзіму”?|цэцэ
Якая жывёла намалявана на карціне Леанарда ды Вінчы “Дама з гарнастаем”? Афрыканскі тхор ...|фура
Які будынак у Ханоі амерыканскія салдаты ахрысцілі ханойским “Хілтанам”?|турму
Якое імя азначае “прысвечаны грэцкай багіні палявання і месяцы”?|Арцём
Якое месца пакут перакладаецца з арамейскага як “чэрап”?|Галгофа
Які твор рускага класіка белетрыст Казімір Баранцевич перарабіў у драму “Апрыччына”?|князь Срэбны
Якая расліна завуць “кветку гарадской бядноты”?|герань
Якое слова ў рускай мове ўрэшце выцесніла паняцце “тучерез”?|хмарачос
Якое слова ў слоўніку Даля вызначаецца як “воз якой-небудзь асаблівай прылады, рухомая не канямі, а сілаю на ёй прыстасаванаю”?|самакат
Якое слова пачынаецца на “як” і канчаецца на “як”?|як
Якое слова, якое адсутнічала ў ХII павеку ў рускай мове, замянялася словам “деньнощие”?|суткі
Якое слова, па меркаванні некаторых этымолагаў, адбылося ад граматычнага лацінскага тэрміна “герундый”?|глупства
Якое судна сваёй згубай здолела зарабіць 11 “оскараў”?|тытанік
Якая ўмова павінна быць выканана абавязкова, каб вы маглі быць узнагароджаны амерыканскай ваеннай узнагародай – знакам “пурпурное сэрца”?|раненне
Які “камень” навукі “грызуць” студэнты?|граніць
Які выгляд спорту завуць жартам “поціск рукі да перамогі”?|армрэслінг
Які горад Бальзак назваў “паўночным Рымам”?|Кіеў
Які дзень лічыўся днём бога, “прафесійнай” адмысловасцю якога было забяспечыць зямлю-матухну жыватворнай вільгаццю?|чацвер
Які лайнер упершыню сфатаграфавалі на дне з падводнай лодкі “альвин”?|тытанік
Які нязменны атрыбут гульні “Што? Дзе? Калі?” мае малайзійскае паходжанне?|гонг
Які перыяд Анатоль Франс зваў “увесну чалавечага розуму”?|рэнесанс
Які спартовы тэрмін азначае “парушэнне падчас гульні”?|фол
Які будаўнічы матэрыял мае “чырвоны выгляд”?|руберойд
Які эпітэт у назвах устаноў займае ў алфавітна-прадметным паказальніку “ўся Масква за 1929 год” некалькі старонак?|чырвоны
Якому “маляню” неяк атрымалася зняць званы са званіцы сабора парыжскага богамаці?|Гаргантюа
Якому слову ў “слоўніку парадаксальных вызначэнняў” Віктара Кротова дадзена такое вызначэнне: “чалавек, здольны растлумачыць, чаму ў гэтым слове пішацца два «л»”?|інтэлігент
Якую біблейскую запаведзь, па меркаванні Фрыдрыха Ніцшэ, трэба разумець як “пакінь яго ў супакоі”?|умілуй блізкага свайго
Якую дысцыпліну італьянскі тэолаг ХVI ст. Цэзар Бароний вызначаў як “прыслужніцу багаслоўя”?|філасофію
Якую асноўную мэту пераследвала грамадства “ілюмінатаў”, створанае ў Францыі ў ХVII павеку?|асвета
Якую ролю гуляў кароль Францыі Людовік ХIV у спектаклі “каралеўскі балет ночы”?|сонца
Якую краіну рымляне звалі “Калядонія”?|Шатландыя
Кан пі ў перакладзе з кітайскага азначае літаральна: “каб рака змялела!” назавіце рускі аналог гэтага выраза|пі да дна
Карэлаў Чапек апісваў іх як “камедыі, спрасаваныя ў секунды”. А што, паводле аднаго іх іх, павялічылася ў шматлікіх з іх у параўнанні, напрыклад, з пачаткам стагоддзя?|бароды
Карл Линней падзяліў жывёльны свет на 6 класаў: чацвераногія, птушкі, рэптыліі, казуркі. Два пакінутых класа лёгка назавуць прыхільнікі так званага “другога палявання”|чарвякі і рыбы
Картачны ўльтыматум|даве
Кім быў па родзе заняткаў чалавек, па асабістай замове якога ёзэф гайдн склаў “менуэт быка”?|мясніком
Кінарэжысёр, да/ф “Астэнічны сіндром”, “Кароткія сустрэчы”|Муратова
Киногерой Мікалая Рыбнікава з фільма “Вясна на заречной вуліцы” як працоўны?|сталявар
Кітай даў свету мноства выдатных вынаходстваў. адно з іх – “фэй-тянь”, што ў перакладзе азначае “лятучыя манеты”. Што гэта такое?|папяровыя грошы
“Кітайская Венецыя”: горад, дзе больш 100 мастоў|Чэнду
“Каморка” мужчынскага роду|схованка
Блазан; персанаж драмы “Балаганчык” А. Блока?|блазан
Блазанскае амплуа ў заходнееўрапейскім цырку, якому ў рускім цырку адпавядае “руды”, – гэта ...|жнівень
Калі ў горадзе Лукке арганізоўвалі гэта, адзін жартаўнік з назвы гэтага зрабіў анаграму: сарi mаl uniti (“няўдала аб'яднаныя галовы”). а як клічацца той, хто варта на чале гэтага?|мэр
Калі Дыягена спыталі, укус якой жывёлы найболей небяспечны, ён адказаў: “з драпежных звяроў – укус нагаворшчыка, а з ручных – ...” Каго?|лісліўца
Калі ён прыдумляў гэту назву, то захапляўся групай “Крикетс” і біт-музыкай. А як ён назваў сваё стварэнне?|Бітлз
Каго ангельцы завуць “маці па законе”, а французы “прыгожая маці”?|цешча
Каго ў 1947 году заўсёднікі перуянскага порта Кальяо клікалі “стомленымі ад жыцця” і развітваліся з імі назаўжды?|каманду Кон-Цікі
Каго ў адным са сваіх вершаў О. Мандельштам іншасказальна назваў “Фларэнцыяй”?|Цвятаеву
Каго малюе помнік у галандскім горадзе Лезвардене, на пастаменце якога напісана “наша мама”?|карову
Каго можна было адшукаць і ў маскоўскім “хламе”, і ў кіеўскім “праху”?|артыстаў і мастакоў
Каго аб'ядноўвае партыя “твараў з дасканалай формай галавы, не прычыненай поўсцю”?|лысых
Каго ахоўвалі ў кабінеце N 67 пад шыльдай “класная дама”?|Леніна ў Смольным
Каго разводзілі ў старажытнасці ў бухарском аазісе “чорнае возера”?|авечак
Каго вучаць перасоўвацца па “палегчаных” усходах, з шырокімі прыступкамі?|сабак
Каго Эрих Фром крытыкаваў і назваў “апошнім прадстаўніком філасофіі асветы”?|Фрэйда
Каза ностра перакладаецца як “наша ...”?|справа
“Казіная” выспа ва ўваходу ў Неапалітанскі заліў|капри
Каманда першага, пабудаваная па дзесятковай сістэме, была велізарная і займалася разбурэннем, “каманда” другога была значна менш і рабіла прама процілеглае. Хто апісаў другога?|Гайдар
“Комора” з гогалеўскіх “Вечароў на сялібе каля Диканьки”|свіран
Кампазітар, опера “Мана”?|Уласаў
Каму прыналежаць радкі – вяшчунствы: “надыдзе год, Расіі чорны год, калі цароў карона зваліцца...”?|Лермантаў
Каму прыналежыць знакаміты дэвіз “змагацца і шукаць, знайсці і не здавацца”?|Теннисону
Крэда снайпера: “не ў ... , а ў вока”?|брыво
Крыптаграфія, як вядома, навука пра тайнапіс. А назва якога хімічнага элемента перакладаецца як “утойлівы”?|крыптон
Крывяносная пасудзіна; сталіца еўроп. дзяржавы?|вена
“Стромкі груд”, зладзейскі аўтарытэт|араны
Крылатая характарыстыка|размах
Ксенія Блажэнная казала, што бярэ ў міласціну толькі “цара на каню”. Што гэта такое?|капейка
Хто аўтар “Прыгод бравага салдата Швачка”?|Гашек
Хто намаляваны на карціне ангельскага мастака Лендзира “годны чалец каралеўскага грамадства выратавання тапельцаў”?|Ньюфаўндленд
Хто крыкнуў “Эўрыка!!!”?|Архімед
Хто напісаў “Муму”?|Тургенеў
Хто напісаў раман “З Расіі з каханнем”?|Флеминг
Хто намаляваў вокладку да першага выдання “Прыгод Чычыкава”?|Гогаль
Хто першы задаўся пытаннем “Хто вінаваты?”?|Герцэн
Хто першы спажыў слова “робат”?|Чапек
Хто прасек “акно ў Еўропу”?|Пётр I
Хто сказаў “І ты, Брут”?|Цэзар
Хто сказаў: “Ператварыць магнетызм у электрычнасць”?|Фарадей
Хто згуляў галоўнага героя ў фільме “Форрест Гамп”?|Хэнкс
Хто з'яўляецца кіроўным тэлевізійнай праграмы “Сам сабе рэжысёр”?|Лысенков
Кубінская газета “Трабахадорес” заве іх “... важным элементам эканоміі паліва пры цяперашняй сітуацыі ў краіне”. Хто яны?|быкі
Зязюлін колер|дрымота
Курортны горад, куды так і не патрапіў які марыў пра яго Берліоз (“Майстар і Маргарыта”)?|Кіславодск
Курс судна адносіць. вятры; адрэзак шляху карабля ад заваротку да заваротку?|галс
Лацінская назва якой жывёлы ў перакладзе на рускую мову азначае “зубоходящий”?|морж
“Лебядзіная песня” ў кіно для Высоцкага|Жеглов
“Лябёдка” для струны|колак
“Ляжачыя” дзверы|люк
Лейтэнант Коломбо са знакамітага серыяла неяк спытаў стыліста: “У чым розніца паміж стылістам і цырульнікам?” Той адказаў: “Прыкладна пяцьдзесят...” Пяцьдзесят чаго?|даляраў
Улетку 1995 гады ў Арэнбурзе прайшло грандыёзнае свята кветак. Найвялікая ўвага наведвальнікаў прыцягнула кампазіцыя з вяргіняў, названая “Прывітанне ад Мавроди!” Што яна малявала?|кукіш
Лінія, якая з'яўляецца “следам” рухомага цела (кропкі).|траекторыя
Лісцяны лес, “які адгаварыў бярозавай вясёлай мовай” у творчасці С. Ясеніна?|гай
Лототрон з тэлевізійнага казіно “Што? Дзе? Калі?”?|турок
Лоуренс Піцер у сваім “Прынцыпе Піцера” кажа, што некаторыя нудныя людзі могуць асвяціць любы пакой. Што яны павінны зрабіць для гэтага?|выйсці
“Лепшы настаўнік” па Бальзаку?|няшчасце
Любая расліна, у якога важныя не “вяршкі”, а “карэньчыкі”.|карняплод
Людзі гэтай прафесіі становяцца вельмі патрэбнымі ў сучасным грамадстве Расіі, шматлікім з іх цяжка выжыць. А вось у Італіі іх завуць “жывыя шчыты”. Хто яны?|целаахоўнікі
Маленькая жменя; вельмі маленькі лік|жменька
“Маленькая чорная сукенка”. Мадэльер?|Шанэль
Мараход з кнігі “Тысяча і адна ноч”|Синдбад
Маладая акторка, якая атрымала “Оскар” за выкананне ролі ў “Магутнай Афрадыце”|Сорвино
Магнум якога калібра выкарыстоўвае Клинт Иствуд у фільме “Брудны Мурлы”?|44
Мадагаскарский аракул Рамахавали быў уладаром і заступнікам змей і хаваўся ў святой пячоры. Імя Рамахавали перакладаецца як: “той, хто можа даць...” Што?|адказ
“Мадам Батэрфляй”, сталая кветкай|ружа
“Мадэмуазель Блюз”, якая лічыць рускіх мужчын сапраўднымі рыцарамі|Каас
“Макацёр” з “Вечароў на сялібе каля Диканьки”|чыгун
Мандельштам піша, што гэта лепшай маркі шампанскае, і што на мове горных народаў яго назва азначае “волат-вада”. Як жа гэта прыблізна гучыць?|нарзан
Марк Твен заклікаў: “Давайце жыць так, каб нават...” ён “... аплакваў наш скон.” Ён быў героем Пушкіна. Хто ён?|трунар
“Масла” ў перакладзе на грэцкі|пакост
Матэматык, акадэмік Уладзімір Ігаравіч Арнольд неяк у прыватнай гутарцы назваў свайго калегу-акадэміка “навукоўцам з нетрадыцыйнай арыентацыяй”. Назавіце гэтага калегу|Фаменка
“Маці парадку”, чыімі адданымі “сынамі” былі не толькі П'ер Жозэф Прудон, але і Міхась Бакунін, Пётр Крапоткін|анархія
Медыцына “ў кароткіх штоніках”?|педыятрыя
Мерянское слова ў азначала – “маці, жонка”, а слова “маска” – “мядзведзь”. Па меркаванні філолага і географа Кузняцова гэта назва адбылася ад мерянского словы “мядзведзіца”. Што гэта за назву?|Масква
Месцы не гэтак аддаленыя|зона
Міністру паліцыі пры Напалеоне, Фуше, прыпісваюць такія словы: “Гэта больш, чым злачынства, гэта...” Што ж Фуше лічыў вялікім, чым злачынства?|памылка
“Сусветная” ў гульні|нічыя
Шматлікія байкі Крылова злучаны сюжэтна з фактамі сучаснай яму расійскай палітыкі. Ведаючы гэта, назавіце прататып шчупака ў байцы “Шчупак і кот”|Чичагов
Шматлікія дужа разумныя замежнікі, лётаючы самалётамі аэрафлота ў былыя часы, пазначалі нешта, як “руская курыца”, робячы націск на слове “руская”. Што ж яны мелі на ўвазе?|меню
Шматлікія дасведчаныя кіроўцы кажуць, што асноўным прынцыпам бяспечнай язды з'яўляецца “прынцып трох «Д»”. 1 з гэтых “д” азначае “дарогу”. А выкажаце гэты прынцып цалкам|дай дарогу дурню
Шматлікія туркі ў апраўданне адной са сваіх звычак кажуць: “Калі сёння не робіш гэта, то заўтра табе прыйдзецца з прыкрасці біць уласнае калена”. Што ж яны робяць?|б'юць жонак
Моллинезия – гэта ...|рыбка
