Сфера жыцця|біясфера
Едзе конь сталёвай, рыкае, ззаду плугі валачэ|трактар
Адзіная опера Бетховена|фиделио
Адзіная законная мэта ўсіх чалавечых аб'яднанняў|шчасце
Адзінае ў свеце кельцкая дзяржава|Ірландыя
Адзіная казурка сярод сузор'яў|муха
Адзіны сучасны прадстаўнік падкласа клювоголовых гадаў|гаттерия
Адзіны звышгукавы авіялайнер, які лётае з хуткасцю каля 2180 км/г|канкорд
Адзінства музычных гукаў|мелодыя
Адначасовы выпуск у святло ў вызначанай колькасці асобнікаў|выданне
Адзінка адміністрацыйна-тэрытарыяльнага дзялення Расіі, уведзеная Кацярынай Другой і захаваная аж да Кастрычніцкай рэвалюцыі 1917|губерня
Адзінка адміністрацыйна-тэрытарыяльнага дзялення|вобласць
Адзінка акустычнай магутнасці гуку|дэцыбел
Адзінка аптэкарскай вагі (устар.), у Расіі 1,244 г|скрупул
Адзінка з 9 нулямі|мільярд
Адзінка рахунку яйцеторговли|дзясятак
Адзінка размеркавання дыскавай памяці, якая ўключае 1 ці некалькі сумежных сектараў дыска (комп.)|кластар
Адзінка часу|секунда
Адзінка даўжыні|нанаметр
Адзінка гукавога ціску|паскаль
Адзінка вымярэння супраціву|миллиом
Адзінка вымярэння сілы святла|кандела
Адзінка вымярэння аб'ёму|кубаметр
Адзінка вымярэння аптычнай сілы лінзы|дыяптрыя
Адзінка вымярэння кутоў|секунда
Адзінка вымярэння гучнасці гуку|дэцыбел
Адзінка вымярэння колькасці цеплыні|калорыя
Адзінка вымярэння магнітнага моманту ў фізіцы атама, атамнага ядра і элементарных часціц|магнетон
Адзінка вымярэння магутнасці|кілават
Адзінка вымярэння піламатэрыялу|кубаметр
Адзінка вымярэння тэмпературы|кельвін
Адзінка вымярэння чашчыні перыядычнасці працэсу|гігагерц
Адзінка вымярэння чашчыні перыядычнасці працэсу|килогерц
Адзінка кол-у цеплыні, энергіі|калорыя
Адзінка колькасці электрычнасці, якая ўжываецца ў электрахіміі|фарадей
Адзінка лексич. узроўня мовы|лексема
Адзінка лексічнага ўзроўня мовы|лексема
Адзінка масы ў Кітаі|лян
Адзінка масы|квартер
Адзінка масы|цэнтнер
Адзінка магнитодвижущей сілы і рознасці магнітных патэнцыялаў|гільберт
Адзінка магнітнага струменя|максвел
Адзінка цяпла|калорыя
Адзінка энергіі, якая ўжываецца ў фотахіміі|эйнштэйн
З'едлівае хімічнае злучэнне|кіслата
Вожык-цяжкавагавік|дзікабраз
Штогод паўтараныя з'явы ў гадавым цыкле развіцця раслін|фенофаза
Штогадовы гандаль|кірмаш
Штодзённая газета Французскай кампартыі|юманітэ
Штомесячны прыродазнаўча-навуковы часопіс|прырода
Штомесячны часопіс для дзяцей|мурзилка
Ёй прысвечана вялікая частка вершаў Ясеніна|вёска
Екацярынбургская вобл. (горад)|Камышлов
Екацярынбургская вобл. (горад)|Карпинск
Екацярынбургская вобл. (горад)|Сысерть
Елкавая цацка|хлопаўка
Елкавая цацка|шар
Ёмістасць для малака|бітон
Біскуп Неапольский|Агрыпінаў
Яшчэ нядаўна горад ткачых, а цяпер – беспрацоўных|Іванава
Ёю, кажуць, трэба варушыць, калі думаеш|звіліна
F-вобразная адтуліна ў скрыпцы|эфа
На 10 лік гэтага месяца даводзіцца дзень нараджэння ордэна Св. Георгія|снежань
На Поўначы: боты з аленевых шкур|тарбасы
На Поўначы: футравая верхняя адзежа|кухлянка
На спартовых ветразных судах абсталяванне, якая дазваляе матросу откренивать лодку, выважыўшыся за борт і ўпіраючыся ў яго нагамі|трапецыя
На яго галаву сыпятся ўсе няшчасці, таму ён небарака|небарака
На ўскраіне Кіславодска Станцыя ёсць пад назваю ... (песень.)|хвілінка
На р. Северскі Данец, вобл. ц. (горад)|Белгарад
На Русі аскеты і вар'яты, якія валодаюць, па меркаванні вернікаў, дарма прадраканні, часта шанаваліся святымі|юродзівыя
На Русі будаўнік|мостник
На Русі працаўнік пры манастыры|дзіцяня
На Русі кіраўнік|ключнік
На Русі дзяржслужачы|служылы
На Русі частка апалчэння|тысяцкі
На Русі дружыннік|ушкуйнік
На Русі каробачнік|гандляр
На Русі селянін|страдник
На Русі малодшы знахар, дружыннік|дзіцячы
На Русі намеснік|пасаднік
На Русі: невялікі пакой у верхняй частцы хаты|святліца
На добрым канцэрце іх можна исхлопать|ладкі
На Балканах 15–19 стст. гайдукі і інш. удзельнікі партызанскай вайны супраць асманскай няволі|чэтнікі
На Запарожцу ў ім возяць рухавік|багажнік
На Правабярэжнай Украіне ў 18 павеку: удзельнік народна-вызваленчага руху супраць польскіх абшарнікаў|гайдамак
На Ўкраіне: мятая адварная бульба з квасам ці расолам|баланда
На Ўкраіне: юнак|дзяцюк
На Чорным моры: ветразная плоскодонная байда|шаланда
На бегах і скаканнях конь, на якую большасць робіць стаўку|фаварыт
На ваенных караблях – вертыкальная бранявая хованка, якое ўсталёўваецца ў падстаў гарматных веж|бруствер
На виндсерфере – што здымае нагрузку з рук|трапецыя
На графіках гарызантальная вось, звычайна якая пазначаецца літарай х|абсцыса
На дарозе – ляжыць, пад машынай – бяжыць, пакуль малады – чорны, цёплы, размякчаны, а як пастарэе – зацвярдзее і пасівее|асфальт
На захадзе Заіра, у зліцця рэк Квилу і Кванго, адм. ц. вобл. Бандунду (горад у Афрыцы)|Бандунду
На якой выспе ангел. адмірал Горацио Нэльсан страціў правае вока|Корсіка
На ёй перасоўваліся індзейцы па водных шляхах|пірога
На іх ходзяць балярыны і тыя, хто не жадае абудзіць спячага|цыпачкі
На ветразным судне: сукупнасць усіх надпалубных частак, службоўцаў для нясення ветразяў|рангоўт
На тэрыторыі якой дзяржавы размясціліся курорты Арзни і Дилижан|Арменія
