Перавядзіце на арабскі “пакора”.|іслам
Па-грэцку гэту хваробу завуць “парушэннем сілкавання”. А як мы завём гэту хваробу?|дыстрафія
Па Бомарше – “жыць – значыць змагацца”. А што значыць змагацца?|жыць
Па-грузінску назва гэтай расліны сямейства гарбузовых азначае “для зімы”. А па-ангельску “цёмна-ружовая вада”. Назавіце яго.|кавун
Па меркаванні А. Конан Дойла, “у чалавека ёсць сем чорных ворагаў: сквапнасць, ганарыстасць, блуд, гнеў, зайздрасць, ленасць”. Назавіце сёмага.|абжорства
Па меркаванні Мікалая Кузанского, “бо бог ёсць усё, то ён таксама і...” Завершыце фразу.|нішто
Па меркаванні французскага мысляра Буагази, “... удачлівыя жывуць з імі, няўдачлівыя – без іх, а нягоднікі – для іх”. Пра што ідзе гаворка? “о ...”|грошах
Па сцвярджэнні аўтараў “Атласа па псіхалогіі”, уся шматстатнасць чалавечай дзейнасці можа быць зведзена да трох асноўных выглядаў: праца, вучэнне... Назавіце трэці выгляд.|Гульня
Па-грэцку гэта азначае “трывалую хату”. Напэўна, настолькі трывалы, што яму можна было даручыць на захоўванне дзяржаўныя дакументы. Што гэта?|архіў
Па-лацінску – “дубцы зеляніны”, па па-латышску – “палачка”, па-літоўску – “галіна”, а як па-руску?|вярба
Па-мангольску гэта таксама, што і па-тыбецку “чжямцо”, і слова гэта азначае акіян. Як гэта гучыць па-мангольску?|далай
Аповесць О. Генры “Каралі і капуста” завяршаецца сцэнамі для витаграфоскопа. А што гэта такое?|кіно
Падбярыце сінонім слову “кроат”, які ўжываўся ў Англіі ХVII стагоддзі, калі ўлічыць, што кроаты – гэта харваты, прадстаўнікі якіх складалі конніцу ў Аўстрыі?|варвар
Палігон для пагонаў?|плячо
Поўная назва гэтага горада, дадзенае яму іспанцамі, гучыць у перакладзе на рускі так: “Горад нашай спадарыні – каралевы анёлаў”. Пра які горад ідзе гаворка?|Лос-Анжэлес
Поўны кодэкс кіраваў гэтай картачнай гульні прыналежыць Амерыканскай лізе і рэгулярна друкуецца ў выдавецтве “Сrоwn Рublishеrs”, Нью-Ёрк. Што гэта за гульня?|брыдж
Польская піяністка М. Шимановская напісала музычную п'есу “Ле мурмур”. Як з французскага перакладаецца яе назва?|шэпт
Партманетка – гэта “які носіць манету”. А што такое “які носіць шпагу”?|партупея
“Апошні паэт вёскі” па яго ўласных словах|Ясенін
“Паслухай справу, Кузя. А Кузя п'яны, як ...”. Устаўце ў прымаўку прапушчанае слова|зюзя
“Кій” супрацоўніка ДІБДР|жазло
Паставіла гэту царкву майстар Нестар. “Не было, няма і не будзе такі!” – сказаў ён і кінула сякера ў ваду. А 22-главый храм і дагэтуль варта. Дзе? “у ...”|Кижах
“Паэзія” розуму (па Вісарыёне Бялінскаму)|байка
Кіраўнікоў якой азіяцкай краіны на Блізкім Усходзе звалі “фагфурами”?|Кітая
“Які прадбачыць” – назва гэтай прафесіі, і ад дзеянняў чалавека гэтай прафесіі сапраўды часта залежыць жыццё і здароўе людзей. Хто ён?|правізар
“Выдатная, як анёл нябесны, Як дэман, падступная і злы.” – верш М. Ю. Лермантава?|Тамара
Прыбор – улоўнік кухонных водараў?|нос
“Прикрыватель” кішэні|клапан
“Нетутэйша час пагутарыць пра шматлікія рэчы: пра чаравікі, пра караблі, пра сургучныя пячаткі, пра капусту і пра каралёў...” З-пад чыйго пяра выйшлі гэтыя вядомыя радкі?|Кэрролл
Пра якую краіну кажуць: “Тут калі дождж – так лівень, калі дрэва – так волат, калі матылёк – так з птушку, а калі хата – так на хадулях”|Інданэзія
Працягнеце раду Мериме: “Ніколі не кажаце пра сябе нічога благога. Гэта зробяць за вас...”|сябры
Працягнеце старую ангельскую прымаўку: “З двух попелаў выбіраць...”|не варта
“Праекцыйны ...” – адно з вынаходстваў галандца Роберта Гука|ліхтар
Прамоўце на грэцкай мове “святое пісанне”?|іерогліф
Прамоўце на грэцкай мове слова “ўсходы”?|клімакс
“Прасветлены”|Буда
“Адваротнае” сумчатое жывёла?|яхідна
“Прафесар-лапух” з апаратурай з “Аперацыі Ы”?|экзаменатар
Птушка сем. сяўцоў; складанка нар. лек. рэцэптаў.|зёлкі
Птушка сем. сяўцоў; маленькая дзяўчынка (разг.).|кнігаўка
Птушка сем. гусіных; жук.|казарка
Птушка; раманс А. Алябьева; казка Г. Х. Андэрсана.|салавей
Птушка; дэталь студні; юж. сузор'е.|журавель
“Пшанічная” з рысу ці соку пальмаў?|арак
П'еса Вирта; камплот.|змова
П'еса Шварца; марка пішучай машынкі (Ф. Вагнер – 1893 г.).|ундервуд
“Пьета” Мікеланджэла, “Даная” і “Начны дазор” Рэмбрандта – што паміж імі агульнага?|пашкоджаны маньякамі
Радзішчаў пісаў: “Нас вучаць філасофіі, праходзім мы логіку, метафізіку, ифику, багаслоўе...” Што за навука “ифика”?|этыка
“Раздалі маскі трусаў, // Сланоў і ... ”. (Вл. Высоцкі)|алкаголікаў
Рымская “грамадская справа” распаўсюдзілася па святле. Цяпер іх – дзясяткі і нават сотні. Так што ж гэта?|рэспубліка
Робін Гибб з супергруппы 70-х гадоў “Бі Джиз” сказаў, што для складання прыгожай мелодыі яму патрэбныя ўсяго дзве ноты. Адна з іх – “ля”. А другая?|не ля
“Радзільня” карабля?|верф
“Радзільня” шампіньёна і не толькі?|грыбніца
“Рост” шрыфта?|кегель
Руды блазан у цырку – блазан. Гэтак жа мы ўспрымаем гэту жывёлу. Але ў Індыі яно свята і пазначаецца яно словам “капи”, іншае значэнне якога – “руды”. Пра якую жывёлу ідзе гаворка?|малпа
“Рабой ... не баіцца”. Тое, чаго не баіцца рабы?|воспа
Са старажытнагрэцкага гэта даслоўна перакладаецца “добрая вестка”. Што гэта?|евангелле
“З жанчынамі можна ваяваць толькі пры дапамозе капялюша. Хапайце яе і ...” (Натан Ноткин)?|бяжыце
З лацінскага гэта слова перакладаецца як “ежа”, “утрыманне”. Але гэту ежу вельмі часта спаганяюць з дапамогай суда. Пра што ідзе гаворка?|аліменты
З французскага літаральна “мёртвая прырода”. Што гэта?|нацюрморт
З французскага гэта слова перакладаецца як “адплата, адплата”. Хоць мы яго ўжытны ў сэнсе вяртання да барацьбы. Што гэта за слова?|рэванш
З французскага: партманетка – насіць манету, портшез – насіць крэсла, партупея – насіць шпагу. А як па-французску будзе “насіць ліст”?|партфель
“Салата” з выспаў, рассыпаных у адным моры|архіпелаг
“Найдужэйшы ўзбуджальны сродак”, па меркаванні вядомага палітыка Генры Кісінджара|улада
Самурайскі кодэкс бусидо абвяшчае: “Калі для выбару маюцца два шляхі, выбірай той, які вядзе да ...”. Навошта? “да ...”|смерці
“Складанка артыкулаў пра рускую інтэлігенцыю” (Масква, 1909), выпушчаны Бярдзяевым, Струве, Булгакавым і інш. філосафамі.|вехі
“Сверхгород”?|мегаполіс
“Светлая будучыня ўсяго чалавецтва”?|камунізм
“Воля вас сустрэне радасна ва ўваходу, і ... меч вам аддадуць” (А. С. Пушкін)?|браты
“Зводнік” у бізнэсе|маклер
“Святы вецер”, пра які ідзе гаворка ў гэтым пытанні, падняўся падчас Другой сусветнай вайны. А дзе знаходзілася яго крыніца?|Японія
“Сёе вялікі сын Расіі, хоць і кіравальнага класа, муж, чые праўнукі босыя таксама рэдка бачаць мяса”. Пра каго так пісаў Іосіф Бродскі|Талсты
“Сэрца анёла” (акцёр)|Рурк
“Сястра” жабы|жаба
“Сястра” сіняка?|гуз
“Сястра” таполі?|асіна
“Сіняя ...”?|барада
“Сіняя ...”?|птушка
Скажыце на ангельскай мове слова “круцельны”.|рэвальвер
Скажыце на лацінскай мове слова “галоўны”.|кардынал
Скажыце на лацінскай мове слова “захаваны”.|рэзерв
Скажыце на французскай мове слова “караціць”.|ракурс
Скажыце, як у старажытнарускай мове гучала руское слова “зрэнка”?|зрэнка
Скажыце, як па-татарску будзе “абутак”?|чаравік
Скажыце, як па-грэцку будзе “прабачэнне”?|амністыя
Скажыце, як па-італьянску будзе “плоская шапка”?|берэт
Скажыце, каго японцы завуць “канём з распухлай спіной”?|вярблюда
Скажыце, што “Бракгаўз і Ефрон” вызначае як “прастора паміж самаю ніжняю палубай судна і яго дном”?|трум
Скажыце, што вывучае частку гісторыі пад назвай “медыевістыка”?|сярэднія вякі
“Казкі энского лясы”, “Сценалаз”, “Трасавальны”, “Шалвея ў пекле”, “Матрац маёй бабулі” – менавіта так падчас Вялікай Айчыннай звалі разнастайныя заменнікі гэтага. Чаго?|тытунь
“Салодкая парачка” – назва вафель?|твикс
Слова гэта з грэцкага і азначае “святар”.|іерэй
Слова гэта нямецкае, а прыйшло туды з лацінскага. Азначае “ні той, ні іншы”. Што гэта за слова?|нейтралітэт
Словам “гипокрит” грэкі пазначалі акцёраў. Яго другое значэнне кажа пра адмоўную якасць чалавека. Якое другое значэнне слова?|крывадушнік
“Слон, які праглынуў салаўя”. Пра каго так адклікаўся парыжскі часопіс “Экспрэс”?|Кабалье
“Служыў ... бюракратам, ... бюракратам быў”?|Гаўрыла
“Смяротнае” пачуццё|нуда
“Каштарысны кошт” працаўніка|аклад
“Смешная” заправа да гутаркі?|вастрыня
Сэнс выраза “пра цыгана гамана - ён тут” добра вядомы. Назавіце прадстаўніка жывёльнага свету, дзякуючы якому з'явілася гэта забабонная прымаўка.|воўк
Спачатку гэта азначала “ежа”, потым – “благая, дрэнная ежа”, потым – “атручаная ежа”, а затым – проста “атрута”. Што гэта за слова?|яд
“Сабака Баскервіляў” італьянскага паходжання, якая з'яўляецца нашчадкам старажытных баявых сабак?|мастино
Сучаснікі звалі яе “Венерай Маскоўскай”, затым “Вусатай княгіняй”. А як назваў яе Пушкін?|віновая дама
Сацыялогія – навука пра грамадства, астралогія – навука пра зоркі, заалогія – навука пра жывёл. А як па па-старажытнагрэцку гучыць “навука пра жанчын”?|гінекалогія
Спаніэль з Простоквашина?|Шарык
Сталіца Італіі займае першае месца ў “чорным спісе” гарадоў, здзіўленых імі. У Рыме разгарнулася самая сапраўдная вайна – “Вечны горад” супраць “вечнага ворага”. Хто гэты вораг?|пацукі
Будаўніцтва фільма|мантаж
“Студебеккер”, “харрикейн”, “валентайн”, “аэрокобра”... Назавіце яшчэ два ангельскіх словы, якія аб'ядноўваюць гэтыя словы|ленд-лізаў
“Грук” на блізкага праз суд|пазоў
Існуе такая фраза “Nоli Таngеrе mеоs сirсulоs” – “Не чапай маіх кругоў”. Каму яна прыналежыць?|Архімеду
Існуе жартоўнае вызначэнне тэрмадынамікі: “Тэрмадынаміка – палка о ...”. Скончыце фразу.|трох пачатках
Лічыцца, што гэта слова мангольскага паходжання. Але ў “Слове пра полк Игореве” знаходзім радкі: “Сёе урим крычаць пад шаблямі палавецкімі...” Што крычаць рускія ваяры?|ура
“Талалихинский пацалунак”?|таран
“Там будзе ... , там дзіцячае свята. Куды ж паскача мая гарэза?” (Пушкінскае)|баль
Танец гэты па-французску завецца данс д Имбесиль. У Расіі ў 20-е гады ў прастамоўе яго называлі “скокамі дурняў”. А як гэты танец завецца па-ангельску?|факстрот
“Танчыць, абміне, або нікога не кранае”. Вось старадаўняе вызначэнне старадаўняга танца. Якога?|менуэта
Тэатральныя крытыкі напачатку ХVIII ст. пісалі пра некоих “сундучниках з верхняй галерэі”. Пра каго ідзе гаворка? “о ... ”|клакёрах
“Тэнар”, “адценне”, “шатэн” – агульнае|тен
“Цесць кахае гонар, зяць кахае ўзяць, а ... вока жмурыць”. Устаўце ў прымаўку прапушчанае слова|швагер
“Цётка Чарлей з Бразіліі” як грамадзянін Расіі?|Калягин
“Цячэ ... ракою, і погляд туманіцца злёгку”?|шампанскае
“То, як звер, яна завые, тое заплача, як дзіцё”?|бура
Тубыльцаў ізноў адкрытых земляў норманы звалі словам “скерлинг”, што літаральна азначае “карапуз”. Хто першым з народаў атрымаў гэту мянушку?|эскімосы
Тургенеў казаў: “Чалавек пра шматлікі кажа цікава, але з апетытам толькі...” Пра каго? “о ...”|сабе
“Ты можаш, бо ты павінен” прамовіў?|Шылер
“У сляпой веры – злыя ...”|вочы
Ў Шэкспіра Горацио адклікаецца пра яе так: “Вільготная зорка, у чыёй вобласці Нептунова дзяржава”. Пра якую зорку ён казаў?|Месяц
У афрыканскай народнасці Малинке ёсць прыказка: “Калі сябры не кажуць вам ... , заплаціце за яе вашым ворагам”. Завошта? “за ...”|праўду
Ў старажытных рымлян гэта слова азначала б “народны”. Сучаснае яго значэнне вельмі падобна на гэта. Што гэта за слова? (адказ – прыметнік)|папулярны
Ў каго з набліжаных Юлія Цэзара імя перакладаецца як “Тупень”?|Брут
“У яго артыкул ад 7 жніўня была на лбу аддрукавана, а ў саўдзельніцы яго, Волокушиной, тым больш”.|Ручнікоў
У эвенаў гэты звер завецца “амикан”, у хакасаў – “а-ю”. Алтайцы пра цяжкапраходны лес кажуць: “аю кепчет”, што азначае – там не пройдзе нават гэты звер. Так што ж гэта за звер?|мядзведзь
Вусновая вымова, папярэджанне; запіс шахм. партыі, музыкі.|натацыя
Забойца Ф. Фердынанда ў Сараево ў 1916 г.; ваяры цяжкай пяхоты ў Інш. Рыме.|прынцып
Задавальненне; аповяд А. Чэхава.|радасць
“Задушаны” з камедыі “Гора ад розуму” Аляксандра Грыбаедава|Фагот
Дзівячы італьянцаў, граф Аляксей Арлоў на гулянні выязджаў “без пудры”. Што гэта значыць? “без ...”|парыка
Вузкая дарога; адмыслова ўладкованая дыстанцыя для бегу ці плаванні; вузкі доўгі дыван.|дарожка
Укр. народны спявак; зб. вершаў Т. Шаўчэнка.|кабзар
Укр. паэт; сав. акцёр.|Шаўчэнка
Памяншэнне памераў органа; прытупленне пачуцця.|атрафія
“Маркотная пара вачэй зачараванне // Прыемная мне твая развітальная ... ”?|краса
“Ўраджай” сена|укос
Ранішні прыём ежы; карціна Веласкеса.|сняданак
Участак ранейшага рэчышча ракі; горад у Цвярской вобл.|старыца
Ўстанова, кіравальнае арганізацыяй публічных лекцый; самі такія лекцыі.|лекторый
Вучань жадае настаўніку: “Будзь, як высакародны муж, навуковец.” Настаўнік на гэта жадае вучню: “А ты не будзь навуковы як...” Хто?|вучань
Форма самадзяржаўнай улады, неабмежаваная манархія; адрозніваецца поўнай самаўпраўнасцю ўлады, бяспраўем падданак.|дэспатыя
Форма для адліўкі; матем. тэрмін; фільм братоў Вачовски (1999).|матрыца
Фрагмент; верш. М. Лермантава.|урывак
Франц. рэвалюцыянер-дэмакрат; опера Дворжака.|якабінец
Франц. імператар; марка фр. каньяку.|Напалеон
Франц. фізік; ед. ціскі.|Паскаль
Фрэгат місіі Е. Путятина; малая планета.|Паллада
“Фіялка” з кварца|аметыст
Фізіёлаг, вучаніца Паўлава; сав. валейбалістка.|Пятрова
Фільм Р. Капура; альбом О. Газманава.|валацуга
Франсуа дэ Ларошфуко казаў: “Усё жаляцца на сваю памяць, але ніхто не жаліцца на...” На што ж? “на ...”|свой розум
Француз Ришардон у ХIХ павеку пісаў: “Яна з'яўляецца з аднаго боку мастацтвам, а з іншай – навукай, складаючыся з пытанні хіміі, фізікі і прыродазнаўчыя гісторыі”. Пра што ідзе гаворка? “о ...”|кулінарыі
Французскі пісьменнік Гасьен дэ Куртиль у 1687 г. апублікаваў “Мемуары графа дэ Рошфора”. Ад чыйго імя ён напісаў сваю наступную кнігу, калі яе галоўны персанаж вам добра вядомы?|д'Артаньян
Французскі філосаф Вовенарг сказаў: “Вялікія думкі адбываюцца не гэтулькі ад вялікага розуму, колькі ад вялікага...” Завершыце гэту думку.|пачуцці
“Фрукт”, здольны ўпісацца ў конскую масць?|яблык
Фрэнсіс Скот Фицджеральд выкарыстоўваў метафару “непадкупная амальгама”. Што ён меў на ўвазе?|люстэрка
“Хвастатае” нябеснае цела?|камета
Хенрик Ягодзиньский быў цалкам згодзен з тым, што сябры нашых сяброў – нашы сябры. “Але, – заўважаў ён, – гэта не ставіцца да сяброў нашых...”. Каго?|сябровак
“Хірург” па даўніне?|аператар
“Хадок” да Магамета|гара
Халасцяцкая прымаўка: “Не крані яе, і яна не кране цябе”. Тое, пра што гэта сказана|пыл
Царыца і прыслужніца ўсіх навук|матэматыка
Цар, аўтар нац. гімна Грэцыі; мужчынскае імя.|Саламон
“Царэўна-жаба”, “Пунсовенькая кветачка”, “Финист-ясны сокал”. Якім словам можна з той ці іншай ступенню абгрунтаванасці назваць некаторых герояў усіх гэтых казак? (ед. ч.)|пярэварацень
“Царскі” знак задыяку?|леў
