Паводле Генры Менкену, гэта “ўнутраны голас, які перасцерагае, што на цябе хтосьці глядзіць”|сумленне
Навукоўцы-паразітолагі з корнеллского ўніверсітэта (ЗША) стварылі прыбор, які назвалі “штучным сабакам”. Праўда, выконваць яна можа толькі адну сабачую функцыю. Якую?|карміць блыхаў
Форма, выгляд, разнавіднасць; пренебр. назв. чалавека.|тып
Фабрыка “Чырвоны трыкутнік” выпускае абутак, “Чырвоны кастрычнік” – шакалад. А што выпускае завод “Чырвоная Баварыя”?|піва
Фазиль Іскандэр вытанчана назваў іх “брудам у чыстым выглядзе”. Каго?|эстэтаў
Фелікс Кривин, савецкі пісьменнік, вывеў такую формулу дыскусіі: “Баран выказаў агульнае здзіўленне. Заяц выказаў агульную асцярогу.” А што выказаў леў?|агульнае меркаванне
Філосаф Афинодор казаў Цэзару: “калі будзеш у гневе, то не кажы і не рабі нічога, пакуль не ўспомніш усе дваццаць чатыры”. А што менавіта ён раіў успомніць цэзару?|лацінскі алфавіт
“Фінансавая піраміда” па сваёй сутнасці|афёра
Фінляндыю завуць “краінай тысячы азёр”. А ў якой дзяржаве 48 тысяч азёр, хоць гледзячы на яго карту, гэтага ніяк не скажаш?|Казахстан
Фіны завуць гэтых людзей “яршамі з таго берага”. Лепшы спосаб вызначыць іх – тэст Роршаха, прычым не патрабуецца, каб яны прамовілі хоць бы слова. А як мы іх клічам?|негативисты
Фінскае слова kiidеs азначае “глыбокі грот”. Назва якога горада адбылося, па меркаванні некаторых даследнікаў, ад гэтага слова?|Китеж
Фальклор: “мінздар папярэджвае: усё, у чаго ёсць колы ці грудзі, рана ці позна прыводзіць да ...!”?|непрыемнасцям
Фанограф – “у мэры быў двухвушнік”. Тэлеграф – “вось што прынёс бог”. А інтэрнэт? (адказ ангел. літарамі)|lоgin
Фраза вялікага Арыстоцеля абвяшчае: “сваяк, гэта частка нашага цела, ...”. А што з'яўляецца часткай нашай душы?|сябар
Французскі пісьменнік і драматург Поль Декурсель назваў іх “апальшчыкамі веры”. Хто ж яны?|інквізітары
Французскі вандроўца Сомье пасля наведвання Сібіры пісаў: “Калі б Дантэ падарожнічаў па Сібіры, то ён зрабіў бы з іх новае пакаранне для сваіх злачынцаў”. Хто яны?|камары
Французскае імя, традыцыйна “якое напаўняе” міскі і салатніцы ў расійскіх застоллях?|Аліўе
Французы звалі гэту музычную прыладу “оргю дэ барбара” – “варварскі орган”. А з якім імем злучана яго назва ва ўкраінцаў?|Катарина
Французы завуць гэта “капялюш-дыня”. А як завём гэта мы?|кацялок
Футбольная каманда тэхаскага ўніверсітэта завецца “доўгія рогі Тэхаса”. Якім жэстам яе падтрымліваюць заўзятары?|рогі
Гаспадар голасу, які абвясціў: “хто ходзіць у госці па раніцах, той паступае мудра”?|Лявонаў
Гаспадар заводу R. С. Оwеns О. Сигел на пытанне пра кошт гэтага адказваў так: “калі вы гэта не атрымаеце, ён нічога не варта”. Што ж гэта, сабекошт чаго цяпер каля 60 даляраў?|оскар
Хоць прыкладна перавядзіце на грэцкі словазлучэнне “вагавы фунт”, калі, напрыклад, па-грэцку “ворыва” – гэта “аrоs”|літр
“Храм усіх богаў”?|пантэон
“Цар-трава”, чыё масла складае ў сабе духмянасць стэпу|ясянец
Цэнзары доўга не прапускалі п'есу астроўскага “Навальніца”, мяркуючы, што ў выяве кабанихи выведзена цалкам рэальны твар. Якое?|Мікалай I
Царква абвясціла іх “д'ябальскімі хвастамі” і адмаўляла ў адпушчэнні грахоў тым, хто адважваўся іх насіць. Што ж гэта?|шлейфы
Прыватна-навучалага выкладчыка мы клічам рэпетытарам. Але ёсць выкладчык, які так і зваўся “прыватна-навучалым”. Назавіце яго|прыват-дацэнт
Чаго ў “Салюту-7” было 2, а ў “Свету” 6?|стыкоўных вузлоў
“Чэмпіён” па бегу сярод птушак|страўс
Чаму прысвечана фраза Ўладзіміра Набокава “... хай вераць легкаверныя і пахабнікі, што ўсе жалобы лечацца прыкладаннем да дзіцянараджальных органаў старажытнагрэцкіх міфаў”?|фрэйдызм
Чынгісхан падступіў да яе ў 1209 г. А хто з нашых сучаснікаў праз яе “прайшоў”?|Каперфільд
“Чысціня” ў індуізме|сутра
Што можна ўбачыць на карціне А. Рылова “Бурны дзень на Каме” як прымету буры на рацэ.|хваля
Што “Слоўнік парадаксальных вызначэнняў” заве прыстасаваннямі, прыдуманымі для таго, каб дзеці не заміналі сталым гуляць у свае гульні?|цацкі
Што ангельскія “новыя дваране” ў 17 павеку звалі “добрай старой справай”?|рэвалюцыю
Што ў анатоміі азначае слова “экстремитеты”?|канечнасці
Што ў гутарковай гаворцы да рэвалюцыі звалася “пансіёнам без старажытных моў”?|публічныя хаты
Што ў Расіі даўней звалі “дужай гарэлкай”?|азотную кіслату
Што за транспарт уяўляў сабой “камет”, стварэнне брытанскай кампаніі “Дэ хевиленд”, 27 ліпеня 1919 гады паспяхова мінулае першае ў свеце выпрабаванне з прысутнасцю пасажыраў?|самалёт
Што клікалі сярэднявечныя французскія студэнты “пеўневымі ведамі”?|бязглуздзіца
Што з прадметаў, якія належаць беламу чалавеку, афрыканцы завуць “машынкай, што пазбаўляе сілы”?|фотаапарат
Што звалі ў Італіі ў эпоху адраджэння “жывой архітэктурай”?|акрабатыку
Што завуць “кубікамі, у якія гуляе ўвесь свет”?|кантэйнеры
Што нам дае “ваўчыная пена”?|святло
Што агульнага паміж “Словам пра полк Игореве” і “Малой зямлёй” Л. І. Брэжнева?|сапраўдны аўтар невядомы
Што агульнага паміж канём ангельскага караля Рычарда III і кнігай прынцэсы Элизы з казкі Андэрсана “Дзікія лебедзі”?|кошт полцарства
Што агульнага паміж трэцім па велічыні дыяментам у свеце, знойдзеным у 1988 г. на капальнях фірмы “дэ бирс” і модным фасонам штаноў часоў Астапа Бэндара?|назва
Што агульнага паміж мовай індыйскага племя малаяли, фінскім гандляром лугам, ангельскай перагародкай і раманам амерыканца Л. Левина “доктар Оквард і Олсон у Осла”?|палиндромы
Што азначае ангельская ідыёма, вельмі якая распаўсюдзілася ў ХIХ павеку, і даслоўна што перакладалася: “памерла каралева Ганна”? (адказ у вінавальным склоне)|даўно састарэлую навіну
Што афіцыйна завецца “транспартная хвароба руху”?|марская хвароба
Што атрымаецца, калі перавесці на італьянскую мову словазлучэнне “вісячы замак”?|катеначчо
Што такое “тэарэма без доказу”?|аксіёма
Што ўбачылі сыны Ізраілю падчас саракагадовай вандроўкі па пустэльні, калі выклікнулі: “што гэта”?|манна нябесная
Што навукоўцы вызначаюць як “спецыфічную рэакцыю арганізма на любое ўздзеянне, аказваемае на яго”?|стрэс
Што навуковец-геолаг Портнов некалькі парадаксальна, але з поўным на тое падставай назваў “сажай з труб апраметнай”?|дыяменты
Што гэта такое, калі ў рамане “Тамаш Гардзеяў” гэтаму даецца наступнае вызначэнне: “зводніца, якая займаецца азнаямленнем людзей са шкоднаснымі ідэямі”?|газета
Чыя назва адна каманда КВЗ перавяла на рускую мову як “дзе-дзе то”?|ДДТ
Шамфор успамінаў як знакаміты гулец Фокс гаварыў: “Гульня – крыніца дзвюх асалод”. Назавіце абодва|выйгрыш і пройгрыш
Швецкая ювелірная фірма “Болин” добра вядомая ў Еўропе, ды і ва ўсім свеце. Назавіце асноўнага (у мінулым) канкурэнта гэтай фірмы|фабержэ
Швейцарац Шлейер назвала свая штучная мова словам, утвораным са скажоных ангельскіх слоў “свет” і “казаць”. Як ён зваўся?|валапюк
Шэкспір, “Кароль Лір”. Блазан: “... канёў прывязваюць за галаву, сабак і канёў – за шыю, малп – папярок тулавы, а людзей – ...” Так завошта ж прывязваюць людзей? “за ...”|ногі
“Капялюш” для святога|німб
“Штильная” гафт|роўнядзь
Шумерскае слова “ти” мае некалькі значэнняў, адно з якіх – “даваць жыццё”. Успомніўшы найвядомую кнігу, скажыце, якую частку чалавечага цела шумеры завуць словам “ти”?|рабро
Эльдар Разанаў жартаўліва назваў сваю “боткінскай”. А якая яна была ў класіка?|болдинская
Эмблемай гандлёвай фірмы яго бацькі, якая знаходзілася ў празе, служыла каўка, што сядзіць на галіны дрэва... дарэчы, – скажыце, як па-чэшску будзе “каўка”!|Кафка
Эмблемай гэтых людзей была сарока, як птушка “балбатлівая па перавазе”. Чым яны займаліся?|газетнай справай
Эмблемы родаў войскаў часта маюць у армейскіх кругах сваю жартоўную расшыфроўку, напрыклад, адна з вядомых эмблем расшыфроўваецца: “Хітры, як змей, выпіць не дурань”. Якая ж? (каго?)|ваенных лекараў
Эпізадычны памагаты супермэна Сухова ў фільме “Белае сонца пустэльні”?|Саід
Гэта адзінка вымярэння патрапіла да нас з нямецкай мовы, куды ў сваю чаргу патрапіла аднойчы лацінскае слова з зачением “выпрабоўваю, ацэньваю”. Што гэта за адзінка?|спроба
Гэта знакамітая жанчына насіла мянушку Мериофана, што па па-грэцку азначае “тая, якая шырока адкрывае рот для дзесяці тысяч мужчын”. Як жа яе клікалі?|Клеапатра
Гэта мазь, изготовляемая цяпер з нафты, ужываецца ў медыцыне і тэхніцы. У перакладзе з французска-грэцкага яе назва азначае “ильное масла”. Як жа яна завецца?|вазелін
Гэта маленькая рэчка стала вядомая ўсяму свету дзве тысячы гадоў назад. Нягледзячы на памеры, яе цяжка фарсіраваць. Назва яе ў перакладзе азначае “чырвоная”. Што гэта за рака?|Рубікон
Гэтых людзей старажытнікі звалі “перадатчыкамі часу”. А як мы завём іх цяпер?|гісторыкі
Гэта “ўпрыгожванне” – поўны набор прадметаў, службоўцаў адной мэты, уяўляла сабою прадмет пошукаў твару былога, твары духоўнага і твары з чыстымі і яснымі вачамі. Назавіце гэта|гарнітур
Гэта лаянкавае слова адбываецца ад італьянскага слова са значэннем “набрыдзь, зграя сабак”, якое ў сваю чаргу адбываецца ад лацінскага “сабака”. Што гэта за слова?|шэльма
Гэта старажытнае імя азначае “хто як бог”. Але калі бог цэлы свет стварыў, то апошні агульнавядомы носьбіт гэтага імя цэлы свет разваліў. Назавіце яго прозвішча|Гарбачоў
Гэта старажытнагабрэйскае слова азначае “мудрасць”. У рускую мову яно прыйшло з ідыша, хутчэй за ўсё праз Адэсу, з новым цалкам адэскім значэннем. Што ж гэта за слова?|жарт
Гэта вынаходства зрабіў прыдворны Людовіка ХVI Іпаліт Трыа. Ён назваў яго “воссю Апалона”. Яно добра вам знаёма. Што ж гэта?|штанга
Гэта лацінская назва слугі цяпер замацавалася за найболей высокапастаўленымі “слугамі народа”, а падкажа вам яго назва сярэднявечнага спевака на службе ў феадала. Назавіце яго|министер
Гэта партугальскае слова адбываецца ад лацінскага слова, які азначае “чысты” і асацыюецца ў першую чаргу з Індыяй. Назавіце гэта слова|каста
Гэта адбылося ад лацінскага выраза “дадзеныя пісьмёны” – гэта значыць дакумент, ліст, акт і т. д. Але цяпер гэта з'яўляецца часткай дакумента. Што гэта?|дата
Гэта слова ў перакладзе з грэцкага азначае “пераспеў” і ў антычнасці пазначала род паэзіі, які перадае перайначанае ўтрыманне сур'ёзных твораў. Што гэта за слова?|пародыя
Гэта слова паўстала ў сярэднія вякі, хоць корань яго – грэцкі. Пазначае яно літаральна “месца, якога нідзе няма”. Што ж гэта за слова?|утопія
Гэта слова азначае не дрэннага шафёра, а ўсяго толькі пераклад, які азначае “што нацягвае скуру”. Слова і злучанае з ім занятак быў не чужа ...|хунце
Гэта слова перакладаецца з латыні як “шаную дзеяннем вышэйшая істота”. Якое гэта слова, калі, па меркаванні некаторых, гэтага нам цяпер і бракуе?|культура
Гэта слова патрапіла ў нашу мову з цюркскіх моў, і ўзыходзіць да арабскага qubbа – “купал, збор”. А які транспартны сродак мы так завём?|буда
Гэта слова адбываецца ад грэцкіх слоў “адзін” і “прададзена”. І сапраўды, гэта ўзнікае тады, калі ўсё прададзена аднаму. Што ж гэта?|манаполія
Гэта слова адбываецца ад лацінскага слова “пляц”, але азначае тое, чым гэты пляц вымяраюць. Што гэта?|ар
Гэта слова адбываецца ад лацінскага слова са значэннем “нанова абіраць замест кагосьці іншага”. І сапраўды, яно азначае заменнік, хоць і не лепшай якасці. Што гэта за слова?|сурагат
Гэта слова адбываецца ад лацінскага слова са значэннем “маральны”, а асацыюецца ў нас з нейкім жанрам літаратурнага твора, таксама лацінскай назвы. Што гэта за слова?|мараль
Гэта слова адбываецца ад нямецкага klесkеn – “пэцкаць”. Што гэта за слова?|клякса
Гэта слова часта гучыць у расійскіх эканамічных навінах. А зараз скажыце, як будзе па-французску “луста”?|траншаў
Гэта слова, якое адбываецца ад грэцкага слова “зяць”, сустракаецца ў большасці старажытных філосафаў, а таксама дала сучасная назва аднаму з агрэгатных станаў рэчыва. Што гэта за слова?|хаос
Гэтага палітычнага дзеяча ў свой час звалі “адзіным мужчынам ва ўрадзе Ізраілю”. Пра каго ідзе гаворка? (імя + прозвішча)|Голда Меир
Гэты “джэнтльменскі набор” складаецца з: сцяг, футболку, дудку, пляшку для вады, бандану і мяч з надпісам “даеш пяты раз”. А каму ён прыналежыць? “бразільскаму ...”|фанату
Гэты аўтамабіль лічыцца “самым дарагім аўтамабілем усіх часоў і народаў”. яго пабудавала авіяцыйная фірма “боінг”. І выкарыстоўваўся ён усяго ў дзвюх паездках. Дзе ён выкарыстоўваўся?|на месяцы
Гэты побытавы прыбор, які выпускаецца ў Нямеччыне, можа прамаўляць дзве фразы. Першая з іх: “выбачыце, калі ласка, не біце мяне, я тут ні пры чым”. А другая?|уздым
Гэты ўсім вядомы адказ даслоўна прагучаў так: “кхэ нго рху”, хоць таксама ўсё выдатна ведаюць, што гэта быў не адказ, а рэакцыя на неразуменне чужой мовы. Назавіце вінаватых пытання|кенгуру
Гэты горад захоплівалі польскія войскі, французскія, татарскія, рускія і нават атрады “нямецкіх шпіёнаў”. Назавіце гэты горад|Масква
Гэты дэкрэт быў трэцім дэкрэтам бальшавікоў пасля “дэкрэту пра свет” і “дэкрэту пра зямлю”. Што гэта быў за дэкрэт? “дэкрэт пра ...”|арфаграфіі
Гэты жанр літаратуры з'явіўся ўжо ў Старажытнай Грэцыі, але названы быў італьянскім словам, якія азначаюць “навіна”. Што гэта за жанр?|навэла
Гэты прадмет аж да мінулага стагоддзя часцяком звалі “вампірамі, якія высмоктваюць вочы”. Назавіце яго|ачкі
Гэты прэпарат звалі па-рознаму: “вялікі эліксір”, “чырвоная настойка”... А як яго звалі часцей за ўсё?|філасофскі камень
Гэты спіс складаўся з больш 60 назваў, у тым ліку масу геаграфічных, і сканчаўся словамі: “і іншая, і іншая, і іншая”. А якім словам ён пачынаўся?|імператар
Гэты чалавек забараніў ужыванне ў Расіі слоў “грамадства”, “грамадзянін”, “айчына” і “кірпаты”. Назавіце яго імя|Павел I
Гэты чалавек нарадзіўся ў Швецыі, але вялікую частку жыцця правёў у Расіі, Францыі, Італіі. В. Гюго назваў яго “самым багатым валацугам Еўропы”. А хто ўспадкаваў яго багацце?|лаўрэаты
Гэту кароткую цытату са старажытнагрэцкага драматурга Менандра перакладалі на шмат моў. Часцяком пры гэтым словы “дзіцё маё” замянялі на імя. На якое імя?|Брут
Гэту навінку амерыканская кампанія “мирхер і кампанія” рэкламавала напачатку ХХ стагоддзі так: “чароўны ложак”. Назавіце, што ж яны рэкламавалі|раскладанка
Этьен Рэй пісаў: “у пэўнасці ёсць трохі ляноты, трохі страху, трохі разліку, трохі стомленасці, трохі пасіўнасці, а часам нават трохі...” Чаго?|пэўнасці
З'едлівы, злы чалавек; аповяд А. Чэхава?|цынік
Японскі горад, “які падтрымаў” Саппоро ў зімовых Алімпійскіх гульнях 1972 гады|Нагана
Ярка-чырвонае рэкламнае пано на вуліцы ў цэнтры Ганконга. Чатыры белых іерогліфа азначаюць у перакладзе: “паспрабуй, і атрымаеш радасць”. Як гэта фраза (хоць бы прыкладна) гучыць па-кітайску?|кока-кола
Прованское масла|аліва
(“бягун”) Нямецкая назва шахматнага слана|лойфер
(“бурная”) У греч. міф. адна з гарпій|Аелло
(“біскуп”) Ангельская назва шахматнага слана|бишоп
(“крыж”) У горцаў Вост. Грузіі лакальныя бажаствы|джвари
(“пераможца”) У джайнск. міф. тытул тиртханкаров; імя|джыну
(“смерць”) У марыйцаў дух смерці|азырен
(123 ПЗ) Яго фільмы назвалі кінематографам роспачы. Пра каго ідзе гаворка, калі яго прозвішча ў перакладзе на рускі азначае “рудакоп, горнарабочы”?|Бергман
(1698–1765) Чеш. фізік. Иссл. эл.-статич. з'явы. Пабудаваў першы ў Еўропе заземлены маланкаадвод (1754)|Дивиш
(1884–1955) Ангел. індолаг, нумізмат, хран-ці Собр. манет, медал.|Аллан
(2) русск. архітэктар, прыгонны|Аргунов
(684 пз) Па-грэцку kаmаrа – збор, а як завецца тое, што знаходзіцца пад нізкім зборам?|каморка
(?) Ангел. акцёр, партнёр М. Стрып у крымінальнай драме “Крык у цемры”|Ривз
(?) Расліна: дрэвы і хмызнякі|гинкго
(?) Ручная помпа для перапампоўкі вадкасці|ливер
(Арсания, Арта) Одзін з трох цэнтраў старажытнай Русі|Артания
(Аўгуст) Рым. імператар|Актавіян
(агатис) Іглічнае дрэвы і хмызнякі|даммара
(Айзенах) Нямеччыны (горад у Еўропе)|Эйзенах
(Акмола) (у 1961–92 Целиноград) Казахстан, на р. Ишим (горад)|Акмолинск
(Анакреон) Інш.-греч. паэт-лірык|Анакреонт
(Аютия, пра-накхон-сі-аюттхая) Тайланд, у нізоўях р. Менам-Чао-Прая (горад у Азіі)|Аюттхая
(Ву “Свая Гульня”): Самалёты гэтага авіяканструктара першымі пераляцелі з Расіі ў Амерыку|Туполев
(Ву “Свая Гульня”): Лыжны марафон яна бегла трэці раз у жыцці, і адразу заваявала золата ў Нагана|Чепалова
(Ву trаvkа) Ён быў канваірам крымінальнікаў у лагеры і экскурсаводам у Пушкінскім запаведніку. А яшчэ ён – выдатны рускі пісьменнік, які напісаў пра гэта|Довлатов
(Ву trаvkа): “маленькая чорная сукенка”. Мадэльер?|Шанэль
(Ву trаvkа): Адзіная казурка сярод сузор'яў|муха
(Ву trаvkа): Кока Шанэль. Сапраўднае імя|Габрыэль
(з 1771) Цэнтр Алтайскага кр., прыстань на р. Об (горад)|Барнавул
(з 1784) Украіна, Херсонская вобл. (горад)|Бярыслаў
(з 1795) Беларусь, Магілёўская вобл., прыстань на р. Бярэзіна (горад)|Бабруйск
(з 1938) Арменія, на р. Дебед (горад)|Алаверди
(з 1938) Украіна, Кіеўская вобл., на р. Рось (горад)|Богуслав
(з 1939) Маскоўская вобл. (горад)|Балашиха
(з 1939, раней пос. Ольховский) Краснаярскі кр. (горад)|Артемовск
(з 1947) Краснадарскі край, на р. Пшеха (горад)|Апшеронск
(з 1952) Прыморскі кр. на р. Арсеньевка (горад)|Арсеньев
(з 1961) Арменія, на р. Аракс (горад)|Арташат
