Перавядзіце на турэцкую мову “гарод у стэпы”|бахча
Пляменнік Суворава Хвастоў быў выключным графаманам і вельмі кахаў чытаць знаёмым свае тварэнні, з-за чаго Крылоў “прысвяціў” яму адну з баек. Якую?|демьянова юха
Пліній старэйшы ў сваёй “Прыродазнаўчай гісторыі” пісаў пра іх праніклівыя радкі: “Прырода стварыла іх для таго, каб яны абуджалі людзей на працу”. А хто яны?|пеўні
Плён разладу|яблык
Па па-арамейску слова “эмуна” азначае “вера”, але не ўпэўненасць у нейкай адцягненай праўдзе, а давер да бога, пэўнасць яму. Якое вядомае ўсім слова адбылося ад яго?|амэн
Па біблейскай легендзе гэта загадка была зададзена цару Саламону царыцай Савской. Адкажыце на яе і вы: “... з зямлі зыходзіць, зямлёю сілкуецца, ільецца, як вада, і разлівае святло”. Што гэта?|нафта
Па ўсёй верагоднасці, гэта слова адбываецца ад старажытнарускага слова “отлек” – рэштка, ці “лек”, хоць шматлікія блытаюць яго паходжанне з вандроўцам. Што гэта за слова?|калека
Па меркаванні брытанскага гумарыста Рычарда Кертиса, у гэтай нацыі жорсткасць у крыві, бо іх оперы доўжацца па 6 гадзін і ў іх мове няма слова “пухнаты”. Што гэта за нацыя?|немцы
Па меркаванні газеты “зюддойче цайтунг”, адзінае, што можна рабіць без грошай, гэта... а што гэта?|абавязкі
Па меркаванні Пруткова: “Гэта – самы дакладны спадарожнік чалавека, але нават гэта пакідае яго, калі над галавой згушчаюцца хмары”. Назавіце гэта?|цень
Па меркаванні Тоні Петитто, “гэта слова, якое толькі нешматлікія здольныя паскладаць у дваццаць слоў”. А хто, паводле якое існуе меркавання наогул абыходзіцца без гэтага?|ангельцы
Па меркаванні навукоўца ХVI стагоддзі Гельмонта “калі ўзяць чыгун са збожжам, затыкнуць яго бруднай анучай, то праз месяц адтуль з'явяцца...” Хто?|мышы
Па меркаванні швецкага гісторыка Піцера Энглунда “адзін са шляхоў да сучаснага дабрабыту яго радзімы пачынаўся менавіта там”. Дзе ж?|пад Палтавай
Па вобразным выразе Платона, грэкі атачылі Міжземнае мора падобна жабам, якія сядзяць вакол балота. Што меў на ўвазе Платон пад словам “жаба”?|гарады-асады
Па адной з версій, у перакладзе з грэцкага назва гэтага выгляду спорту азначае “хаджу на цыпачках” ці “лезу ўгару”. Пра які выгляд спорту ідзе гаворка? “пра ...”|акрабатыцы
Па адданні, Міцкевіч выпрабоўваў гэта пры гуках флейты, Русо – пры шпацырах з непакрытай галавой, а па меркаванні Бодлера гэта залежыць ад “рэгулярнай пажыўнай ежы”. Назавіце гэта|натхненне
Па сведчанні В. Аляксеева, у Кітаі на некаторых гандлёвых крамах напісана: “тавар даўгавечнасці”. Што там прадаюць?|труны
Па словах В. А. Гиляровского, ва ўсіх маскоўскіх студэнцкіх песеньках была адна і тая ж рыфма на слова “спьяна”. Якая?|Таццяна
Па словах іранічнага аматара парадоксаў Бярнарда Шоў, “вар'яты ёсць усюды, нават...” Дзе?|у звар'яцелай хаце
Па словах аднаго з герояў “Ганны Карэнінай” Сцяпана Аркадзевіча, калі ўжо ганарыцца сваёю пародай, то не варта спыняцца на Рурыку і зракацца... Ад каго? “ад ...”|малп
Па-ангельску – “птушачка багародзіцы”, па-французску – “божы звер”, а як па-руску?|багоўка
Па-древнетюркски “сябар” – иш, а як будзе “сябар, саўдзельнік у гандлёвых справах”?|таварыш
Па-габрэйску “чалавек” – “енос”. Але гэта не адзіны пераклад гэтага слова на габрэйскую мову. Успомніце яшчэ хоць бы адзін|Адам
Па-італьянску сittа – горад, а дакладней старая яго частка. А як па-італьянску будзе “маленькі горад, крэмль”?|цытадэль
Па-малайски “оранг” – чалавек. Выкарыстоўваючы рэдуплікацыю, скажыце, як па-малайски “людзі”|орангоранг
Па-польску “качка”, адно з абласных назваў зыбкі і тое, што можа быць килевым і бартавым. Што ўсё гэта?|гайданка
Па-турэцку “гиссарлык” нешта накшталт “месца развалін”. А хто звярнуў увагу на гэты пераклад і неўзабаве здабыў сусветную славу?|Шлиман
Пад якім імем нам вядомы знакаміты зиккурат этеменанки, што азначае “хату падставы нябёсаў і землі” з падставай 90 на 90 метраў?|Вавілонская вежа
Пад словам “сеньёр” у нас звычайна маецца на ўвазе іспанец. А каго завуць сеньёрамі ў Нямеччыне?|пенсіянераў
Подпіс пад гумарыстычным малюнкам: “Шмат не пішы – атупееш”. А што на ім намалявана?|аловак
Падыходнае імя для грузінскага кинорежисера Чхеидзе – пастаноўшчыка фільма “бацька салдата”?|реваз
Пазнаёміўшыся з Наталляй Мікалаеўнай Гончаровой, Пушкін выклікнуў: “Я закаханы, я зачараваны...” Як яшчэ паэт жартаўліва ахарактарызаваў сваё ўражанне ад Наталлі Мікалаеўны? “Словам, я ...”|огончарован
Поль Валеры казаў: “Пра чалавека нельга судзіць па тых людзях, з якімі ён сябруе. Не забывайце пра тое, якія бездакорныя сябры былі ў...” У каго?|у Юды
(ад ангел. tо rар) Памятаеце песню “Я, ты, ён, яна – разам цэлая краіна...”? Па меркаванні аўтара пытання, Сафія Ратару апярэдзіла прыкладна на дзесяцігоддзе каго?|стукачоў
Папулярная кампутарная гульня з жанру “гонкі”? (адказ – абрэвіятура ангел. літарамі)|nfs
Партугальцы завуць яго “рыбай з вялікай галавой”, што ў корані няслушна?|кашалот
Пасля II сусветныя войны на эстрадзе паспяховай Амерыкі раздаваўся жарт: “А – гэта ... гэта проста «Кадылак», які навучаўся ў Оксфардзе”. Пра які аўтамабіль гэта гаварылася? “о ...”|ролс-ройсе
Пасля ўз'яднання Нямеччыны 6,5 мільёнаў іх засталося без працы. Некаторыя не паддаліся “канверсіі”, але астатнія нядрэнна ўладкаваліся ў гэтым свеце. А хто?|памежныя аўчаркі
“Апошняя інстанцыя” для філасофіі (зг)|праўда
Прыказка не раіць чалавеку, які паважае сябе, гуляць з імі ў гульню, адно з назваў якой “зерн”. Хто яны?|свінні
“Хвала малайчыне – ...”. Устаўце ў прымаўку прапушчанае слова|пагібель
Чаму спыніла сваё існаванне “минкэн ундо” – японскі рух за канстытуцыю?|прынялі яе
Правіла Рейбнера: “Жадаеш жыць у згодзе – ...”|згаджайся
Прадстаўце, што ў вас у руцэ камень. Як з дапамогай яго адмераць сустракаемую ў царкоўных кнігах меру “вержение камени”?|кінуць
Прэм'ер-міністр Англіі Дызраэлі вельмі кахаў камфорт; седзячы ў бібліятэцы ў халаце з шаўковымі закаўрашамі, ён кахаў чытаць і паліць цыгару. А як зваўся яго халат?|смокінг
Пры ўездзе ў мястэчка фізікаў Дубну ўсталявана мармуровая пліта з надпісам залатымі літарамі: “У свеце няма нічога, акрамя рухомай матэрыі ў прасторы і чакай”. Хто аўтар гэтых слоў?|Ленін
Присовокупьте гэта слова да “жаночы”, і атрымаеце назву часопіса?|ліслівец
Пра што Сяргей Довлатов сказаў: “Бывай, які гінуў часопіс з інквізітарскай назвай!”? “пра часопіс «...»”|вогнішча
Пра гэту краіну кажуць: “Тут калі дождж – так лівень, калі дрэва, так волат, калі матылёк, то з птушку, а калі хата, то на хадулях”. Што гэта за краіна?|Інданэзія
“Які праваліўся” фільм з удзелам Дастина Хофмана|героі
Праграмная “кішэнь” для пераносу і капіяванні дадзеных (компьют.)?|буфер
Працягнем тэму. В. Вишневский характарызаваў яе так: “Не, ты не дурніца, далёка не дурніца...”. А якое спец. памяшканне з'яўляецца яе “цёзкай”?|гаўпвахта
Працягнеце фразу: “у гасцях добра, а хаты...”?|лепш
Мянушка героя Дигениса з візантыйскай аповесці – “непераможны” – перайшло і ў рускую народную паэзію, але ўжо як імя ўласнае. Як жа мы клічам гэтага ваяра цяпер?|аника-ваяр
Пракурор з рамана “Граф Монте-Кристо”?|Вильфор
“Насычэнне” скаціны|адкорм
Супернікі сунітаў групаваліся вакол стрыечнага брата Мухамеда Алі ибн Абу-Таліба і звалі сябе “партыя Алі”. Як па-арабску “партыя”?|шия
“Трывалы матэрыял”, які можа складацца ў голасе|метал
“Птушка-тройка” з паэмы Гогаля “Мёртвыя душы”|Русь
Вандроўца, які пабыў у ХIХ павеку на выспе Исабела, сцвярджаў, што мог бы прайсці прыстойную адлегласць па “спінах” жывёл, не спускаючыся на зямлю. Што гэта за жывёльныя?|чарапахі
Пушкін казаў пра яго: “Сярод вайскоўцаў думаюць, што ён выдатны паэт, а пісьменнікі думаюць, што ён выдатны генерал”. Пра каго пісаў паэт?|Давыдаў
Пушкінскі выканаўца рускай народнай песні “ці ў садзе, у гародзе”?|вавёрка
П'еса “З добраю параю” стала фільмам “Іронія лёсу...”, гераічная камедыя “Даўным-даўно” – “Гусарскай баладай”. А пад якой назвай з'явілася на экранах п'еса “калегі”?|службовы раман
Рабі Рафаэль Бершадский іранічна заўважаў, што ганарліўцы нават пасля смерці не перастаюць паўтараць “гэта ж я!”. Увага, пытанне! Кім, па яго меркаванні, пасля смерці становяцца якія заганарыліся людзі?|пчоламі
Раней на канцэртах можна была пачуць такая назва твора: “вальс а-mоll”. Як мы скажам цяпер?|вальс ля-мінор
Раней гэта фірма па выпуску аўтамабіляў называлася “swаllоw” – “ластаўка”. Цяпер гэта мілая птушачка ператварылася ў не меней мілага звярка. Як жа гэта фірма завецца сёння?|ягуар
Распілаваны шматкантовік|прызма
Расліна, орган зроку птушкі, прадзядуля шкарпэткі, зброя, паляўнічы на звяроў. гэта ўсё адзін і той жа чалавек. А кім быў яго “апошні” сябар?|магіканін
Рэдактар аддзела свецкай хронікі газеты “Вашынгтон пост” Энн Лендерс лічыць, што маршчыны – рэч спадчынная, бацькі атрымліваюць іх у спадчыну ад... Ад каго? “ад ...”|дзяцей
Рака, па якой “шпацыруе казак маладой”?|Дон
Рака, да сярэдзіны якой па Гогалю “рэдкая птушка даляціць”?|Днепр
Роберт Люіс Стивенсон пісаў: “раман – гэта паэзія акалічнасцяў”. А што ён зваў “паэзіяй паводзін”?|тэатр
Радзіма “Бітлз”?|Вялікабрытанія
Радзіма “Бітлз”?|Ліверпуль
“Роля” киногероя Абдулава ў бандзе “Чорная котка”|вадзіла
Раман Ф. Купера; інш.-греч. пасудзіна; колцавыя горы на месяцы?|кратар
Расійскі кампазітар ХХ ст., аўтар балета “Лабірынты”?|Шнитке
Рус. акцёр; сав. : баскетбаліст; касманаўт; тэнісіст?|Ваўкоў
Рус.-ангел. пісьменнік, аўтар рамана “Дарунак”?|Набокаў
Руская загадка ХIХ стагоддзі. “Дзьме вецер – я не дзьму, дзьме ён – не дзьму я. Але тады, калі я дзьму, дзьме вецер ад мяне”. Што ж гэта такое?|веер
Руская загадка: не княжай пароды, а ходзіць з каронай; не ратны яздок, а з рамянём на назе; не вартаўніком варта, а ўсіх будзіць. Што гэта?|певень
Рускі драматург В. Капнист быў вядомы напачатку 19 ст. Каму прыналежыць эпіграма: “Я Капниста прачытаў і сэрцам знішчыўся: // Навошта чытаць вучыўся!”|Капнисту
Рускі пісьменнік, аўтар “дамы з сабачкай”?|Чэхаў
“Рускае ...” – песня Я. Френкеля|поле
Рыбін мех|луска
“Рыбнае масла” (зг)|іхтыёл
Рыцарскі дэвіз прынцаў савойскіх пачынаецца словам “іду...”. Скончыце яго двума словамі|сваёй дарогай
Рэй Брэдбери быў перакананы ў тым, што “галоўнай задачай пісьменніка-фантаста з'яўляецца не прадказанне будучыні, а...” Што ж?|прадухіленне будучыні
Шэраг Тэйлара ў наваколлі кропкі “0” завецца побач ... ?|Маклорена
З алжырскага дыялекту арабскай мовы гэта слова перакладалася як “рэвалюцыянер”, а з дары – як “бандыт”, хоць сутнасць яго адна і тая ж. Як гучыць яно ў арыгінале?|маджахед
З якіх двух слоў пачынаецца раман Пушкіна “Яўгеній Онегин”. (Назвы і эпіграфы не прапанаваць)|не думаючы
З кім чалавек заўсёды на “ты”? з ...|богам
З латыні гэта азначае “выкліканае”, і сапраўды, людзі выклікалі сабе на дапамогу гэтыя словы, калі бракавала ўласных. Што ж гэта такое? (адказ у мн. ч.)|цытаты
З аднаго боку былі “нанива”, “ниитака”, “такачихо”, “акасі”, “чхаючы”, “асама” і “чиода”, а з іншага боку – адзін еўрапеец і адзін азіят. Назавіце іх|вараг і карэец
Сальвадор Далечы казаў, звяртаючыся да аўстрыйскага мастака Эриху Фуксу: “Я – іспанскі дзюрэр, а ты – ...” Так што казаў далечыні?|аўстрыйскі Далечы
Самае старое дрэва носіць назву “хвоя ...”|даўгавечная
Самыя маленькія – менш мезенца – “малочныя”, а самыя вялікія – 40-сантымятровыя – каралеўскія. Мы ж сочым галоўным чынам за іх колерам і шматлікія купляюць іх зялёнымі. Што гэта такое?|бананы
Самыя частыя асацыяцыі да стымулу “хлеб” для рускіх – соль, для ўзбекаў – чай, а для французаў?|віно
Санскрыцкае слова “дгананга” ў літаральным перакладзе азначала аснова сілкавання чалавека. А што так звалася?|рыс
“Бот”, омываемый трыма морамі|Італія
Саша Гитри казаў: “Ці гатовы я аддаць жыццё за жанчыну? Пра ды, вядома, толькі не давайце мне гэтага”. Скажыце, а чым гэта абмежавана ў вас?|адной хвілінай
Саша Чорны неяк назваў Пецярбург “рускім намёкам”. На што? “на ...”|Еўропу
Зборная Чэхаславакіі па хакеі толькі адзін раз не ўдзельнічала ў турніры на прыз “вестак”. У якім годзе гэта было?|1968
Цыгарэты, папяросы, тытунь – усё гэта ў просторечьи завуць “курыва”. А як, паводле слоўніка Даля, адным словам можна назваць царкоўныя напоі|піва
Сімферопальская фабрыка “Лаванда” выпусціла папулярны ў народзе адэкалон, на этыкетцы якога намаляваны: ... |Маркс Энгельс Ленін
Сістэма “хаджу-кажу” вельмі распаўсюджана ў сучасным свеце. Для чаго яна выкарыстоўваецца? “для ...”|радыёсувязі
Скажыце на латыні сцісла: “алкаголь, пазбаўлены вадароду”|альдэгід
Скажыце па-грэцку “жазло”|скіпетр
Скажыце па-грэцку “мастацтва ўпрыгожваць”|касметыка
Скажыце па-грэцку “драбнюткія жывыя”|мікробы
Скажыце па-грэцку “сужыццё”|сімбіёз
Скажыце па-старажытнаруску “пэндзаль рукі”|пядзю
Скажыце па-старажытнаруску “плата за праход”|мыта
Скажыце па-древнескандинавски “палац забітых”|валгала
Скажыце па-італьянску “дзейсныя твары”|персанажы
Скажыце па-латыні “вытлумачэнне”|інтэрпрэтацыя
Скажыце па-фінску “бязлесная прастора”, калі не цяжка|тундра
Скажыце па-французску “чаплянне бортам”|абардаж
Скажыце калі ласка, гімн якой дзяржавы завецца “краіна дзвюх рэк”?|Ірак
Скажыце, у адказ на якое пажаданне рымскі тата Лёваў ХIII сказаў: “Сын мой, не будзем ставіць меж літасці божиему”?|сто гадоў жыцця
Скажыце, каго часопіс “Рlауbоу” назваў нашчадкам гадзіншчыка, якія ўсталі на слізкую дарожку?|Паўла Бураксу
Скажыце, што Сакрат зваў пачаткам, здольным да дурасці ці мудрасці, дабру ці злу; і ёмішчам асабістага інтэлекту і характару?|душу
Зморшчына на тканіны; дэталь кнігі?|рубчык
Колькі пар храмасом “даводзіцца” на аднаго (здаровага) чалавека?|23
Колькі разоў сустракаецца лічба “9” пры рахунку ад 10 да 100?|19
Хутчэй за ўсё гэта слова ў Грэцыі з'явілася таму, што і ў іх хворыя ляжалі ў пасцелі. Ды і слова гэта адбываецца ад грэцкага “пасцеля”. Што ж гэта?|клініка
Салодкая парачка|твикс
Славенцы і харваты завуць яго “зялёны Юры”. А мы?|Георгій Пераможца
Слова “даўгашыяе” канчаецца на тры “Е”. А якое слова канчаецца на тры “Е”?|лязо
Слова тин-лялят літаральна перакладаецца з чукоцкага як “ледзяныя вочы”. Што ж завуць чукчы гэтым словам?|ачкі
Слова, якое пазначала ў грэцкім “прыватная асоба, парафіянін, недасведчаны чалавек”.|ідыёт
“Сэнс” у інш.-греч. філасофіі|логас
Спачатку гэта разнавіднасць ужо аджылага сваё выраба звалася “дунька-дзяўбні-ка”, а потым непралівайка. Што ж гэта?|чарніліца
“Сабачая парода”, з якой робяць пальчаткі|лайка
Соў. : акцёр; валейбаліст?|Ульянаў
Соў. пісьменнік, драматург; сав. спартовец-барацьбіт?|Рощин
Соў. пісьменнік; тытул феадала ў Ср. Азіі?|бек
Савецкі “шатл”?|шугавея
Паводле “слоўніка парадаксальных вызначэнняў, гэтым словам завецца чалавек, які здольны растлумачыць, чаму ў гэтым слове пішацца дзве літары «л»”. Што ж гэта за слова?|інтэлігент
Паводле балгарскай прыказкі, прырода сказала ёй: “Будзь выдатная, калі ты жадаеш, будзь мудрая, калі ты жадаеш, але разважлівай ты павінна быць абавязкова”. Каму?|жанчыне
