Соў. хімік, гл. рэд. ж-ла “Хімія драўніны” з 1974|Калнинь
Соў. дырыжор|Колобов
Соў. дырыжор|Цвасман
Соў. дызайнер, мастак, фатограф|Родченко
Соў. жанглёр-рэкардсмен (11 кольцаў)|Ігнатаў
Соў. часопіс; аднагодак, аднагодак|аднагодак
Соў. іхтыёлаг|Андрияшев
Соў. изобр-тэль, аўтар прыбораў для инфракрасн. интроскопии|Ощепков
Соў. інжынер, канструктар пісталета|Стечкин
Соў. кампазітар|Бурханаў
Соў. кампазітар|Вайнберг
Соў. кампазітар|Евлахов
Соў. кампазітар|Жиганов
Соў. кампазітар|Кажлаев
Соў. кампазітар|Касьянаў
Соў. кампазітар|Крылатов
Соў. кампазітар|Лагидзе
Соў. кампазітар|Лученок
Соў. кампазітар|Мажуков
Соў. кампазітар|Малчанаў
Соў. кампазітар|Прицкер
Соў. кампазітар|Птичкин
Соў. кампазітар|Ревуцкий
Соў. кампазітар|Туликов
Соў. кампазітар|Тухманов
Соў. кампазітар|Фельцман
Соў. кампазітар|Фрадкин
Соў. кампазітар|Холминов
Соў. кампазітар|Цфасман
Соў. кампазітар|Шаинский
Соў. кампазітар|Яруллин
Соў. канструктар авіярухавікоў (Глей-18)|Ивченко
Соў. канструктар агнястрэльнай зброі|Токарев
Соў. кінаакцёр|Жигунов
Соў. кінаакцёр|Одиноков
Соў. кінарэжысёр і тэарэтык кіно|Пудовкин
Соў. кінарэжысёр|Данелия
Соў. кінарэжысёр|Райзман
Соў. кінарэжысёр|Разанаў
Соў. кінарэжысёр|Сокуров
Соў. кінарэжысёр|Сурикова
Соў. кінарэжысёр|Чулюкин
Соў. кінарэжысёр|Юткевич
Соў. кінарэжысёр|Ярматов
Соў. кинодраматург|Блейман
Соў. лётчык, адзін з выратавальнікаў экіпажа Челюскина (1895–1982)|Молоков
Соў. лётчык, Герай СССР|Гастелло
Соў. лётчык-выпрабавальнік|Мосолов
Соў. літаратуразнавец; прадмет мікалогіі|Грыб
Соў. лыжнік (трамплін)|Напалков
Соў. лыжнік, чэмпіён Алімпійскіх гульняў (1980, 1984)|Зимятов
Соў. лыжнік|Ботвинов
Соў. лыжніца|Бажукова
Соў. лыжніца|Баранова
Соў. лыжніца|Баярскіх
Соў. лыжніца|Гусакова
Соў. лыжніца|Данилова
Соў. лыжніца|Кулакова
Соў. лыжніца|Олюнина
Соў. маршал (авіяцыя)|Агальцов
Соў. маршал|Батицкий
Соў. неўрапатолаг, псіхіятр, псіхолаг, фізіёлаг і марфолаг|Бехтерев
Соў. парт. дзеяч, жонка В. І. Леніна|Крупская
Соў. спявак (барытон)|Магомаев
Соў. спявак (лирич. тэнар)|Собинов
Соў. спявак, кампазітар|Мамонов
Соў. спявак-барытон|Лисициан
Соў. спявачка|Пугачова
Соў. петрограф|Белянкин
Соў. палярнік, радыст|Кренкель
Соў. палярны даследнік|Папанин
Соў. паэт, спявак-бард, акцёр|Высоцкі
Соў. паэтка|Пятровых
Соў. паэт|Гудзенко
Соў. паэт|Дрожжин
Соў. паэт|Луконин
Соў. паэт|Островой
Соў. паэт|Поженян
Соў. паэт|Регистан
Соў. паэт|Слуцкі
Соў. паэт|Смеляков
Соў. паэт|Щипачев
Соў. піяністка, педагог|Гнесина
Соў. пісьменнік-сатырык|Арканаў
Соў. пісьменнік|Амлинский
Соў. пісьменнік|Арсеньев
Соў. пісьменнік|Бакланаў
Соў. пісьменнік|Безуглов
Соў. пісьменнік|Бондараў
Соў. пісьменнік|Баравік
Соў. пісьменнік|Бруштейн
Соў. пісьменнік|Гладков
Соў. пісьменнік|Дудараў
Соў. пісьменнік|Думбадзе
Соў. пісьменнік|Ерафеяў
Соў. пісьменнік|Задорнов
Соў. пісьменнік|Залыгін
Соў. пісьменнік|Іскандэр
Соў. пісьменнік|Казанцев
Соў. пісьменнік|Калінін
Соў. пісьменнік|Пеўняў
