Акумулятар механічнай энергіі|махавік
Ангола (горад у Афрыцы)|Кабинда
Ангел. астраном і оптык|Гершель
Ангел. акцёр, роля Тарзана ў фільме Х. Хадсона|Лэмберт
Ангел. акцёр|Гінэс
Ангел. акцёр|Скофилд
Ангел. акцёр|Эшкрофт
Ангел. мастак, упершыню які напісаў партрэт Пятра I падчас яго знаходжання ў Англіі ў 1698 г.|Кнеллер
Ангел. хімік (1893–1970)|Ингольд
Ангел. хімік і вынаходнік, вынайшаў (1823) непромок. тканіна|Макінтош
Ангел. ваенны карабель|дрэдноут
Ангел. лекар|Дженнер
Ангел. мястэчка, ад якога ўсё адлічваюць час і мерыдыяны|Грынвіч
Ангел. драматург, паэт і крытык, які лічыў, што боязь паступіць ганебна – ужо мужнасць|Джонсан
Ангел. драматург|Флетчер
Ангел. заолаг і пісьменнік|Даррелл
Ангел. залатая манета, роўная фунту стэрлінгаў|саверэн
Ангел. даследнік Антарктыкі|Киверцы
Ангел. даследнік Антарктыкі|Шеклтон
Ангел. вынаходнік многоступенч. рэактыўнай паравой турбіны|Парсонс
Ангел. вынаходнік прядильной машыны|Харгривс
Ангел. кінарэжысёр|Грирсон
Ангел. матем. і хімік-тэарэтык (1910–1974)|Коулсон
Ангел. матэматык|Грэгары
Ангел. мера аб'ёму, ёмістасці|барэль
Ангел. мера даўжыні, 201,168 м, для вызначэння дыстанцыі скаканняў|фурлонг
Ангел. манета для продажу на рынках золата|саверэн
Ангел. мікрабіёлаг, откр. пеніцылін|Флеминг
Ангел. паэт і драматург|Шэкспір
Ангел. паэт|Блэйк
Ангел. прэм'ер-міністр ... Чэрчыль паважаў армянскі каньяк|Уінстан
Ангел. пісьменнік эп. Асветы, сатырык|Скуратов
Ангел. пісьменнік, аўтар серыі раманаў пра прыгоды агента 007 Джэймса Бонда|Флеминг
Ангел. пісьменнік, акцёр, рэжысёр, прадзюсар, па паходжанні рускі|Усцінаў
Ангел. пісьменнік, класік эпохі Асветы|Філдынг
Ангел. пісьменнік, лаўрэат Нобелеўскай прэміі па літаратуры, аўтар шматлікіх папулярных дзіцячых твораў|Киплинг
Ангел. пісьменнік|Беннетт
Ангел. пісьменнік|Берджесс
Ангел. пісьменнік|Гаркнесс
Ангел. пісьменнік|Дызраэлі
Ангел. фізік 19-го стагоддзі|Максвел
Ангел. фізік і хімік (1731–1810)|Кавендиш
Ангел. фізік|Кельвін
