Евангельскі здраднік|Юда
Яго апяваў у сваіх рубаи О. Хайям|віно
Яго вы можаце намацаць на ўласным запясці|пульс
Яго даюць, яго матаюць|тэрмін
Яго рабіў абат Фариа, каб бегчы са злавеснага замка Иф|падкоп
Яго павінен добра адчуваць чечеточник|рытм
Яго яшчэ на зямлі абяцалі камуністы|рай
Яго ахвярапрынашэнне захавана на крывавым палатне Караваджо, які захоўваецца ў галерэі Уффици|Аўраам
Яго збожжа нельга захоўваць у пластмас. слоіку|кава
Яго лютыя ворагі – жонка, абрус і шум. А хто ён?|прэферанс
Яго выдае той, каму наступілі на каханы мазоль|лямант
Яго ім жа выбіваюць|клін
Яго імем названы тэатр у Маскве|Чэхаў
Яго імя можна пазнаць толькі ў канцы дэтэктыўнага рамана|забойца
Яго часам змяняюць на літасць|гнеў
Яго выкарыстоўваюць для надання фотакартцы роўнага ці фігурнага краю|разак
Яго пакладаюць, каб ён лепш заляцаўся за жанчынамі|еўнух
Яго паляць у цэрквы|ладан
Яго куюць, пакуль горача і не адыходзячы ад касы|жалеза
Яго месца ў буфеце, калі верыць п'есе М. Горкага “На дне”|артыст
Яго кідаюць ці ім расшываюць|пацеркі
Яго можа зняць гаішнік пры парушэнні правіл дарожнага руху|нумар
Яго можна знайсці ў дзвярэй пад нагамі і на бурнай рацэ|парог
Яго можна прыгатаваць з рыбіных костак|клей
Яго можна ўбачыць на трамваі, у цырку, на спіне футбаліста|нумар
Яго звалі бацькам гісторыі. Ён нарадзіўся ў малоазийском горадзе Галикарнасе. У маладосці ён удзельнічаў у палітычнай барацьбе і ў выніку быў змушаны пакінуць радзіму. Хто ён?|Герадот
Яго накладваюць забараняючы|вета
Яго наяўнасць у пашпарце не гарантуе пэўнасці|штамп
Яго намаляваў Врубель, а Лермантаў злучыў з Тамарай|дэман
Яго парушае той, хто есць скоромную ежу|пост
Яго знаходзім у чарцы гарэлкі, кубку гарачай кавы, у Крыму, у добрым чалавеку|цяпло
Яго не ядуць мусульмане, затое кахаюць украінцы|сала
Яго не рэкамендуюць ужываць замест туалетнай паперы|мянташка
Яго неадпраўленыя лісты пачыналіся так: “Ласкавая мая Кацярына Мацвееўна”?|Сухов
Яго няма на таго, хто закусвае цуглі|упынак
Яго няма ні ў кольца, ні ў прамой|канец
Яго насілі піянеры і камсамольцы|значок
Яго носяць у дні скрухі|жалоба
Яго абавязкова знойдзеце ў чыгуначнага насыпа|адхон
Яго алімпійскія багі прысудзілі вечна круціцца на агністым коле|иксион
Яго вельмі моцна б'юць нагамі|мячык
Яго попел стукаў Тилю Уленшпигелю ў сэрца|Клаас
Яго першы шумны поспех прыйшоўся на фільмы з цыклу “Дурныя сімфоніі”, хоць першапачатковыя водгукі пракатчыкаў былі дрэнныя: “Шкілеты не пайшлі, давайце больш мышэй”. Хто ён?|Дысней
Яго паднімаюць разам з шумам|гам
Яго паслухала Ева і была выгнана з рая|аспід
Яго продкамі былі рубель і качалка. Як мы завём яго цяпер?|прас
Яго прымацоўваюць да адзежы|цэтлік
Яго вырабляе маланка, хоць прыпісваюць грому|грымота
Яго вырабляюць з лінейкай у руках|замер
Яго куля не баіцца|баязлівец
Яго праца – залазіць у чужую шкуру|акцёр
Яго з роўнымі правамі можна назваць Аляксандравічам, Уладзіміравічам ці Аляксеевічам, прычым Аляксеевічам двойчы. Назавіце яго прозвішча|Прутков
Яго самка перад размнажэннем павінна напіцца крыві|камар
Яго будавалі ледзь менш стагоддзі – з 1163 па 1257 – і назвалі ў гонар Нашай Спадарыні. Як яго завём мы?|Нотр-Дам
Яго пакуты сталі шэдэўрам ад Іягана Гётэ?|Вертер
Яго страляюць, калі паліць жадаецца|бычок
Яго цягнуць для вызначэння справядлівасці|жэрабя
Яго цягнуць, каб яго выйграць|час
Яго ўчуць можна толькі носам|пах
Ед-ца паглынанні энергіі гукавых хваль|сэбин
Адзінка бактэрыцыднай актыўнасці ЎХ выпраменьванні|бакт
Адзінка часу|суткі
Адзінка гучнасці гуку|белы
Адзінка гучнасці гуку|сон
Адзінка даўжыні ў Англіі|роп
Адзінка даўжыні ў Японіі|кен
Адзінка даўжыні ў паліграфіі|пункт
Адзінка вымярэння ціску; прадпрыемства сілкавання; горад на Ўкраіне|бар
Адзінка вымярэння ціску|бар
Адзінка вымярэння індуктыўнасці|генры
Адзінка вымярэння працы і энергіі|эрг
Адзінка канцэнтрацыі радыёактыўных рэчываў|эман
Адзінка магнітнага струменя; нямы. кампазітар 18–19 стст.|вэбер
Адзінка магнітнага струменя|вэбер
Адзінка масы ў ювелірнай справе|карат
Адзінка спектральнай шчыльнасці струменя выпраменьвання (навуковец ЗША)|янский
Адзінка электрычнай праводнасці|сіменс
Адзінка эфектыўнага папярочнага перасеку столкн. атамных ядраў|барн
Адзінка моўнага ўтрымання (сэнсу), суадносная з марфемай|семема
Адзінка даўжыні ў шэрагу краін Лат. Амерыкі і Партугаліі|браса
Ежа для рыб|корм
Ежа кітоў|криль
Ежа, страва|страва
Ежа|ежа
Адзіная залатая манета Римск. Рэспублікі да рэформаў Кастуся|ауреус
Яднанне з Богам|дух
Адзінка аптэкарскай вагі (роўная 0,062 г)?|гран
Адзінка аптэкарскай вагі (устар.)|гран
Адзінка аптэкарскай вагі (устар.)|драхма
Адзінка аптэкарскай вагі|унцыя
Адзінка арабскага летазлічэння|хіджра
Адзінка вагі ў Старажытнай Грэцыі, Візантыі (9–10 стст.)|абол
Адзінка вагі ў Індыі|адапава
Адзінка ёмістасці ЗША, роўная 158,987 л – гэта нафтавы ... ?|барэль
Адзінка ёмістасці і аб'ёму сыпкі. целаў і вадкасцяў|бушаль
Адзінка часу|хвіліна
Адзінка вышыні гуку|мел
Адзінка геаграфічнага ландшафту|фацыя
Адзінка ціску = 100 кпа|бар
Адзінка ціску|атмасфера
Адзінка дзеяння мастацкага твора|эпізод
Адзінка дынамічнай глейкасці|пуаз
Адзінка дипольного моманту малекул|дебай
Адзінка даўжыні Сонца|парсек
Адзінка даўжыні ў Індыі|косс
Адзінка даўжыні ў Іспаніі, Бразіліі|пасо
Адзінка даўжыні ў Лацінскай Амерыцы|браса
Адзінка даўжыні ў ангельскай сістэме мер|роп
Адзінка даўжыні ў ангельскай сістэме мер|фут
Адзінка даўжыні ў некаторых краінах Лат. Амерыкі|вару
Адзінка даўжыні ў шэрагу краін Лацінскай Амерыкі і Партугаліі|браса
Адзінка даўжыні ў Францыі, роўная 1,949 м|туаз
Адзінка даўжыні ў шматлікіх краінах Лацінскай Амерыкі|вару
Адзінка даўжыні, выкарыстоўваная ў нек-рых нац. неметрических сістэмах адзінак|міля
Адзінка даўжыні, адна дванаццатая фута, роўная 2,54 сантыметра|цаля
