Горад-порт на Ўкраіне|Адэса
Госуд. у Цэнтр. Амерыцы|Беліз
Госуд. у Цэнтр. Амерыцы|Кайман
Госуд. у Цэнтр. Амерыцы|Куба
Госуд. у краінах мусульманскага Ўсходу|эмірат
Госуд. і вяршыня ў Афрыцы|Кенія
Госуд. і рака ў Афрыцы|Нігер
Госуд. узнагарода за адмысловыя заслугі; аповяд А. Чэхава|ордэн
Госуд. узнагарода за адмысловыя заслугі|ордэн
Государево крэсла|трон
Государево месца|трон
Дзяржаў. дзеяч Індыі|Гандзі
Дзяржаўная сімволіка|герб
Дзяржаўная мяжа паміж вашымі жаданнямі і магчымасцямі|права
Дзяржаўная казна ў старажытным Рыме|эрарий
Дзяржаўная казна|фіск
Дзяржаўная кантора для сувязі са светам|МЗС
Дзяржаўная ўзнагарода|медаль
Дзяржаўная сімволіка|сцяг
Дзяржаўная царква ў Англіі|англіканства
Дзяржаўная эмблема|герб
Дзяржаўная забарона вывазу з краіны ці ўвозу ў краіну тавараў, валюты?|эмбарга
Дзяржаўная ці грамадская ўстанова|орган
Дзяржаўны дапаможнік?|датацыя
Дзяржаўны дзеяч, граф, выхавальнік Паўла I|Панин
Дзяржаўны дакумент|закон
Дзяржаўны кашалёк|казна
Дзяржаўны орган у Манголіі?|хурал
Дзяржаўны орган, кіравальны дазволам грамадзянскіх спрэчак і разглядам крымінальных спраў|суд
Дзяржаўны партыйны дзеяч|Акулов
