Дзівасіл|инула
Дзяляга, Пісьменнік і Лайдак (ад твару гэтых персанажаў ідзе аповяд у “Шпацырах вакол барака”), выйдучы на волю, ператварыліся ў ... ?|Губермана
Дземідаў з ТБ-6|Іван
Дэман у аккадской міфалогіі|шеду
Дэман у шумерскай міфалогіі|алад
Дэман з казак Шехерезады|дзіваў
Дэман асяроддзя ў классич. магіі|астарот
Дэманічны персанаж у вераваннях туркменаў і ўзбекаў|ювха
Дэманічная істота ў інш.-греч. міфалогіі|кабир
Дэманстрацыя ці выкананне чаго-небудзь у вызначаны прамежак часу без перапынку|сеанс
Дэманстрацыя фільма ў вызначаны прамежак часу|сеанс
Демьяново страва?|юха
Ден. адзінка Нігерыі|найра
Ден. ед. Алжыра, Бельгіі|сантым
Ден. ед. Анголы; рака ў Анголе|кванза
Ден. ед. Бангладэш|така
Ден. ед. Батсваны|тхебе
Ден. ед. Вугоршчыны|филлер
Ден. ед. Вугоршчыны|форынт
Ден. ед. Старажытнай Русі; сібірская назва вавёркі|вавёрка
Ден. ед. Індыі, Шри-Ланка|рупія
Ден. ед. М'янмы|джа
Ден. ед. Румыніі|лазні
Ден. ед. Сауд. Аравіі|халал
Ден. адзінка Аргентыны, Балівіі, Мексікі|песа
Ден. адзінка Афганістана|пул
Ден. адзінка Балгарыі; мужчынскае імя; задыяк. сузор'е|леў
Ден. адзінка Вялікабрытаніі|пенс
Ден. адзінка Замбіі|нгве
Ден. адзінка Іярданіі; Ірака|филс
Ден. адзінка Маўрытаніі|угия
Ден. адзінка Турцыі; хвост цецерука-самца; муз. инстр|ліра
Ден. адзінка Швецыі; лісцяная частка дрэва; батарэйка|крона
Ден. адзінка Японіі, Малайзіі|сен
Ден. адзінка ў Гане|седи
Ден. адзінка ў Гвінеі|сили
Ден. адзінка на Мальдывах|руфия
Ден. адзінка; мера вагі; перс. рамана “Залатое цяля”|фунт
Ден. падатак з феод. залежнага насельніцтва ў ср.-стагоддзе. Русі|подать
Ден. ед. Мьяньмы|джа
Ден. ед. Аргентыны, роўная 100 сентаво|аустраль
Денежн. адзінка Інш. Русі|мортка
Грашовая паперка добрай якасцю ў 10 рублёў (жарг.)|чирик
Грашовая ед. Інш. Русі|рэзана
Грашовая адзінка (у Старым запавеце)|сикл
Грашовая адзінка Аўстраліі гэта?|даляр
Грашовая адзінка Азербайджана, Туркменістана|манат
Грашовая адзінка Албаніі|лек
Грашовая адзінка Алжыра і Бельгіі|сантым
Грашовая адзінка Алжыра|дынар
Грашовая адзінка Анголы (да студзеня 1977), роўная 100 сентаво|анголар
