Горад у Расіі, Татарстан|Тетюши
Горад у Сірыі|Хама
Горад у Славакіі на аднайменнай рацэ|Нитра
Горад у Славакіі|Жилина
Горад у Славакіі|Кошице
Горад у Славакіі|Попрад
Горад у Славакіі|Прешов
Горад у Славакіі|Трнава
Горад у Смаленскай вобласці|Вязьма
Горад у Сярэдняй Азіі, Кыргызтан|Ош
Горад у Сярэдняй Азіі|Нарын
Горад у Сярэдняй Азіі|Ташаўз
Горад у Сумской вобласці, на Ўкраіне|Глухов
Горад у Сьера-Леонэ|Бо
Горад у Таджыкістане|Куляб
Горад у Таджыкістане|Нурек
Горад у Таджыкістане|Пяндж
Горад у Таджыкістане|Регар
Горад у Тайландзе|Нан
Горад у Тайландзе|Так
Горад у Танзаніі, на беразе оз. Вікторыя|Мванза
Горад у Цярнопальскай вобласці на рацэ Збруч|Скалат
Горад у Тэхасе|Амарилло
Горад у Таго|Анехо
Горад у Туве|Чадан
Горад у Тул. вобл.|Алексин
Горад у Тульскай вобласці, прыстань на Ацэ|Алексин
Горад у Тульскай вобласці|Ліпкі
Горад у Туркменіі, абласны цэнтр|Ташаўз
Горад у Туркменіі|Керки
Горад у Туркменіі|Теджен
Горад у Туркменістане|Мары
Горад у Туркменістане|Ташаўз
Горад у Туркменістане|Теджен
Горад у Турцыі на мяжы з Грузіяй|Посов
Горад у Турцыі, адм. цэнтр аднайменнага иля|Мараш
Горад у Турцыі, адм. цэнтр|Эдирне
Горад у Турцыі, порт на Чорным моры|Синоп
Горад у Турцыі, цэнтр аднайменнага вілаета|Чорум
Горад у Турцыі|Акшехир
Горад у Турцыі|Бурса
Горад у Турцыі|Карс
Горад у Турцыі|Окам
Горад у Турцыі|Татван
Горад у Цюменскай вобл. на аднайменнай рацэ|Ишим
Горад ва Удм. АССР|Глазов
Горад ва Ўдмуртыі|Гульня
Горад ва Ўзбекістане, у Ферганскай вобл.|Коканд
Горад ва Ўзбекістане, газавае радовішча|Газли
Горад ва Ўзбекістане, дзе знаходзіцца былы палац Худояр-хана|Коканд
Горад ва Ўзбекістане; рака ў Дагестане|Акташ
Горад ва Ўзбекістане|Акташ
Горад ва Ўзбекістане|Ассака
Горад ва Ўзбекістане|Ахунбабаев
Горад ва Ўзбекістане|Гузар
Горад ва Ўзбекістане|Гурлен
Горад ва Ўзбекістане|Джизак
Горад ва Ўзбекістане|Джума
Горад ва Ўзбекістане|Каган
Горад ва Ўзбекістане|Касан
Горад ва Ўзбекістане|Нукус
Горад ва Ўзбекістане|Пайтуг
Горад ва Ўзбекістане|Ургут
Горад ва Ўзбекістане|Ханка
Горад ва Ўзбекістане|Хива
Горад ва Ўзбекістане|Челек
Горад ва Ўзбекістане|Чиназ
Горад ва Ўзбекістане|Чуст
Горад ва Ўзбекістане|Шават
Горад ва Ўзбекістане|Шырынь
Горад ва Ўкраіне, Кіеўская вобл.|Фастов
Горад ва Ўкраіне, Чаркаская вобл.|Канев
Горад ва Ўкраіне, у Чаркаскай вобласці|Умань
Горад ва Ўкраіне|Брады
Горад ва Ўкраіне|Разынкі
Горад ва Ўкраіне|Калуш
Горад ва Ўкраіне|Лубны
Горад ва Ўкраіне|Ромны
Горад ва Ўкраіне|Стрый
Горад ва Ўкраіне|Токмак
