Ёю трасуць багатыя|мошна
Жалезная пласціна, выкарыстоўваная для засцярогі капытоў ездавой жывёлы ад удараў|падкова
Жалезнае дрэва; дрэвы і хмызнякі|парротия
Чыгуначная каляска|дрызіна
Чыгуначны сродак перасоўвання|дрызіна
Жалезныя цуглі з пад'ёмнай распоркай у неба|муштук
Жалезны стрыжань гонару|гонар
Жалезны ліст з ручкай, што зачыняе ўваходная адтуліна ў печы|засланка
Жоўтая акацыя (дрэвы і хмызнякі)|карагана
Жоўты гарлачык|скарбонка
Жоўтая дробная кіслая ягада, масла якой валодае гаючымі ўласцівасцямі|абляпіха
Жоўты раслінны пігмент|каратын
Жамчужна-белы кальцыт з перламутравым адлівам|аргентин
Жонак. камізэлька ва ўкраінцаў|керсетка
Жонка Артура (і палюбоўніца Лансялота?)|Гуинивер
Жонка Сталіна|Аллилуева
Жонка Орфея ў інш.-греч. міфалогіі|Эўрыдзіка
Жонка Геракла ў старажытнагрэцкай міфалогіі|Деянира
Жонка Пярсея, адваяваная ім у марской пачвары|Андрамеда
Жонка брата ці сына|ятроўка
Жонка брата ці жонка сына|ятроўка
Жонка інш.-грэцкага міфічнага героя Траянскай вайны Адысея|Пенелопа
Жонка праваслаўнага святара|пападдзя
Жаночая адзежа|кофта
Жаночая адзежа|палантын
Жаночая ворная адзежа ў італьянцаў|джакетта
Жаночая пальчатка без пальцаў|митенка
Жаночая прычоска ў выглядзе пучка на верхняй частцы галавы|бабетта
Жаночая частка кветкі|гинецей
Жаночая расліна канопляў|матерка
Жаночы галантарэйны выраб|калготкі
Жаночае галаўное каштоўнае ўпрыгожванне|дыядэма
Жаночае імя (лат. калядная, прыродная)|Наталля
Жаночае імя, якое азначае каханне|Еўдакія
Жаночае імя, расійская эстрадная спявачка|Раксана
Жаночае імя, па значэнні сінанімічнае імя Марына|Пелагея
Жаночае імя|Аграфена
Жаночае імя|Агрыпіна
Жаночае імя|Адэлаіда
Жаночае імя|Анастасія
Жаночае імя|Анжаліка
Жаночае імя|Антаніда
Жаночае імя|Антаніна
Жаночае імя|Валера
Жаночае імя|Васіліса
Жаночае імя|Глафіра
Жаночае імя|Глікерыя
Жаночае імя|Яўлампія
Жаночае імя|Жазэфіна
Жаночае імя|Зінаіда
Жаночае імя|Ізольда
Жаночае імя|Караліна
Жаночае імя|Клаўдзія
Жаночае імя|Крысціна
Жаночае імя|Лаліта
Жаночае імя|Лукер'я
Жаночае імя|Людміла
Жаночае імя|Меланья
Жаночае імя|Ревекка
Жаночае імя|Рыма
Жаночае імя|Руфіна
Жаночае імя|Сцепаніда
Жаночае імя|Усціння
Жаночае імя|Феўроння
Жаночае імя|Хрысціна
Жаночае імя|Цэцылія
Жаночае імя|Шарлота
Жаночае імя|Эвяліна
Жаночае імя|Эльвіра
Жаночая сукенка спец. пакроячы для верхавой язды|амазонка
Жаночыя узконосые боцікі на высокіх абцасах на Ўкраіне|черевики
Жаночыя пакаёвыя чаравікі|пантофлі
Жаночыя паўпальчаткі з адкрытымі пальцамі|пульсэткі
Жаночы ўнівермаг у Маскве|Таццяна
Жаночы дваранскі тытул у некаторых краінах Заходняй Еўропы|маркіза
Жаночы паклон з неглыбокім прысяданнем як знак прывітання, падзякі|рэверанс
Жаночы тытул у Расіі|баярыня
Жаночы тытул у Расіі|дваранка
Жаночы тытул у шэрагу краін|княгіня
Жаночы тытул у некаторых краінах|графіня
Жанчына з вельмі цёмнымі, чорнымі валасамі|брунэтка
Жанчына ў племі ваяўніц у інш.-греч. міфалогіі|амазонка
Жанчына лёгкіх паводзін, змешчаная на ўтрыманні|какотка
Жанчына народа Камбоджы|кхмерка
Жанчына па стаўленні да мужчыны, якім складаецца ў афіцыйным шлюбе|жонка
Жанчына, якая пакутуе клікунствам, істэрыяй|клікуша
Жанчына, што вылазіць не толькі са скуры, абы спадабацца|какетка
Жанчына, герой ВОВАЎ, снайпер|Пятрова
Жанчына, якая жыве за чужы рахунак|тунеядка
Жанчына, што займае жылое памяшканне па найманні|жиличка
Жанчына, якая жыве на ўтрыманні свайго палюбоўніка|какотка
Жанчына, якая ўмее танчыць, а, калі не ўмее, то ўсё адно танчыць|танцорка
Жанчына, якая публічна выконвае творы мастацтва|артыстка
Жанчына, пазбаўленая чаго-небудзь|лішэнка
Жанчына, нашчадак ад шлюбу белых і неграў|мулатка
Жанчына, што імкнецца зацікавіць сабой, спадабацца|какетка
Жанчына-ваяўніца (міф.), вершніца|амазонка
Жанчына-нашчадак змяшаных шлюбаў белых і індзейцаў (іспанцаў у Лат. Амерыцы, рускіх і алеўтаў і інш.)|крэолка
Жрыца, якая захоўвала вечны агонь Старажытнага Рыма|вясталка
Часопіс, у якім супрацоўнічаў А. П. Чэхаў|аскепкі
Часопіс, у якім працаваў Чэхаў|глядач
Жук сем. лістаедаў, шкоднік травы|пьявица
Жук сем. пластинчатоусых|гнаявік
Жук сямейства пластинчатоусых, галавач|кравчик
Жук, які спецыялізуецца на нанясенні шкоды таполі і асіне|скрыпун
Жук, у якога надкрылы з яркімі рознакаляровымі тальмахамі|стракач
Жук, што выклікае заўчасны апад лісця|букарка
Жук, які жыве ў стаялай ці павольна бягучай вадзе|плавунец
Жук, членістаногае казурка|багамол
Жук-шашолка|каратканосік
Жук|вадалюб
Жук|горбатка
Жук|дрывасек
Жук|жыгалка
Жук|жужаль
Жук|зярняўка
Жук|краевик
Жук|ощупник
Жук|пажарнік
Жук|ромбовик
Жук|святляк
Жук|трупоед
Жук|трухляк
