Адзіны трохкратны Чэмпіён Свету?|Пеле
Калі мы не з гліны злеплены, то і не чым капуста які сёрбаецца?|лапаць
Калі на рожы – скура, то на тварыку – ...|скурка
Калі ён дакладны, крушэнні не будзе|курс
Калі яна ў яе, значыць, усё якраз як|літара
Калі яны прошаныя, то лепш татарына|госці
Калі яны на нагах, то кайданы, калі на руках, то бранзалеты|кайданы
Калі яно літаратурнае, тое гэта – плагіят?|крадзеж
Калі ад адной трыганаметрычнай функцыі адняць дзве літаркі, тое атрымаецца іншая функцыя|сінус
Калі ад часткі горада адняць адну літару, тое атрымаецца чацвёртая прыступка гамы|кварта
Калі першы – грашовы мяшок, а другі – Чырвоны (Прыгожы), то які будзе чацвёрты?|Іван IV Грозны
Калі пры адпраўцы тэлеграмы не хапіла грошай на адно слова, то два словы трэба напісаць ... ?|злучна
Калі з лыжкай сямёра, то з ёю – адзін|сошка
Калі самка крычыць “вік-вік-вік”, а птушаня, як правіла застаецца адзін у гняздзе і часта больш сваіх карміцеляў, тое што крычыць самец?|ку-ку
Калі службовы, тое не вітаецца|раман
Калі цела падобна ножнам, тое што ж па меркаванні Джами – меч?|душа
Калі ты знайшоў на шчасце падкову, значыць хтосьці іншы нядаўна адкінуў ... Прапушчанае слова ў КВЗ-ской жарту?|капыты
Калі ў Дыяны – грудзі, тое што ў Флоры|шчокі
Калі ў вас ёсць мыла і зэдлічак, тое гэта не нагода, каб у яе лезці|завеса
Калі ў яе шэсць памагатых, тое дзіцё сапраўды без вока|нянька
Калі чалавека нельга купіць, тое яго можна прадаць – краіна, у якой жывуць ганарлівыя людзі, якія кіруюцца гэтым правілам|Чачня
Калі гэтай штуцы надасі паскарэнне, то атрымаеш сілу (Мазда, Цягач, Молат, Маса)|маса
Естеств. вадаём|возера
Натуральнае “пакаванне” плёну|лупіна
Натуральная ці штучная пячора?|грот
Прыродазнаўчая навука, якая вывучае зоркі|астраномія
Прыродазнаўчая навука, навуковая дысцыпліна (пэўная)|хімія
Натуральная поўсць|бавоўна
Натуральнае і штучнае аб'яднанне канёў|табун
Натуральнае следства самапавагі|манера
Натуральнае збудаванне з каралаў|атол
Натуральнае ўгнаенне, пласт глебы|перагной
Натуральнае ўгнаенне|гуана
Натуральныя абломкі ці дробненая горная парода (памер 1–10 гл)|друз
Натуральны абразіўны матэрыял|гранат
Натуральны абразіўны матэрыял|кварц
Натуральны абразіўны матэрыял|пемза
Натуральны алюр каня|галоп
Натуральны водны струмень|рака
Натуральны вадаём?|возера
Натуральны паветраплавальнік?|воблака
Натуральны ці штучны струмень, які зрыньваецца ўступамі|каскад
Натуральны конкурс у прыродзе|адбор
Натуральны адбор пры ўступных іспытах|адсеў
Натуральны супрацьмалярыйны прэпарат, што атрымліваецца з кары дрэва|хінін
Ёсць у восені першапачатковай сумная, але дзівосная ... (Ф. І. Тютчев)|пара
Ёсць легенда, што нейкі вязень раскладваў гэты пас'янс некалькі гадоў запар, і ён не сышоўся ні разу. Як завецца гэты пас'янс?|вязень
Ёсць аматары, якія прылепяць яго і на тавар, і на чалавека|цэтлік
Ёсць на Волзе ... , дзікім мохам аброс (песенн.)|уцёс
Ёсць на каліфарнійскай зямлі такое мястэчка – Йорба ... , дзе нарадзіўся будучы амерыканскі прэзідэнт Рычард Ніксан|Лінда
Ёсць на святле тры дзюры – Тэрмез, Кушка і ...|Мары
Ёсць такая армейская прыказка: “Салдат спіць, ... ідзе”|служба
Ёсць такая народная прыказка: “... кажа наўздагад”?|кум
Ёсць такая разнавіднасць гульні ў шашкі – дужыя, а як завецца процілеглая ёй па сэнсе?|паддаўкі
Ёсць танец твіст. А што азначае слова “твіст” першапачаткова?|прадзіва
Ёсць толькі адно званне, якое даецца пераможцу спартовых спаборніцтваў на ўсё жыццё. Што гэта за званне?|алімпійскі чэмпіён
Ёсць ва ўзгорка?|схіл
Ёсць, знайшоў! – вокліч радасці з нагоды з'яўленні ў галаве новай ідэі, рашэнні праблемы і т. п.|эўрыка
Яшчэ ... – і вораг бяжыць (поэтич.)|напор
Яшчэ ў ХI павеку ... Хайям рассмотел усе варыянты рашэння кубічнага уровнения геаметрычнымі метадамі, хоць іншых заклікаў часцей зазірацца на прыгожых жанчын ды на куфель віна?|Амар
Яшчэ ў дзяцінстве які кахаў жартаваць Гершеле Острополер зайшоў аднойчы да суседа-гадзіншчыку і папытаў паправіць тое, што прынёс з сабой, аргументуючы гэта адставаннем на паўгадзіну. Што ж ён прынёс?|пеўня
Яшчэ ў старажытнасці гэты таджыка-персідскі паэт сказаў, што “талент і веды – яркае святло, без іх з цемры зыходу няма”|Рудаки
Яшчэ не галоп, але ўжо не крок|рысь
Яшчэ не пярына але ўжо не прасціна|матрац
Яшчэ не самагонка, але нецярплівыя ўжо п'юць|брага
Яшчэ некалькі стагоддзяў назад людзі лічылі іх вынікам згушчэння выпарэнняў зямлі ці гнілой арганікі, уздзеяннем расы ці ўдарам маланкі. Пра што гаворка?|грыбы
Яшчэ адзін атрыбут баявога адзення Чапаева|кучомка
Яшчэ адзін сродак, якое паляпшае апетыт. Эван Эзар|дыета
Ёю д’Артаньян заваяваў Парыж|шпага
Ёю завалены гаўбцы|тара
Ёю затыкаюць немаўлятам рот|соска
Ёю не гэтулькі хварэюць, колькі яе прышчапляюць|воспа
Ёю рана ці позна канчаюць усе ельцынскія паплечнікі|апала
