Дэталь рускай хаты|стаяк
Канапка з прыпаднятым падгалоўем|канапе
Дывідэнды ад каровы|удой
Дывідэнд ад прызнання|слава
Дыджэй з групы “Хлапечнік”|грув
Диего Веласкес як іспанскі заваёўнік Кубы?|канкістадор
Дыетычны прадукт – малако, заквашанае адмысловымі бактэрыямі|ацыдафілін
Дзікая котка, чый самец папросту можа з'есці сваіх дзетак|пантэра
Дзікая хмызняковая ружа|шыпшыннік
Дзікі конь|мустанг
Дзікае капытнае|мустанг
Дзікарослы лук густоўна часныку|чарэмшына
Дзікі аўстралійскі сабака|дынга
Дзікая афр. конь|зебра
Дзікі афрыканскі паласаты конь|зебра
Дзікая і прыручаная птушка|голуб
Дзікая ці хатняя птушка, якая жыве ў вады|качка
Дзікая котка, што насяляе ў приречных зарасніках|хаўс
Дзікая котка, хвацка ўмелая плаваць?|ягуар
Дзікая котка, ушанаваная ў мянушку вялікага рускага брамніка?|пантэра
Дзікая котка|ацэлот
Дзікая лясная свіння з моцнымі, вострымі ікламі|кабан
Дзікі конь, сцёртая з твару зямлі|тарпан
Дзікая рябинка|піжма
Дзікая свіння, вяпрук|кабан
Дзікая качка|крыжанка
Дзікія цюльпаны – асфодели – у антычную эпоху сеяліся на магілах, бо, па старажытных адданнях, гэтыя кветкі раслі... дзе? “у ...”|Аідзе
Дзікі “прабацька” люстранога карпа|сазан
Дзікі баран|муфлон
Дзікі бык; дзіцячая мянушка Савы Марозава|бізон
Дзікі бык|бізон
Дзікі бык|гаўр
Дзікі бык|купрей
Дзікі голуб|турчык
Дзікі гнеў (па Далю)|ярына
Дзікі горны баран|аргал
Дзікі звер?|вяпрук
Дзікі лук, па гусце які нагадвае часнык|чарэмшына
Дзікі гультаяваты звярок, твор Людвіга Ван Бетховена|сурок
