Руковод. цэхі на заводзе|майстар
Румынск. хімік, чал. АН Румыніі з 1948, скончыла Ясский ун-т|Рипан
Румынская “капейка”|лазні
Румынская нацыянальная гульня тыпу лапты|ойна
Румынскі архітэктар|Марку
Румынскі горад|Васлуй
Румынскі графік|Жикиди
Румынскі жывапісец і графік першай паловы 20 стагоддзі|Изер
Румынскі жывапісец, аўтар палатна “адпачынак касцоў”|Рессу
Румынскі жывапісец|Баба
Румынскі жудец|Галац
Румынскі абаронца Лечэ?|Попеску
Румынскі і малдаўскі народны вандроўны спявак-музыка|Лэутар
Румынскі кампазітар, піяніст. Опера “Эдип”|Энеску
Румынскі народны аркестр|Тараф
Румынскі скульптар, “Які адпачывае лучнік”|Джалячы
Румынскі павет|жудец
Румынскі хімік, віцэ-прэзідэнт Акад. Румыніі?|Симионеску
Румынская і малдаўская страва з рубцамі|скимбя
Румяныя шчокі нагадваюць гэты плён з пухнатай скуркай|персік
Рунный калектыў|атара
Рупар на батарэйках?|мегафон
Рус. : адвакат; юрыст|Андрэеўскі
Рус. : адвакат|Андрэеўскі
Рус. : мастак; архітэктар|Бенуа
Рус. : мастак|Бенуа
Рус. : юрыст, ганаровы акадэмік|Коні
Рус. адвакат, паэт, абаронца на працэсе “нечаевцев”|Ольхин
Рус. адмірал|Грейг
Рус. акцёр 18 ст.|Ожегин
Рус. акцёр|Арбенин
Рус. акцёр|Юр'еў
Рус. акцёры (браты) 19–20 стст.|Адельгейм
Рус. акторка|Аксенкова
Рус. акторка|Лилина
Рус. антраполаг, географ, этнограф і археолаг|Анучин
Рус. архітэктар, Барадзінскі мост|Клейн
Рус. архітэктар; сав. веласіпедыст|Шухов
Рус. архітэктар|Квасаў
Рус. архітэктар|Старов
Рус. архітэктар|Фамін
Рус. архітэктар|Шухов
Рус. астраном|Вильев
Рус. балярына|Андреянова
Рус. балетмайстар і педагог|Петипа
Рус. балетмайстар, артыст балета; сав. футбаліст|Фокин
Рус. балетмайстар, артыст балета|Фокин
Рус. бібліёграф (часопіс “Вулей”)|Анастасевич
Рус. бібліёграф|Межов
Рус. біёлаг, адзін з осн. палеоэкологии|Рулье
Рус. біяхімік; нямы. кампазітар|Бах
Рус. біяхімік|Опарин
Рус. батанік і энтамолаг, организ. ботан. саду ў Крыму|Стевен
Рус. ветэрынарны лекар|Равич
Рус. воен.-мор. тэарэтык|Скарба
Рус. вальнадумец|Башкин
Рус. усходазнавец|Тураев
Рус. лекар, аўтар падручніка судовай медыцыны|Грамоў
Рус. лекар|Гиаз
Рус. генерал ад кавалерыі, граф|Смалены
Рус. генерал, шатландзец па паходжанні|Гордан
Рус. геадэзіст|Лужин
Рус. геолаг, адзін з заснавальнікаў палеоэкологии|Андрусов
Рус. геолаг|Абих
Рус. гітарыст-віртуоз|Сихра
Рус. гітарны майстар|Акопов
Рус. гліняная літаўра|Накра
Рус. горны інжынер|Тиме
Рус. горны інжынер|Узатис
Рус. дзекабрыст, сябар А. Пушкіна|Пущин
Рус. дзекабрыст; сав. шахм. майстар, педагог|Паноў
Рус. дзекабрыст|Ивашев
Рус. дзекабрыст|Лунин
Рус. дзекабрыст|Паноў
Рус. дзекабрыст|Розен
Рус. дзекабрыст|Сутгоф
Рус. дыпламат 15–16 стст.|Стома
Рус. адзінка масы|лот
Рус. прыродазнавец|Герд
Рус. жаночая парадная сукенка ў 16–17 стст.|летнік
Рус. жывапісец 17 ст.; сав. валейбаліст|Савин
Рус. жывапісец 17 ст.|Савин
Рус. жывапісец-перадзвіжнік|Неврев
Рус. выдавец і кнігапрадавец|Риккер
Рус. выдавец|Сытин
Рус. ілюзіяніст|Лонго
Рус. гісторык, бібліёграф|Аделунг
Рус. гісторык, дзярж. дзеяч|Болтин
Рус. гісторык, прафесар|Лаппо
Рус. гісторык|Ахшарумов
Рус. гісторык|Эверс
Рус. кнігавыдавец|Ефрон
Рус. кампазітар 19 ст.; сав. біятланіст; сав. бабслеіст|Алябьев
Рус. кампазітар 19 ст.|Аренский
Рус. кампазітар|Метнер
Рус. караблебудаўнік; сав. хірург|Амосаў
Рус. крэпасць на левым беразе Амура ў 17 ст.|Албазин
Рус. селянін-араты|ратай
Рус. майстар струнных муз. прылад|Батов
Рус. мера даўжыні|кропка
Рус. мера ёмістасці для вадкасцяў; тканіна|штоф
Рус. мера ёмістасці для вадкасцяў|штоф
Рус. мера вадкасцяў (1/200 частка вядра)|чарачка
Рус. мера аб'ёму|вядро
Рус. металург 19 ст.; персанаж аповяду А. Купрына|Аносов
Рус. механік і вынаходнік|Нартов
Рус. мітрапаліт, дамогся незалежнасці ад Канстанцінопаля|Іёна
Рус. манета 15 ст.|пула
Рус. мараплавец і географ|Литке
Рус. мараплавец; нямы. мікрабіёлаг|Беринг
Рус. мараплавец|Беринг
Рус. назва кабана|вяпрук
Рус. назва караляў|обнизь
Рус. назва п-у Ханко|Гангут
Рус. назва хуткастрэльнай шматствольнай прылады 16–17 ст.|сарока
Рус. нар. гульня|бабкі
Рус. нар. песня; ягаднае дрэва|рябина
Рус. нар. песня|рябина
Рус. нар. казка|марока
Рус. народная гульня|свайка
Рус. народная казка; муз. камедыя Аедоницкого|репка
Рус. народная казка|репка
Рус. нарадаволец|Андреюшкин
Рус. общ. дзеяч|Баллин
Рус. акольнічы (браты)|Адашев
Рус. патрыярх, ініцыятар расколу царквы|Нікан
Рус. спявак, нар. артыст, спяваў у Бол. тэатры|Рейзен
Рус. спявачка (сапрана)|Линева
Рус. піяніст, дырыжор|Зилоти
Рус. пісьменнік (1891–1977)|Ваўкоў
Рус. пісьменнік (изд. часопіса “Аскепкі”)|Лейкин
