Светла-сіні колер, сінь|блакіт
Збор кіраваў, якіх прытрымваецца любая ўстанова|статут
Збор кіраваў, што рэгулююць правы і абавязкі (напр., арганізацыі), парадак дзеянняў і нясенні службы|статут
Збор кіраваў?|статут
Збор рэлігійных і юрыдычных правіл, заснаваных на Каране|шарыят
Зводка надвор'я, выяўленая вершамі|лірыка
Зборная ведамасць пра стан прыходна-расходных сродкаў прадпрыемства на вызначаную дату|баланс
Зборны брат Гермеса, які нарадзіўся ад Зеўса і Электры, сёстры маці Гермеса|дардан
Скляпеністае перакрыцце|купал
Скляпеністая топачная адтуліна ў вялікай печы, горане|чало
Скляпеністая зала, адкрыты з боку ўнутранага двара|айван
Своеасаблівая спецыялізацыя акцёра на выкананне роляў, найболей адпаведнае яго вонкавым сцэнічным дадзеным|амплуа
Своеасаблівая спецыялізацыя акцёра на выкананні роляў|амплуа
Своеасаблівае, блізкае да сну стан чалавека|гіпноз
Своеасаблівыя кароткачасовыя глядзельныя, слыхавыя і іншыя адчуванні?|аўра
Своеасаблівым цёзкай рускай дысідэнткі, больш вядомай у якасці загалоўнай гераіні мастацкага твора, з'яўляецца прыморскі горад, назва якога вам мае быць паведаміць|Хвядоса
Свае нататкі паэт назваў “Вандраванне ў ...”|Арзрум
Свае людзі ў парламенце|лобі
Свая хата, сям'я|агмень
Сваё дзіця заўсёды – непаседа, а чужы – ...?|цаца
Свой хвост хваліць|ліса
Ўласцівае шматлікім рэлігіям уяўленне бажаства ў чалавечай выяве|антрапамарфізм
Уласцівасць велічынь, якое складаецца ў тым, што значэнне велічыні, што адпавядае цэламу аб'екту, роўна суме значэнняў велічынь, якія адпавядаюць яго|адытыўнасць
Уласцівасць вачэй глядзець у розныя бакі|косина
Ўласцівасць далечы|сінь
Уласцівасць гуку, дзякуючы якому мы адрозніваем Эдиту Пьеху ад Алы Пугачовай|тэмбр
Уласцівасць гуку, дзякуючы якому мы адрозніваем саксафон ад кларнета|тэмбр
Уласцівасць і стан змякчэлага, палатализованность (у лінгвістыцы)|смягченность
Уласцівасць вымерае. сістэмы ці сістэмы рэгулявання|астатызм
Уласцівасць матэрыі, якое часта бывае залішнім|вага
Ўласцівасць натуры|шырата
Ўласцівасць чаго-небудзь, успрыманае нюхам|пах
Уласцівасць чалавечага арганізма, “якое спарадзіла” прымаўку “зараза да заразы не прыстае”?|імунітэт
Уласцівасць, адметная асаблівасць|чорта
Зграя сабак|зграя
Сваю статую, убраную ў старажытнарымскую тогу мудрага заканадаўца, ён збіраўся ўсталяваць на Чырвоным пляцы. А хто ён?|Напалеон
Злучанае з гукам, гукавое|аўдыё
Злучаны пук каласоў|сноп
Злучаны з бачным, візуальным уражаннем|відэа
Злучаны з крэмніем і яго злучэннямі, напр. сілікатны клей (водны раствор силиката натрыю, “вадкае шкло”)|силик
Сувязі і ўзаемазалежнасць якіх-небудзь з'яў рэчаіснасці; неабходнае і ўстойлівае стаўленне паміж з'явамі|закон
Звязак галінак, дубцоў, сухіх доўгіх сцеблаў|венік
Звязак ці пачак прадметаў, якія ляжаць адзін на іншым|стос
Звязак дубцоў, галля для ўмацавання адхонаў, насыпаў, дарог па балоце, для ношкі плытоў|фашына
Звязак дубцоў, галля, чаротаў для ўмацавання насыпаў|фашына
Звязак сціснутых сцеблаў з каласамі|сноп
Звязак зрэзаных сцеблаў з каласамі, што вязалі рускія сялянкі падчас жніва|сноп
Звязак хлебных сцеблаў|сноп
Звязак, стос; смута; назва ўрагану ў Татарыі|бунт
Звязак, бярэмя|пук
Злучная ў швіва|нітка
Злучэнне абяцаннем, дамовай|ангажыраванне
Сувязь без правадоў і адлегласцяў – так назваў гэта сваё вынаходства А. С. Папоў|радыё
Сувязь паміж дзвюма ці больш адчуваннямі, уяўленнямі, паняццямі і т. д.|асацыяцыя
Сувязь паміж выявамі, адчуваннямі і т. п., калі адно выклікае іншае|асацыяцыя
Святая гара ў Грэцыі|Афон
Святая заступніца Кіева?|Сафія
Святая, чыё імя далечы ляльцы, якая кіруецца з дапамогай нітак|Марыя
Свяцілішча антычнага храма|наос
Свяцілішча антычнага храма|целла
Свяцілішча старажытнаегіпецкага храма|секос
Каляды ў Наўгародскай і Валагоцкай губернях Расіі|кудеса
Святое слова для Гаргантюа|ежа
Святы ў славянскай міфалогіі|Никола
Святы, якому хрысціяне прысвяцілі геліятроп|Стэфан
Блюзнерства ў розных яго формах|асебия
Свящ. крыніца поруч Каабы ў Мецы|замзам
Святая вайна мусульман супраць іншаверцаў|джыхад
Святая кніга юдэяў|талмуд
Святая кніга сікхоў|адигрантх
Святая рака індусаў|Ганг
Святар у праваслаўнай царкве|іерэй
Святар у пратэстанцкай царкве|пастар
Святар каталіц. прыходу ў Францыі і Бельгіі|кюрэ
Святар каталіцкага прыходу ў Францыі і Бельгіі?|кюрэ
Святар каталіцкай царквы ў Польшчы|ксёндз
Святар, агент ахранкі, ініцыятар шэсця пецярбургскіх працоўных да Зімовага палаца 9 студзеня 1905 г.|Гапон
Святар, агент цар. ахранкі, ініцыятар “крывавы. воскр.”|Гапон
Святар, частка стараверства, ідэолаг раскольніцтва ў ХVII ст.|Авакум
Святар, пачынальнік теч. у хрысціянстве ў 4–6 стст.|Арый
Святар; у гульні мястэчкі – вертыкальна пастаўленае мястэчка (цурка)|поп
Святар|поп
Святое Пісанне – кнігі Бібліі, прызнаваныя царквой боговдохновенными|канон
Святы маляўнічы малюнак|абраз
Святая жывёла ў Індыі|карова
Святое апусканне ў ваду ў прыхільнікаў юдаізму|миква
Святое адданне 7–9 ст. у ісламе|суна
Святая расліна ў Індыі і Кітаі|лотас
Святары і царкоўныя служкі|клір
Святар у ісламе|мула
Святыя кнігі ў некаторых старажытных народаў Ірана, Сярэдняй Азіі, Азербайджана і Афганістана|авеста
Святыя рэлігійныя кнігі, помнікі інш.-індыйскай літаратуры (кон. 2-го пач. 1-го тыс. да н. э.)|веды
Святы бык у старажытных егіпцян|апис
Святы бык, зямное ўвасабленне бога Пта|апис
Святая егіпецкая кветка, добра вядомы савецкім прачкам|лотас
Святы камень Зеўса, цэнтр свету ў грэцкай міфалогіі|омфал
Святы напой, дурман у древнеинд. рэлігіі і міф.|сома
Святая пасудзіна, страва на падножжы|дискос
Святая кветка індусаў|лотас
Згарэў за навуку|Бруна
Згустак у крывяноснай ці лімфатычнай пасудзіне|тромб
Згушчэнне цемры|цямрэча
Здушаны круг|авал
Зрух па фазе, але ў патрэбным для мастацтва кірунку|талент
Зробленае з мяккага матэрыялу ёмішча для чаго-небудзь сыпкага, для розных дробных прадметаў|мяшок
Угода куплі-продажы иностр. валюты ці каштоўных папер|локо
Ўгода мелкоспекулятивного характару|гешэфт
Угода з неадкладнай аплатай|спот
Угода з прэміяй|апцыён
Здобная булачка адмысловай формы|бриошь
Серыя гумарыстычных малюнкаў|комікс
Себасцьян Перейра (артыст)|Негоро
Сабе не прыналежыць|раб
Сабе просяць шчасці, імкненні да выгоды, пакоры, цярпенні ў скрусе. Адразу ўсяго просяць для ўціхамірвальніка ганарлівых і захавальніка слабых. А чаго просяць у першую чаргу?|захоўваць цара
Сябе залічыць у Сцены Плачу павінна Крамлёўская ... . Лёсы расійскай няўдача – на ёй габрэяў імёны (І. Губерман)|сцяна
Самалюб|эгаіст
Сябелюбнасць, перавага сваіх асабістых інтарэсаў інтарэсам іншых, грэбаванне да інтарэсаў грамадства і атачальных|эгаізм
Сябелюбнасць?|эгаізм
Сяўба. птушка|сявец
Сяўба. сузор'е|Андрамеда
