Самы буйны ангельскі конь-цяжкавоз|Шайр
Свяціла, якое ўплывае на прылівы і адлівы|месяц
Свяціла, што загубіла Икара|сонца
Свяцільня для аматараў пасцельнага чытання|начнік
Свяцільня на высокай падстаўцы, якая стаіць на падлозе|таршэр
Свяцільня на дзяржальні, звычайна кароткая палка з наматанай на канцы прасмоленым пакуллем|паходня
Свяцільня прымацаваны да сцяны|бра
Свяцільня безуважлівага святла, асвятлялы сцэну спераду і зверху|сафіт
Свяцільня з “канечнасцю”|таршэр
Свяцільня, які павінен дапамагчы гледачу разглядзець акцёра на сцэне|сафіт
Свяцільнасць электрычнай лямпачкі|напал
Светлая мара|мроя
Светлая што ветрыцца камора для прадуктаў, рэзкіх затавак|апофика
Святлічная для Шцірліца|Габи
Светла-блакітная сінтэтычная шпинель|акваджем
Светла-зялёная маладая трава (русск. фальклор)|мурог
Светла-карычневы з жаўтлявы. ці шараваты. адценнем|бэж
