Раўніна ў пустэльні|тар
Розныя змены ў музыцы, уносныя падчас яе выкананні ў сувязі з імправізацыйным стылем гульні|аранжоўка
Розныя физич. велічыні, звычайна якія ўлічваюць прасторавыя фактары дзеяння сіл, якіх-небудзь з'яў|момант
Згнілы ва ўмовах сухога клімату пазнак марскіх птушак|гуана
Разлучэнне, пазбаўленне сувязі з кім-небудзь|адрыў
Размежаванне чальцоў партыі|раскол
Разменная грашовая адзінка Емена|букша
Разменная грашовая адзінка Кітая|фынь
Разменная італьянская манета, была ў звароце да 1947 г.|сольда
Разменная манета Албаніі|кинтар
Разменная манета Афганістана|пул
Разменная манета В'етнама, адна дзясятая частка донга|хао
Разменная манета Гамбіі|бутут
Разменная манета Егіпту, Іярданіі, Лівана, Сірыі, Судану|піястр
Разменная манета Заіра|сенжи
Разменная манета Заходняга Самоа|сене
Разменная манета Ізраілю, 1/100 шекеля|агор
Разменная манета Індыі і Пакістану да 60-х гадоў|ганна
Разменная манета Індыі і шэрагу інш. краін|пайса
Разменная манета Ісландыі|орар
Разменная манета Нігерыі|кобо
Разменная манета Нарвегіі, Швецыі і Даніі|эрэ
