Расійская тэлевізійная прэмія|тэфи
Расійскі лётчык. Заслужаны лётчык-выпрабавальнік СССР (1967), палкоўнік, Герай Савецкага Звяза (1971). Выпрабаванне першага савецкага звышгукавога пасажырскага самалёта Тую-144|Елян
Расійскі літаратуразнавец (1927–97)|Бабаев
Расійскі майстар фотамастацтва (1883–1963)|Оцуп
Расійскі матэматык (1914/15–72)|Линник
Расійскі металург, расчыніў сакрэт выраба булатнай сталі (1799–1851)|Аносов
Расійскі мысляр, обьявленный вар'ятам пасля публікацыі яго “Філасафічных лістоў”?|Чаадаяў
Расійскі акіянолаг, палярны даследнік, доктар геаграфічных навук (1954), Герай Савецкага Звяза (1951)|Самоў
Расійскі пісьменнік (1936–80, “Цыдулкі дысідэнта”)|Амальрик
Расійскі пісьменнік, аўтар раманаў на гістарычныя сюжэты|Пикуль
Расійскі пісьменнік, вядомы чытачам хоць бы па казцы “Тры таўстуна”|Олеша
Расійскі пісьменнік, майстар дэтэктыўнага жанру?|Вайнер
Расійскі пісьменнік, які эміграваў у ЗША|Аксёнаў
Расійскі пісьменнік-фантаст|Нямцоў
Расійскі пісьменнік-гумарыст|Ардов
Расійскі палітычны дзеяч, генерал-маёр (1991), Герай Савецкага Звяза (1988)|Руцкой
Расійскі порт на Азоўскім моры|Ейск
Расійскі паэт, бард|Галіч
Расійскі паэт, парадыст па імі Аляксандр|Іванаў
Расійскі паэт, спявак рускай прыроды, аўтар паэмы “Конь”|Кедрин
Расійскі паэт, рана што пайшоў з жыцця, але яго вершы ведае і памятае не адно пакаленне расейцаў|Рубцоў
Расійскі асветнік, філосаф-дэіст (1733–88)|Аничков
Расійскі скакун у ваду, чэмпіён Алімпійскіх гульняў|Васин
Расійскі псіхолаг (1907–72)|Ананьев
Расійскі выведнік, Герай Савецкага Звяза (1964, пасмяротна), унук Фрыдрыха з такім жа прозвішчам.|Зорге
Расійскі тэлеканал (аббрев.)|НТБ
Расійскі трэнер па фігурным катанні|Жук
Расійскі навуковец, аўтар прац па маркшейдерскому справе (1867–1923)|Бауман
Расійскі навуковы, дзяржаўны дзеяч, адзін з арганізатараў засваення Паўночнага марскога шляху, Кіраўнік экспедыцый на “Седове” (1929–30), “Сибирякове” (1932), “Челюскине” (1933–1934)|Шміт
Расійскі фігурыст, алімпійскі чэмпіён Нагана ў адзінкавым катанні|Кулік
Расійскі фізік (1889–1984)|Линник
Расійскі фізік, адзін з заснавальнікаў квантавай электронікі, Нобелеўская прэмія (1964, сумесна з Прохоровым і Ч. Таунсом)|Басоў
Расійскі фізік-тэарэтык. Нобелеўская прэмія (1958, сумесна з І. М. Франкам і П. А. Черенковым)|Тамм
Расійскі фізік-тэарэтык. Нобелеўская прэмія (1962)|Ландау
Расійскі фізік-тэарэтык|Копаев
Расійскі фізік-ядзернік|Баркаў
Расійскі фізік. Нобелеўская прэмія (1958, сумесна з І. Е. Таммом і П. А. Черенковым)|Франк
Расійскі фізік. Нобелеўская прэмія (1978)|Капица
Расійскі фізік|Абрыкосаў
Расійскі фізік|Алфёраў
Расійскі фізіёлаг (1898–1974)|Анохин
Расійскі фізіёлаг (Нобелеўская прэмія 1904)|Паўлаў
Расійскі фізіёлаг. Нобелеўская прэмія (1904)|Паўлаў
Расійскі фалькларыст, этнограф (1836–1917)|Барсаў
Расійскі футбольны клуб|дынама
Расійскі футбольны клуб|зеніт
Расійскі хімік, працы па поликонденсации, метадам сінтэзу тэрмаўстойлівых палімераў (1908)|Коршак
Расійскі хімік-неорганик (1818–65)|Аўдзееў
Расійскі хімік-арганік (1881–1939), адкрыў (1928–38) 65 новых алкалоідаў|Арэхаў
Расійскі хакеіст, чэмпіён Алімпійскіх гульняў 1972 і 1976 гг.|Якушаў
Расійскі харавы дырыжор (1911–83)|Птушка
Расійскі цыркавы артыст-ілюзіяніст|Кио
Расійскі човен касмічнага значэння|шугавея
Расійскі шахматыст, 4-й чэмпіён свету (1927–35, 1937–46) (1892–1946) (прозвішча не праз Е)|Алехин
Расійскі шахматыст|Авербах
Расійскі экс-прэзідэнт Барыс Ельцын як чалавек, які пакутуе ад страўнікавай хваробы?|язвенік
Расійскі эстрадны спявак|Агутин
Расійскі мовазнавец (1730–91)|Барсаў
Расійскае вынаходства, ладна скарацілае колькасць народанасельніцтва па ўсім зямным шары (аббр.)|АКМ
Расійскае тэлебачанне|РТР
Расійскі экалагічны рух|кедр
Расія (сталіца, цэнтр)|Масква
Расеец “ад САХИ”|якут
Растоў-на-доне да ўсіх іншых гарадоў, акрамя Адэсы|тата
Растоўская вобл., порт на р. Дон (горад)|Азоў
Ліхвяр, персанаж змоўк. Ясеніна “Я спытаў сёння ў ...” (адказ у ім. п.)|мяняла
Парастак (ботанич.)|уцёкі
Парастак новага|всход
Рот (старорусское)|ядок
Рот, у які, вынікаючы прымаўцы, палец класці не рэкамендуецца|пашча
Рот звера, рыбы|пашча
Рот, вусны (устар.)|вусны
Ратвейлер, балонка, мопс (агульнае)|парода
Разявакі, якія глядзяць, як сплываюць іх грошыкі. “Фундатары”, якіх задаўга да “МММ” так вызначыў Поль Декурсель|акцыянеры
Разявака|разявака
Гай з лісцяных дрэў, роднасных таполі?|асіннік
Гай на Ўкраіне|гай
Гай, з якой пчалы носяць выдатны светлы мёд|ліпняк
Якая капае аса|сфекс
Кашуля ў клетачку, з кішэнямі і погончиками?|каўбойка
Кашуля з шырокім каўняром|апаш
Рубеллит, састарэлая назва малінавага турмаліну|апирит
Рубен, сапраўднае імя Фелікс Гарсия Сармьенто, нікарагуанскі паэт|Дарио
Лал у старажытных рускіх|яхант
Рыззё, носнае дэрвішамі і суфиями|хырка
Сечаная салома, якая ўжываецца для выраба цэглы|саман
Рубель – буйны грошык, а капейка|дробязь
Рубчастая тканіна палатнянага перапляцення|піцы
Рубчык на кардоне ці вокладкавай паперы, дзякуючы якому вечка лягчэй расчыняецца|біг
Рубяще-колючая зброя з лязом на ўвагнутым боку клінка ў народаў Блізкага і Сярэдняга Ўсходу|ятаган
Рубяще-колючая халодная зброя са злёгку выгнутым клінком з адным лязом|шашка
Што сячэ і колючая зброя з доўгім прамым клінком, двухбаковавострым да канца|палаш
Якая сячэ і колючая зброя з шырокім кароткім двухбаковавострым клінком на крыжападобнай ручцы|склюд
Што сячэ і колючая зброя?|шабля
Якая сячэ і колючая ручная зброя з выгнутым клінком|шабля
Што сячэ і колючая халодная зброя|палаш
Якая сячэ зброя з кароткім прамым однолезвенным клінком|дуссак
Што сячэ ручная халодная зброя са злёгку выгнутым клінком?|шашка
Якая сячэ халодная зброя|шабля
Што сячэ прылада|сякера
Лаянкавая змяя|аспід
Руда алюмінія|баксіт
Руда жалеза, ігольчастая гор. парода|гетыт
Руда як матэрыял для наступнай перапрацоўкі|сыравіна
Руда медзі|барніт
Руда мыш'яку|арсенапірыт
Руда мыш'яку|аўрыпігмент
Руда ўрана|отенит
Рудня|капальня
Руднае цела памерам у дзясяткі метраў (геол.)|шток
Рудны матэрыял сферычнай формы|акатыш
Рудны матэрыял, які атрымліваецца спяканнем дробных часціц у буйнейшыя|агламерат
Рудны раён Алжыра|Аззаба
Рука, пакрытая касматай поўсцю ці ігліцай|лапа
Рука, што прымае хабар|лапа
Рукаў Волгі|Бузан
Рукі маржа, цюленя|ласты
Руков. нар. восст. на Ўкраіне (1637–38 гг.)|Павлюк
Руковод. цэхі на заводзе; аповяд В. Шукшына; віртуоз|майстар
