Шэры пацук|пацук
Сядушка для весляроў на шлюпцы|слоік
Сядушка для кучара|казлы
Сядзець замінае, але не гемарой|шыла
Сядзіць ... у вязніцы, каса на вуліцы|дзяўчына
Сядзіць Арына, рот разява – гэта?|труба
Прысутны ў вязніцы|вязень
Сіла чорных ведзьмакоў|зло
Сіла, якая перадаецца асяроддзем?|цяга
Сіла, якая перашкаджае руху аднаго цела па паверхні іншага|трэнне
Сіла, што надае паскарэнне мяккаму месцу|штурхель
Сіла, з якой цела дзейнічае на апору, прпятствующую яго вольнаму падзенню|вага
Сілікатны мінерал|нозеан
Силистра (да 14 стагоддзі)|Дристр
Сілавое ўздзеянне, рэзкі штуршок|удар
Сілавое выйсце са сціснутых акалічнасцяў|прарыў
Силушка па-хвацку|удаласць
Моцная бура на моры; п'еса Біль-Белацаркоўскага|шторм
Моцная бура на моры?|шторм
Моцная спякота ад нагрэтага сонцам паветра?|спёка
Моцная нуда, нуда, засмучэнне|маркота
Моцная снежная віхура|завея
Моцная электрич. мера|ампер
Наймоцны шахматыст Расіі першай паловы ХIХ стагоддзі, аўтар першага рускага падручніка шахматнай гульні|Пятроў
Наймоцны штангіст-цяжкавагавік 50–60 гг.|Уласаў
Моцна якая ўзаемадзейнічае часціца|адрон
Моцна і бурна працякалае эмацыйнае перажыванне|афект
Моцна іянізаваны газ (физ.)|плазма
Моцна пахкае рэчыва, выпрацоўваемае залозамі андатры, самца кабаргі і некаторых іншых жывёл|мускус
Моцна які пасвятлеў портер|эль
Моцна прасмоленая драўніна іглічных дрэў|смаляк
Моцна развітыя пярэднія зубы, іклы ці разцы ў некаторых жывёл|біўні
Моцна развіты зуб слана|бівень
Моцна рэкламуемая заправа|кетчуп
Моцна паменшаная і вельмі уплощенная мясцовасць?|карта
Моцнадзейны сінтэтычны наркотык|крэк
Моцная ўзрушанасць, барацьба інтарэсаў|ажыятаж
Моцная ўзрушанасць, хваляванне вакол якой-небудзь справы, пытання|ажыятаж
Моцная ўзрушанасць, хваляванне?|ажыятаж
Моцная ўзрушанасць, запал, гарачае захапленне, гарачыня|рызыка
Моцная ўзрушанасць|экстаз
Моцнае хваляванне на моры|шторм
Моцнае хваляванне, напружанасць пачуццяў|трапятанне
Моцнае ўражанне, произвед. чым-небудзь|эфект
Моцнае месца ў метры верша|икт
Моцнае наркатычнае рэчыва|гашыш
Моцнае недаяданне|голад
Моцнае нервовае ўзрушэнне|шок
Моцная фізічная ці маральная пакута|пакута
Моцнае пачуццё абурэння|злосць
Моцная, амаль хваравітая цяга, прыхільнасць навошта-небудзь|манія
Моцнае, гарачае жаданне чаго-небудзь|смага
Моцныя, штуршкамі, хрыплыя выдыхальныя рухі|кашаль
Моцная атмасферная віхура ў выглядзе цёмнага слупа, які апускаецца з навальнічнага воблака|тромб
Моцны вецер са снегам, віхура|завея
Моцны вецер|віхраслуп
Моцная віхура, падымалы слупом ваду, пясок|віхраслуп
Моцны гнеў|лютасць
Моцны жар у агню|запал
Моцны гук ад чаго-небудзь што зламаўся|трэск
Моцны гук, суправаджальнік маланку падчас навальніцы|гром
Моцная спёка|жар
Моцная спёка|пекла
Моцны і рэзкі парыў ветра|шквал
Моцны спалох|страх
Моцны клев рыбы|жор
Моцны наркотык|ЛСД
Моцны нервова-паралитич. яд расліннага паходжання|курарэ
Моцны імпэтны вецер у некаторых прыморскіх раёнах|бора
Моцны прыступ схваткообразных хварэй?|калаццё
Моцны страх|жах
Моцны холад|мароз
Моцны халодны вецер у прыморскіх мясцовасцях, дующий узімку са схілаў гор|бора
Знак Перамогі, узняты над загінулым Рэйхстагам|сцяг
Знак бясконцасці, носны на пальцу|кольца
Знак вечнасці ў Далечы|яйка
Знак улады манарха?|карона
Знак улады|жазло
Знак добрай якасці, дадатных якасцяў (переносн.)|марка
