Рыба сем. ласосевых|чир
Рыба|слоник
Рыба|сняток
Рыба|сом
Рыба|рыбец
Рыба|качачка
Рыба|хімера
Рыбалка па сваёй сутнасці|лоўля
Рыбацкая талака|чарада
Рыбацкая палка з грушы|квок
Рыбацкая радасць|клев
Рыбін ... прапісваюць пры авітамінозе?|тлушч
Рыбін плаўнік|пяро
Рыбін рэспіратар|жабра
Рыбін статут барракуды|шчупак
Рыбін статут вуаляхвоста|карась
Рыбін статут кархародона|акула
Рыбін статут манты|пахіл
Рыбка, гусеніца, млын, кут, чарапаха, прамакатка, дарожка, хваля – усё гэта прыйшло да нас з Амерыкі і завецца разам... Як?|брэйк-данс
Рыбка, здольная падарожнічаць па сушы|анабас
Рыбны параснік|маляўкі
Рыбная поліўка|щерба
Рыбная спінная струна, якая ідзе як начынне ў пірогі|візіга
Рыбная страва – сечаны селядзец?|фаршмак
Рыбная страва?|заліўная
Рыбная страва|балык
Рыбныя кансервы|сайра
Рыбны ці мясны прадукт сілкавання|паляндвіца
Рыбны перыяд сямейнага жыцця|нераст
Рыбны суп|юха
Рыбалоўчая талака|чарада
Рыболовн. снасць|буч
Рыбалоўная лодка ў памораў; неб. гроб-ветразь. судна на Белым моры|шнека
Рыбалоўная лодка ў памораў|шнека
Рыбалоўная прынада на драпежніка|жывец
Рыбалоўная прынада|опарыш
Рыбалоўная прыналежнасць|гаплік
Рыбалоўная прыналежнасць|лёска
Рыбалоўная снасць у выглядзе накидной сеткі, прымацаванай да доўгай жэрдкі|сумёт
Рыбалоўная снасць, сетка|ярыга
Рыбалоўная снасць; суднавая поршневая помпа|донка
Рыбалоўная снасць|блешня
Рыбалоўная снасць|донка
Рыбалоўная снасць|невад
Рыбалоўная снасць|охап
Рыбалоўная снасць|вуда
Рыбалоўная, карабельная ...|снасць
Рыбалоўнае драўлянае парусно-вяслярнае судна|кунгас
Рыбалоўная прылада тыпу пасткі|буч
Рыбалоўная прылада, вынайдзенае на світанку чалавецтва?|восці
Рыбалоўная прылада|жак
Рыбалоўнае судна з кошельковым невадам|сейнер
Рыбы, птушкі і ... у душы людзям глядзяць. Вы іх шкадуйце, людзі, не крыўдзіце дарма (з дзіцячай песні)|звяры
Рыбін дышаль|жабра
Рудая зімовая рыбачка (сказочн.)|ліса
Рудая фарба|хна
Руды прусак, які выняў усіх у расійскіх “хрушчобах”|прусак
Рынак у Адэсе, дзе маленькія ракі па тры рубля, але ўчора|прывоз
Рынак па-руску|кірмаш
Рынак каштоўных папер, тавараў, працы|біржа
Рынак, кірмаш (устар.)|гандаль
Рынкавая канкурэнтка сланечніка|гарбуз
Рынкавы пляц у Старажытным Рыме|форум
Рысь, перамежная з інахаддзю|ходу
Друзлая воздухоносная тканіна раслін|аэрэнхіма
Друзлая горная парода светла-жоўтага колеру, на якой фармуюцца ўрадлівыя глебы|лёс
Друзлая ападкавая горан. парода (лёс, глей)|алеўрыт
Друзлая ападкавая горная парода|пясок
Друзлая ападкавая парода|жвір
Друзлая злучальная тканіна ў жывым арганізме|пульпа
Друзлая тканіна зуба|пульпа
Друзлы лёд на паверхні і ў тоўшчы вады, які з'яўляецца перад ледоставом на рэках з хуткай плынню|шарош
Рыцарскія даспехі|латы
Рыцарскі “прыкід”|латы
Рыцарскі шлем пасля канверсіі|вядро
Рыцар чужой уласнасці|злодзей
Рычаг кіравання падачай паліва ў аўтамабілі|акселератар
Рычажные ці спружынныя шалі|бязмен
Рычажный прылада для перасоўвання, кручэнні, захопу і ўтрыманні нарыхтоўкі падчас апрацоўкі?|абцугі
Рабінавая чернуха (ботанич.)|арония
Шэраг арак?|аркада
Шэраг бярвення ці тоўстых дошак, настилаемых на што-небудзь|накат
Шэраг бярвення на зямлянцы|накат
Шэраг велічынь ці лічбаў ва ўзыходным ці сыходным парадку|шкала
Шэраг клуначных жывёл?|караван
Шэраг гор|ланцуг
Шэраг хат у населеных пунктах|вуліца
Шэраг дугападобных завяршэнняў калон ці слупоў|аркада
Шэраг гукаў ці акордаў, якія ўтвараюць адносна скончаны фрагмент музычнай тэмы|фраза
Шэраг якіх-небудзь твораў, лекцый, канцэртаў і т. п., аб'яднованых агульнасцю тэматыкі|цыкл
Шэраг легенд прыпісваюць Самаэлю, гэта значыць Сатане, цялесную сувязь з Евай. А хто быў зачаты ў выніку гэтага?|Каін
Шэраг металічных ці іншых звёнаў, прасунутых адно ў іншае|ланцуг
Шэраг невялікіх арак, службоўцаў для ўпрыгожвання сцяны|аркатура
Шэраг невялікіх гор, ланцуг узгоркаў|града
Шэраг аднолькавых арак, якія абапіраюцца на калоны ці слупы|аркада
Шэраг аднолькавых па памеры, роўных прадметаў, накладзеных адзін на іншай|ступня
Шэраг пластычных і рытмічных рухаў, выкананых у такт музыцы|танец
Шэраг падводных ці выступалых з вады марскіх скал|рыфы
Шэраг падводных ці выступалых з вады скал|рыф
Шэраг наступных сябар за сябрам вазоў з грузам|абоз
Шэраг слоў, літар, напісаных у адну лінію|радок
Шэраг сумежных пакояў, дзверы якіх размешчаны па адной восі?|анфілада
Шэраг падзей, злучаных з цяжкім і доўгім рухам да мэты|эпапея
Шэраг злучаных адзін з адным кольцаў|ланцуг
Шэраг судоў, наступных чарадой?|караван
Радавы вайскоўца флота|матрос
Радавы вайсковец|салдат
Радавой партыі|чалец
Радавы будаўнік Вялікага бар'ернага рыфа, доўга не які адпускаў у свой час ангел. мараплаўца Джэймса Кука ад аўстралійскіх берагоў|карал
Побач з ёй махает крылами Амур|каханне
Разанская вобл. (горад)|Шацк
Рыза ў каталікоў|сутана
З 11 па 18 стагоддзе службовец у Францыі, які выконваў судовую функцыю|прево
З 19 ст. у Англіі гэты тытул жаліцца за адмысловыя заслугі дзеячам культуры і інш.|лорд
З 1927 гады – эмір дзяржавы Катар|Тані
З 1949 г. у Больцано праводзіцца штогадовы Міжнародны конкурс піяністаў імя гэтага італьянскага кампазітара і майстры фартэпіяннай гульні|Бузони
З 1994 г. грашовая адзінка Кітая, падзяляецца на 10 цзяо, ці 100 фыней|юань
З грэцкага намёт|скене
З для музыкі|да
З яго імем амаль непарыўна злучана слова “фуга”|Бах
З разынкамі|кекс
З якім правадыром гуны дасягнулі найвышэйшай магутнасці|Атыла
З якім касмічным караблём стыкаваўся 17 ліпеня 1975 гады “Звяз”?|Апалон
З якой крымінальнай з'явай змагаецца аддзел Глеба Жеглова з серыяла “Месца сустрэчы змяніць нельга”?|бандытызм
З якой казуркай бельгійскі класік Морис Метерлинк параўноўвала кветка хрызантэмы|павук
З якой пачварай параўноўваюць мафію стваральнікі папулярнага тэлесерыяла пра камісара Каттани|спрут
З якой геаметрычнай фігурай вядомы француз параўнаў у 1909 г. дзяўчын з Авіньёна?|куб
З якой з нашых “канечнасцяў” злучаны памер вяршка|палец
З якога боку дзьмуў старажытнагрэцкі “зефір”|захад
З клюшнямі ў моры|краб
З латыні гэта – падзенне, абвал, бедства, а ў нас гэта тое, што застаецца пасля дзеянняў. Што гэта?|руіна
З латыні гэта перакладаецца як штогадовы запіс падзей. І сапраўды, у Рыме ў іх штогод запісваліся найважныя падзеі гісторыі. Што ж гэта такое?|аналы
З яго пачынаецца любы раман|абзац
З яе марак імкнецца ў буры, а ў моры цягнецца толькі да яе|суша
З неаднолькавымі ўласцівасцямі ў розных прасторавых кірунках|анізатропны
З іх пачынаецца булгаковский раман пра вялікі Мольере|роды
