Слуга-тубылец у Азіі, Афрыцы|бой
Сумесь вуглёў для атрымання коксу?|шыхта
Каштарыс прыбыткаў і выдаткаў|бюджэт
Каштарыс капітальнага будаўніцтва па аб'екце, уключанаму ў тытульны спіс запланаваных будоўляў (у СССР)|тытул
Каштарысны кошт супрацоўніка|аклад
Каштарысная сума, у межах якой дазволены выдаткі на вызначаныя мэты|крэдыт
Смех да упаду – адным словам|пацеха
Смех скрозь слёзы|рогат
Змяшаны з дымам і куравой густая смуга|смог
Змешванне розных прадуктаў для паляпшэння якасці|купаж
Змешванне вінаматэрыялаў у вінаробстве|асамбляж
Змешванне маладых вінаматэрыялаў, прыгатаваных з вінаграда|асамбляж
Смешная заправа да гутаркі?|вастрыня
Смешны бок якога-небудзь становішча, сітуацыі, учынку|камізм
Смешнае происшедствие|анекдот
Смешны збег акалічнасцяў|кур'ёз
Смешны, недарэчны, дзіўны выпадак?|неспадзяванка
Зрушэнне горных парод сябар адносна сябра па грані тэктанічнага парыву|скід
Зрушэнне горных парод па верт. ці наклонн. паверхні|скід
Смоква|інжыр
Смакоўніца|інжыр
Смала для араматычных курений падчас набажэнства|ладан
Смала для рэлігійнага абраду|ладан
Смала іглічных дрэў, патрапіўшы ў ваду паступова ператвараецца ў ... ?|бурштын
Смала іглічных дрэў|жывіца
Смала, у якую пры варэнні дадалі воск|вар
Смала?|бітум
Смаленская вобл. (горад)|Ярцево
Смалісты. рэчыва з чесночн. пахам, заўв. у медыцыне|асафетида
Смалістае рэчыва з рэзкім чесночным пахам, якое здабываецца з каранёў шматгадовай сярэднеазіяцкай расліны; ужываецца ў медыцыне|асафетида
Смалістае рэчыва, што ўжываецца ў дарожным будаўніцтве|бітум
Смалістае рэчыва, якое вылучаецца пры надрэзе, пашкоджанні са ствалоў іглічных дрэў|жывіца
Смолоподобное рэчыва, што вылучаецца з расколін скал|муміё
Смолотое збожжа|пакута
Смаржок па сваёй сутнасці|грыб
Зматаныя шарыкам ніткі|клубок
Глядзі ў : суседа, у свае заўсёды паспееш – прапушчанае слова са стандартнага выраза прэферансістаў|карты
Наглядчык гарэма|еўнух
Асмуглы колер скуры ад доўгага знаходжання на сонца|загар
Смута|бунт
Сэнс у інш.-греч. філасофіі|логас
Сэнс, разумнае ўтрыманне чаго-небудзь|толк
Сэнсавая частка тэксту з аднаго ці некалькіх прапаноў, звычайна вылучаемая пры лісце і наборы водступам першага радка|абзац
Смычк. муз. прылада|ребек
З'яднанне з ім не адбылася|сяло
Смычковый муз. прылада (Сярэдняя Азія)|гиджак
Смычковый муз. прылада|фідэль
Смычковый музычная прылада|альт
Змякчэнне ці вызваленне ад пакарання, якое здзяйсняецца актам вярхоўнай улады ў стаўленні вызначанай катэгорыі твараў|амністыя
Змякчэнне ваганняў у машынах|амартызацыя
Замяшанне, перапалох (устар.)|аларм
Снарад у спартовай гімнастыцы|бервяно
Снарад у хакеі, гумовы дыск|шайба
Снарад для гімнастаў?|ашэстак
Снарад для заняткаў цяжкай атлетыкай?|штанга
Снарад для кідання ў лёгкай атлетыцы?|граната
Снарад для мінамётаў і некаторых прылад|міна
Снарад для стральбы з пісталета|куля
Снарад агнястрэльнай зброі|куля
Снарад, на якім спартовец як мячык|батут
Рыштунак, ізалявальнае чалавека ад вадкага ці газападобнага асяроддзя і забяспечвальнае пры гэтым звычайную жыццядзейнасць арганізма?|скафандр
Снасці стаялага суднавага такелажа|ванты
Снасці суднавага стаялага такелажа|ванты
Снасць бегучего такелажачы для кіравання становішчам ветразя|шкот
Снасць для ўборкі ветразяў|гітаў
Снасць для кіравання ветразямі|шкот
Снасць ці адрэзак троса, не замацаваны з адной ці абапал і выкарыстоўваны па меры патрэбы (марское)|канец
Снасць стаялага такелажа, расцяжка, якая ідзе ад шчоглы на нос судна|штаг
Снасць стаялага такелажа, што ўтрымлівае шчоглы ў дыяметральнай плоскасці судна|штаг
Снасць суднавага бегучего такелажачы для кіравання ветразямі|шкот
Снасць суднавага стаялага такелажа|ванта
Снасць, якой расцягваюцца ніжнія канцы ветразя|шкот
Снасць, укрепляемая на канцах рэя і служэлая для яго заваротку ў гарызантальнай плоскасці|брас
Снасць; страховочный трос|фал
Снасць|фал
Спачатку – нянька, потым – ... – казалі бацькі будучым бацькам, абгрунтоўваючы пажаданасць з'яўлення першага дзіцяці – дзяўчынкі|лялька
Спачатку ТАМ адкрылі абсерваторыю, затым – лабараторыю аэрадынамікі, а ў 1921 году ТАМ змесцавалася першая радыёстанцыя. А каму мы абавязаны стварэннем ГЭТАГА? (адказ у дат. п.)|Эйфелю
Спачатку знайшлі другое, затым першае, потым трэцяе і, нарэшце, нулявое. Што ж знаходзілі ў такім парадку?|пачаткі тэрмадынамікі
Спачатку яны былі веслярамі, затым стырнікамі, потым асабістымі сакратарамі бога і ўрэшце самі занялі трон. Хто яны?|фараоны
Спачатку яны рабіліся ў выглядзе крыжа, затым хтосьці прыдумаў дадаць яшчэ і абруч. Пра што ідзе гаворка?|аўтамабільны руль
Спачатку яны камандавалі канямі, затым людзьмі. Як іх завём цяпер мы?|маршалы
Спачатку так зваўся абчасаны ствол дрэва, потым тое, што на яго вешалі, а цяпер усё, што забралі. Што гэта?|трафей
Спачатку гэта быў рынак, а пазней цэнтр палітычнага жыцця Рыма. Што гэта?|форум
Снашивание асноўных фондаў; паглынанне ўдараў у машынах|амартызацыя
Снашивание асноўных фондаў|амартызацыя
Снег у выглядзе дробных круглых зерняў|крупы
Снег, дождж, град па сваёй сутнасці|уляганні
Снеж. завея; верш. С. Ясеніна; пов. Пушкіна; фільм Басова|завея
Снеж. завея|завея
Снежная бура, завея ў стэпы|шугавея
Снежная груда|кім
Снежная каралева|зіма
Снежная халупа купалападобнай формы ў канадскіх эскімосаў|іголку
Снежныя груды ці абломкі скал, якія абваліліся з гор|абвал
Снежныя груды, што абваліліся з гор?|абвал
Снежныя горы на о. Новая Гвінея|маоке
Снежны барс?|барс
Снежная хата?|іголку
Снежны месяц рэспубліканскага французскага календара|нивоз
Снежны струмень у горах|лавіна
Снежны, ледзяны полаг у халадзільных усталёўках|футра
Снежны, ледзяны полаг, які ўтварыўся на чым-небудзь у выніку астуджэння|футра
Зніжэнне вагі|згон
Зніжэнне ціску навакольнага асяроддзя, напр., пры ўздыме вадалаза з глыбіні?|дэкампрэсія
Зніжэнне кошту тавара, які перастаў карыстацца попытам|уцэнка
Здымак, на якім бачныя абодва юха|анфас
