Сяўба. сузор'е|Цэфей
Цяпер іх на Зямлі каля 64 мільёнаў, у СССР іх было каля 5,6 мільёнаў, а ў царскай Расіі 21 мільён – па адной на чатырох жыхароў. Хто гэта?|коні
Цяпер мы таксама парою звяртаемся да паслуг гэтых грэцкіх складоў, хоць, жадалася б, каб мы карысталіся імі як мага радзей. Што ж гэта за склады?|аптэкі
Цяпер гэта слова актыўна выкарыстоўваецца ў юрыспрудэнцыі. У Старажытнай Русі так звалі пару канёў, запрэжаных у адну запрэжку. Што гэта за слова?|мужы
Сякера з кароткай ручкай|сякера
Сакратарка Л. Троцкага ў Мексіцы|Агелоф
Сакрэтнае месца для будучага скарбу|схованка
Сакрэтнае слоўца|пароль
Сакрэтнае слова|пароль
Сакрэтнае ўмоўнае слова для апазнання сваіх на ваеннай службе|пароль
Сакрэтнае ўмоўнае слова ці фраза для апазнання сваіх вартавым ці пры канспірацыйных сустрэчах|пароль
Сакрэтны ўмоўны знак|пароль
Сэкс для прастытуткі|праца
Сэкс з латыні|падлога
Сэкс-знак Галівуду, якая знялася ў фільме “Трэска”|Стоун
Сексофон|інтым
Сэксуальнае скрыўленне, якому даў імя аўстрыйскі пісьменнік, аўтар рамана “Венера ў мяхах”?|мазахізм
Сэксуальна заклапочаны старажытнагрэцкі бажок, навальніца німф|Сатыр
Секта ў юдаізме|ессеи
Сектар працяглага супрацьстаяння арабаў і габрэяў|Газу
Сектар рулеткі|зеро
Селядзец, якая насяляе на Далёкім Усходзе|івасі
Паселішча ў Сяўбу. Італіі, на левым беразе р. Альпоне (горад у Еўропе)|Арколе
Паселішча на Каўказе, Сярэдняй Азіі|аул
Паселішча на паштовым гасцінцы на Русі; старажытная назва г. Кінгісеп|ям
Паселішча на паштовым гасцінцы на Русі|ям
Паселішча з саклямі|аул
Паселішча ў некаторых народаў Сібіры|улус
Паселішча, дзе ў 1792 французы разграмілі аўстрыйцаў|Жемап
Сяло ў Маскоўскай вобласці, старадаўні цэнтр ганчарна-фаянсавай здабычы|Гжель
Сяло з паэмы С. Ясеніна|Радово
Сель, гразевы струмень|лакар
Селядзец|івасі
Сельдяной кіт|фінвал
Сельск. прафесія|даяр
Сельская абшчына на Русі|вервь
Сельская хата, жылое памяшканне з печчу (у осн. на Ўкраіне і ў Беларусі)|хата
Сельская жылая хата (укр., местн.)|курэнь
Сельская жылая хата на Дону|курэнь
Сельскі збор даўней?|сход
Сельскагаспадарчая крупяная культура|сорга
Сельскагаспадарчая культура, трава|ячмень
Сельскагаспадарчая культура, якая псуе чалавечыя лёгкія|тытунь
Сельскагаспадарчая культура|лён
Сельскагаспадарчая культура|проса
Сельскагаспадарчая машына для ачысткі і сартаванні збожжа і травы|трыер
Сельскагаспадарчая машына для ачысткі і сартаванні збожжа|арфа
Сельскагаспадарчая машына для ачысткі і сартаванні збожжа|жатка
Сельскагаспадарчая машына для ачысткі і сартаванні збожжа|сеялка
Сельскагаспадарчая пабудова|восець
Сельскагаспадарчая адмысловасць|аграном
Сельскагаспадарчы прыпар, якая дала назву дзясятаму месяцу календара Канвента – мессидору|жніво
Сельскагаспадарчая жывёла, на якім аруць у Індыі?|вол
Сельскагаспадарчая жывёла|баран
Сельскагаспадарчая жывёла|вол
Сельскагаспадарчая жывёла|конь
Сельскагаспадарчая жывёла|свіння
Сельскагаспадарчае арганічнае ўгнаенне|прыплод
Сельскагаспадарчая прылада для ўзворвання глебы|плуг
Сельскагаспадарчая прылада для выраўноўвання і рыхленні паверхні глебы, валакуша|шлейф
Сельскагаспадарчая прылада для дробнага рыхлення глебы|барана
Сельскагаспадарчая прылада – прыстасаванне да сеялкі, салке для правядзення разор ці ліній, па якіх вырабляецца пасадка|маркер
Сельскагаспадарчая прылада|рыдлёўка
Сельскагаспадарчая прылада|каса
Сельскагаспадарчая прылада|матыка
Сельскагаспадарчая расліна|бурак
Сельскагаспадарчае ўгоддзе|поле
Сельскагаспадарчае ўгнаенне|азатаген
Сельскагаспадарчыя жывёлы (агульнае)|скаціна
Сельскагаспадарчыя жывёлы|скаціна
Сельскагаспадарчыя млекаспажыўцы жывёлы|скаціна
Сельскагаспадарчы працоўны ў краінах Лацінскай Амерыкі|пеон
Сельскохозяйственое прылада|матыка
Сельхозорудие, часам якое знаходзіць на камень|каса
Сім. букавых; дрэвы і хмызнякі|галега
Сім. птушак отр. козодоеобр.;(даманы) отр. млекаспажыўцоў|жиряки
Сем. птушак отр. козодоеобразных|жиряки
Сямейная ці літаратурная|драма
Сямейнае зняволенне|шлюб
Сямейныя могілкі|склеп
Сямейныя адносіны паміж мужчынам і жанчынай|шлюб
Сямейны дыспут, у выніку якога жонка кажа свайму мужу, што ёй няма чаго больш сказаць, а ён абавязаны цэлая гадзіна гэта выслухваць. Эван Эзар|сварка
Сямейны звяз|шлюб
Сямейства адоксовых парадку ворсянковых (травы. расліна)|адокса
Сямейства бабовых (травы. расліна)|лубін
Сямейства гераниевых (травы. расліна)|бусельнік
Сямейства жуйных жывёл?|жырафы
Сямейства травы (травы. расліна)|сівец
Сямейства травы (травы. расліна)|вейник
Сямейства зёлкавых (травы. расліна)|бамбук
Сямейства парасонавых (травы. расліна)|амми
Сямейства парасонавых, меданос (травы. расліна)|бутень
Сямейства камнеломковых (травы. расліна)|астильбе
Сямейства крыжакветных (лісце ўтрымоўвае індыга) травы. расліна?|фарбоўнік
Сямейства крыважэрных вампіраў|клан
Сямейства буйных нелетающих птушак атрада казуараў; распаўсюджаны ў Аўстраліі і на выспе Тасманія|эму
Сямейства ліній на плоскасці, лінейна якое залежыць ад аднаго параметру|пучок
Сямейства казяльцовых (травы. расліна)|аданіс
Сямейства млекаспажыўцоў атрада насякомаедных|вожыкі
Сямейства марскіх птушак атрада весланогіх|олуши
Сямейства марскіх рыб атрада скорпенообразных|рашпіль
Сямейства казурак отр. двукрылых|ктыри
Сямейства казурак, самкі кровососущи|гізы
Сямейства орхидных (травы. расліна)|ваніль
Сямейства паўмалп атрада прыматаў|индри
Сямейства птушак атрада журавлеобразных|аўдоткі
Сямейства птушак атрада курыных?|індычкі
Сямейства птушак атрада ржанкообразных (тропич.)|яканы
Сямейства травяністых раслін і хмызнякоў, на аснове якіх рыхтуюць настойкі для барацьбы з матыльком-капустницей|ліснік
Сямейства драпежнікаў, да якога прыналежаць воўк, шакал, лісіца|псовые
Сямейства шырока распаўсюджаных яшчарак|агама
Сямейства яшчарак|агамы
Сямёна ў глебе|пасеў
Сямёна гэтай расліны ўжываюцца ў піваварстве, у кандытарскай вытворчасці|хмель
Сямёна вызначанай расліны, якія ідуць у ежу|мак
Насенная залоза рыб|малака
Насенная вадкасць, выпрацоўваемая мужчынскімі палавымі органамі|сперма
Сяміструнная сяброўка Булата Окуджавы?|гітара
Семіт, бедуін|араб
Семитохамитская моўная сям'я, група (адказ – прыметнік)|афразийская
Семіцкае бажаство|глею
Сем бед – адзін ... (погов.)|адказ
Сем вёрст|міля
Сем дочак тытана Атланта, пераўтвораных у зоркі|плеяды
Сем гадоў прынц правёў у дарозе, галадаў і трываў пазбаўленні. У адзін з дзён, калі ён сядзеў пад дрэвам, скрыжаваўшы ногі, ён здабыў нечалавечую мудрасць. Як яго сталі клікаць з тых часоў?|Буда
Сем разоў адмерай, адзін раз?|адрэж
Сем сясцёр на хвасце зорнага цяля (зг)|плеяды
Сям'я ў мафіі|клан
Сям'я голл. жывапісцаў у 17 ст.|Остаде
Сям'я італьянскіх майстроў смычковых прылад у горадзе Кремоне|Амати
Сям'я італьянскіх скрипичных майстроў?|Амати
Сям'я львоў|прайд
Сям'я пчол, якая адлучаецца з вулля|рой
Сям'я пчол|рой
Сям'я рускіх жывапісцаў і навукоўцаў, што пражывалі ў Індыі|Рерих
Сям'я ў манголаў|аіл
Сям'я французскіх майстроў мастацкай мэблі ХVII–ХVIII стст.|Жакоб
Сям'я цыркавых артыстаў-ілюзіяністаў|Кио
Насенне хлебнай травы|збожжа
Сен-... – французскі граф, сталы сацыялістам-утапістам|Сымон
Сэнт-Китс і Невис (сталіца, цэнтр)|Бастер
