Ангельцы яго п'юць гарачым?|грог
Афарызм: “Кожны чалавек варта гэтулькі, колькі ён зрабіў, мінус ...”?|ганарыстасць
Афрыканская малпа?|макака
Аэрапорт у Мюнхене носіць імя Франц Ёзэфа ... ?|Штраўса
Аэрапорт Грознага?|Ханталы
Б. Авербах лічыў: “Нажыць шмат грошай – адвага; захаваць іх – мудрасць, а ўмела ... – мастацтва”?|расходаваць
Б. Франклін шкадаваў, што знакам Амерыкі абралі белага арлана, а не больш за шаноўную птушку. Якая гэта птушка?|індычка
Вялікая шашлычная для згаладалага ваўка?|кошара
Валацуга мясцовага паведамлення?|БМС
Бабулін стыль з пункту гледжання ўнука?|рэтра
Бабуліна сховішча?|куфар
Баль, гулянне, удзельнікі якога апранаюць маскі, характэрныя гарнітуры?|маскарад
Балет А. Хачатуряна?|Спартак
Бальны танец?|мазурка
Бальны танец?|танга
Бамбукавы мядзведзь?|панда
Бандыт, удзельнік злачыннай групоўкі (амер.)?|гангстар
Бандыцкае запрашэнне?|змова
Лазні, сталыя вядомай маскоўскай выбітнасцю?|сандуны
Банкаўская аперацыя?|інкаса
Барон Пампа дон Бау, круцячы двухручны меч над галавою, уражваў уяўленне. Ён апісаны ў ... ?|Стругацкіх
Байка І. Крылова?|ліса
Байка Крылова?|мяшок
Байка Крылова?|свіння
Чаравікі з дрэва?|сабо
Вежа Сююмбекі у Казані здалася Т. Шаўчэнка “народжанай адной маці сястрой” ... ?|сухараўскай
Рассяканне ці перерезка сценкі стрававода.|эзафагатамія
Бегемот у выпадку небяспекі бяжыць ... ?|у ваду
Збеглыя накіды на палях рукапісаў?|грыфанаж
Уцякач, ваеннапалонны?|рэпатрыянт
Без ... не выцягнуць і рыбку з сажалкі?|працы
Без яе на вяселлі сумна?|бойка
Без гэтага дакумента вас не прымуць у паліклініцы?|поліс
Безапеляцыйная праўда?|догма
Бяздзейнасць, адсутнасць актыўнасці, абыякавасць?|інэртнасць
Бестурботна-радасны настрой?|весялосць
Бязлесная раўніна?|стэп
Бяспечны суднавы ход, пазначаны бакенамі, створнымі знакамі і інш.?|фарватар
Бессправаздачнае падахвочванне навошта-або?|інстынкт
Абыякавасць?|абыякавасць
Нястрымная адвага?|маладзецтва
Які бялее ў смузе, самотны?|ветразь
Бялковы гармон жывёл і чалавека, які выпрацоўваецца падстраўнікавай залозай. Яго недахоп прыводзіць да цукровага дыябету?|інсулін
Белае марачнае віно?|алігатэ
Бела-сіняя руская народная здабыча?|гжель
Белы хлеб даўгаватай формы?|батон
Берагавая вайсковая частка флота для прыёму і месцаванні якое прыбывае папаўнення?|экіпаж
Берасцяны кораб, лепшая з тар пад мёд і ягады?|туес
Гутарка журналіста з адным ці некалькімі тварамі па актуальных пытаннях?|інтэрв'ю
Чарцяня з казкі Пушкіна, размаўляючы з Доўбнем, ... ?|замяўкаў
Бескасцёвую якая поўзае жывёлу з выцягнутым целам?|чарвяк
Бясплатная прыемная нечаканасць?|дарэмшчына
Бясплатны сыр бывае толькі ў пастцы. Гэтыя словы прыналежаць?|Тэтчер
Бязладзіца, блытаніна?|хаос
Бязладзіца, блытаніна, блытаніна?|ералаш
Бесперапынны рух?|кругазварот
Несмяротную фразу “Пілуеце, Шура, пілуеце!” у рамане “Залатое цяля” прамовіла ... ?|Панікоўскі
Бяссэнсіца, недарэчнасць?|абсурд
Несвядомая палавая цяга?|лібіда
Стан непрытомнасці, падобнае на глыбокі сон, выкліканае траўмай чэрапа, атручваннем?|кома
Стан непрытомнасці з засмучэннем функцый усіх органаў пачуццяў?|кома
Бясспрэчная праўда, якая прымаецца без доказаў?|аксіёма
Бясколерная вадкасць (растваральнік, заменнік жывіцы)?|дэкалін
Бясколерная вадкасць, атрутнае рэчыва нервова-паралітычнага дзеяння, формула: СН3(С2Н5О) Р(О) SСН2СН2N[СН(СН3)2]2. Што гэта за гадасць?|ві-газ
Бясколерны ці жаўтлявы цвёрды прадукт, які атрымліваецца з некаторага марскога багавіння, што ўяўляе сабой сумесь полісахарынаў?|агар-агар
Ліна, на якую рыбак нанізвае злоўленую рыбку (разг.)?|кукан
Біблейскі волат?|Самсон
Бібліатаф – жартаўлівая назва ўладальніка бібліятэкі, не які дазваляе іншым карыстацца яе кнігамі. Вibliо – кніга, а як перакладаецца грэцкае слова tаfоs?|магіла
Бізнэсмэн, не ахвотнік “свяціцца”?|ценявік
Біёлагі з Санта-Крус усталявалі, што кіты падчас палявання выклікаюць у анчоўсаў кровазліццё. Якім чынам?|лямантам
Біты паляўнічы трафей?|дзічына
Дзякуючы 20 000 франкам, якія вялікі італьянец Нікола Паганіні падарыў французскаму кампазітару Гектару Берліозу, апошні смог спакойна папрацаваць над драматычнай сімфоніяй “... і Юлія”?|Рамэа
Дзякуючы тэлебачанню змяніліся правілы валейбола. Была ўведзена партыя, якая завецца ... ?|скарочаная
Мілагучная назва задняй часткі тушы?|стегно
Спрыяльныя наступствы, якія перавешваюць адмоўныя вынікі аднаго і таго ж дзела?|карысць
Спрыяльны камень па задыяку для паннаў?|яспіс
Духмянасць?|водар
Блажен, хто ззамаладу быў малады, блажен, хто своечасова паспеў! – гэта з паэмы ... ?|Яўген Анегін
Блажэнны стан душы індуса?|нірвана
Бледная паплечніца “квітнеючага” мухамора, нашмат праўзыходная яго па каварнасці?|паганка
Бліскучая парыжская куртызанка, якая паслужыла прататыпам для гераіні “Дамы з камеліямі” А. Дзюма-сына – гэта Мары ... ?|Дюплесі
Найблізкая да Зямлі зорка-карлік спектральнага класа G2?|Сонца
Найблізкі сваяк пралескі?|нарцыс
Каля Мыса Добрай Надзеі размешчаны горад ... ?|Кейптаўн
Блізкія сябры клічуць яго “Марці”, а нам ён вядомы пад прозвішчам?|Скарсэзэ
Страва груз. кухні?|шашлык
Страва для лордаў з курапаткі ў ангельскай кухні?|граус
Страва з рысу ў народаў Сярэдняй Азіі і Закаўказзя?|плоў
Страва з рыбы, якое апынулася “гадасцю” ў да/ф “Іронія лёсу”?|заліўное
Ахоўнік старых, правераных парадкаў, супернік змен і новых павеваў?|кансерватар
Бабовая расліна, з якога робяць хоць і нясмачнае, затое нішчымнае масла?|соя
Бог віна і весялосці?|Вакх
Бог лекавання ў рымскай міфалогіі, у іранічным сэнсе сталы намінальнай мянушкай для любога лекара?|Эскулап
Бог егіпцян, пра які Валачашчы, трэба меркаваць, упершыню пачуў ад Берліоза на Патрыяршых сажалках (“Майстар і Маргарыта” М. Булгакава)?|Азірыс
Бог урадлівасці ў фінікійцаў і грэкаў?|Аданіс
Багаты і хвалебны Кочубей! – сцвярджаў Пушкін у паэме ... ?|Палтава
Багаты будынак у старажытнарускай архітэктуры з вялікай колькасцю памяшканняў?|палаты
Багатая загарадная хата з сядзібай, паркам?|віла
Багіня Месяцы ў грэцкай міфалогіі, якая атаясамлялася з Артэмідай (часам што малявалася з паўмесяцам на галаве)?|Селена
Багіня мудрасці?|Афіна
Багіня правасуддзя ў грэцкай міфалогіі. Малявалася з павязкай на вачах (знак бесстароннасці), з рогам багацця і шалямі ў руках?|Феміда
Баявая песня польскіх і рускіх рэвалюцыянераў канца 19 стагоддзі?|варшавянка
Баявы карабель?|крэйсер
Баявы парадак у казакоў?|лава
Баявы карабель у Старажытнай Грэцыі, галоўнай зброяй якога быў таран?|трыеры
Боепрыпас для стральбы?|снарад
Баец ладны – барабан сямізарадны?|наган
Чароўны дарунак, выключнасць?|харызма
Бой быкоў?|карыда
Бойлер?|кацёл
Балгарыя (горад у Еўропе)?|Плоўдіў
Балгарскі кампазітар (оперы “Момчыл”, “Анцігона-43”). Прозвішча чымсьці напамінае легендарнага Васю Пупкіна?|Піпкаў
Балгарскі смычковый прылада?|гадулка
Хваравітае разрастанне эпітэлія слізістай абалонкі?|паліп
Хвароба, галоўная праява якой – памяншэнне эрытрацытаў у крыві?|малакроўе
Балотная птушка?|баклан
Балотная насякомаедная расліна?|расіца
Лякарня, у якой вядуцца навуковыя медыцынскія даследаванні?|клініка
Хворай з прыкметамі фіз. ці псіхіч. зводы?|дэгенерат
Хворым гэтай хваробай карысна знаходзіцца ў памяшканні, адмыслова аздобленым соллю. Што за хваробу?|астма
Вялікая ўсяедная птушка, з бліскучым чорным апярэннем?|крумкач
Вялікі намёт шамана?|шацёр
Вялікая розніца ў чым-небудзь, рэзкая супрацьлегласць?|кантраст
Вялікая-пребольшая палка?|дубец
Большасць жанчын карыстаюцца і з'ядаюць. Мужчыны не карыстаюцца, але таксама з'ядаюць – да 15 кг за жыццё?|памада
Вялікае люстэрка?|трумо
Вялікае і чыстае, але не слон пасля лазні :) ?|пачуццё
Вялікая колькасць чаго-небудзь, вялікі запас (часта ў дачыненні да боепрыпасаў)?|арсенал
Вялікае злучэнне караблёў, танкаў, самалётаў?|армада
Вялікая колькасць караблёў?|армада
Вялікі круг нябеснай сферы, па якім адбываецца бачны гадавы рух Сонцы?|экліптыка
Вялікі куфар для захоўвання святых мошчаў завецца?|рака
Вялікі майстар сваёй справы?|адмысловец
Вялікае свята ў гонар якой-небудзь падзеі?|імпрэза
Вялікі сад?|парк
Вялікі стог сена?|сцірт
Велізарная камбала?|палтус
Барыс Пільняк напісаў пра лёс Фрунзе “Аповесць непагашанай ...”?|месяцы
Барадаты армейскі анекдот: – Лейтэнант, снарады скончыліся. – Што, усё? – Так сапраўды. Якую каманду даў лейтэнант?|спыніць агонь
Барацьбіты сумо носяць доўгія валасы, каб амартызаваць ... ?|удар галавой
Бачка з жонкай і сынам цара Салтана паплыла на ... ?|захад
