Волат, пераможаны Давыдам?|Галіяф
Падчас сезонных пералётаў драч пралятае толькі праз водныя перашкоды, а астатняе ўсё пераадольвае ... ?|пешшу
У колькі гадоў акторка М. Ф. Андрэева, сябар Горкага, у апошні раз згуляла Дэздэмону?|52
У Францыі яго завуць салатай па-руску, а ў Расіі ён носіць імя француза?|аліўе
У французскім рэвалюцыйным календары назва месяца прэрыаль азначае “месяц ... ”?|сенажацяў
У што ужываецца артыст?|выява
У што павінен пацэліць спартовец у стэндавай стральбе?|сподак
У што павінен пацэліць спартовец у стэндавай стральбе?|талерка
У што абуў ногі маршакоўскі “чалавек Безуважлівы з вуліцы Басейнай” (“У ...”)?|пальчаткі
У што ператвараецца калектыў без важака?|статак
Вада – для рыб, “маліна” – для злодзеяў?|асяроддзе
Кіроўца “Антылопы-гну” (літар.)?|Казлевіч
Кіроўца аднаго з выглядаў пасажырскага транспарта?|таксіст
Гарэлка, дужы алкагольны напой?|шнапс
Водная аддача падземнага вывяржэння?|цунамі
Водная крыніца, якая б'е з-пад зямлі на сушы ці пад вадой?|крыніца
Ваданерастваральная смала. Ёсць і на дарозе (асфальт) і на даху (руберойд)?|бітум
Вадаспад у ЗША і Канадзе?|Ніягарскі
Вадаправод у экстазе?|фантан
Вадараспушчальная клеевая непразрыстая фарба, жывапіс такімі фарбамі?|гуаш
Вадараспушчальныя фарбы?|акварэль
Воды, лінія скрыжавання воднай паверхні (рэкі, азёры) з паверхняй сушы?|зрэз
Ваеннае саслоўе ў дарэвалюцыйнай Расіі?|казацтва
Вайсковец элітнай вайсковай часткі?|гвардзеец
Вайсковец, які ўцёк з поля бою, са сваёй вайсковай часткі?|дэзертыр
Ваенны самалёт?|бамбавік
Ваенны самалёт?|знішчальнік
Ваенны колер?|хакі
Правадыр, аўтарытэтны кіраўнік, чалавек, які карыстаецца ўплывам у калектыве?|лідар
Вяртанне на радзіму?|рэпатрыяцыя
Узвышэнне, якое служыць падставай помніка, калоны?|пастамент
Вокліч “Алілуя!” перакладаецца як ... ?|хваліце бога
Вокліч “Пальчыкі абліжаш!” – адным словам?|аб'ядзенне
Аддаваць трэба кожнаму сваё, – сказаў ... ?|Цыцэрон
Устрыманне ад палавога жыцця?|цнота
Паветраная абалонка Землі?|атмасфера
Умілаваная Арфея?|Эўрыдзіка
Магчымая небяспека?|рызыка
Магчыма вы насілі такія штаны ці торбу, а магчыма вы проста любіце гэтыя смачныя трапічныя плады. Гэта ... ?|бананы
Магчыма, менавіта яго не хапіла зборнай Бразіліі для перамогі на апошнім чэмпіянаце свету?|Рамарыа
Узрост вар'яцтваў?|юнацкасць
У колькі гадоў памёр цар Расіі Пётр II?|14
Ваяр аднаго з родаў войскаў?|ракетчык
Вайсковая ўзнагарода?|медаль
Вайсковае званне вышэйшага афіцэрскага складу?|генералісімус
Вайсковае званне?|генерал
Вайсковае званне?|яфрэйтар
Монблан Пірэнэйскага паўвострава?|Мулагацен
Вайсковае званне?|капітан
Вайсковае званне?|маршал
Вайсковае званне?|матрос
Вайсковае званне?|мічман
Вайсковае званне?|палкоўнік
Вайсковае званне?|прапаршчык
Ваяры гэтага войска родам з розных краін. Чуплівая гісторыя пра адважнага інваліда з гэтага войска вядомая кожнаму. Пешы салдат гэтага войска павінен быць ростам 32, конник – 44. У якіх адзінках вымяраўся іх рост?|сантыметр
Вайна за незалежнасць якой краіны скончылася Парыжскім светам у 1783 году?|ЗША
Вайскавы лад шэрагам?|фронт
Войска мангола-татараў?|арда
Вакальнае трыа?|тэрцэт
Хвалістая паверхня?|зыб
Кудзелістая ўнутраная частка кары маладых дрэў?|луб
Вяшчун на Русі?|жрэц
Вольны чалавек па Уладзіміру Далю?|свабоднік
Вальтэр казаў: “Верыць у Бога немагчыма, не верыць у яго – ... ”?|абсурдна
Наогул ён Трубач, а клічуць яго ... (выканавец хіта “Жаночае каханне”)?|Мікалай
Наогул гэта народная індзейская хата і пачынаецца на “В”, але гэта таксама сродак камунікацыі, у грубіянскай форме сімвалізуючы адмову (з м/ф. пра Прастаквашына)?|фігвам
Наогул гэта служка, хоць можна падумаць, што ядок. Хто?|жрэц
Узброеныя сілы дзяржавы?|войска
Зладзейскі сімпозіум па абмене досведам?|сходка
Вароты (састарэлае)?|брама
Ворсавая ці безворсавая поўсць ці баваўняная тканіна, на асабовай паверхні якой маецца войлакападобнае засціланне, які хавае малюнак перапляцення тканіны. З ... шыюць паліто, гарнітуры і інш. адзежу?|сукна
Запаленне верхніх дыхальных шляхоў?|бранхіт
