Праграмны нумар у цырку?|ілюзія
Професор-лапух з апаратурай з “Аперацыі Ы”?|экзаменатар
Прафесіянал, які сачкуе на працы, калі не п'е?|дэгустатар
Прафесійны наёмны забойца?|кілер
Прафесія лекара?|ортопед
Прафесія Квазімода?|званар
Прафесія пуцявіка, сталая аналогам выраза “ахвярны казёл”?|стрэлачнік
Прафесія працоўнага?|слесар
Прафесія навукоўца, які вывучае птушак?|арнітолаг
Прафесар Берта Шарер 55 гадоў займалася прусакамі. Калі яна сыходзіла на пенсію, журналісты пацікавіліся, што ж так доўга падагравала яе цікавасць да гэтак малапрыемных казурак. Шарер адказала: “Прусакі ўмеюць ... ”?|выжываць
Прафесар Сымон Ньюкомб уславіўся тым, што матэматычна аспрэчыў гэту найважную ўласцівасць лятальных апаратаў цяжэй паветра. Ён даказаў, што гэтыя апараты ... ?|не могуць лётаць
Прафесарская трыбуна?|кафедра
Ахаладжальны напой?|ліманад
Ахаладжальны напой?|сітро
Ахаладжальны салодкі напой з разведзенага вадой соку ягад ці пладоў?|морс
Працэс выраба гэтай тканіны на фабрыках калісьці пачыналі карасники, яны ж размотчыкі. Што за тканіну?|шоўк
Працэс перапрацоўкі нафты з мэтай атрымання маторных паліваў?|крэкінг
Працэс набыцця ведаў?|вучэнне
Працэс збудавання горнай выпрацоўкі для здабычы карысных выкапняў і т. д.?|свідраванне
Працэсар мозгу?|розум
Трывалае ахоўнае абліцоўванне на ваенных судах, танках, машынах, абарончых збудаваннях?|браня
Скакун у ваду, які атрымаў 10,0 ад усіх суддзяў?|Финнеран
Скакун у вышыню, першым які пераадолеў вышыню ў сем футаў?|Брумель
Скачок з пераваротам цела ў паветры, які цыркачы назвалі “мартале” – смяротны?|сальта
Прамая, якая праходзіць праз кропку крывой і перпендыкулярная датычнай?|нармаль
Прастакутны брусок з друкарскага сплава, дрэва ці пластмасы з рэльефным малюнкам літары, лічбы ці знака ў тарцы?|літара
Прастакутны двор, акружаны каланадай?|перыстыль
Рэзкая затаўка; сушоная кара галін карычных дрэў?|карыца
Рэзкая затаўка?|гарчыца
Рэзкая затаўка?|карыца
Рэзкая затаўка?|перац
Рэзкая затаўка?|кмен
Псеўданім госпитальера|иоаннит
Псеўданім паўзы?|інтэрвал
Псеўданім, утвораны з імя бацькі?|патронім
Псіхіятрычная лякарня ў наваколлях Лондану?|Вэрхал
Псіхічнае засмучэнне: парушэнне пазнавання (напр., рэчаў, гукаў)?|агназія
Псіхолагі лічаць: “І мужчыны і жанчыны правы, калі не давяраюць ...”?|жанчынам
Психофизиологическое стан, якое выклікаецца выкліканнем?|гіпноз
Птушка отр. каршаковых?|падворлік
Птушка атрада падгалістых?|чапля
Птушка якая спявае, а дакладней рыпучая, як несмазанные завесы?|драч
Птушка з веерападобным хвастом?|паўлін
Птушка з пярэстым апярэннем, выгнутай дзюбай і веерападобным хохлікам?|удод
Птушка, “якая вылупляецца” з попелу?|фенікс
Птушка, якая насяляе ў месцах, багатых воднымі рэсурсамі?|бусел
Птушка, сілкуецца нектарам?|калібры
Птушыныя шлюбныя скокі?|такаванне
Публічны выступ артыстаў; аповяд Вересаева?|канцэрт
Публічны паказ вынікаў дзейнасці?|агляд
Публічная спрэчка на навуковую ці грамадска важную тэму?|дыспут
Публічны гандаль, пры якім тавар дастаецца таму, хто больш заплаціць?|аўкцыён
Кулі могуць сысці за гэтым прадуктам сілкавання?|малако
Пункт тэхабслугоўвання аўтамабіля (аббр.)?|СТО
Пуриновое падстава, адна з 4-х “літар” генетычнага кода?|аденин
Пурпурная мантыя манарха?|парфіра
Пустэльная выдма, якая мае падковападобную форму, прычым яе рогі накіраваны па ветры?|бархан
Пустэльнае дрэва сямейства маревых?|саксаул
Пустэльныя, мяркуючы па назве, шакаладныя цукеркі?|каракум
Пустэльня ў Індыі?|Тар
Пустэльня ў Казахстане?|Барсукі
Хай гэта будзе трохпавярховы катэдж, але калі яго пабудаваў каўказскі горац, тое гэта ... ?|сакля
Шлях да сэрца мужчыны ляжыць праз яго ...?|страўнік
Пушкін прызнаваўся, што ён запазычаў з чужых вершаў і лістоў ... ?|эпіграфы
Пушкінскія радкі: “Ён у Рыме быў бы Брут, у Афінах – Периклес, А тут ён – афіцэр гусарскі” ставяцца да ... ?|Чаадаеву
Пушны звярок з самым дарагім мехам?|шыншыла
Пушны звярок з самым трывалым мехам?|выдра
Пушны звярок; байка І. Крылова; кухонная машына?|вавёрка
Пушны звярок?|гарнастай
Пушный звер з цёмна-жоўтым мехам?|янот
Пчаліная гаспадарка?|пчальнік
Пчаліны “аэрадром”?|ляток
Пыл, вытряхнутая з кнігі ў пусты чэрап?|эрудыцыя
“П'ер і Кастусь загаварыў, небяспечна азірнуўшыся: – Зараз уся сіла ў ...”. Што мелі на ўвазе Ильф і Пятроў, паказваючы сілу медыцынскіх спазнанняў персанажа?|гемаглабіне
П'еса А. П. Чэхава?|гарбаткі
П'еса Арыстафана?|восы
П'еса Міхася Булгакава?|бег
Пьяноборская культура была распаўсюджана поруч ракі ... ?|Кама
Пятае пачуццё чалавека?|дотык
Раб у ср.-стагоддзе. мусульм. краінах; ваяр?|гулям
Праца на караблі, выкананая адначасова ўсім асабовым складам?|аўрал
Праца праграміста і ... мае шмат агульнага: абодва мармычуць незразумелыя словы, здзяйсняюць незразумелыя дзеянні і не могуць растлумачыць, як яно працуе?|шамана
Праца сэрца чалавека: 500 мільёнаў удараў у 12 гадоў 10 месяцаў, 780 мільёнаў удараў у 20 гадоў, 1 мільярд удараў у 25 гадоў 9 месяцаў, а ў колькі прыблізна лёт “стукае” 2 мільярда ўдараў?|51
Праца на судне, у якой удзельнічае ўся каманда?|аўрал
Працы гэтага адмыслоўца заўсёды замінаюць змены. Гэта ... ?|настаўнік
Працаўнік ваенізаванай аховы?|стрэлак
Працаўнік рэдакцыі?|карэктар
Працаўнік, які прымае і што перавозіць грошы для рэшты ў банк?|інкасатар
Працоўная прафесія на чыгунцы?|счэпшчык
Працоўны орган усіх вібрацыйных машын і прыстасаванняў?|вібратар
Працоўны, які выконвае здзельную працу?|здзельшчык
Працоўны, сіла якога, калі верыць савецкаму лозунгу, – у плаўленнях?|сталявар
Працоўнай назвай Windоws 95 у перыяд распрацоўкі было?|Чыкага
Дзеля жанчын! – хор менавіта з гэтай аперэты?|вясёлая ўдава
Радыкальны метад лячэння?|аперацыя
Радыё- ці тэлеперадача з месца падзеі?|трансляцыя
Радыёактыўны хим. элемент?|амерыцый
Радыёактыўны хімічны элемент, шчолачны метал?|францый
Радыёстанцыя ў Тальяці, якая вяшчае ў FМ дыяпазоне?|жнівень
Радыёстанцыя ў Тальяці, якая вяшчае ў FМ дыяпазоне?|свежы вецер
Вясёлкавая лічылка: “Кожны паляўнічы жадае ведаць, дзе сядзіць ...”?|фазан
Раз у Вадохрышчанскі адвячорак дзяўчыны варажылі, За порожек ... целу ноч кідалі?|чаравічак
Пабітая ўзнагарода за надмерную прагнасць для пушкінскай старой з казкі пра Залатую рыбку?|карыта
Разбойнік у Старажытным Рыме?|латрон
Пераборлівасць гаворкі?|дыкцыя
Выведнік, герой Савецкага Звяза па імі Мікалай?|Кавалёў
Выведнік, обменянный на амерыканскага лётчыка Пауэрса?|Абель
Гутарка дваіх людзей, абмен рэплікамі?|дыялог
Распрануў астраноміі, які вывучае ўнутраны будынак нябесных целаў і іх уласцівасці?|астрафізіка
Частка астраноміі, які вывучае рух, метеорных целаў, іх узаемадзеянне з атмасферай пры падзенні на Зямлю, склад і іншыя ўласцівасці метэарытаў?|метеоритика
Частка біялогіі пра абарону прыроды?|экалогія
Частка біялогіі, навука пра старэнне?|геранталогія
Частка батанікі, які вывучае драўняныя расліны?|дэндралогія
Частка геаметрыі?|планіметрыя
Частка заалогіі, які вывучае павукападобных?|арахналогія
Частка медыцыны, які займаецца хваробамі зубоў, сківіц, паражніны рота?|стаматалогія
Частка механікі, які аб'ядноўвае статыку і дынаміку?|кінэтыка
Частка аграноміі?|земляробства
Частка фізікі, схільны да перабольшанняў?|оптыка
Частка фізікі?|оптыка
Частка філалогіі?|раманістыка
Частка медыцыны, які вывучае старэнне арганізмаў?|геранталогія
Частка фізікі, у якім вывучаюцца гукавыя з'явы?|акустыка
Разлог, прыволле?|абшар
Адрозненню паміж гэтымі двума напоямі прысвечана дысертацыя Мендзялеева. Першы – гарэлка, а другі – ... ?|разведзены спірт
Раскладанне арганічных рэчываў пад дзеяннем высокіх тэмператур?|піроліз
Разлом зямной кары?|рифт
Памер друкарскага шрыфта?|кегель
Разнавіднасць диаскопа?|шароскоп
Разнавіднасць абцаса (сугучная з выглядам халоднай зброі)?|стилетто
Разнавіднасць прычала?|пірс
Разнавіднасць спартовага спаборніцтва?|чэмпіянат
Разарваўшы фінішную стужку, ён стаў першым еўрапейскім спрынтарам якія выйгралі на Алімпіядзе ў амерыканцаў абедзве кароткія дыстанцыі. Як яго клікалі?|Барзоў
Разрэзаная булачка з сечаным біфштэксам і гароднінай пасярэдзіне?|гамбургер
Парыў некранутай плеўкі?|дэфларацыя
Парыў адносін?|байкот
Розум, здольнасць думаць?|інтэлект
Раней – выбітны футбаліст, неаднаразовы чэмпіён свету. Зараз – міністр па справах моладзі і спорту?|Пеле
