Адмысловец у вобласці граматыкі|граматыст
Арганізаванае калектыўнае спыненне працы на фабрыцы, заводзе і т. п. з мэтай дамагчыся ад адміністрацыі ці ўрады выканання патрабаванняў|страйк
Твар, якое пакінула завяшчанне|завяшчальнік
Адукацыя што круцяцца бруй, віхур у вадкасці (ці газе) пры обтекании прадметаў ці пры сустрэчы двух струменяў|завіхрэнне
Нагнятанне, запампоўка вады ў нафтавы пласт з мэтай падтрымання і аднаўленні пластового ціскі|заводнение
Заваяваныя тэрыторыі|заваёвы
Ўдзельнік змовы|змоўшчык
Знахар, які лечыць змовамі|змоўшчык
Прылада, што злучае прадмет, электра- ці радыёпрылада з зямлёй|зазямленне
Праклёны, лаянка|загаворы
Пазбаўленне волі|зняволенне
Выснова, меркаванне, зробленыя на падставе чаго-небудзь|зняволенне
Канчатак, завяршэнне|зняволенне
Меркаванне, якое павінна быць прызнана праўдзівым, калі пасылкі, з якіх яно выводзіцца, прызнаны праўдзівымі (у фармальнай логіцы)|зняволенне
Выкананне закона, законаў; становішча, пры якім грамадскае жыццё і дзейнасць забяспечваюцца законамі|законнасць
Працоўны, кіраўнічы забіваннем паль у грунт пры дапамозе капара|закапёршчык
Сталовая, у якой падаюцца закускі, стравы, не патрабавальныя складанай падрыхтоўкі|закусачная
Матэрыял, прадукт і т. п., які па сваіх уласцівасцях можа замяніць іншы|заменнік
Згуба ад холаду|замярзанне
Прыстасаванне, якое вырабляе замыканне|замыкальнік
Востры канец|завастрэнне
Недатыкальны ўчастак зямлі ці воднай прасторы, дзе захоўваюцца і засцерагаюцца рэдкія выгляды жывёл, раслін, мінералаў, культурна-гістарычныя помнікі і т. п.|запаведнік
Твар, абранае ва ўсталяваным парадку для ўдзелу ў разглядзе крымінальных і грамадзянскіх спраў у судзе|засядацель
Твар, якое абіралася для ўдзелу ў працы некаторых мясцовых дзяржаўных і судовых органаў (у Расійскай дзяржаве да 1917 г.)|засядацель
Пустазелле, які засмечвае пасевы|засоритель
Памяшканне, дзе абедалі дваровыя людзі (у абшарніцкай хаце)|застольная
Песня, звычайна выкананая падчас святочнага абеду, вячэры і т. п.|застольная
Арганізацыя ці твар, якія маюць права будаваць, кіроўныя будаўніцтва|забудоўшчык
Маскіроўка святла як адно са сродкаў проціпаветранай абароны|зацьменне
Прыцемненае месца, пацямненне, што праглядаецца на рэнтгенаўскім здымку органа і якое сведчыць пра яго паразу (у медыцыне)|зацьменне
Глухое, выдаленае ад культурных цэнтраў месца|глухмень
Прыстасаванне для захватывания, трыманні|зачапленне
Шматгадовая расліна сямейства гваздзіковых з кветкамі, формай што нагадваюць зорку|зоркаўка
Зубчастае кола ў ланцужных перадачах|зоркаўка
Ферма, на якой разводзяць пушных звяроў для атрымання іх скурак|звераферма
Прастора, запоўненае зоркамі; мноства зорак|зорнасць
Медыцынская ўстанова для аказання першай дапамогі пры траўмах, раптоўных захворваннях і т. п. (ва ўстанове, на прадпрыемстве і т. п.)|здравпункт
Аддзяленне ліцейнага цэха, дзе вырабляюцца фармовачныя працы|земледелка
Матылёк-пядзенік і яе гусеніца|землемерка
Майстар, які робіць люстэркі|люстэрнік
Злачынства, злачынства|ліхадзейства
Пачуццё задавальнення, зласлівай радасці, испытываемое пры няўдачы, няшчасце іншага|злараднасць
Адносіны паміж людзьмі, дасведчанымі адзін аднаго, злучанымі зносінамі|знаёмства
Азнаямленне з чым-небудзь; набыццё звестак, ведаў|знаёмства
Старажытная форма народнай медыцыны; лекаванне, што выкарыстоўвае нароўні з рацыянальнымі метадамі магічныя, вядзьмарскія прыёмы, змовы і т. п.|знахарства
Шматгадовая травяністая расліна сямейства сложноцветных з жоўтымі кветкамі, сабранымі ў суквецці, выкарыстоўванае ў фармакалогіі|сумнік
Травяністая расліна, якое мае белыя з жоўтай сярэдзінкай кветкі|золотоцвет
Навуковая дысцыпліна, што вывучае ўплыў умоў утрымання жывёл на іх здароўе і прадуктыўнасць|зоогигиена
Крама, у якім прадаюць жывёл|зоомагазин
Уяўленне богаў і духоў у выяве жывёл|зоамарфізм
Навуковая дысцыпліна, якая вывучае асновы гадоўлі, кармленні, утрыманні і выкарыстанні сельскагаспадарчых жывёл|заатэхніка
Завостранае пяро ці палачка для выдалення рэштак ежы, што захраслі паміж зубамі|калыпок
Гібрыд зубра з бізонам|зубрабізон
Прылада ў выглядзе трубы з фільтрам на канцы, якое ўжываецца для паніжэння ўзроўня грунтавых вод пры асушванні|іголкафільтр
Знаходжанне ў сане ігумена, ігуменні|игуменство
Пісьмовы знак, умоўна што пазначае паняцце (у адрозненне ад літары, якая пазначае гук)|ідэаграма
Ліст пры дапамозе ідэаграм|ідэаграфія
Беспрынцыповасць у выбары сродкаў для дасягнення сваёй мэты; крывадушнасць, двудушнасць|езуіцтва
Манах у сане дыякана|иеродьякон
Багатае вылучэнне, выкіданне|вывяржэнне
Извергнутая, выкінутая маса|вывяржэнні
Выбарка, вытрымка, выпіс|выманне
Зямельная арэнда, пры якой плата за зямлю спаганяецца не грашыма, а вызначанай дзеллю ўраджая|дольшчына
Прыбор, што ўжываецца для вымярэння|вымяральнік
Стан крайняй стомленасці, знясіленні; змардаванасць|змардаванасць
