Адмова ад умяшання|неўмяшанне
Падклас пакрытанасенных двухдольных раслін, венцы кветак якіх маюць больш ці меней зрослыя паміж сабою пялёсткі|спайнолепестные
Магчымасць быць параўноўваным; параўнальнасць|сравнительность
Твар ці ўстанова, якое атрымлівае пазыку|ссудополучатель
Адмысловец у вобласці станкабудавання|станкабудаўнік
Мастацтва складання вершаў|стихотворчество
Выраз у дзеяслоўнай форме стану твару ці прадмета, што выпрабоўвае на сабе ўздзеянне (у лінгвістыцы)|залежнасць
Хата для начлегу вандроўцаў; странноприимный хата|странноприимная
Прымуць для валачашчых беднякоў; багадзельня|странноприимная
Частка дэфекталогіі, які вывучае працэсы выхавання і навучанні дзяцей з дэфектамі слыху|сурдапедагогіка
Паглынанне цяпла целам ці навакольным асяроддзем|теплопоглощение
Тэорыя і практыка атрымання і ўжыванні цеплавой энергіі|цеплаэнэргетыка
Ідэалогія і палітыка тэрмідарыянцаў|тэрмідарыянства
Час панавання тэрмідарыянцаў|тэрмідарыянства
Дзейнасць тираноборца|тираноборчество
Частка дэфекталогіі, што вывучае працэсы выхавання і навучанні дзяцей з недахопамі зроку|тыфлапедагогіка
Збудаванне тунэляў|тунэлебудаванне
Спосаб бетанавання ці оштукатуривания шляхам накідвання бетоннай ці растворнай сумесі праз сопла, да якога пад ціскам сціснутага паветра падаюцца паасобна сухая сумесь раствора і вада|таркрэтаванне
Месца здабычы торфу|торфараспрацоўка
Лекавыя прэпараты, якія душаць страх, нервовая напруга, турбота|транквілізатары
Машына, што ўжываецца для капання траншэй|траншэякапальнік
Падтып членістаногіх, якія дыхаюць пры дапамозе трахей|трахейнадыхальныя
Тэрмін, перыяд, прамежак часу ў трынаццаць гадоў|тринадцатилетие
Ўгодкі падзеі, што адбыўся, распачатага і т. п. трынаццаць гадоў назад|тринадцатилетие
Забеспячэнне працай|працаўладкаванне
Збудаванне тунэляў|туннелестроение
Судна, якое рухаецца з дапамогай электрычнай энергіі і паравой ці газавай турбіны|турбоэлектроход
Механізм, службовец для кладкі тюбингов у тунэлі|тюбингоукладчик
Філасофскае вучэнне, заснаванае на сістэме поглядаў нямецкага філосафа-матэрыяліста Людвіга Феербаха|феербахіянства
Служба фельдфебеля|фельдфебельство
Пошукі новых формаў у мастацтве, злучаныя з ідэямі фармалізму|формотворчество
Бактэрыяльны прэпарат, што ўжываецца для паляпшэння сілкавання сельскагаспадарчых раслін фосфарам|фосфоробактерин
Лабараторыя, дзе апрацоўваюцца фатаграфічныя пласцінкі і плёнкі, дзе друкуюцца фатаграфіі|фоталабараторыя
Апарат для павелічэння памеру фатаграфічнага малюнка пры яго капіяванні|фотапавелічальнік
Прыбор, службовец для вызначэння вытрымкі пры фатаграфаванні шляхам вымярэння асветленасці які здымаецца аб'екта|фотоэкспонометр
Літаграфічны спосаб друкавання некалькімі фарбамі; шматкаляровая літаграфія|хромалітаграфія
Працэс фармавання коштаў на тавары|коштаўтварэнне
Сістэма коштаў|коштаўтварэнне
Дыягностыка з выкарыстаннем метаду мікраскапічнага даследавання клеткавых элементаў, узятых з органаў і тканак арганізма|цитодиагностика
Тэрміновая дыягностыка – звычайна гистологическая – на аперацыйным стале|цитодиагностика
Радавой фашысцкай паліцыі ў Італіі; італьянскі фашыст|чернорубашечник
Вучань чацвёртага класа|чацвёртакласнік
Падклас головоногих малюскаў з дзвюма парамі жабраў|четырехжаберные
Вучань чацвёртага класа|четырехклассник
Тэрмін, перыяд, прамежак часу ў чатырыста гадоў|чатырохсотгоддзе
Ўгодкі падзеі, што адбыўся, распачатага і т. п. чатырыста гадоў назад|чатырохсотгоддзе
Геаметрычная фігура, абмежаваная замкнёнай ламанай лініяй, якая ўтварае чатыры кута|чатырохкутнік
Падшыпнік, у якім паміж паверхняй круцельнай дэталі і паверхняй апоры размешчаны шарыкі; шарыкавы падшыпнік|шарыкападшыпнік
Нарыхтоўка поўсці|шерстезаготовка
Выпрацоўка тканіны з поўсці|шэрсцяткацтва
Машына для ўздыму і кладкі ў штабель грузаў і лесаматэрыялаў|штабелеукладчик
Кірунак у філасофіі, якое прызнае толькі індывідуальнае духоўнае жыццё, “чалавечае існаванне” і імкнецца даказаць бессэнсоўнасць жыцця, бясплоднасць грамадскай дзейнасці і т. п.|экзістэнцыялізм
Эканамічная геаграфія|эканомгеаграфія
Выманне, выдаленне|экстрагаванне
Частка акустыкі, які займаецца пытаннямі прыёму, запісы і прайграванні гуку пры дапамозе электрычных прыбораў|электроакустика
Сукупнасць прадметаў абсталявання для электрычнай праводкі; арматура|электроарматура
Вібратар, прыводны ў дзеянне электраэнергіяй|электравібратар
Распрануў фізікі, што вывучае ўласцівасці і ўзаемадзеянне рухомых электрычных зарадаў і злучаных з імі з'яў|электрадынаміка
Паяльнік, які працуе на электрычнасці|электрапаяльнік
Перадача электрычнай энергіі на адлегласць|электраперадача
Сістэма правадоў для перадачы электрычнага току|электраправодка
Метад рефлексотерапии, заснаваны на ўздзеянні электрычным токам на біялагічна актыўныя кропкі з дапамогай тонкага электрода|электропунктура
Геалагічнае адшуканне радовішчаў карысных выкапняў метадам выкарыстання электрычных і электрамагнітных з'яў у зямлі|электравыведка
Каханне, прыхільнасць да ўсяго ўкраінскага, да саміх украінцаў|украинофильство
Наданне працэсу ці аб'екту ўласцівасці ўніверсальнасці|універсалізацыя
Аўтамабіль для перавозкі хуткапсавальных прадуктаў, абсталяваны халадзільнымі ўсталёўкамі|аўтарэфрыжэратар
Распрануў кліматалогіі, што вывучае ўплыў кліматычных умоў на сельскагаспадарчую вытворчасць|агракліматалогія
Частка метэаралогіі, які вывучае метэаралагічныя, кліматычныя і гідралагічныя ўмовы, што ўплываюць на развіццё сельскай гаспадаркі|аграметэаралогія
Сродак, якое засцерагае самалёт, шрубалёт ад адукацыі лёду на іх паверхні падчас палёту|антыаблядляльнік
Абеззаражанне, засцярога ад загнівання з дапамогай антысептыкаў|антысептаванне
Ўстанова, кіраўнічае працай апатэк і кіравальнае забеспячэннем іх лекамі і іншымі медыцынскімі таварамі|аптекоуправление
Машына для кладкі асфальта і асфальтабетону|асфальтаўкладнік
Чалавек ці жывёла, у арганізме якога знаходзяцца бактэрыі – узбуджальнікі інфекцыйнай хваробы|бактерионоситель
Рэлігійна-філасофская плынь, што ўзнікла напачатку ХХ ст. у асяроддзі рускай ліберальнай інтэлігенцыі і якое прапаведавала неабходнасць абнаўлення хрысціянства, змены формаў чалавечага існавання ў адпаведнасці з новай рэлігійнай свядомасцю|богашукальніцтва
Баявая браняваная колавая ці гусенічная машына падвышанай праходнасці, прызначаная для транспартавання мотастралковых падраздзяленняў да поля бою і для іх агнявой падтрымкі|бронетранспарцёр
Складанне непатрэбных афіцыйных папер (звычайна з адценнем неодобрительности)|бумаготворчество
Стварэнне літаратурных твораў, для якіх характэрна падрабязнае апісанне побыту, паўсядзённага жыцця|бытописательство
Твар, што валодае вэксалем; крэдытор|вэксалятрымальнік
Узаемнае ўзбагачэнне|взаимообогащение
Дача хабару|взяткодательство
Твар, якое атрымала хабар|хабарнік
Вібрацыйная машына для апускання ў грунт паль, труб і т. п.|вібрапагружальнік
Здольнасць да перайначвання|відазменнасць
Частка гістарычнай навуковай дысцыпліны, якая вывучае мова, гісторыю і культуру Візантыі|византиноведение
Выкарыстанне вінаграда ў лячэбных мэтах|виноградолечение
Адукацыя віхуры, віхур|віхраўтварэнне
Частка гідралогіі, у якім вывучаецца адукацыя хваль|волнообразование
Працэс адукацыі хвалі, хваль|волнообразование
Раб ці прыгонны, адпушчаны на волю|вольнаадпушчанік
Здольнасць лёгка ўзгарацца|узгаральнасць
Здольнасць быць успрынятым|успрымальнасць
Поўная, бязмежная воля дзеянняў|усёдазволенасць
Знаходжанне навучэнцаў другі год у тым жа класе, на тым жа курсе|другагодніцтва
Не галоўнае, не асноўнае, другараднае|второстепенность
Атрыманне металічных дзід з металічнага ці неметалічнага арыгінала метадам электролізу (у гальванатэхніцы)|гальванапластыка
Атрыманне аб'ёмнага малюнка аб'екта з дапамогай галаграфіі|галаграфаванне
Прылада для гучнага прайгравання гуку (гаворкі, музыкі і т. п.)|гучнагаварыцель
Дзейнасць гросмайстра|гроссмейстерство
Сукупнасць прыродных і грамадска-гістарычных з'яў, аб'ектыўны свет, быццё|рэчаіснасць
Вядзенне канцылярскіх спраў|справаводства
Зварот дзяржавай нацыяналізаванай маёмасці ранейшым уладальнікам|дэнацыяналізацыя
Страта нацыянальных асаблівасцяў (культуры, мовы і т. п.)|дэнацыяналізацыя
Дакументальныя фільмы, дакументальная літаратура|дакументалістыка
Абрад прынясення ахвяры бажаству|ахвярапрынашэнне
Забеспячэнне жыццядзейнасці арганізма|жыццезабеспячэнне
Імкненне ўмацаваць, зацвердзіць жыццё, зрабіць яе ўспрыманне радасным, бадзёрым|жизнеутверждение
Службы, кіраўнічыя дзейнасцю заводу|заводакіраўніцтва
Бязладная запоўненасць вялікай колькасцю|загроможденность
Сукупнасць законаў краіны ці вобласці права|заканадаўства
