Здольнасць прамярзаць|промерзаемость
Старажытныя вымерлыя земнаводныя жывёлы, што нагадвалі вонкава кракадзілаў ці саламандр|лабиринтодонты
Граматычная катэгорыя, якая паказвае на наяўнасць у слове значэння ласкі ці пяшчоты параўнальна са словамі, ад якіх адпаведнае слова ўтворана (у лінгвістыцы)|ласкательность
Працоўны, заняты вытворчасцю металічнай стужкі|лентопрокатчик
Штучная гадоўля лясоў|лесанасаджэнне
Штучна насаджаны лес|лесанасаджэнне
Штучная гадоўля лясоў|лесаразвядзенне
Распрацоўка, нарыхтоўка лесу|лесараспрацоўка
Ўчастак лесу, дзе вырабляецца нарыхтоўка лесаматэрыялаў|лесараспрацоўкі
Лжывае, уяўнае вяшчунства|лжепророчество
Кірунак у РСДРП, прадстаўнікі якога выступалі за ліквідацыю нелегальнай рэвалюцыйнай партыі і за стварэнне легальнай рэфармісцкай партыі, адмаўляючы неабходнасць рэвалюцыйнай барацьбы|ліквідатарства
Працоўны, заняты лістапракаткай|листопрокатчик
Механізм для вертыкальнага ўздыму і спуску цяжараў|лифтоподъемник
Выпусканне целам накіраванага струменя часціц ці электрамагнітнай энергіі ў атачальную прастору|выпраменьванне
Машына для ачысткі валокнаў лёну|льноочиститель
Лячэнне некаторых захворванняў шляхам уздзеяння на арганізм чалавека магнітных палёў|магнитотерапия
Будынак цвёрдага рэчыва, бачнае няўзброеным вокам ці пры невялікіх павелічэннях|макроструктура
Тэорыя, паводле якой становішча працаўнікоў вызначаецца “натуральным законам народанасельніцтва”, што абумаўляюць адставанне росту сродкаў існавання ад росту колькасці насельніцтва|мальтузіянства
Дзейнасць маркшэйдара|маркшейдерство
Ўладальнік машыны|машиновладелец
Комплекс галін прамысловасці, якія вырабляюць прылады працы для народнай гаспадаркі, транспартныя сродкі, прадметы спажывання і т. п.|машынабудаванне
Шматгадовей, радзей аднагадовае ці двулетнее травяністае ці полукустарниковое расліна сямейства сложноцветных з дробнымі пялёсткамі і кветкамі|купалка
Становішча, размяшчэнне пункта ці ўчастку зямной паверхні|месцазнаходжанне
Колькасць металу, выдаткоўванае на выраб вызначанай машыны, механізму, будаўнічай канструкцыі і т. п.|металаёмістасць
Моцная схільнасць да летуцення|летуценнасць
Драбнюткія, пераважна аднаклеткавыя, арганізмы, бачныя толькі ў мікраскоп (бактэрыі, мікраскапічныя грыбы і багавінне, найпростыя)|мікраарганізмы
Праграмна кіраваная прылада апрацоўкі інфармацыі, якое ўжываецца ў микросистемах аўтаматычнага кіравання|мікрапрацэсар
Будынак цвёрдых рэчываў, бачнае пад мікраскопам|микроструктура
Адчувальны амперметр, што дазваляе вымяраць сілу току ў міліамперах|миллиамперметр
Адчувальны вальтметр, які дазваляе вымяраць напругу ў милливольтах|милливольтметр
Памяншэнне памераў і масы элементаў (у вылічальнай тэхніцы, радыёэлектроніцы і т. п.)|мініяцюрызацыя
Ўспрыманне чалавекам навакольнага свету, рэчаіснасці; светаадчуванне|светаўспрыманне
Сукупнасць поглядаў, гледжанняў на свет|светасузіранне
Дзейнасць, паводзіны міратворца|міратворнасць
Стварэнне міфаў|міфатворчасць
Жывёльныя і раслінныя арганізмы, цела якіх складаецца са шматлікіх спецыялізаваных клетак, аб'яднаных у тканіны і органы|шматклеткавыя
Пастаўкі малака дзяржаве|малакапастаўкі
Сукупнасць навуковых дысцыплін, якія вывучаюць гісторыю, мовы, літаратуру, матэрыяльную і духоўную культуру мангольскіх народаў|манголазнаўства
Галіна прамысловасці, што вырабляе маторы|маторабудаванне
Прылада для нагнятання ў парогидравлический прэс вады пад вялікім ціскам|мультыплікатар
Прылада для павелічэння чашчыні перыядычнага працэсу (кручэнні вала машыны і т. п.)|мультыплікатар
Прылада, якое забяспечвае атрыманне некалькіх аднолькавых здымкаў пры фатаграфаванні, фотадруку|мультыплікатар
Установа, што аб'ядноўвае прадпрыемствы мясной прамысловасці (бойні, халадзільнікі і т. п.)|мясахоладабойня
Горнарабочы, заняты навалаадбойкай|навалаадбойшчык
Дрэнны маральны стан, паслабленне душэўных і фізічных сіл; надлом|надламанасць
Вобласць, якая кіруецца намеснікам|намесніцтва
Сістэма кіраванняў на чале з намеснікам|намесніцтва
Стан у пасады намесніка|намесніцтва
Накіраванасць, засяроджанасць (думак, інтарэсаў)|скіраванасць
Занятак, пасада настаўніка|настаўніцтва
Начальніца жаночага манастыра; ігумення|ігумення
Занятак, пасада плябана, ігуменні|настоятельство
Філасофскае вучэнне, асаблівасцю якога з'яўляецца пераважна абстрактнае вытлумачэнне прыроды, разгляданай у яе цэласнасці; філасофія прыроды|натурфіласофія
Знаходжанне нахлебнікам; стан нахлебніка|нахлебніцтва
Перадача з прыватнай уласнасці ва ўласнасць дзяржавы ці грамадствы прадпрыемстваў, банкаў, галін вытворчасці і т. п.|нацыяналізацыя
Нацыянальная меншасць|нацменшасць
Няшчаснае становішча; непрыемнасць|няшчасце
Адсутнасць разважлівасці; неразважны ўчынак|неразважнасць
Уласцівасць невысакароднага|невысакароднасць
Недахоп ці адсутнасць сумленнасці, высакароднасці|невысакароднасць
Стан нявольніка; рабства|нявольніцтва
Частка медыцыны, які займаецца хваробамі нервовай сістэмы і іх лячэннем|неўрапаталогія
Недастатковае, няпоўнае назапашванне|недонакопление
Ўласцівасць, асаблівасць неабкладнага|необлагаемость
Філасофская плынь другой паловы ХIХ ст. – пачала ХХ ст., выходнае з метадалагічных прынцыпаў вучэння І. Канта|неакантыянства
Адсутнасць здольнасці праводзіць электрычнасць і цяпло|неправоднасць
Адсутнасць размяшчэння, схільнасці; недабразычлівае стаўленне|непрыхільнасць
Уласцівасць недасканалага; адсутнасць дасканаласці|недасканаласць
Адсутнасць адпаведнасці|неадпаведнасць
Пачуццё непрыязнасці, адмоўнага стаўлення|незадавальненне
Невыкарыстанне|неупотребление
Дрэнная, нізкая паспяховасць у навучальных занятках|непаспяховасць
Збудаванне з рэзервуарамі для захоўвання нафты|нафтасховішча
Арганічныя сінтэтычныя фарбавальнікі|нитрокрасители
Сукупнасць нормаў, якія вызначаюць паводзіны чалавека|маральнасць
Маральныя якасці|маральнасць
Ступень забеспячэння|забяспечанасць
Матэрыяльны дабрабыт; дастатак|забяспечанасць
Пакрыццё лісцем, лістотай|облиственность
Формавая адзежа з усім яе прыладдзем|абмундзіраванне
Апазіцыйны рух у рускай праваслаўнай царкве, што ўзнікла ў Расіі пасля 1917 гады і мелае сваёю мэтай прыстасаваць дзейнасць царквы да якое змянілася палітычнага становішча ў краіне|абнаўленства
Ступень ахопу прасторы зрокам|обозреваемость
Узровень адукацыі як сукупнасці ведаў, атрыманых падчас навучанні|адукаванасць
Асвечанасць, культура|адукаванасць
Сукупнасць умоў, у якіх адбываецца штосьці; становішча|акалічнасці
З'ява, спадарожнае ці суправаджалае штосьці|акалічнасць
Другарадны чалец прапановы, службовец для характарыстыкі дзеяння ці прыкметы з пункту гледжання яго якасці, меры, чакай, месцы, чыннікі, мэты, умоў ці спосабу здзяйснення дзеяння і праявы прыкметы (у лінгвістыцы)|акалічнасць
Палітычная – звычайна парламенцкая – барацьба шляхам абструкцый|абструкцыянізм
Грамадскія арганізацыі|грамадскасць
Гадоўля гародніны як галіна сельскай гаспадаркі|агародніцтва
Тэорыя і практыка гадоўлі гародніны як галіна сельскагаспадарчай навукі|агародніцтва
Граматычная катэгорыя, уласцівая імёнам назоўнікам, што пазначаюць назвы жывых істот (у лінгвістыцы)|адушаўлёнасць
Біялагічны працэс, які складаецца ў адукацыі плёну (зародка) шляхам зліцця мужчынскай і жаночай палавых клетак|апладненне
Выразнасць, дакладнасць, выразнасць|пэўнасць
Прылада для разгрузкі адкрытых вагонаў, ваганетак і т. п. шляхам перакульвання|перакульнік
Перасадка органа ці тканіны з лячэбнай мэтай|арганапластыка
Своеасаблівае, самабытнае|арыгінальнасць
Сукупнасць навуковых дысцыплін, якія вывучаюць гісторыю, мовы і культуру Ўсходу; усходазнаўства|арыенталістыка
Заснавальнік, стваральнік вучэння, кірункі, школы і т. п.|заснавальнік
Уводзіны ў цела противооспенной сыроваткі з мэтай засцярогі чалавека ад захворвання воспай|прышчэпліванне воспы
Нежаданне прызнацца ў чым-небудзь; зацятае адмаўленне|адмаўленне
Паводзіны адрачэнца|адступніцтва
Выразнасць, выразнасць|отчеканенность
Отшельническая жыццё|пустэльніцтва
Прыбор для вымярэння вышыні палёту, заснаваны на прынцыпе радыёлакацыі|радыёальтыметр
Выпраменьванне электрамагнітных хваль|радыёвыпраменьванне
Арыентацыя ў прасторы з дапамогай радыётэхнічных сродкаў і метадаў пры кіраванні судоў і самалётаў|радыёнавігацыя
Слухач перадач радыёвяшчання|радыёслухач
Радыёапаратура, усталяваная ў месцы яе сталай эксплуатацыі|радыёўсталёўка
Ўчынкі, паводзіны разбойніка|разбойніцтва
Розная форма сярэдняга лісця ўцёкаў у аднаго і таго ж расліны|разнолистность
Нічым не стрымваны разгул, распуста ці самаўпраўнасць|распушчанасць
Вытворчасць ракет|ракетабудаванне
Тлумачальнік расколу|расколоучитель
Здольнасць распускацца|распускаемость
Сукупнасць раслін мясцовасці|расліннасць
Размеркаванне паводле рацыёну|рацыянаванне
Рацыяналізатарская прапанова|рацпредложение
Змена кірунку руху працоўных частак машыны на зваротнае|рэверсаванне
Ўзнікненне рэгіянальных аб'яднанняў|рэгіяналізацыя
Развіццё і ўмацаванне розных сувязяў і адносін паміж рэгіёнамі|рэгіяналізацыя
Імкненне да ўсталявання рэкордаў|рэкардсменства
Здольнасць да шматразовага красавання і плоданашэнню на працягу аднаго вегетацыйнага перыяду|ремонтантность
Малюнак доследнага аб'екта, зафіксаванае з дапамогай рэнтгенаўскага выпраменьвання на адчувальнай пласцінцы ці плёнцы|рэнтгенаграма
Метад рэнтгеналагічнага даследавання, які складаецца ў атрыманні на адмысловай плёнцы ці пласцінцы здымка з дапамогай рэнтгенаўскага выпраменьвання|рэнтгенаграфія
Метад даследавання розных аб'ектаў шляхам прасвечвання іх рэнтгенаўскімі прамянямі і атрыманні малюнка на экране|рэнтгенаскапія
Прыхільнасць рэспубліканскаму ладу кіравання|рэспубліканізм
Распрануў прыкладнай оптыкі, у якім разглядаюцца метады вымярэння паказчыку пераламлення святла ў цвёрдых, вадкіх і газападобных асяроддзях|рэфрактаметрыя
Дзейнасць ліхвяра|ліхвярства
Орган па кіраванні рудняй ці некалькімі руднямі|рудаўпраўленне
Гадоўля садоў|садоразведение
Выхаванне самога сябе|самавыхаванне
Ўменне падпарадкоўваць свае дзеянні вызначаным патрабаванням|самадысцыпліна
Стан самаздаволенага|самаздаволенне
Самаадвольнае, самастойнае ўзнікненне, з'яўленне|самазараджэнне
Выключэнне сябе па ўласнай ініцыятыве|самавыключэнне
Назіранне за самім сабой, сваім станам, думкамі, пачуццямі і т. п.|саманазіранне
Награванне, падвышэнне тэмпературы, якое выклікаецца ўнутранымі чыннікамі|саманаграванне
Ўзбагачэнне самога сябе|самаўзбагачэнне
Самападман, што складаецца ў неабгрунтаванай упэўненасці ў тым, што ўсё добра|самаспакушэнне
Прылада найпростых хованак ад агню суперніка сіламі саміх байцоў|самаакопванне
Апраўданне сябе, сваіх паводзін, уласных учынкаў|самаапраўданне
Жертвование асабістымі інтарэсамі ў карысць іншых; самаадданасць|самаадданасць
