Хваляванне, трывога; турбота|неспокойствие
Крывая электрычнага працэсу, запісаная пасродкам асцылографа|асцылаграма
Здольнасць адцягвацца|отвлекаемость
Адцягненае ўяўленне; абстракцыя|адцягненасць
Знаходжанне ў выдатніках|отличничество
Частка медыцыны, што вывучае хваробы вачэй, метады іх лячэння і папярэджанні|афтальмалогія
Дзень года, калі цэнтр Сонцы перасякае нябесны экватар і калі працягласць дня на ўсёй Зямлі – акрамя канцавоссяў – роўная ночы|раўнадзенства
Прыём і запіс радыёперадач суперніка як выгляд выведкі|радыёперахоп
Звесткі, атрыманыя ў выніку прыёму радыёперадач суперніка|радыёперахоп
Прылада для ўлоўлівання, пераўтварэнні і выкарыстанні энергіі радыёхваль|радыёпрымач
Рэпартаж пра якія-небудзь падзеі, пра становішча спраў дзе-або, які перадаецца па радыё непасрэдна з месца дзеяння|радыёрэпартаж
Сукупнасць перадавальнай і прыёмнай апаратуры для тэлеграфнай сувязі па радыё|радыетэлеграф
Прылада, прызначанае для прыёму і рэгістрацыі радыёвыпраменьвання пазаземных аб'ектаў|радыётэлескоп
Здольнасць размывацца, паддавацца размыванню|размываемость
Бязладны спеў ці бязладная гульня на музычных прыладах|рознагалосіца
Множнасць меркаванняў; адсутнасць адзінства ў меркаваннях, поглядах|рознагалосіца
Адсутнасць узгодненасці, адпаведнасці|рознагалосіца
Наяўнасць прыкмет, што існуюць у разнодомных раслін; двухдомнасць|разнодомность
Адсутнасць сувязі паміж раз'яднанасць|разарванасць
Пачуццё, стан нездаволенасці ад які не спраўдзіўся; страта веры|расчараванне
Апарат, службовец для хуткага раз'яднання асобных участкаў электрычнай сеткі высокай напругі|раз'яднальнік
Фанетычная з'ява замены аднаго з двух падобных ці аднолькавых гукаў у слове іншым, што адрозніваюцца ў вымаўленні; дысіміляцыя (у лінгвістыцы)|распадабненне
Размяшчэнне па часе ці паслядоўнасці|размеркаванне
Працэс часткі, вызначаны вытворчымі адносінамі|размеркаванне
Магчымасць быць скасаваным|скасавальнасць
Здольнасць пашырацца|пашыральнасць
Працоўны тэкстыльнай вытворчасці, які займаецца расшліхтоўкай|расшліхтоўшчык
Адданасць рэвалюцыі; рэвалюцыйнасць|рэвалюцыянізм
Усталяванне правіл, рэгламентавальных дзейнасць|рэгламентацыя
Кароткі і хуткі паўтор, прайграванне асноўных этапаў развіцця предковых формаў падчас індывідуальнага – асабліва зародкавага – развіцці ў сучасных сталых арганізмаў|рэкапітуляцыя
Твар ці ўстанова, па заяўцы якога зроблена рэклама|рэкламадавец
Смутны ўспамін|рэмінісцэнцыя
Частка медыцыны, што вывучае ўжыванне рэнтгенаўскіх прамянёў з дыягнастычнай і лячэбнай мэтай|рэнтгеналогія
Перабудова, пераўтварэнне, змена структуры|рэарганізацыя
Дзейнасць рэпетытара|рэпетытарства
Прыхільнік рэспубліканскага ладу кіравання|рэспубліканец
Чалец Рэспубліканскай партыі (у ЗША)|рэспубліканец
Згодны гук, які ўтвараецца пры загіне кончыка мовы да цвёрдага неба; цэрэбральны (у лінгвістыцы)|ретрофлексный
Кірунак, злучанае з дзейнасцю Ў М. Бехтерева, якое існавала ў рускай психоневрологии і разглядалае псіхічную дзейнасць чалавека як сукупнасць рэфлексаў, выкліканых вонкавым уплывам|рэфлексалогія
Дзейнасць рэцэнзента|рецензентство
Сістэма фізічных практыкаванняў, што маюць сваёю мэтай усебаковае гарманічнае развіццё цела|ритмопластика
Продак, ад якога вядзе свой пачатак род|родапачынальнік
Рыбопропускное збудаванне, якое служыць для механічнага ўздыму рыбы ў адмысловай сетцы ці ў напоўненай вадой камеры|рыбоподъемник
Мастацтва гадоўлі садоў і сыходу за імі|садоўніцтва
Занятак садоўніка|садоўніцтва
Сямейства хвастатых земнаводных; саламандры|саламандравыя
Прычыненне сабе фізічных пакут з рэлігійнай нялюдскасці|самабічаванне
Нарыхтоўка самім|саманарыхтоўка
Самаадвольнае запальванне|самазапальванне
Знясіленне самога сябе|самамардаванне
Выпрабаванне сябе, сваіх сіл, здольнасцяў|самавыпрабаванне
Прычыненне сабе фізічных ці маральных пакут|самакатаванне
Любаванне , сваімі добрымі якасцямі, поспехамі|самалюбаванне
Аўтаматычнае навядзенне на мэту|саманавядзенне
Здольнасць валодаць сабою; вытрымка, стрыманасць|самавалоданне
Абвінавачанне самога сябе, сваіх дзеянняў, учынкаў, слабасцяў, недахопаў|самавыкрыццё
Добраахвотная рэшта сродкаў на грамадскія патрэбы, памер якіх усталяваны самім насельніцтвам ці калектывам|самаабкладанне
Рэакцыя акіслення, што праходзіць без каталізатараў, з адукацыяй прамежкавых прадуктаў перакіснага характару|самаакісленне
Самаапыляльная расліна|самаапыляльнік
Асуджэнне ўласных дзеянняў, учынкаў|самаасуджэнне
Свядомае адрачэнне ад асабістых выгод у імя чаго-небудзь|самаадрачэнне
Адрачэнне ад уласнай сутнасці, запатрабаванняў сваёй натуры|самаадрачэнне
Адхіленне ад уласных жаданняў, грэбаванне ўласнымі інтарэсамі, запатрабаваннямі; самаадмаўленне|самаадмаўленне
Адмаўленне ўласных добрых якасцяў, заслуг|самаадмаўленне
Пагарда да самога сябе|самопрезрение
Рамеснік, які вырабляе калаўроты|самопрялочник
Страхоўка пры выкананні практыкавання, што здзяйсняецца самім спартоўцам|самастрахоўка
Праява асабістай самаўпраўнасці, парушэнне законнага парадку пры рашэнні спраў|самаўпраўнасць
Санітарны інструктар|санінструктар
Санітарна-прафілактычная ўстанова, якое вырабляе санітарныя мерапрыемствы|санпрапускнік
Рамяство шаўца|шавецтва
Вытворчасць цукру з цукровага трыснёга, цукровага бурака і т. п.|цукраварства
Здольнасць зварвацца|зварнасць
Працаўніца, занятая гадоўляй і ўборкай свекловицы|свекловичница
Гадоўля бурака з прамысловымі мэтамі як галіна раслінаводства|буракаводства
Машына для выкопвання, уборкі бурака і абіркі яе ад бацвіння|бурачны камбайн
Якая вырабляе незвычайна моцнае ўражанне сенсацыя|звышсенсацыя
Гадоўля раслін пры штучным асвятленні|светокультура
Пакой, прызначаная для сведак у судзе|сведкавая
Сведчанне твару, што быў сведкай, відавочнікам, асабіста дасведчанага каго-штосьці|сведчанне
Незалежны і вольны склад думак|вальнадумства
Адукацыя на паверхні тканіны друзлага волокнообразного пластуючы|злямцоўванне
Сан, званне свяціцеля|святительство
Дзейнасць свяціцеля|святительство
Сузгоднасць адносна дамоўленасць|змоўленасць
Грашовы выраз выдаткаў прадпрыемства на вытворчасць і рэалізацыю прадукцыі|сабекошт
Зварот царкоўнай і манастырскай уласнасці ва ўласнасць свецкую|секулярызацыя
Вынятак з царкоўнага, духоўнага вядзення і перадача свецкаму, грамадзянскаму вядзенню|секулярызацыя
Сельскагаспадарчая талака|сельгассябрыня
Сельскагаспадарчая машына|сельгасмашына
Частка раслінаводства, які вывучае біялагічныя ўласцівасці насення, а таксама метады іх адзнакі і кантролю|семеноведение
Галіна раслінаводства, што займаецца гадоўляй насенных раслін і атрыманнем гатункавага насення|насенняводства
Перевертывание, варушэнне скошанай травы, сена падчас сушкі|варочанне сена
Сельскагаспадарчая машына для варушэння сена|сенаразбівалка
Нарыхтоўка сена|сенанарыхтоўка
Сельскагаспадарчая машына для складання сена ў копы, сцірты|сенаскладальнік
Сельскагаспадарчая машына для падборкі сена з валкоў і падачы яго ў машыну, воз і т. п.|сенанагрузчык
Сельскагаспадарчая машына для падборкі сена|сенападбіральнік
Сельскагаспадарчая машына для падачы сена пры кладцы яго на вышкі ці ў стог|сенапад'ёмнік
Памяшканне для захоўвання сена|сенасховішча
Веды чалавечага сэрца, душэўных рухаў чалавека|сэрцазнаўства
Серадняцкае сялянства, сераднякі|серадняцтва
Атрад сетчатокрылых казурак|сетчатокрылые
Сямейства вымерлых дрэвападобных раслін|сигилляриевые
Ўводзіны ў грунт сілікатных раствораў для надання яму трываласці, воданепранікальнасці|сілікатызацыя
Насычэнне паверхні металу крэмніем для надання яму большай устойлівасці супраць карозіі, зносу і т. п.|силицирование
Частка анатоміі, які вывучае сучляненні костак шкілета|сіндэсмалогія
Прыстасаванне, з дапамогай якога ажыццяўляецца сінхранізацыя працэсаў|сінхранізатар
Працоўны, што займаецца паркаледрукаваннем|паркаледрукар
Распрануў медыцыны, які займаецца вывучэннем пранцаў і мёр барацьбы з ім|сіфілідалогія
Бадзяжны лад жыцця|вандроўніцтва
Форма аб'яднання купцоў для ажыццяўлення гандлёвых аперацый (на Русі IХ–ХIII стст.)|складніцтва
Дзейнасць блазна|блазанства
Гандляр, якая скупляе і прадавалая скаціна для зарэзу|скототорговец
Падвышаная пачуццёвасць, моцная цяга да задавальнення палавога пачуцця|юр
Пачуццёвая асалода|юр
Слоистое будынак горнай пароды, здольнасць яе распластоўвацца|сланцаватасць
Усхваляваны шматслоўны выклад сваіх думак, пачуццяў, перажыванняў|словоизлияние
Адукацыя складаных слоў шляхам злучэння ў адно слова дзвюх ці некалькіх асноў (у лінгвістыцы)|словосложение
Сямейства двухдольных травяністых раслін з кветкамі, сабранымі ў суквецці, падобныя на адну кветку|сложноцветные
Здольнасць змочвацца, убіраць, утрымліваць вільгаць|смачиваемость
Што бунтуе лакейства|смердяковщина
Пацешныя, смешныя жарты, дзеянні з мэтай рассмяшыць, забавіць|смехотворство
Ўласцівасць вадкасцяў растварацца сябар у сябру, здольнасць утвараць аднастайныя растворы|змешвальнасць
Хмызняк сямейства жимолостных з прыгожымі беласнежнымі пладамі|снежнаягаднік
Навуковая дысцыпліна, якая вывучае сабак, іх пароды, гадоўля і сыходзе за імі; кинология|сабаказнаўства
Гадоўля сабак як галіна жывёлагадоўлі|сабакагадоўля
Асобная гаспадарка па гадоўлі сабак|сабакагадоўля
Агульная назва буйных наземных малп падсямейства мартышковых з вялікай галавой, што нагадвае сабачую|сабакагаловыя
Гутарка, гутарка|гутарка
Адмысловая гутарка на тэмы, разлічаная на абмен меркаваннямі паміж прысутнымі, высвятленне пытанняў|гутарка
Гадоўля собаляў у гадавальніках і запаведніках|собалегадоўля
Сучасная эпоха, сучасная рэчаіснасць|сучаснасць
Прыстасаванне, прыбор, прызначаныя для выціскання соку з садавіны, ягад і гародніны|сокавыціскалка
Здабыванне солі|соледобывание
Выкарыстанне сонечнай энергіі ў лячэбных і прафілактычных мэтах|сонцалячэнне
Момант мінання Сонца праз самую паўночную ці самую паўднёвую кропку экліптыкі, які бывае двойчы ў годзе і якому адпавядаюць самы кароткі і самы доўгі дзень|сонцастаянне
Штучнае прарошчванне збожжа для соладу|солодоращение
Прыстасаванне для прасушкі прарошчанага збожжа|солодосушилка
Саўдзел у злачынстве, у непрыстойных справах|саўдзел
Пастаноўшчык, які працуе сумесна з іншым пастаноўшчыкам|супастаноўшчык
Уласцівасць аказваць процідзеянне ўздзеянням, зменам|супраціў
Элемент электрычнага ланцуга, што дазваляе рэгуляваць сілу току ў ланцугі|супраціў
Памяшканне, дзе вырабляецца сартаванне|сартавальная
Чыгуначная станцыя для сартавання вагонаў пры складанні і расфармаванні цягнікоў|сартавальная
Пракатка гатункавага жалеза|сортапракатка
Аднагадовая травяністая расліна сямейства маревых са зрослымі пялёсткамі|спайноцветник
Фатаграфічны малюнак спектру|спектраграма
Частка спектраскапіі, які распрацоўвае тэорыю і метады вымярэння спектраў|спектраметрыя
Вымярэнне даўжыні светлавых хваль пры дапамозе адмысловых аптычных прыбораў|спектраметрыя
Частка фізікі, што вывучае спектры электрамагнітнага выпраменьвання атамаў, атамных ядраў, малекул, крышталяў|спектраскапія
Даследаванне спектраў пры дапамозе спектраскопа|спектраскапія
Асобная галіна навукі, тэхнікі, мастацтвы|адмысловасць
Круг упадабаных заняткаў, інтарэсаў|адмысловасць
Справа, занятак, у якім хто-небудзь выяўляе сваё ўменне, мастацтва|адмысловасць
Ступень зношанасці прылады, механізму і т. п.|спрацаванасць
Узгодненасць, паразуменне ў працы паміж яе ўдзельнікамі|спрацаванасць
Гістарычная эпоха, якая ахоплівае час ад крушэння Рымскай рабаўладальніцкай імперыі (канец V ст.) да пачатку капіталізму (канец ХVII ст.); сярэднія вякі|сярэднявечча
Згодны гук, які вымаўляецца пры ўдзеле сярэдняй часткі спінкі мовы (у лінгвістыцы)|среднеязычный
Занятак, здабыча старацеляў|старацельства
Дзейнасць старэйшыны|старэйшынства
Кіраванне старэйшага з князёў вялікакняжацкім пасадам (на Русі IХ–ХIII стст.)|старэйшынства
Навучэнец блізкага да выпуску курсу|старшакурснік
Падрыхтоўка стекломассы шляхам плаўлення кварцавага пяску|шкловарэнне
Складанне вершаў|вершаскладанне
Сістэма пабудовы і арганізацыі ритмизованной вершаванай гаворкі|вершаскладанне
Невялікі мастацкі твор, напісанае рытмічна арганізаванымі, звычайна рыфмаванымі, радкамі|верш
Сельскагаспадарчая машына для складання стагоў, а таксама для пагрузкі коп на транспартныя сродкі|стогаскладальнік
Спірытычны сеанс уяўных зносін з душамі памерлых, які суправаджаецца кручэннем стала грукамі і т. п.|столоверчение
