Працоўнае памяшканне дэкаратараў|дэкаратарская
Выманне грунта з дна рэк, каналаў і т. п.|землечарпанне
Машына для драбнення і плясканні збожжа|зернедрабнілка
Машына для пляскання збожжа|зерноплющилка
Прыстасаванне для ўлоўлівання попелу|попелаўлоўнік
Распрануў псіхалогіі, у якім вывучаецца псіхіка жывёл; псіхалогія жывёл|зоапсіхалогія
Прыстасаванне для трымання іголкі|іголкатрымальнік
Змененая, хваравітая адчувальнасць арганізма да некаторых рэчываў ці ўздзеянням (у медыцыне)|ідыясінкразія
Становішча ўтрыманца, утрыманкі|утрыманства
Занятак возніцтвам|извозничество
Стварэнне ўмоў для забеспячэння нерухомасці часткі цела пры пашкоджаннях і захворваннях (у медыцыне)|імабілізацыя
Папярэджанне і лячэнне інфекцыйных і некаторых іншых захворванняў шляхам правядзення імунізацыі|иммунотерапия
Званне, тытул імператара, імператрыцы|імператарства
Кірунак у мастацтве апошняй траціны ХIХ у.–пачала ХХ ст., заснаванае на імкненні адбіць рэальны свет у яго рухомасці, зменлівасці і захаваць уласныя адчуванні мастака, кампазітара і т. п.|імпрэсіянізм
Здольнасць паразітаў, узбуджальнікаў інфекцыйных хвароб укараняцца ў арганізм чалавека, жывёлы і расліны|инвазионность
Філасофская канцэпцыя, якая адмаўляе аб'ектыўную заканамернасць і прычынную абумоўленасць з'яў у прыродзе і грамадстве|индетерминизм
Маральны прынцып, паводле якога інтарэсы асобнай асобы, індывіда, супрацьпастаўляюцца інтарэсам калектыва, грамадствы|індывідуалізм
Імкненне да выраза сваёй індывідуальнасці, проціпастаўленню сябе калектыву|індывідуалізм
Паводзіны, што выказвае імкненне да выраза сваёй індывідуальнасці, проціпастаўленню сябе калектыву|індывідуалізм
Народы Еўропы, Пярэдняй Азіі, Індастана, размаўлялыя на роднасных мовах|індаеўрапейцы
Фізічная велічыня, якая характарызуе магнітныя ўласцівасці электрычных ланцугоў|індуктыўнасць
Меркаваны жыхар іншых планет|іншапланецянін
Аўтар інсцэноўкі|інсцэноўшчык
Сацыяльная група твараў, прафесійна што займаюцца разумовым – пераважна складаным і творчым – працай, развіццём і распаўсюдам адукацыі і культуры і адрозных вышынёй духоўна-маральных памкненняў, абвостраным пачуццём абавязку і абзывай|інтэлігенцыя
Міжнароднае аб'яднанне|інтэрнацыянал
Міжнародны пралетарскі гімн|інтэрнацыянал
Запыт дэпутата ў парламенце, які патрабуе адказу|інтэрпеляцыя
Фізічная з'ява, назіранае пры складанні хваль (светлавых, гукавых і т. п.), – узмацненне хваль у адных кропках прасторы і паслабленне ў іншых|інтэрферэнцыя
Вымяральны прыбор, заснаваны на з'яве інтэрферэнцыі|інтэрферометр
Ідэалістычная плынь у філасофіі, якое прызнае ірацыянальны характар рэчаіснасці і што адмаўляе ці абмяжоўвалае магчымасці розуму падчас спазнанні, супрацьпастаўляючы яму інстынкт, пачуццё, веру і т. п.|ірацыяналізм
Прылада, якое ўсталёўваецца на дымавых трубах, прамысловых печах і т. п., якое перашкаджае вынасу ў атмасферу распаленых часціц паліва|іскрагасільнік
Сукупнасць гістарычных даследаванняў, што адносяцца да якога-небудзь перыяду ці праблеме|гістарыяграфія
Навуковая дысцыпліна, якая вывучае развіццё гістарычных ведаў і гістарычныя крыніцы|гістарыяграфія
Использованность, израсходованность у поўным аб'ёме, з лімітавай поўнасцю|вычарпанасць
Прыхільнасць да італьянскай музыкі|итальяномания
Назапашванне паявых унёскаў|пайканазапашванне
Змякчэнне згодных шляхам дадатковага ўдзелу ў іх артыкуляцыі сярэдняй часткі спінкі мовы, узніманай да неба (у лінгвістыцы)|палатализация
Частка палеанталогіі, што вывучае расліны мінулых геалагічных эпох|палеабатаніка
Частка палеанталогіі, які вывучае выкапнёвых жывёл|палеазаалогія
Навуковая дысцыпліна, што вывучае раслінны і жывёльны свет мінулых геалагічных эпох|палеанталогія
Вандраванне да святых месцаў для глыбокай пашаны, які атрымаў шырокі распаўсюд сярод вернікаў у хрысціянскай, мусульманскай і т. п. рэлігіях|паломніцтва
Апісанне вандраванняў паломніка|паломніцтва
Жывёлы, якія пры хадзе абапіраюцца не на ўсю ступню, а толькі на пальцы|пальцеходящие
Аспект даследавання мовы, які складаецца ў вывучэнні адносін адзінак моўнай сістэмы|парадигматика
Комплексная навуковая дысцыпліна, што вывучае з'явы паразітызму і саміх паразітаў распрацоўвальная метады аховы здароўя чалавека і жывёлы і сродкі абароны раслін|паразіталогія
Сукупнасць паразітаў насялялых у органе ці ва ўсім арганізме чалавека ці жывёлы|паразитоценоз
Сукупнасць магнітных уласцівасцяў целаў, якія маюць дадатную магнітную ўспрымальнасць|парамагнетызм
Слабомагнитные целы, да якіх ставяцца некаторыя газы і металы|парамагнетики
Чалец парламента|парламентарый
Атрад траваедных млекаспажыўцоў, што маюць у капыце два аднолькава развітых пальца|парнакапытныя
Паравы кацёл|парагенератар
Імкненне асобных частак дзяржавы да адасаблення, да недатыкальнасці мясцовых, прыватных правоў, прывілеяў|партыкулярызм
Уводзіны сістэмы пашпартоў для насельніцтва|пашпартызацыя
Складанне дакументаў з асноўнымі звесткамі, апісаннем машын, прадметаў гаспадарчага абсталявання і т. п.|пашпартызацыя
Сістэма царкоўнага кіравання на чале з патрыярхам|патрыярства
Знаходжанне ў сане патрыярха|патрыярства
Клас бесхрыбтовых жывёл тыпу членістаногіх|павукападобныя
Вучань першага класа|першакласнік
Здольнасць пераварвацца|страўнасць
Механізм для перагрузкі|перагружальнік
Апарат, з дапамогай якога ажыццяўляецца пераключэнне|перамыкач
Механізм, службовец для рэгулявання паступлення, пасоўванні чаго-небудзь|перекрыватель
Перададзеная іншай страхавой установе частка страхавой адказнасці|перастрахоўка
Моцная стомленасць, стомленасць|ператамленне
Пагаршэнне стану здароўя з прычыны празмернай працы, сталай нервовай напругі|ператамленне
Паўтаранасць з'явы ці дзеянні праз вызначаныя прамежкі часу|перыядычнасць
Рытмічныя скарачэнні сценак полых органаў (стрававода, страўніка, кішак), пры пасродку якіх ажыццяўляецца пасоўванне харчовых мас|перыстальтыка
Сямейства жукоў з пёрыстым будынкам крылаў і з махрамі з валасінак на іх; перистокрылые|перистокрылки
Дзённы матылёк сямейства нимфалид з серабрыстымі ці перламутравымі плямамі, крапінкамі на ніжнім боку крылаў|перламутраўка
Прамая лінія, якая перасякае дадзеную прамую пад прамым кутом (у 90 градусаў)|перпендыкуляр
Драўняныя матэрыялы, што атрымліваюцца ў выніку пілкі|піламатэрыялы
Кіраўнік піянерскага атрада, піянерскай лютвы (у СССР і некаторых іншых краінах)|піянерважаты
Занятак, паводзіны плагіятара|плагіятарства
Плакировочная майстэрня|плакировальня
Прылада, прыбор для гашэння полымя|полымягасільнік
Рэчыва, якое ліквідуе полымя пры выбліску гаручых сумесяў|полымягасільнік
Дзейнасць плантатара|плантатарства
Пасудзіна для сплевывания сліны, макроцця|плявальніца
Выгнанне, знішчэнне зародка, плёну|плодавыгнанне
Малюнак у адной плоскасці|пляскатасць
Знаходжанне ў адной плоскасці|пляскатасць
Аповяд пра падзею|апавяданне
Сямейства двухдольных асобнапялёсткавых раслін|повойничковые
Рух паўстанцаў|паўстанцтва
Здольнасць паўтарацца; рэгулярны паўтор|паўтаранасць
Здольнасць паглынаць|паглынальнасць
Белы каўнерык, што прымацоўваецца знізу пад стаялы каўнерык формавай адзежы|падкаўнерык
Выраз адданасці і пакоры, прызнанне ўлады над сабой|подданичество
Столік, дошка пад сцянным люстэркам ці трумо|падлюстэрнік
Прыбор для падагравання|падагравальнік
Частка, частка, які ўваходзіць у склад буйнейшай адзінкі|падраздзяленне
Вайсковая адзінка менш паліца ці асобнага батальёна, дывізіёна і т. п., уваходная ў склад вайсковай часткі|падраздзяленне
Пустазельная аднагадовая расліна|подсвекольник
Дадатковае асвятленне|падсвятленне
Дарунак, унёсак, зроблены ў карысць твару ці ўстановы|ахвяраванне
Магчымасць спазнання|пазнавальнасць
Працэс адукацыі палімераў|полімерызацыя
Прылада для паліравання ў выглядзе гладкага бруска сталі|паліравальнік
Паводзіны і дзейнасць палітыкана|палітыканства
Расліна з драўнянымі ніжнімі і травяністымі верхнімі часткамі|паўхмызняк
Няпоўнае, невыразна выяўленае прызнанне|полупризнание
Рэчыва, якое па сваёй здольнасці праводзіць электрычнасць займае прамежкавае становішча паміж правадырамі і ізалятарамі|паўправаднік
Асоба дакладныя гадзіны|полухронометр
Які хаваецца намер, жаданне|намер
Дамаганне на штосьці; патрабаванне|намер
Палітыка, накіраваная на паразу|паражэнства
Паводзіны, учынкі, што прыводзяць да паразы|паражэнства
Дзейнасць пасадніка|пасадніцтва
З'ява, якое складаецца ў тым, што дзеянне на штосьці выяўляецца не толькі ў момант ужывання, але і ў наступны перыяд|паслядзеянне
Акт вышэйшых органаў дзяржаўнай улады|пастанова
Калектыўнае рашэнне, рэзалюцыя|пастанова
Працэс аддзялення ў млекаспажыўцоў поту адмысловымі потовыми залозамі, размешчанымі на розных участках скуры|потаадлучэнне
Каханне да павучанняў, навучанню; жаданне павучаць|поучительство
Размяшчэнне зародкаў ліста, сцябла ці кветкі ў нырцы па стаўленні адзін да аднаго|почкосложение
Падабенства з праўдай|праўдападабенства
Вышэйшы выканаўчы і распарадчы орган дзяржаўнай улады, што здзяйсняе непасрэднае кіраванне дзяржавай|урад
Той, каму прадстаўлены ўсе ці асобныя правы і абавязкі іншага твару|правапераемнік
Сукупнасць прававых поглядаў людзей, якія выказваюць адзнаку дзейснага права, што існуе грамадскага і дзяржаўнага ладу, правамернасць ці неправамернасць паводзін грамадзян|правасвядомасць
Маці прадзеда ці прабабулі|прапрабабушка
Ўладанне больш высокімі добрымі якасцямі, якасцямі ў параўнанні з кім-чым-небудзь|перавага
Колькаснае перавышэнне супраць чаго-небудзь|перавага
Паводзіны, дзеянні здрадніка|здрада
Ўяўнае дапушчэнне; здагадка, меркаванне пра магчымасць, верагоднасці чаго-небудзь|здагадка
Твар, якое дзейнічае па даручэнні каго-або, што ўяўляе каго-або, чые-або інтарэсы|прадстаўнік
Выразнік, абаронца ідэі, поглядаў, інтарэсаў і т. п.|прадстаўнік
Афіцыйная пісьмовая заява, даклад у вышэйстаячую інстанцыю, якія змяшчаюць хадайніцтва|уяўленне
Сцэнічнае гледзішча, спектакль|уяўленне
Пачуццёва-навочная выява з'яў навакольнага свету, што з'яўляецца вынікам абагульнення асобных успрыманняў (у псіхалогіі)|уяўленне
Разуменне чаго-небудзь, веды пра што-або, заснаванае на досведзе|уяўленне
Першапачаткова прадузятае меркаванне|прадузятасць
Ужо якое склалася меркаванне, перакананне|прадузятасць
Пост, пасада прэзідэнта|прэзідэнцтва
Дзейнасць на пасту прэзідэнта|прэзідэнцтва
Парушэнне шлюбнай пэўнасці мужам ці жонкай; пазашлюбная любоўная сувязь|пралюбадзейства
Напышліва-пагардлівае стаўленне, недахоп павагі|грэбаванне
Адсутнасць належнай увагі, поўная абыякавасць|грэбаванне
Тытул біскупа|правялебны
Памяшканне, дзе вырабляюцца прэпараты ці праводзіцца прэпараванне|прэпаровачная
Падарунак, дарунак|падарунак
Ганенне, прыгнёт|пераслед
Здольнасць прышчапляцца|прививаемость
Пачуццё блізкасці, заснаванае на глыбокай сімпатыі, адданасці|прыхільнасць
Падрыхтоўчыя дзеянні, клопаты па падрыхтоўцы да справы|падрыхтоўкі
Працаўнік, што займаецца прыёмам і рэштай|приемосдатчик
Здольнасць жывых арганізмаў ці асобных яго органаў, частак прырастацца, большаць навошта-або а таксама прыстасоўвацца да новых умоў|прыжывальнасць
Неабходнасць нерухома заставацца ў становішчы, на месцы|прикованность
Дачыненне, дачыненне|дакрананне
Здольнасць прыліпаць|прилипаемость
Магчымасць ужывання, ужыванні|ужыванасць
Здольнасць ужывацца, прыстасоўвацца|ужыванасць
Здольнасць прыцірацца, падганяцца|притираемость
Лёгкая кульгавасць|накульгванне
Жанчына, якая выконвае абрадавыя галашэнні; плакальшчыца|причитальщица
Здольнасць прабівацца, пашкоджвацца ад удару|прабівальнасць
