Выдумка, выдумка|выдумка
Частка будынка ці збудаванні, што з'яўляецца яго зборам ці падзяляльная памяшканне на паверхі|перакрыцце
Верхняя частка носа, непасрэдна прылеглая да лба|пераноссе
Прабег, які перавышае норму|перепробег
Паўтор практыкавання па скачках|пераскочка
Выдатак звыш меры, усталяванай нормы, плану|перавыдатак
Разлік, выраблены нанова ці інакш|пераразлік
Паўторнае скаканне (у спорце)|перескачка
Злучэнне, сумесь пластоў розных матэрыялаў, розных парод|переслойка
Мяккае рэчыва ў прамежках паміж пластамі дрэва|переслойка
Лёгкі, што паўтараецца час ад часу шолах|перешелест
Запаленне перикарда|перыкардыт
Прыстасаванне для чысткі пяра|перочистка
Прылада для прабівання шэрагу сістэматычна размешчаных адтулін|перфаратар
Машына для механічнага свідравання свідравін, прыводная ў дзеянне электрычнасцю ці сціснутым паветрам|перфаратар
Прабіванне адтулін перфаратарам|перфарацыя
Сістэма адтулін на перфастужках ці перфакартах, якая адпавядае запісанаму коду|перфарацыя
Прабадзенне (у медыцыне)|перфарацыя
Напеўнасць, меладычнасць|песенность
Прыстасаванне для ачысткі пяску ад гліны і іншых забруджвальных прымешак шляхам прамывання вадой|пескамыйка
Лічынка бяссківічных хрыбетных жывёл – міногаў, што насяляе ў грунце ракі|пескарыйка
Льняная ці папяровая тканіна грубіянскага выраба (звычайна двухколерная)|шарачак
Бярвенне, прыдатныя для распілоўкі на дошкі|пиловочник
Збор твораў жывапісу, маляўнічая галерэя|пінакатэка
Выдаленне кончыка маладых уцёкаў, якое ўжываецца для затрымкі росту адных уцёкаў і ўзмацненні росту іншых у мэтах рэгулявання плоданашэння|пінцыроўка
Прыбор для вымярэння інтэнсіўнасці сонечнай радыяцыі, што падае на гарызантальную паверхню|пиранометр
Выбуховае рэчыва, якое атрымліваецца хімічнай апрацоўкай драўнянай абалоніны|піраксілін
Спосаб вымярэння высокіх тэмператур пры дапамозе адмысловых прыбораў|піраметрыя
Найпросты арганізм грушападобнай формы, што паразітуе ў чырвоных крывяных цялятах жывёл; пашавы клешч|піраплазма
Прыбор для плаўлення металаў|плавільнік
Працаўнікі марскога і рачнога флота, якія прымаюць непасрэдны ўдзел у плаванні|плаўсастаў
Породообразующий мінерал з групы палявых шпатаў|плагіяклаз
Прыбор, навочна ўяўлялы рух планет і іншых свяцілаў на мадэлі зорнага неба|планетар
Праекцыйны апарат, што дае на ўнутранай паверхні купалападобнага экрана карціну зорнага неба з найважнымі свяціламі і сузор'ямі|планетар
Навукова-асветная ўстанова, у якім чытаюцца лекцыі па астраноміі, якія суправаджаюцца дэманстрацыяй штучнага зорнага неба|планетар
Размяшчэнне асобных частак па стаўленні адзін да аднаго|планоўка
Карта з малюнкам зямной ці нябеснай сферы ў выглядзе паўшар'яў|планісфера
Страявы матэрыял, распілаваны на пласціны|плашачнік
Грыб са мноствам праменепадобна разбежных пласцінак на ніжнім боку капялюшыка; пласціначнік|плашачнік
Пластычная маса; пластык|пластмаса
Сямейства насенных кветкавых раслін класа двухдольных, да якога ставіцца платан|платановые
Вымерлы марскі яшчар мезозойской эры|плезиозавр
Празрыстая бясколерная пластмаса; арганічнае шкло|плексіглас
Дачка брата ці сёстры (родных, стрыечных, траюрадных)|пляменніца
Тонкая металічная ці касцяная пласцінка, што служыць для простукивания пры вызначэнні стану ўнутраных органаў|плесіметр
Адсутнасць валасоў|лысасць
Наяўнасць лысіны|лысасць
Гатунак яблыкаў сярэдняй пары поспевания жаўтлява-чырвонага колеру|плодовитка
Матылёк-шкоднік сямейства ліставёртак, гусеніцы якой сілкуюцца мякаццю пладоў|пладажэрка
Частка сцябла, якая нясе плён|пладаножка
Плады і гародніна|плодоовощи
Здольнасць глебы задавальняць запатрабаванне раслін у сілкаванні; сукупнасць фізічных, хімічных і біялагічных уласцівасцяў і з'яў, што забяспечваюць рост і развіццё раслін|урадлівасць
Прынашэнне пладоў раслінай|урадлівасць
Частка плаціны, прызначаная для пропуску плытоў уніз па рацэ|плотоспуск
Жывёлы, якія сілкуюцца мясам іншых жывёл; драпежнікі|пажадлівыя
Хітры і спрытны зман; махлярства|круцельства
Хітрасць, хітрасць|круцельства
Ўласцівасць плывучага; здольнасць расплывацца|плывучасць
Самапісны прыбор для рэгістрацыі колькасці вадкіх ападкаў, іх інтэнсіўнасці і чакай выпадзенні|плювіёграф
Сістэма механізмаў, што дзейнічаюць дзякуючы выкарыстанню энергіі сціснутага паветра|пнеўматыка
Прыбор для даследавання дыхання жывёл і чалавека шляхам графічнай рэгістрацыі рухаў грудной клеткі|пневмограф
Мікроб, які з'яўляецца найболей частым узбуджальнікам пнеўманіі|пнеўмакок
Дзіцячая цацка, пры ўстрэсванні што вырабляе шум; бразготка|цацка
Дробныя прадметы, упрыгожванні, падвескі, якія вырабляюць шум пры ўстрэсванні, пры рухах, хадзе|цацкі
Твар, што карыстаецца адмысловым даверам, якому давяраюцца таямніцы, сакрэты; наперснік|павераны
Твар, упаўнаважанае іншым тварам ці ўстановай дзейнічаць ад іх імя|павераны
Грамадскі ці дзяржаўны абавязак грамадзян|павіннасць
Расліна сямейства повойничковых з дробнымі пазушными кветкамі, з падвойным калякветнікам|повойничек
Паўтаральная фраза, думка і т. п. (у гаворкі, у літаратурным, музычным і т. п. творы)|паўтор
Дзіцячая цацка, якая выдае шум пры ўстрэсванні|бразготка
Невялікая бома на конскай збруі, на маскарадным гарнітуры, ударнай прыладзе і т. п.|бразготка
