Вандраванне пешшу на багамолле|вандроўніцтва
Тэрмічная ізаляцыя|тэрмаізаляцыя
Навуковая дысцыпліна, якая вывучае тавар як прадмет гандлю, паходжанне і тэхналогію тавара, яго ўласцівасці, гатункі і потребительное значэнне|таваразнаўства
Перапрацоўка вадкага фосфарыстага чыгуну ў сталь пасродкам акіслення яго прымешак і ператварэнні іх у дзындры|тамасаванне
Заключны працэс прядильного вытворчасці, што надае апрацоўванаму матэрыялу выгляд і ўласцівасці прадзіва|тонкапрадзенне
Прылада для пераўтварэння энергіі з адной формы ў іншую ці для змены фізічнай велічыні ў зададзенае колькасць разоў|трансфарматар
Акцёр, выканаўца напераменку ролі некалькіх дзейсных твараў|трансфарматар
Штукар, які стварае аптычную ілюзію ператварэння адных прадметаў у іншыя|трансфарматар
Пераўтварэнне, змена выгляду, формы, істотных уласцівасцяў|трансфармацыя
Цыркавы ці эстрадны нумар, заснаваны на хуткім пераўвасабленні артыста|трансфармацыя
Студэнт трэцяга курсу|трэцякурснік
Трывіяльнае выказванне, думка|трывіяльнасць
Частка матэматыкі, што вывучае трыганаметрычныя функцыі і іх ужыванне да рашэння задач|трыганаметрыя
Тэрмін, перыяд, прамежак часу ў трыццаць гадоў|трыццацігоддзе
Ўгодкі падзеі, які адбыўся, распачатага і т. п. трыццаць гадоў назад|трыццацігоддзе
Знаходжанне ў нястомнай руплівай працы|працаўніцтва
Галіна машынабудавання, якая вырабляе турбіны|турбабудаванне
Склад думак і дзеянняў туркофила|туркофильство
Шматгадовая травяністая лекавая і дэкаратыўная расліна сямейства сложноцветных з пёрыстым лісцем, што валодае моцным пахам|крываўнік
Прамысловая гадоўля фазанаў|фазановодство
Прылада для рэгулявання зруху фаз паміж двума напружаннямі ці токамі ці напругай і токам|фазарэгулятар
Прыстасаванне ў выглядзе доўгай тычкі з жалезнай трубкай на канцы, у якую ўстаўляюць фальшфейер|фальшфейерник
Фамільярныя паводзіны|фамільярнасць
Агляд глоткі і зяпы з дапамогай адмысловага люстэрка|фарынгаскапія
Частка фармации, які вывучае лекавая сыравіна расліннага і жывёльнага паходжання|фармакагнозія
Аб'яднанне на прынцыпах федэралізму|федэралізацыя
Вучэнне пра шлях развіцця чалавечай свядомасці, што разумеецца як самаразвіццё духу (у філасофіі Гегеля)|фенаменалогія
Адмысловец у вобласці фізіятэрапіі|фізіятэрапеўт
Метад даследавання свішчавага ходу шляхам уводзін у яго праз вонкавую адтуліну кантрасных рэчываў, якія даюць цень на рэнтгенаўскай плёнцы|фистулография
Навуковая дысцыпліна, што вывучае хваробы раслін і меры барацьбы з імі|фітапаталогія
Вадкае ці пластычнае рэчыва, з дапамогай якога дасягаецца павелічэнне ўстойлівасці выбуховага рэчыва ў адносінах да механічных уздзеянняў|флегматизатор
Здольнасць флатавацца|флотируемость
Одзін з выглядаў люмінесцэнцыі, які характарызуецца хуткім згасаннем свячэння пасля спынення ўзрушанасці|флуарэсцэнцыя
Мастацтва штукара|штукарства
Астранамічная прылада для фатаграфавання Сонца|фотагеліёграф
Фізіялагічныя змены ў жывёл і раслін, злучаныя са зменай дня і ночы|фотаперыядызм
Невялікая шкляная пласцінка, з аднаго боку пакрытая святлоадчувальным пластом, на якім захоўваецца малюнак (у фатаграфіі)|фотапласцінка
Захапленне ўсім, што злучана з Францыяй, пакланенне перад усім французскім; галаманія|французаманія
Кірунак у эканамічнай тэорыі і практыцы, заснаванае на прынцыпах вольнага гандлю і неўмяшанні дзяржавы ў частнопредпринимательскую дзейнасць, што зарадзілася ў Вялікабрытаніі ў канцы ХVIII ст.|фрытрэдарства
Кірунак у архітэктуры 20–30-х гадоў ХХ ст., узніклае ў Нямеччыне і Нідэрландах, якое адрозніваецца рацыянальнасцю ў будаўніцтве і грэбаваннем да мастацкай выразнасці|функцыяналізм
Аднаклеткавая зялёная водарасць, распаўсюджаная ў дробных прэсных вадаёмах|хламідаманада
Апрацоўка зямлі для гадоўлі хлеба|хлебаробства
Планавая рэшта хлеба ў збожжы|нарыхтоўкі
Прадукты малацьбы хлеба ці абмолу, механічнай апрацоўкі збожжа|хлебапрадукты
Гадоўля бавоўны як галіна сельскай гаспадаркі|баваўнаводства
Камбайн, прызначаны для ўборкі бавоўны|бавоўнакамбайн
Апрацоўка бавоўны-сырца з мэтай атрымання бавоўны-валокны, баваўнянага пуху, насення|хлопкоочистка
Ўласцівасць холоднокровного|халаднакроўе
Падклас храстковых рыб, блізкіх да акуловым|цельноголовые
Дагматычная прыхільнасць да цытавання|цытатніцтва
Размяшчэнне некалькіх зямельных участкаў адной гаспадаркі ўраскідку, асобнымі палосамі, упярэмежку з зямельнымі ўчасткамі іншай гаспадаркі|цераспалосіца
Асобны верш ці страфа ў чатыры радкі|чатырохрадкоўе
Ўчастак галаўнога мозгу ў выглядзе чатырох грудоў, размешчаных пад вялікімі паўшар'ямі|чатырохузгор'е
Сярэднявечны спосаб пакарання смерцю, пры якім паслядоўна адсякаліся рукі, ногі і галава|чвартаванне
Гульня на першынство, папярэдняя паўфіналу (у спартовых змаганнях)|чвэрцьфінал
Шанаванне старэйшых чыноў з боку малодшых па чыне, званню; чынавенская дысцыпліна|чынашанаванне
Шчырасць характару; шчырасць, шчырасць|чыстасардэчнасць
Здольнасць успрымаць пачуццямі, мець пачуццёвыя ўспрыманні, адчуванні|пачуццёвасць
Наяўнасць пачуццёвых цяг|пачуццёвасць
Непрыемнасці, дробныя непаразуменні, рознагалоссі ў адносінах|шурпатасці
Вучань шостага класа|шасцікласнік
Тэрмін, перыяд, прамежак часу ў шэсцьсот гадоў|шасцісотгоддзе
Ўгодкі падзеі, што адбыўся, распачатага і т. п. шэсцьсот гадоў назад|шасцісотгоддзе
Геаметрычная фігура, абмежаваная замкнёнай ламанай лініяй, якая ўтварае шэсць унутраных кутоў|шасцікутнік
Атрыманне кручанага шоўка з шоўка-сырца|шелкокручение
Памяшканне, дзе вырабляецца шоўкаматанне|шоўкаматальня
Вытворчасць прадзіва з шоўка|шоўкапрадзенне
Перадачы па радыё, тэлебачанню і т. п., разлічаныя на шырокага, масавага слухача, гледача|шырокавяшчанне
Ўстанова, якое займаецца прыёмам і сартаваннем эвакуяваных падчас вайны, стыхійных бедстваў і т. п. параненых і хворых, падрыхтоўваючы іх да далейшага транспартавання|эвакоприемник
Спосаб абароны ад старонняга ўздзеяння, шкоднага ўплыву і т. п. з дапамогай экрана|экранаванне
Імкненне да экспансіі|экспансіянізм
Распаўсюд высноў, атрыманых з назірання над адной часткай з'явы, на іншую яго частку|экстрапаляцыя
Сукупнасць з'яў, абумоўленых існаваннем, узаемадзеяннем і рухам электрычных зарадаў (у фізіцы)|электрычнасць
Частка фізікі, які вывучае з'явы, абумоўленыя існаваннем, узаемадзеяннем і рухам электрычных зарадаў|электрычнасць
Электрычная энергія, выкарыстоўваная для народнагаспадарчых і побытавых мэт|электрычнасць
Асвятленне, што атрымліваецца дзякуючы электрычнай энергіі|электрычнасць
Прыбор для галення, які дзейнічае з дапамогай электраэнергіі|электрабрытва
Гітара з узмоцненым гучаннем, заснаваным на электрычнасці|электрагітара
Даенне кароў з дапамогай электрычнага доильного апарата|электрадаенне
Асушванне і ўшчыльненне слабых грунтоў з дапамогай электрычнай энергіі|электродренаж
Абарона металу ад карозіі з дапамогай электрычнага току ад вонкавай крыніцы|электразасцярога
Кіроўца электракара|электрокарщик
Штучны карунд, што атрымліваецца шляхам электроплавки баксіту, натуральнага карунду ці гліназёму|электрокорунд
Прылада для стварэння магнітнага поля пры дапамозе электрычнага току|электрамагніт
Сукупнасць метадаў электрычных вымярэнняў|электраметрыя
Аўтамабіль, які рухаецца адным ці некалькімі электрычнымі рухавікамі|электрамабіль
Мантаж электрычнага абсталявання, электрычных прылад і т. п.|электрамантаж
Распрануў фізікі, які вывучае ўплыў электрычнага поля на аптычныя ўласцівасці рэчыва|электраоптыка
Патрон для электролампочки|электропатрон
Плаўленне з ужываннем электраэнергіі|электроплавка
Электрычная плітка|электраплітка
Прыбор, што працуе з ужываннем электраэнергіі|электрапрыбор
Прывад, які дзейнічае пры дапамозе электрарухавіка ці электрамагніта|электрапрывад
Провад для перадачы электрычнага току|электрапровад
Электродрель|электрасвердзел
Метад атрымання арганічных і неарганічных рэчываў шляхам ужывання электраэнергіі|электрасінтэз
Распрануў тэхнікі, што займаецца пытаннямі ператварэння электрычнай энергіі ў цеплыню для прамысловых мэт|электратэрмія
Працоўны, які займаецца ўсталёўкай, зборкай, рамонтам электратэхнічных прыбораў|электратэхнік
Апарат для ачысткі прамысловых газаў ад змешчаных у іх цвёрдых ці вадкіх часціц з дапамогай электраэнергіі высокай напругі|электрафільтр
Паслядоўнік эмпірыякрытыцызму|эмпириокритик
Энергетычная сістэма|энергасістэма
Агульная назва захворванняў галаўнога мозгу, злучаных з невоспалительными яго паразамі|энцэфалапатыя
Ўсебаковая адукацыя, дасведчанасць у розных абласцях ведаў|энцыклапедызм
Распрануў медыцыны, што вывучае чыннікі ўзнікнення, заканамернасці распаўсюду эпідэмій і распрацоўвальны меры барацьбы з імі|эпідэміялогія
Інфекцыйнае грыбковае захворванне скуры і пазногцяў|эпідэрмафітыя
Частка ветэрынарыі, які вывучае чыннікі ўзнікнення і распаўсюду эпизоотий, а таксама распрацоўвальны меры барацьбы з імі|эпизоотология
Тэорыя спазнання|эпистемология
Валодання эрцгерцага|эрцгерцагства
Гадоўля раслін у цемры|этиолирование
Углепогрузочная машына|вуглепагрузчык
Выказванне ці пісьмовая заява, што сведчыць сведчанне, доказ|пасведчанне
Афіцыйны дакумент, які сведчыць асоба паўнамоцтва, правы і т. п.|пасведчанне
Паводзіны, дзейнасць узурпатара; узурпацыя|узурпатарства
Лагічны працэс выводзін зняволення з двух меркаванняў; силлогизм|выснова
Выснова, заснаваны на развазе, разважанні|выснова
Скіраванасць розуму, сукупнасць інтарэсаў у якой-небудзь вобласці інтэлектуальнай дзейнасці|настрой думак
Павярхоўны, спрошчаны падыход да рашэння складаных пытанняў|спрашчэнства
Сукупнасць навук пра права; правазнаўства|юрыспрудэнцыя
Практычная дзейнасць юрыстаў|юрыспрудэнцыя
Нарыхтоўка яйкаў (звычайна курыных)|яйцезаготовка
Кірунак у выяўленчым мастацтве ХХ ст., прадстаўнікі якога замяняюць пэўную форму адлюстроўванага спалучэннямі ліній, постацяў, каляровых плям|абстракцыянізм
Авіялінія, якая грае важную ролю ў ажыццяўленні паветраных транспартных перавозак|авиамагистраль
Адлюстраванне ў літаратурным творы падзей з жыцця аўтара, блізкасці ў стаўленні аўтару героя твора|автобиографизм
Аўтаматычная прылада, што забяспечвае прадухіленне аварый пры працы машын, апаратаў, прыбораў|аўтаблакоўка
Аўтаматычная сістэма рэгулявання руху цягнікоў па сігналах святлафораў|аўтаблакоўка
Літаграфія, выкананая на камені непасрэдна самім мастаком|аўталітаграфія
Траса для хуткаснага руху аўтамабіляў|аўтамагістраль
Адмысловы аўтамабіль для перавозкі цэменту|автоцементовоз
Адмысловец у вобласці аграмеліярацыі|агромелиоратор
Сістэма меліярацыйных мерапрыемстваў, накіраваных на паляпшэнне глебавых, гідралагічных і кліматычных умоў у мэтах паспяховага развіцця сельскай гаспадаркі|аграмеліярацыя
Цэнтральны орган кіравання ваенна-марскімі сіламі (у Расійскай дзяржаве да 1917 г.)|адміралцейства
Птушнік для гадоўлі маладняка курэй, індычак, качак і гусакоў ва ўмовах, блізкіх да ўмоў утрымання сталай птушкі|акклиматизатор
Прыстасаванне раслінных і жывёльных арганізмаў і чалавека да новых ці якія змяніліся геаграфічных – пераважна кліматычным – умовам існавання|акліматызацыя
Сукупнасць навуковых дысцыплін, што вывучаюць мовы, культуру і гісторыю народаў Злучаных Штатаў Амерыкі|амерыканістыка
Частка медыцыны, які вывучае праблемы і метады абязбольвання і кіраванні жыццёва важнымі функцыямі арганізма падчас правядзення хірургічных аперацый, а таксама да і пасля іх|анестэзіялогія
Палітыка і ідэалогія, накіраваныя супраць мілітарызму, гонкі ўзбраенняў, за ўхіленне пагрозы вайны|антымілітарызм
Хімічны прэпарат, прыроднае рэчыва, што прадухіляе ці якое запавольвае акісленне|антыакісляльнік
Перанясенне ўласцівых чалавеку псіхічных уласцівасцяў на з'явы прыроды, жывёл, прадметы, міфічныя істоты|антрапамарфізм
Ушчыльненне і патаўшчэнне сценак артэрый, што назіраюцца пры старэнні, інфекцыйна-алергічных захворваннях і т. п.|артэрыясклероз
Навуковая дысцыпліна, якая вывучае прыродныя ўмовы розных касмічных целаў Сусвету|астрогеография
Сукупнасць метадаў практычнай астраноміі, што дазваляюць вызначаць каардынаты і курс лятальнага апарата ці судны па нябесных свяцілах|астранавігацыя
Здымак, зроблены метадам аэрафотаздымкі|аэрафотаздымак
Фатаграфаванне мясцовасці з самалёта, шрубалёта, ракеты, штучнага спадарожніка Зямлі і т. п.|аэрафотаздымка
Лячэнне прыроднымі ці штучна прыгатаванымі мінеральнымі водамі і лячэбнымі гразямі|бальнеятэрапія
Валачашчае, беспрытульнае жыццё|бяздомніцтва
Бензавоз, прызначаны для запраўкі самалётаў, аўтамабіляў і т. п. вадкім палівам|бензазапраўшчык
Адмысловае збудаванне ці адмысловае памяшканне для захоўвання бензіну|бензасховішча
Непринадлежность ні да якой палітычнай партыі|беспартыйнасць
Шматлікая група жывёльных, не мелых хрыбетніка, да якой ставяцца найпростыя, губкі, кишечнополостные, малюскі і т. п.|бесхрыбтовыя
Спосаб выраба сталі з вадкага чыгуну шляхам прадзьмуху яго паветрам у адмысловай прыладзе – канвертары (ужывальны да другой паловы ХХ ст.)|бесемераванне
Адсутнасць дзялення грамадства на саслоўі|бессаслоўнасць
Самаходная машына для кладкі бетоннай сумесі пры будаўніцтве аўтамабільных дарог, узлётных палос аэрадромаў і т. п.|бетонаўкладчык
Каханне да кніг, збіранне рэдкіх і каштоўных кніг|бібліяфільства
Здольнасць успрымаць атачальнае з дапамогай двух вачэй|бинокулярность
Галіна архітэктуры, у якой пры праектаванні і збудаванні будынкаў выкарыстоўваюцца элементы канструкцый, якія існуюць у прыродзе|биоархитектура
Навуковы кірунак, што вывучае агульныя заканамернасці кіравання і перадачы інфармацыі ў жывых арганізмах|біякібернетыка
Забяспечанасць неабходнымі матэрыяльнымі і духоўнымі выгодамі|дабрабыт
Гатовасць войскаў да вядзення баявых дзеянняў, здольнасць выконваць баявыя задачы|баяздольнасць
Ваенны самалёт, прызначаны для паразы бомбамі наземных і марскіх мэт суперніка|бамбавік
Прыстасаванне для падвескі бомбаў на самалётах|бомбатрымальнік
Уступ у шлюб|шлюб
Цырымонія ўступа ў шлюб|шлюб
Стан, лад жыцця валацугі|бадзяжніцтва
Здольнасць прыбораў, прылад, механізмаў і т. п. выконваць з неабходнай хуткасцю працу, для якой яны прызначаны|хуткадзейнасць
Галіна транспартнага машынабудавання, якая вырабляе вагоны|вагонабудаванне
Ўжыванне вакцыны для лячэння інфекцыйных захворванняў|вакцынатэрапія
Сістэма сілкавання, што выключае ці абмяжоўвалая спажыванне прадуктаў жывёльнага паходжання|вегетарыянства
Прафілактычнае ветранне насення, сяўбы і т. п. для засцярогі ад цвілі ці гніенні падчас працяглага захоўвання на складах, базах і т. п.|вентыляванне
Ваенны карабель, абсталяваны для базавання, узлёту і пасадкі шрубалётаў|вертолетоносец
Рухавік, які выкарыстоўвае энергію ветра для выпрацоўкі механічнай энергіі|ветрарухавік
