Складанне і выданне законаў|заканадаўства
Пратэстанцкае веравучэнне ў Вялікабрытаніі, ЗША і некаторых іншых краінах, якое патрабавала незалежнай ад дзяржавы “таннай” царквы, што адпрэчвала епіскапат і якое прызнавала толькі сан святара (прэсвітара)|прэсвітарыянства
Паводзіны таго, хто поўзае; крайняе падхалімства, рабалепства|нізкапаклонства
Парадак перадачы ўлады манарха па спадчыне; успадкоўванне пасаду|атрыманне пасада ў спадчыну
Імкненне дзейнічаць у строгай адпаведнасці з прынцыпамі|прынцыповасць
Частка прыкладнай матэматыкі і вылічальнай тэхнікі, што распрацоўвае метады складання праграм|праграмаванне
Дзейнасць прапаведніка|прапаведніцтва
Плынь у асяроддзі якая нараджалася буржуазіі і народных мас эпохі пераходу ад феадалізму да капіталізму, злучанае з барацьбой супраць феадалізму, што крытыкавала феадалізм і якое выступала прыхільнікам асветы народа (у Заходняй Еўропе ХVII–ХVIII стст. і ў Расійскай дзяржаве канца ХVIII ст. і сярэдзіны ХIХ ст.)|асветніцтва
Дзейнасць асветніка|асветніцтва
Здольнасць прадмета прапускаць святло|просвечиваемость
Прыкмета, акалічнасць, якія паказваюць на немагчымасць, шкоднасць ужывання|супрацьпаказанне
Сведчанне, што супярэчыць ці процілеглае сведчанню іншага|супрацьпаказанне
Захворванне, якое суправаджаецца паразамі ўнутраных органаў, вонкава што нагадвае сапраўдныя сухоты|псевдотуберкулез
Наяўнасць элементаў публіцыстыкі ў творчасці, у творы|публіцыстычнасць
Капітальныя ўкладанні|капіталаўкладанні
Заняткі кінааматараў|кинолюбительство
Вытворчасць кінастужак|кінавытворчасць
Одзін з тыпаў низкоорганизованных бесхрыбтовых жывёл|кишечнополостные
Супрацоўніцтва жыхароў акупаванай краіны з акупантамі|калабарацыянізм
Збіранне калекцый як занятак|калекцыянерства
Галіна сельскагаспадарчага машынабудавання, якая вырабляе камбайны|камбайнабудаванне
Ўкараненне камерцыйных адносін|камерцыялізацыя
Параўнальна-гістарычнае мовазнаўства|кампаратывістыка
Стварэнне комплексу, комплексаў|комплексирование
Магчымасць вольнага абмену, зварачальнасць|канвертавальнасць
Выразнасць канструкцый (у архітэктуры)|канструктыўнасць
Сустрэчны наступ, што з'яўляецца адказам на наступ суперніка|контрнаступленне
Сустрэчная прапанова|контрпрапанова
Адмысловец у вобласці караблебудавання|караблебудаўнік
Навуковая дысцыпліна, якая вывучае ўласцівасці лекавых рэчываў|лекарствоведение
Прадпрымальнік, што займаецца нарыхтоўкай і продажам лесу|лесапрамысловец
Нарыхтоўка, транспартаванне і адгрузка лесаматэрыялаў як галіна гаспадаркі|лесаэксплуатацыя
Злачынства, якое выяўляецца ў наўмыснай дачы лжывых сведчанняў судова-следчым органам|ілжэсведчанне
Лжывыя сведчанні сведкі|ілжэсведчанне
Склад думак і дзеянняў, уласцівы лібералу, характэрны для яго|либеральничество
Навуковая дысцыпліна, што вывучае матэрыялы выкарыстоўваныя ў вобласці вытворчасці, дзейнасці|матэрыялазнаўства
Паказчык выдатку матэрыяльных рэсурсаў пры вытворчасці прадукцыі|матэрыялаёмістасць
Тэхналагічны працэс змены формы, памераў і якасцяў металаў і сплаваў|металаапрацоўка
Электронны калькулятар невялікіх памераў|микрокалькулятор
Вобласць, злучаная з распрацоўкай і вырабам прыбораў і прылад у мініяцюрным выкананні (у тым ліку ў выглядзе інтэгральных схем) (у электроніку)|мікраэлектроніка
Поўная гатовасць да дзейнасці|мобилизованность
Наяўнасць досыць пераканаўчай матывіроўкі|матываванасць
Жанчына, якая ненавідзіць мужчын, што пазбягае іх|мужчынаненавісніца
Платнік падаткаў|падаткаплатнік
Грамадска-палітычны рух, які атрымаў выраз у дзейнасці народніцкай арганізацыі “Народная воля”|нарадавольства
Здольнасць жывых істот перадаваць свае якасці, уласцівасці нашчадству|спадчыннасць
Сукупнасць прыродных уласцівасцяў арганізма, атрыманых ад бацькоў|спадчыннасць
Абыякавасць|няўважлівасць
Няпоўнае выказванне, замоўчванне сваіх думак, намераў і т. п.|недамоўленасць
Адсутнасць дамоўленасці, узгодненасці ў дзеяннях|недамоўленасць
Недастатковая населенасць|недонаселенность
Злачынства, якое складаецца ў недонесении пра што рыхтуецца злачынства|неданясенне
Недастатковая вытворчасць|недавыраб
Невялікі памер, колькасць, велічыня і т. п.|нязначнасць
Зласлівае, поўнае нянавісці стаўленне|ненавісніцтва
Недахоп сродкаў да існавання|незабяспечанасць
Нявызначанае становішча|нявызначанасць
Матэматычнае стаўленне, якое дапускае некалькі рашэнняў|нявызначанасць
Спакусліва прыгожая жанчына|спакусніца
Здольнасць паддавацца апрацоўцы (пра матэрыял)|апрацавальнасць
Тэрмін, перыяд, прамежак часу ў адзінаццаць гадоў|одиннадцатилетие
Ўгодкі падзеі, што адбыўся, распачатага і т. п. адзінаццаць гадоў назад|одиннадцатилетие
Селянін, які належаў да таго ж грамадству, да той жа абшчыне, што і іншыя (у Расійскай дзяржаве да 1917 г.)|однообщественник
Асцярожнасць, прадбачлівасць у дзеяннях, учынках|абачлівасць
Назва комплексу розных галін ведаў, якія развіліся з радыётэхнікі і электронікі|радыёэлектроніка
Падзел падлог; з'ява, пры якім мужчынскія палавыя органы ўласцівыя адным асобінам, а жаночыя іншым|раздзельнаполасць
Аднесенасць да рознага часу|розначасовасць
Дзейнасць рамесніка|рамесніцтва
Ўладальнік рыбопромышленного прадпрыемствы ці рыбалоўных здабыч|рыбапрамысловец
Дзейнасць, заснаваная на ўласным пачыне, на асабістай ініцыятыве; самастойная дзейнасць|самадзейнасць
Мастацкая творчасць шырокіх народных мас; самадзейнае мастацтва|самадзейнасць
Тэорыя і практыка кіравання самалётаў|самалётакіраванне
Навуковая дысцыпліна, злучаная з праектаваннем і канструяваннем самалётаў|самалётабудаванне
Галіна прамысловасці, што займаецца вытворчасцю самалётаў|самалётабудаванне
Абслугоўванне сябе сваімі ўласнымі сіламі|самаабслугоўванне
Самастойнае вызваленне сябе ад які сцясняе, што злучае|самавызваленне
Ўслаўленне самога сябе, уласных заслуг, добрых якасцяў|самаўслаўленне
Выкрыццё самога сябе, уласных дзеянняў, учынкаў|самавыкрыццё
Выраб святлакопій|святлокапіяванне
Пераламленне святла|святлопраламленне
Царкоўны абрад, адпраўленне набажэнства|святадзейства
Адпраўленне набажэнства|святарства
Насельніцтва Паўночнай Амерыкі (за выключэннем Цэнтральнай)|паўночнаамерыканцы
Сельскагаспадарчы інвентар|сельгазпрыладдзе
Хуткасць, з якой лятальны апарат набірае вышыню|скораўздымнасць
Колькасць стрэлаў, вырабляных з выгляду зброі ў адзінку часу|хуткастрэльнасць
Апарат для аддзялення слівак ад малака; сепаратар|сепаратар
Сістэма адукацыі слоў у мове|словаўтварэнне
Частка мовазнаўства, які вывучае адукацыя слоў у мове|словаўтварэнне
Працэс адукацыі сумесяў|сумесеўтварэнне
Выкананне адначасова некалькіх службовых абавязкаў|сумяшчальніцтва
Праца ў іншым, акрамя асноўнага, прадпрыемстве, установе|сумяшчальніцтва
Пасіўнае ўспрыманне пазнавальнай рэчаіснасці без актыўнага ўздзеяння на яе (у філасофіі)|сузіральнасць
Здольнасць расліны расці на засоленых глебах|солевыносливость
Уладальнік солепромышленного прадпрыемствы, салянай здабычы|солепрамысловец
Праточны апарат для падрыхтоўкі раствора паваранай солі|солерастворитель
Здольнасць супрацівіцца|супраціўляльнасць
Ступень супраціву|супраціўляльнасць
Навуковая дысцыпліна, што займаецца вывучэннем праблем, злучаных з сацыяльнай прыродай мовы, яго грамадскімі функцыямі і ўздзеяннем сацыяльных фактараў на мову|социолингвистика
Падклас пакрытанасенных двухдольных раслін; спайнолепестные|зрослапялёсткавыя
Атрад костистых рыб, сківічныя і межчелюстные касці якіх нерухома злучаны паміж сабою і з чэрапам|сростночелюстные
Рэлігійны кірунак, якое аб'ядноўвае шэраг сект, якія паўсталі ў выніку царкоўнага расколу ў Расійскай дзяржаве ў ХVII ст. і імкнуліся да захавання даўніны ў царкоўным жыцці і абраднасці|стараверства
Прылада для аўтаматычнага ачышчэння назіральнага шкла транспартных машын ад дажджу і снягі|шклоачышчальнік
Сектанцкі рух у Ноўгарадзе і Пскове ХIV–ХV стст., якое адмаўляла царкоўную іерархію, манаства, асобныя рэлігійныя дагматы|стригольничество
Разгляд спраў у судзе|судаводства
Прадпрымальнік у вобласці суднабудавання|судопромышленник
Перадача паведамленняў па тэлеграфе|тэлеграфаванне
Ўласцівасць целаў перадаваць цяпло заснаванае на цеплаабмене паміж атамамі і малекуламі цела|цеплаправоднасць
Вытворчасць трактароў|трактарабудаванне
Навуковая дысцыпліна, што займаецца вывучэннем і распрацоўкай метадаў трансплантацыі|транспланталогія
Строгасць, патрабавальнасць|патрабавальнасць
Здольнасць шмат і прадукцыйна працаваць|працаздольнасць
Галоўны начальнік артылерыі (у войскі Расійскай дзяржавы і ў войсках некаторых іншых дзяржаў ХVII–ХVIII стст.)|фельдцейхмейстер
Генеральскае званне (у былой аўстрыйскай і аўстра-вугорскай войсках да 1918 г.)|фельдцейхмейстер
Адукацыя, фармаванне|формаўтварэнне
Выраб друкаваных формаў – клішэ – фотахімічным спосабам|фотагравіраванне
Збудаванне для захоўвання цэменту|цементохранилище
Одзін з вышэйшых прыдворных чыноў, сачыльны за выкананнем цырыманіялу і кіраўнічы палацавымі цырымоніямі|цырымоніймайстар
Распарадчык цырымоніі, цырыманіялу|цырымоніймайстар
Забойства, знішчэнне людзей|чалавеказабойства
Збор чатырох Евангелляў, якія прыпісваюцца чатыром евангелістам|чатырохевангелле
Адчувальны характар, адчувальная натура|адчувальнасць
Сентыментальнасць|адчувальнасць
Тэрмін, перыяд, прамежак часу ў шэсцьдзесят гадоў|шасцідзесяцігоддзе
Ўгодкі падзеі, што адбыўся, распачатага і т. п. шэсцьдзесят гадоў назад|шасцідзесяцігоддзе
Тэрмін, перыяд, прамежак часу ў шаснаццаць гадоў|шестнадцатилетие
Ўгодкі падзеі, які адбыўся, распачатага і т. п. шаснаццаць гадоў назад|шестнадцатилетие
Некаторыя пароды лісцяных дрэў|шырокалісцевыя
Дзейнасць штрэйкбрэхераў|штрэйкбрэхерства
Дзейнасць эксплуататара|эксплуататорство
Частка электразварачнага апарата, у якую ўстаўляецца электрод|электродержатель
Сукупнасць з'яў, якія вызначаюць непарыўную сувязь паміж электрычнымі і магнітнымі ўласцівасцямі рэчыва|электрамагнетызм
Адмысловец у вобласці электрамантажу|электрамантажнік
Электрычнае асвятленне|электраасвятленне
Паліроўка металу з ужываннем электраэнергіі|электрополировка
Майстэрня, цэх, дзе вырабляецца электразварка|электразварачная
Забеспячэнне электрычнай энергіяй|электразабеспячэнне
Транспарт, што працуе на электрацязе|электратранспарт
Сукупнасць электраабсталявання|электрагаспадарка
Плынь у ідэалістычнай філасофіі канца ХIХ ст. – пачала ХХ ст., якое адмаўляе аб'ектыўнае існаванне матэрыяльнага свету і разглядвалае рэчы як комплексы адчуванняў індывіда, як з'явы яго свядомасці|эмпірыякрытыцызм
Плынь у ідэалістычнай філасофіі пачатку ХХ ст., разнавіднасць эмпірыякрытыцызму, якая характарызуецца інтэрпрэтацыяй паняццяў як знакаў адчуванняў, а не як адлюстраванняў у свядомасці рэальнага свету|эмпириосимволизм
Кірунак у каталіцызме, што дамагаецца неабмежаванага права таты Рымскага на ўмяшанне ў рэлігійныя і свецкія справы любой дзяржавы|ультрамантанцтва
Граматычная катэгорыя, якая паказвае на паменшаную велічыню прадмета ці ступень якасці параўнальна з іншым прадметам ці якасцю (у лінгвістыцы)|памяншальнасць
Дзейнасць юрысконсульта|юрисконсультство
Дзейнасць адміністратара|адміністратарства
Навуковая дысцыпліна, што вывучае формы і метады арганізацыі і вядзенні бібліятэчнай справы|бібліятэказнаўства
Добразычлівае размяшчэнне навошта-або; добразычлівасць|прыязнасць
Наяўнасць неабходных умоў, выгод для жыцця і працы|добраўпарадкаванасць
Філасофска-этычная плынь, якое ўзнікла напачатку ХХ ст. у асяроддзі рускай сацыял-дэмакратыі, прадстаўнікі якога імкнуліся злучыць сацыялістычныя ідэі з рэлігіяй|богастваральніцтва
Якія ўступілі ў шлюб; маладыя|бракосочетавшиеся
Галіна прамысловасці, што вырабляе шрубалёты|гелікоптарабудаванне
Ўзаемная залежнасць|узаемазалежнасць
Цесная сувязь, узаемазалежнасць прадметаў, з'яў і т. п.|узаемазвязанасць
Апарат для астуджэння праходзілага праз яго паветра|паветраахаладжальнік
Прылада для ачысткі паветра ад пылу і шкодных рэчываў|паветраачышчальнік
Тэрмін, перыяд, прамежак часу ў васямнаццаць гадоў|васямнаццацігоддзе
Ўгодкі падзеі, які адбыўся, распачатага і т. п. васямнаццаць гадоў назад|васямнаццацігоддзе
Тэрмін, перыяд, прамежак часу ў восемдзесят гадоў|васьмідзесяцігоддзе
Ўгодкі падзеі, які адбыўся, распачатага і т. п. восемдзесят гадоў назад|васьмідзесяцігоддзе
Вельмі спрошчаны выклад, тлумачэнне і т. п. скажальнае сутнасць, сэнс|вульгаризаторство
Частка механікі, у якім вывучаецца раўнавага і рух вадкіх і газападобных асяроддзяў і іх узаемадзеянне паміж сабою і з цвёрдымі целамі|гідрааэрамеханіка
Навуковая дысцыпліна, якая вывучае працэсы, што адбываюцца ў гідрасферы і атмасферы Зямлі, абагульняючая дадзеныя гідралогіі і метэаралогіі|гідраметэаралогія
Камандуючы ўзброенымі сіламі дзяржавы ці групы дзяржаў на адным тэатры ваенных дзеянняў ці стратэгічным кірунку; камандуючы асобнымі выглядамі ўзброеных сіл|галоўнакамандуючы
Ўладальнік прадпрыемства горнай прамысловасці|горнапрамысловец
Дзяржаўная прылада грамадства|дзяржаўнасць
Прыхільнасць прынцыпам дзяржаўнай прылады грамадства ці дзяржаўнага ладу|дзяржаўнасць
Вялікая пасудзіна для захоўвання ў алтары святых дарункаў|даразахавальніца
Галіна машынабудавання, якая вырабляе рухавікі|двигателестроение
Тэрмін, перыяд, прамежак часу ў дзевятнаццаць гадоў|девятнадцатилетие
Ўгодкі падзеі, што адбыўся, распачатага і т. п. дзевятнаццаць гадоў назад|девятнадцатилетие
Службовая асоба, якое займаецца справаводствам|справавод
