Штучнае ўвільгатненне каранёў раслін?|паліванне
Іспанія, гістарычная правінцыя|Бугрос
Іспанія, гістарычная правінцыя|Мадрыд
Іспанія, на р. Тахо, прыгарад Мадрыду (горад у Еўропе)|Аранхуэс
Іспанія, порт (горад у Еўропе)|Віта
Іспанія, порт, о-ў Мальёрка (горад у Еўропе)|Пальма
Іспанія, правінцыя|Уэска
Іспанская залатая манета|альфонсодоро
Іспанская каманда, за якую выступаў Арвидас Сабонис|рэал
Іспанская мера вагі – 11,5 кг|арроба
Іспанская мера даўжыні – 1,57 метра|брас
Іспанская мера масы|адарме
Іспанская рака на мяжы з Партугаліяй (зг)|миньо
Іспанская старадаўняя манета|песа
Іспанскія авантурнікі?|канкістадоры
Іспанскі лекар|сервей
Іспанскі горад|Онда
Іспанскі дваранін|гранд
Іспанскі драматург, аўтар драмы “Дрэвы паміраюць стоячы”|Касона
Іспанскі сябар|амиго
Іспанскі жывапісец і графік|Солана
Іспанскі жывапісец, які вядзе прадстаўнік сюррэалізму?|Далі
Іспанскі жывапісец, які абраў сабе ў жонкі рускую|Далі
Іспанскі кінарэжысёр. Да/ф “Штурмуючы нябёсы” (пра Троцкага)|Риойо
Іспанскі кампазітар, арганіст|Солер
Іспанскі канкістадор, які заваяваў Мексіку|Картэс
Іспанскі мараплавец, “што адкрыў” Каралавае мора|Торрес
Іспанскі народны танец|балеро
Іспанскі народны танец|нота
Іспанскі народны танец|хота
Іспанскі парламент|картэс
Іспанскі парны танец. Суправаджаецца гітарай, барабанам і кастаньетамі, спевам танцуючых. Музычны памер 3/4. Тэмп умераны?|балеро
Іспанскі пісьменнік і журналіст 19 ст., аўтар гумарыстычнай аповесці “Трохкутны капялюш”|Аларкон
Іспанскі пісьменнік. Нобелеўская прэмія (1989)|Села
Іспанскі паэт сучаснасці|Селая
Іспанскі паэт. Нобелеўская прэмія (1977)|Алейксандре
Іспанскі рубель|песета
Іспанскі скульптар (род. 1911)|Авалос
Іспанская старадаўняя струнная музычная прылада, разнавіднасць гітары|виуэла
Іспанскі сэр|дон
Іспанскі танец?|балеро
Іспанскі тапограф, натураліст ХVII–ХIХ стст.|Асара
Іспанскі тапограф, натураліст|Асарс
Іспанскі тапограф|Асаре
Іспанская ўдарная музычная прылада?|кастаньеты
Іспанскі футбольны клуб|рэал
Іспанскі хімік і мінералог (1755 –1833)|Элуяр
Іспанскі мастак, чыё жыццё натхніла Ліёна Фейхтвангера на напісанне рамана|Гойя
Іспанскі царэвіч|дафін
Іспанскі, італьянскі шляхетны род|Борджа
Іспанскае вінаграднае віно|малага
Іспанцы пасля адкрыцця Амерыкі паведамлялі на радзіму: “Тут ЯНЫ скачуць лепш кастыльскіх”. Хто аднойчы залішне эмацыйна ўспрыняў купанне аднаго з ІХ?|Таня
Іспанцы меркавалі знайсці ў Новай Гранаде краіну золата – Эльдарада. Што яны там знайшлі замест золата?|смарагды
Пот, у якую можа кінуць і ад працы, і ад спалоху|пот
Пот; раман Ж. Амаду|пот
Пот|пот
Споведзь пытання?|адказ
Волат, волат|калос
Волат, калос|тытан
Велічэзная чарцёжная дошка суднабудаўнікоў|плаз
Выкананне вайсковых абавязкаў|служба
Выкананне вакальнага твора|спеў
Выкананне гукаў акорда не адначасова, у разбіўку|арпеджыа
Выкананне музычнага нумара, арыі адным выканаўцам, салістам, а таксама сам твор для сольнага выканання|сола
Выкананне музычнага твора|сола
Выкананне музыкі ў поўную сілу гуку|фортэ
Выкананне музыкі ўсім складам аркестра, хору|тутти
Выкананне партыі адным спеваком|сола
Выкананне чаго-небудзь у вызначаны прамежак часу без перапынку|сеанс
Выканаўцы п'есы для двух галасоў|дуэт
Выканавец гл. ролі ў да/ф “Грэцкі магнат”|Куин
Выканавец гл. ролі ў да/ф “Спіс Шиндлера”|Нисон
Выканавец галоўнай ролі ў “Містар ікс”|Отс
Выканавец д'ябальскіх загадаў|гнеў
Выканавец на дудзе|ігрок
Выканавец на ўдарных музычных прыладах?|ударнік
Выканавец адной з галоўных роляў у фільме “Чалавек дажджу”|Круз
Выканавец партыі Хозе ў оп. “Кармэн” у Б. Тэатры ў 1953 г.|Нэлепп
Выканавец песень “Замак з дажджу”, “Сцюардэса па імі Жана”?|Пресняков
Выканавец рытуалаў і носьбіт сакральных ведаў|жрэц
Выканавец роляў у спектаклях, кіно|артыст
Выканавец роляў у спектаклях, фільмах, удзельнік эстраднага, цыркавога ўяўлення|артыст
Выканавец роляў у спектаклях, фільмах|акцёр
Выканавец ролі “Гада” ў фільме “Джэнтэльмены поспеху”|Вицин
Выканавец ролі Анискина ў фільме “Вясковы дэтэктыў”|Жаров
Выканавец ролі Дуремара ў тэлестужцы “Прыгоды Бураціны”|Басоў
Выканавец ролі Жигана ў фільме “Пуцёўка ў жыццё”|Жаров
Выканавец ролі Косткі Потехина ў кинокомедии “Вясёлыя дзеці”|Уцёсаў
Выканавец ролі Молатава ў да/ф “Чырвоны манарх”|Сцёк
Выканавец ролі Фандора ў да/ф пра Фантомасе|Маре
Выканавец ролі вялікага камбінатара|Юрскі
Выканавец ролі пастара Шлага з тэлесерыяла “Сямнаццаць імгненняў вясны”?|Плятт
Выканавец уласных песень?|бард
Выканаўца галоўнай ролі ў нашумелай стужцы “Беспасажніца” з Анатолем Кторовым|Алисова
Выканаўца галоўнай ролі ў супербоевике “Крыжак”|Кабо
Выканаўца песні “Надвор'е ў хаце”?|Даліна
Выканаўца роляў у спектаклях, кіно|акторка
Выканаўца ролі Дашы ў киноэпопее “Блуканне па пакутах”|Алфёраў
Выканаўца ролі міс Марпл у папулярным ангельскім тэлесерыяле па раманах Агаты Крысці|Хиксон
Выканаўца абавязкаў кіраўніка на час непаўналецця, працяглай хваробы ці адсутнасці манарха|рэгент
Спаласаванае цеста|локшына
Выкарыстанне выраза ў якасці свайго ўласнага імя|автонимия
Выкарыстанне адыходаў у якасці сыравіны ці палівы?|утылізацыя
Выкарыстанне з дапамогай абрадаў, загавораў, кудменяў і т. п. звышнатуральных сіл нябеснага ці пякельнага паходжання, чараўніцтва, вядзьмарства|магія
Выкарыстанне слова ў пераносным сэнсе|сцежак
Выкарыстоўваны ў тэхніку негорючий кудзелісты мінерал?|азбест
Выкарыстоўваецца і для абароны, і для нападу|зброя
Выкарыстоўвалы запіс і апрацоўку малюнкаў на базе электронных тэхналогій?|відэа
Выпраўленчыя працы на старадаўні манер?|катарга
Выпраўленне дэфектаў гаворкі?|лагапедыя
Выпраўленне тэксту, падрыхтоўка да друку?|праўка
Спалох, які акругляе вочы|страх
Выпрабаванне дабрадзейнасці|выпрабаванне
Выпрабаванне добразычліўцаў|поспех
Выпрабаванне, праверка, выпрабавальнае ўздзеянне|тэст
Выпрабаванне, праверка|спроба
Выпрабавальнік, працуе з папярэдняй (бэта) версіяй кампутарнай праграмы, выпрабоўваючы яе і паведамляючы распрацоўніку пра знойдзеныя памылкі|тэстар
Исскуство зрабіць грошы з шэпту і загадкавых жэстаў|магія
Даследаванне з дапамогай зонда|зандаж
Даследнікі глухіх раёнаў Афрыкі лічаць: Папуас папуасу сябар, таварыш і ...?|корм
Даследнік Арктыкі; выспа ў Карскім моры|Візе
