Загарода, перашкода|бар'ер
Шчыры стыль негрыцянскай музыкі|соул
Заезд у выпрабаваннях канёў у розыгрышы буйнага прыза|гіт
Заезд у розыгрышы прыза|гіт
Пазыковы ліст, вэксаль; итал. скульптар, архітэктар|камбио
Пазыковы ліст, вэксаль|камбио
Запальніца|ронсон
Заціск на акумулятары|клема
Заціскная прылада ў алоўку|цанга
Заціскная прылада|ціскі
Заможны селянін у рэвалюцыйнай Расіі|кулак
Заможны селянін у сучаснай Турцыі|ага
Зазор паміж спалучанымі паверхнямі частак машын|люфт
Зацікаўленасць у здзяйсненні чаго-небудзь|стымул
Заір (сталіца, цэнтр)|Моба
Закаўказская рака-мяжа|Аракс
Закаўказская краіна, дзе вырабляюць знакаміты каньяк “Арарат”?|Арменія
Закваска, запраўленае ёю ці дрожджамі цеста|рошчына
Заквашанае малако ў Ср. і Пёр. Азіі|катык
Заквашанае малако ў Сярэдняй Азіі|катык
Заквашаны ў мэтах працяглага захоўвання сакавіты корм?|силос
Закл. частка муз. творы|кода
Закладка для кніг|ляссе
Загавор, якому прыпісвалася цудадзейная сіла|абракадабра
Зняволенне пад варту|арышт
Складзеная|вязніца
Зняволены часоў графа Монте-Кристо|вязень
Складзены, які капае падкоп для ўцёкаў?|крот
Зняволены?|вязень
Складзе. элемент у гимнастич. практыкаваннях|саскок
Заключная стадыя спаборніцтваў?|фінал
Заключная сцэна оперы ці балета|фінал
Заключная частка апавядання, літаратурнага твора, спектакля, кінастужкі|эпілог
Заключная частка спартовага змагання на хуткасць|фініш
Заключная частка спартовых гульняў|фінал
Заключная частка трагедыі ў інш. Грэцыі|экзод
Заключны ўсклік у малітве|амэн
Заключны ўсклік малітваў, пропаведзяў у значэнні дакладна, праўдзіва|амэн
Заключнае слова хрысціянскіх малітваў|амэн
Заключны элемент практыкавання на гімнастычным снарадзе|саскок
Закон адплаты ў інд. рэлігіі і філасофіі, па якім лёс душы ў наступных увасабленнях залежыць ад яе добрых і злых спраў у папярэдніх|карма
Законны лік удзельнікаў збору?|кворум
Законны папярэднік Піначэта|Альенде
Заканадаўства|права
Закансерваванае ў масле страва з дробных вэнджаных рыбак сямейства сельдевых|шпроты
Скончаная партыя гульні ў брыдж|робер
Скончаная частка драматычнага твора ці тэатральнага ўяўлення|акт
Скончанае выказванне|фраза
Скончаны круг гульні ў некаторых картачных гульнях|робер
Скончаны ашуканец|жулік
Скончаны па пабудове эпізод у оперы, араторыі ці кантаце, выкананы адным спеваком у суправаджэнні аркестра|арыя
Скончаны шэраг тэматычна блізкіх твораў|цыкл
Скончаны цыкл, увесь аб'ём адмысловага навучання|курс
Скончыце арабскую прымаўку: “Калі ты кажаш, словы твае павінны быць лепш твайго ...”?|маўчанні
Скончыце верш Яўгена Лукіна: Паглядзі: устае цунамі // Над шкарлупінамі кватэр, // Так, раскрыжоўваючыся з намі // ...|прыгажосць ратуе свет
Замацавальнік для суфле?|агар
Замацавальнік, у традиц. фатаграфічным працэсе фіксуе (робіць устойлівым) выяўлены малюнак|фіксаж
Замацаванне чагосьці за кімсьці, якое робіць штосьці недатыкальным|браня
Замацаванне?|фіксацыя
Засекі матухны-Землі|нетры
Закруглены рукапісны і друкаваны шрыфт|ронда
Якая зачыняе што-небудзь ці што засоўваецца частка якога-небудзь механізму|шторка
Які зачыняе, што загароджвае ложак фіранка|полаг
Якое зачыняе галаву і верхнюю частку цела лёгкае жаночае покрыва з кісяі, карунак, шоўкі|вэлюм
Што зачыняецца вечкам адтуліна|люк
Якая зачыняецца адтуліна ў падлозе, у борце, на даху|люк
Што зачыняецца адтуліна|люк
Зачыненае памяшканне ў стайні для ўтрымання каня без прывязі|стойла
Зачыненая ёмістасць, прылада для ператварэння вадкасці ў пару|кацёл
Зачыненая інфармацыя, сакрэт|таямніца
Зачыненая пляцоўка чыгуначнага вагона|тамбур
Зачыненая паражніна ўсярэдзіне якога-небудзь органа|камера
Зачыненне прадпрыемства і масавыя звальненні як сродак процідзеяння патрабаванням з боку працоўных|лакаўт
Зачыненая прастора ўсярэдзіне апарата, збудаванні, машыны|камера
Зачыненыя, схаваныя каштоўнасці|скарб
Зачынены ўнутраны двор у сярэдзіне старажытна-рымскага жылля|атрыум
Зачыненая пасудзіна для вадкасцяў ці газаў?|балон
Зачыненая пасудзіна для ператварэння вады ў пару|кацёл
Закаркаванне для бутэлек|корак
Закуска, вячэра стоячы|аляфуршет
Закуска; месцы ў газеце, забруджаныя ў цэнзуры фарбай|ікра
Закуска|ікра
Закусачная частка конскай збруі|вудзіла
Закусачная, піўная ў Амерыцы (устар.)|салун
Закусачная, піўная; Закусачная, піўная ў Амерыцы|салун
Закусачная, рэстаранчык|бістро
Зала ў тэатры для знаходжання гледачоў перад пачаткам спектакля, падчас антрактаў|фае
Зала чакання ў ангел. парламенце|лобі
Зала чакання ў атэлье, цырульні|салон
Зала, які адлучае ўваход ад унутранай часткі будынка?|вестыбюль
Зала|хол
Заліў Каралавага мора ва ўзбярэжжа выспы Новая Гвінея|Папуа
Заліў Чырвонага мора|Акаба
Заліў Охотского мардуючы ў Сахаліна|Анива
Заліў Охотского мардуючы ў паўднёвага берага Сахаліна|Анива
Заліў Чукоцкага мора|Коцебу
Заліў у Адрыятычным моры|Влера
Заліў у Азоўскім моры|Сиваш
Заліў у Берынгавым моры|Анана
Заліў у Індыі|Кач
Заліў у Мраморн. мора|Эрдек
Заліў у Ахоцкам мора|Анива
Заліў у С. Ледавітым акіяне, Канада|Бутия
Заліў у С. Ледавітым акіяне, мора Лаптевых|Анабарский
Заліў у Сардзініі|Асинара
Заліў у Міжземным моры|Габес
Заліў у Міжземным моры|Сідры
Заліў у Ціхім акіяне?|Каліфарнійскі
Заліў у Ціхім акіяне|Аляска
Заліў у Ціхім акіяне|Анадырский
Заліў у нізоўях ракі|ліман
Заліў у вусце ракі|ліман
Заліў воднага басейна|бухта
Заліў заходняга ўзбярэжжа Ірландыі|Клу
Заліў на ўзбярэжжа Ўнутранага Японскага мора|Баппу
Заліў на паўднёва-усходнім узбярэжжы Францыі|Бер
Заліў ракі з запаволенай плынню|затока
Заліў з невысокімі берагамі|ліман
Заліў у вост. узбярэжжы Вялікабрытаніі|Уош
Заліў у паўднёвага ўзбярэжжа выспы Хакайда ў Японіі|Утиура
Заліў, утвораны морам у нізоўях ракі, а таксама салёнае возера зблізку мардуючы, звычайна багатае гаючымі гразямі|ліман
Заліў, які ўтвараецца пры затапленні морам даліны ракі|ліман
Залівісты птушыны спеў|пошчак
Залівісты птушыны спеў|пошчак
Заліўная спортпляцоўка?|коўзанка
Заліўное для твару?|фарба
Заліўное|жэле
Заклад|заклад
Закладнік, які даецца ў забеспячэнне дамовы|аманат
Залп рэвалюцыі|Аўрора
Замаскіраваны ў лесе радыёперадавальнік, перыядычна што падае кароткачасовыя сігналы|ліса
Выдатны армянскі каньяк, які даў назва гора, да якой потым прычаліў Ной|Арарат
Запаволеная і скарочаная рысь каня|трот
Запаволены тэмп выканання муз. творы|адажыа
Замена адных няспраўнасцяў іншымі. Неизв|рамонт
Замена маўленчага суправаджэння фільма новым, на іншай мове|дубляж
Замена маўленчай часткі кінастужкі новай, запісанай на іншай мове|дубляж
Замена складаных матем. аб'ектаў прасцейшымі для разгляду, напр. крывой лініі на ламаную прамую|апраксімацыя
Заменнік бузіны ў Кіеве|дзядзька
Заменнік скуры: шчыльная шматпластовая тканіна, прасякнутая адмысловым складам|кірза
Заменнік скуры; накладка, якая зачыняе замочную свідравіну|футар
Заменнік скуры|ворсит
Заменнік скуры|фібра
Заменнік скуры|футар
Заменнік крухмалу і цукры пры дыябеце|інулін
Заменнік манеты?|жэтон
Заменнік мяча ў бадмингтоне|валан
Заменнік цукру для хворых дыябетам|ксилит
Заменнік цукру для хворых дыябетам|сорбит
Змёрзлая і зацвярдзелая вада|лёд
Замеситель з іксам|міксер
Прыкметнае адрозненне вымаўлення чалавека, размаўлялага на чужой мове|акцэнт
Прыкметнае паляпшэнне, змена ў стане, развіцці|зрух
Выдатны гатунак яблыкаў|аніс
