Ідэя|паняцце
З цытрыны – ліманад, з апельсіна – оранжад. А з арэхаў?|аршад
З масла, змешчанага ў адмысловай паражніне галавы кашалота, вылучаюць гэта рэчыва|спермацэт
З мёда, але ў галаву не ўдарае?|медавуха
З меха гэтага звярка шыюць каўняры|норка
З меха гэтага ластоногого шыюць шапкі|нерпа
З яе робяць і порах і ўгнаенне|салетра
З названых арабы назвалі 85, грэкі – 20, рымляне – 10, толькі 3 былі названы ў новы час. Але ў іншых іх назвах палова грэцкага. Пра што ідзе гаворка?|зоркі
З яго атрымліваюць ізатоп плутонія|уран
З яго п'юць шампанскае|куфель
З яго эскімосы рабілі полозья|бівень
З яе выводзяцца маляўкі і апалонікі|ікра
З яе лезуць прэч|скура
З яе мексіканцы рыхтуюць гарэлку кульцы|агава
З яе можа ўзгарэцца полымя|іскра
З іх уласныя назвы маюць толькі 150. Прыкладна 20 назваў ім былі дадзены грэкамі, каля 10 – рымлянамі, і звыш 100 – арабамі. Хто яны?|зоркі
З іх складаецца пластовы торт?|корж
З іх эскімосы рабілі адзежу для марскога палявання|кішкі
З агню ды ў ... (прымаўка)|полымя
З песеннага суправаджэння застолля: “Шумеў ...”?|чарот
З пладоў гэтага дрэва робяць курагу і ўрук|абрыкос
З шэрагу прэч выходзільны|экстра
З сямейства цытрусавых|цытрон
З вершаванага фрагмента, пачутага на ўроку літаратуры, нядбайны школьнік засвоіў толькі, што герой дзесьці збіраў нейкія свае рэчы. А быў гэты герой|князем
З сухіх сцеблаў гэтай расліны робяць і мэблевыя тканіны, і дываны|джут
З урокаў фізікі вядомая нам адзінка вымярэння энергіі, працы|джоўль
З чаго прыгатаваў кававы напой мудрагелісты садоўнік, адразу пасля таго як кароль Фрыдрых II увёў надмерную мыту на гэты напой|цыкорый
З чаго рабілі кружкі ў старажытным Ноўгарадзе?|бяроста
З чаго робяць паперу?|драўніна
З чаго робяць сыраватку|малако
З чаго кітайцы робяць мяса (з ...)?|соі
З чаго трэба зрабіць шашку, каб знесці галаву не толькі вершніку, але і каню?|траціл
З чаго адліты “Медны вершнік” у Санкт-Пецярбургу|бронза
Са шкуры якой жывёлы, па сцвярджэнні Арыстоцеля, можна рабіць тканіну, якая непадуладная агню? “з ...”|саламандры
З гэтай расліны робяць марыхуану|каноплі
З гэтага бабовага даўней варылі кісель|гарох
З гэтага дробнага пачуцця вырастае страшная помста, пра якую знята шмат трылераў|крыўда
З гэтага металу ў казцы Андэрсана адліты дакладны сябар|цын
З гэтай расліны робяць крупы сага|сагаўнік
З-за яго шматлікія пускаюць грошы на вецер|тытунь
Малюнак будаўніка храма ў сярэднявеч. мастацтве|данатар
Малюнак аб'екта здымкі, утворанае зернямі металічнага срэбра|негатыў
Малюнак жывой гаворкі пісьмовымі знакамі|графіка
Малюнак ці арнамент, выкананыя з асобных кавалачкаў якога-небудзь матэрыялу|мазаіка
Малюнак ці рэльеф авальнай формы|медальён
Малюнак ці выраз, якое патрабуе ў разгадцы, столковании|загадка
Малюнак людзей ці прадметаў у фантастычна перабольшаным, выродліва-камічным выглядзе|гратэск
Малюнак на святлоадчувальнай плёнцы, якім цёмныя месцы атрымліваюцца светлымі, светлыя: цёмнымі|негатыў
Малюнак прадмета, што ўзнікае на гладкай паверхні|адлюстраванне
Малюнак прадмета|малюнак
Малюнак прасторавай постаці на плоскасці|праекцыя
Малюнак чалавека на карціне, фатаграфіі, скульптуры|партрэт
Малюнак, створанае з прыгнаных кавалачкаў якіх-небудзь матэрыялаў, мастацтва стварэння падобных карцін|мазаіка
Малюнак, озданное ўручную|малюнак
Выяўленчая кампазіцыя ў авальным апраўленні|медальён
Выяўленчае мастацтва – стварэнне мастацкіх выяў з дапамогай фарбаў|жывапіс
Вынаходнік аўтаручкі (1887)|Уотерман
Вынаходнік спальнага вагона|Пульман
Вынаходнік спартовых практыкаванняў, якія заваявалі мільёны людзей|Лидъярд
Вынаходнік дугавой зваркі|Бенардос
Вынаходнік знакамітай прылады смяротнага пакарання смерцю часоў Французскай рэвалюцыі|Гильотен
Вынаходнік прядильного станка з 1000 верацёнаў (1779)|Кромптон
Вынаходнік прядильной машыны|Глинков
Вынаходнік цвёрдамера|Роквелл
Вынаходства аўстралійскіх першабытнікаў|бумеранг
Вынаходства Ж.-І. Кусто і Э. Ганьяна|акваланг
Выгнутая сталёвая паласа, якая выконвае роля амартызацыйнай спружыны ў аўтамабілі|рысора
Выгнутая ў плане паўколам маляўнічая карціна|дыярама
Выгнутая паўколам карціна з размешчанымі на пярэднім плане аб'ёмнымі прадметамі|дыярама
Выгнутыя мэблевыя ножкі, часам у выглядзе жывёлы|кабриоль
Ізалінія, што характарызуе глыбіню вадаёма|ізабата
Ізаляцыя інфекцыйных хворых і тых, хто меў з імі кантакт на час, дастатковае для праявы захворвання|карантын
Ізатоп вадароду|дэйтэрый
Изр. парламент|кнэсет
Ізраільскі парламент|кнэсет
Выслоўе, ярка і ёміста якое выказвае думка|афарызм
Вывучэнне горных парод з дапамогай свідравых свідравін з ужываннем розных физич. метадаў|каратаж
Хата з гліны|мазанка
Збавенне ад небяспекі, няшчасці|выратаванне
Збавенне ад чаго-небудзь, выкараненне|зжыванне
Абранае ў Францыі пасля звяржэння караля ў 1792 г. прадстаўнічы збор|канвент
Выбраннік сэрца чароўнай Ізольды|тристан
Хата, жылая пабудова, будынак|хата
Хацінка без выгод|халупа
Выбарчая акруга ў ЗША|дистрикт
Збіванне сялян батогами і палкамі ў якасці пакарання ў часы прыгоннага права|катаванне
Выбарнікі ў вачах тых, каго яны ўжо абралі|плебс
Выбарчая акруга ў Інш. Рыме|трыба
Збітая фраза|штамп
Збіты выраз, шаблонная фраза|клішэ
Збіты, шаблонны выраз|клішэ
Абранне каго-або на пост шляхам галасавання з некалькіх кандыдатаў|выбары
Выбраннік, эпітэт прарока Мухаммада?|мустафа
Выбранніца мультыплікацыйнага марака Папая|Олев
Абраны круг людзей, вышэйшае грамадства|святло
Лішак металу на адліўцы|облой
Лішак па-старорусски|лішак
Лішак, перабор|лішак
Залішне ўвільготненая тэрыторыя|балота
Залішне ўвільготнены ўчастак зямлі са стаялай вадой і зыбкай паверхняй|балота
Изв. кинороль Жана Маре|Фантомас
Вапнавы раствор для папялення шкур|зольник
Вядомая акторка савецкай эстрады, народная артыстка РСФСР|Міронава
Найвядомы дзяржаўны партыйны дзеяч СССР|Брэжнеў
Вядомы акцёр балгарскага кіно|Данаилов
Вядомы савецкі альпініст, імем якога названы пік на Паміры|Абалаков
Вядомы стваральнік помніка А. Пушкіну, мемарыяла Гераічным абаронцам Ленінграда|Аникушин
Вядомы рэжысёр італьянскага кіно|Антониони
Вядомы рускі мастак, які ўваскрэсіў у сваёй творчасці аблічча старажытнай Масквы|Васняцоў
Вядомы рускі прамысловец|Дземідаў
Вядомы мастак – карыкатурыст, лаўрэат Міжнароднай Ленінскай прэміі|Бидструп
Вядомы географ, вандроўца па імі Тур|Хейердал
Вядомы гулец айчыннага хакея з мячом|Ломанов
Вядомы літаратар, сябар Карамзина, настаўнік Аляксандра I|Мураўёў
Вядомы літоўскі шахматыст|Лапенис
Вядомы малдаўскі акцёр тэатра, кіно, тэлебачанні, народны артыст СССР|Волонтир
Вядомы нідэрландскі філосаф-матэрыяліст|Спіноза
Вядомы прамысловец у царскай Расіі|Марозаў
Вядомая праца Карла Маркса|капітал
Вядомы франц. рэжысёр|Брассон
Вядомы футбаліст маскоўскага Спартака 70–80-х г.|Радзівонаў
Выкрутлівасць у абароне лжывых, сумніўных становішчаў|казуістыка
Вёрткі, падманны прыём, учынак|хітрасць
Вазак, пересевший на аўтамабіль|таксіст
Вазак, які перавозіць цяжары|ломовой
Кат, кат|ірад
Вывергнуў, злачынец|каін
Вапнавае шпакляванне, грунт для насценнага жывапісу|ляўкас
Вапнавае мінеральнае рэчыва белага ці жоўтага колеру|гіпс
Вядомая фраза, што Другая Ева загладзіла грэх першай. Хто яна такая?|Багародзіца
Вядомая акторка італьянскага кіно|Лорен
Вядомая ангел. пісьменніца, аўтар папулярных дэтэктыўных раманаў|Крысці
Вядомая артыстка?|дзівы
Вядомая балгарская прадракальніца|Ванга
Вядомая ў астралагічным свеце прозвішча|Глоба
Вядомая коньячная фірма ў Францыі|Камю
Вядомая прынцэса Вялікабрытаніі, загінулая ў автокатострофе|Дыяна
Вядомая руская акторка 19 стагоддзі|Асенкова
Вядомая тэнісістка па імі Штеффи|Граф
Вядомая фірма, якая выпускае спартовую адзежу|рибок
Вядомая франц. акторка ... Шнайдер|Роми
Вядомая, падазроная ці важная асоба|асоба
Вядома выраз, што архітэктура – гэта застылая музыка. А што ў вясёлую эпоху Адраджэнні звалі жывой архітэктурай?|акрабатычныя піраміды
Вядома, як паступалі з помнікамі гісторыі пасля Кастрычніцкай рэвалюцыі. Але яшчэ да яе адзін вядомы імператар жадаў разбурыць Храм Васіля Блажэннага ў Маскве. А хто гэта быў?|Напалеон
Вядома, што Картэс вельмі хутка заваяваў Мексіку. Справа ў тым, што нават самыя адважныя мексіканцы прыходзілі ў жах, убачыўшы ў атрадзе заваёўнікаў... Скончыце фразу|канёў
