Змова, мяцеж (устар.)|крамола
Замш з аленевай шкуры|ровдуга
Задума, план|задумка
Замыкальны ў ладу лантаноідаў|лютэцый
Заслона з цяжкай матэрыі на дзвярах і на вокнах|парцьера
Заслона з цяжкай тканіны на акне ці дзверы|парцьера
Фіранка, якая зачыняе ўсё акно|гардзіна
Занятак навучальнай групы з выкладчыкам, падчас якога актыўна ўдзельнічаюць слухачы (вырашаюць задачы і т. п.)|семінар
Занятак, якое служыць для забаўкі, адпачынку, спартовага змагання|гульня
Запас, набор якога-небудзь рыштунка, прылад (перен.)|арсенал
Запах нейкай справы|газа
Заходнееўрапейская нацыя|датчане
Заходні бандыт|гангстар
Пастка, капкан|пастка
Запал|запал
Запеў у народных песнях|запеўка
Запечаная свініна|бужаніна
Запечаная страва з рысу, паляндвіца курыцы і яйкаў|пупетон
Запечное казурка|цвыркун
Запорож. казак, удзельнік крыж. восст. супраць польск. шляхты|жалязняк
Запорное прыстасаванне на трубаправодзе|вентыль
Запаведнік у Маскоўскай вобласці|Завидово
Запаведнік|рэзерват
Запаўненне вадкім металам зложніц|разліванне
Запаўненне прасторы паміж каменных сцен|забутка
Запоўніць даверху чым-небудзь сыпкім|засыпанне
Запамінальная прылада ў элетронно-вылічальных машынах|мемистор
Запраўленае дрожджамі, якое закісла вадкае цеста|рошчына
Забаронены плён, салодкі для аматараў біць рэкорды|анаболік
Забарона ўвозу ці вывазу тавара|эмбарга
Забарона дзяржаўнай уладай заходу ў порты сваёй краіны замежных судоў|эмбарга
Заблытаная сетка дарожак, хадоў, сазлучаных адзін з адным памяшканняў|лабірынт
Цыдулка, каб не забыцца|напамінак
Запіс у гісторыі хваробы|эпикриз
Запіс усіх вырабляных дзеянняў і атрымоўваных водгукаў|пратакол
Запіс гістарычных падзей, летапіс|хроніка
Запіс гістарычных падзей, вырабляная сучаснікам|летапіс
Замыкалая частка механізму|зашчапка
Заплечная торба|клунак
Затачивание (зрабіць вострым)|завострыванне
Зацяненне Сонцы, Месяцы|зацьменне
Затопляемые ўвесну нізкія берагі рэк і астраўкі, парослыя чаротам і хмызняком|плаўні
Цяжкі выбар з дзвюх непрыемных магчымасцяў|дылема
Засаўка сухога дока (шлюза)|батапорт
Засаўка ў выглядзе засаўкі, клямкі|зашчапка
Зацягнутае месца ў прозе|даўжыня
Закрэсліць, сапсаваць, выкінуць, страціць і т. п. (грубіянскі., разг.) (адказ – дзеяслоў)|похерить
Зачыстка габлёўкай вонкавага пласта паркетных падлог, плоскіх дэталяў з драўніны цвёрдых парод уручную ці фрэзай на станку, циклевальной машыне|цыкляванне
Пачынальнік стахан. рухі ў аўтапрамысловасці|Бусыгин
Завадатай, арганізатар, запявала|заводзіла
Абарона горада ад нападу|абарона
Абарона каго-або ці чаго-небудзь, часта прадузятая, заступніцтва|апалогія
Абарона, усхваленне, часта прадузятае|апалогія
Ахоўная сценка ў якім-небудзь збудаванні|забрала
Ахоўная рэакцыя шматлікіх раслін умеранага клімату|лістапад
Ахоўнае збудаванне, хованка ад агню суперніка|бліндаж
Абаронца Радзімы|патрыёт
Абаронца Порт-Артура|Макараў
Абаронца якой-небудзь ідэі, вучэнні|апалагет
Абаронца каманды ЦСКА 60–70-х, неаднаразовы чэмпіён свету, Еўропы, СССР і Алімпійскіх гульняў па хакеі|Рагулин
Абаронца, прыхільнік чаго-небудзь|змагар
Ахоўны орган брушнай паражніны|сальнік
Ахоўны гумовы кажух у розных прыладах аўтамабіля|пылавік
Ахоўны рэфлекс у адказ на раздражненне вока|мігценне
Абароненая ад хваль вонкавая частка порта|аванпорт
Абароненае ад агнявых сродкаў суперніка памяшканне ў абарончым збудаванні|каземат
Заяўнік|заяўшчык
Люстраная копія друкаванай формы, якая служыць для адліўкі стэрэатыпаў|матрыца
Збожжавая бабовая культура|сачавіца
Збожжавая культура|грэчка
Крупчастае ўключэнне ў цытаплазме клеткі|гранула
Зеленной овощ|гарчыца
Зеленной овощ|мангольд
Зеленной овощ|эстрагон
Зялёнае багавінне|эвглена
Зялёны самацвет|малахіт
Зялёны Кантынент|Аўстралія
Зялёны Гена|кракадзіл
Зялёная сенажаць, лаўкі вакол, ад варот да варот бойка бегае народ, а ў варотах рыбацкія сеткі|стадыён
Земельн. угоддзі ўвогуле карыстанні (у ср. стст. у Зап. Еўропе)|альменда
Зямельная мера ў Англіі|карукота
Зямельная мера ў некаторых краінах, роўная 4047 кв. м|акр
Зямельны надзел|участак
Зямельны полухозяин|арандатар
Зямельны фонд|зямфонд
Земнаводнае|узкорот
Землеройная машына з вялікім каўшом для зразання і перавозкі ў паліцу зададзенага пласта грунта, ужываецца ў дарожным будаўніцтве|скрэпер
Землеройно-транспартная машына для зразання, перавозкі і кладкі грунта|скрэпер
Землеўладальнік, які адносіцца да прывілеяванага саслоўя|абшарнік
Зямля Нямеччыны|Баварыя
Зямля Нямеччыны|Гамбург
Зямля Нямеччыны|Саксонія
Зямля Нямеччыны|Цюрынгія
Зямля ў Аўстрыі|Каринтия
Земляная дарога|грэйдар
Земляны насып каля акопа|траверс
Земляничный тамат|фізаліс
Суніца ў культуры|трускаўка
Зямлянка для абароны ад артылерыйскага агню|бліндаж
Земнаводнае, амфібія|древолаз
Земнаводнае, здольнае ператварыцца ў царэўну|жаба
Земнаводнае, сваячка жабы|рагатка
Земнаводнае|павітуха
Земнаводнае|рыбозмей
Земнаводнае|свістун
Земнаводнае|травянка
Зямны бацька Алены Выдатнай|Тиндарей
Зенітная прылада|зенітка
Зенітчыца Рыта з аповесці “А світанкі тут ціхія” Б. Васільева|Осянина
