Месца разлома, пералому|залом
Месца, дзе аўтамабіль можа сябе выявіць?|шаша
Месца, дзе акцёр не прыкідваецца, як у жыцці|сцэна
Месца, дзе быў раскрыжаваны Ісус?|Галгофа
Месца, дзе ў 1812 году адбылася знакамітая ваенная рада на чале з М. І. Кутузавым|Фили
Месца, дзе выстаўлены васковыя постаці злачынцаў-маньякаў|музей
Месца, дзе душы грэшнікаў трываюць вечныя пакуты (религ.)|пекла
Месца, дзе займаюцца стваральнай працай удосталь якія настраляліся каўбоі|ранча
Месца, дзе кожны божы дзень на двары Пятніца (литерат.)|выспа
Месца, дзе канчаецца рака?|вусце
Месца, дзе крычалі грузчыкі пра Костиной каханні (песень.)|порт
Месца, дзе ляжыць, хаваецца звер|лежня
Месца, дзе лектар Некадилов з мастаком пілі каньяк у кинокомедии “Карнавальная ноч”|буфет
Месца, дзе знаходзіцца знакамітая карціна Леанарда Ды Вінчы “Джаконда”?|Луўр
Месца, дзе пачынаецца рака, раўчук|выток
Месца, дзе пачынаюцца авіяпадарожжы|аэрапорт
Месца, дзе перапраўляюцца|пераправа
Месца, дзе па В. Высоцкаму “кікімары жывуць, заказычуць да ікаўкі і на дно звалакуць”|балота
Месца, дзе адбылася бітва ў 1302, Фландрыя–Францыя|Куртре
Месца, дзе адбылася бітва ў 1346, Англія–Францыя|Кресси
Месца, дзе адбылася бітва ў 1525, Нямеччына–Францыя|Павия
Месца, дзе адбылася бітва ў 1572, Рускія–Крымскія татары|Маладзі
Месца, дзе адбылася бітва ў 1649, Украінцы–Палякі|Зборов
Месца, дзе адбылася бітва ў 1796, Францыя–Аўстрыя|Арколе
Месца, дзе адбылася бітва ў 1805, Францыя–Аўстрыя|Ульм
Месца, дзе адбылася бітва ў 1866, Прусія–Аўстрыя|Садова
Месца, дзе адбылася бітва ў 390 г. да н. э. паміж Галамі–Рымлянамі|Аллия
Месца, дзе адбылася марская бітва ў 1770, Расія–Турцыя|Чесма
Месца, дзе адбылася марская бітва ў 1798, Англія–Францыя|Абукир
Месца, дзе адбылася марская бітва ў 1853, Расія–Турцыя|Синоп
Месца, дзе адбывалася бітва ў 1356, Англія–Францыя|Пуатье
Месца, дзе адбывалася бітва ў 1648, Францыя–Расія–Прусія|Мотцен
Месца, дзе адбывалася бітва ў 1652, Украінцы–Палякі|Батог
Месца, дзе адбывалася бітва ў 1702, Расія–Швецыя|Арэшак
Месца, дзе адбывалася бітва ў 1790, Расія–Турцыя|Ізмаіл
Месца, дзе адбывалася бітва ў 1792, Францыя–Аўстрыя|Жеман
Месца, дзе адбывалася бітва ў 1792, Францыя–Прусія|Вальми
Месца, дзе адбывалася бітва ў 1794, Францыя–Аўстрыя|Флерюс
Месца, дзе адбывалася бітва ў 1796, Францыя–Аўстрыя|Лоди
Месца, дзе адбывалася бітва ў 1798, Расія–Турцыя|Риволи
Месца, дзе адбывалася бітва ў 1805, Францыя–Расія–Аўстрыя|Аўстэрліц
Месца, дзе адбывалася бітва ў 1809, Францыя–Аўстрыя|Ваграм
Месца, дзе адбывалася бітва ў 1813, Францыя–Расія, Прусія|Бауцен
Месца, дзе адбывалася бітва ў 1870, Прусія–Францыя|Седан
Месца, дзе адбывалася бітва ў 1877. Расія–Турцыя|Карс
Месца, дзе адбывалася бітва ў 1905, Японія–Расія|Мукден
Месца, дзе адбывалася бітва ў 1917, 1-е ўжыванне танкаў|Камбре
Месца, дзе адбывалася бітва ў 1922, Расія, Грамадзянская вайна|Спасск
Месца, дзе адбывалася бітва ў 1941, Англія–Нямеччына–Італія|Аламейн
Месца, дзе адбывалася бітва ў 1941, Англія–Нямеччына, Італія|Тобрук
Месца, дзе адбывалася бітва ў 1941, Нямеччына–СССР|Вязьма
Месца, дзе адбывалася бітва ў 1943, СССР–Нямеччына|Курск
Месца, дзе адбывалася бітва ў 1944–1945, Нямеччына–ЗША, Англія|Арденны
Месца, дзе адбывалася бітва ў 216 да н. э., Карфаген–Рым|Каны
Месца, дзе адбывалася бітва ў 378, Вестготы–Рым|Адрианаполь
Месца, дзе адбывалася бітва ў 48 да н. э., Цэзар–Помпеи|Фарсал
Месца, дзе адбывалася марская бітва ў 1788, Расія–Турцыя|Очаков
Месца, дзе адбывалася марская бітва ў 1905, Японія–Расія|Цусима
Месца, дзе происходиля бітва ў 479 да н. э., Грэцыя–Персія|Платеи
Месца, дзе праходзяць навучанне будучыя святары?|семінарыя
Месца, дзе раскайвацца ўжо позна|пекла
Месца, дзе рака пераходзіць у моры|вусце
Месца, дзе хаваецца дзічына (устар.)|ремиз
Месца, дзе спакойна і добра, прыстанак (перен., паэт.)|улонне
Месца, дзе тоне нават дерьмо|клазет
Месца, дзе, паводле песні Френкеля, “вецер студзіць скронь”|поле
Месца, дзе гандлююць кнігамі пад голым небам|развал
Месца, якім паравоз “з'ядае” вугаль|топка
Месца, куды выкідваюць непатрэбнае|звалка
Месца, куды кахаюць соваць рукі|кішэнь
Месца, куды мог адвесці сталкер братоў Стругацких|зона
Месца, куды мы хадзілі з пятачком|мятро
Месца, куды не заехаць на чужым гарбу|рай
Месца, куды апусціў свайго Орфея амерыканскі драматург Теннесси Уільямс|пекла
Месца, куды руплівыя гаспадыні ставяць свой “фамільны” крышталь|горка
Месца, куды варта загнаць шарык у гольфе|лунка
Месца, на якое камуністы з задавальненнем адправілі б дэмакратыю|злом
Месца, пакінутае ад удару якой-небудзь часткай цела пра што-небудзь|удар
Месца, адкуль барон Мюнхгаўзен выцягваў сябе за касічку|балота
Месца, прастора, па якім ніхто не хадзіў і не ездзіў?|цаліна
Месца, з якога вядуць кіраванне боем|капе
Месца, з якога добра руліць (лодочн.)|кормы
Месца, злучанае з выпіўкай, памяншальнае ад гэтага слова злучана з закускай|карчма
Месца, адмыслова абсталяванае для выпрабавання аўтамабіляў, а такжедля аўтамабільных спаборніцтваў|аўтадром
Месца, кропка?|пункт
Месца, у якога свішчуць імгненні|скронь
Месца, у якое трэба патрапіць пры стральбе, кіданні|мэта
Месца, дзе ўшчыльную злучаюцца дзве крайнія часткі чаго-небудзь|стык
Месца, дзе знаходзяцца яйкі птушак, казурак, гадаў|мур
Месца, дзе насяляе звер|логава
Месца, дзе адпраўляюць натуральныя запатрабаванні|туалет
Месца, дзе праходзяць канспірацыйныя сустрэчы|яўка
Месца, дзе злучаны канцы вяровак, нітак|вузел
Месца, дзе сыходзяцца ці перасякаюцца два прадмета ці два бакі чаго-небудзь|кут
Месца, абароненае ад траплення прамых сонечных прамянёў|цень
Месца, куды ў рызыкоўных гульнях кладзецца стаўка|кон
Месца, куды выкідваюць што-небудзь|звалка
Месца, на якім у старажытнасці было размешчана неукрепленное паселішча|паселішча
Месца, на якім можна ўмацаваць што-небудзь для надання сталага, трывалага становішча|апора
Месца, на якім сядзяць падсудныя ў зале суда|лава
Месца, па якім адсечана, распілавана дрэва|водруб
Месца, прызначанае для чаго-небудзь|пункт
Месца, прапушчанае падчас узворвання|агрэх
Месца, адмыслова абсталяванае для стаянкі, пагрузкі, разгрузкі і рамонту судоў|порт
Месца, тэрыторыя як аб'ект сельскагаспадарчага выкарыстання ці як месца палявання|угоддзе
Месца, ухопленае і пратыкнутае зубамі|укус
Месцажыхарства вызначанага твару ці месцазнаходжанне ўстановы, прадпрыемствы і т. п.?|адрас
Месцажыхарства царскіх дочак, а таксама мышкі-норушки і жабы квакушки|церам
Займеннік (жонак. р.)|яна
Займеннік (ср. р.)|яно
Займеннік|ён
Займеннік|тыя
Месцазнаходжанне бузіны (погов.)|гарод
Месцазнаходжанне знакамітага парцалянавага заводу, заснаванага Т. Я. Кузняцовым|Дулево
Месцазнаходжанне прылад ранняга палеаліту ў г. Сухумі|яштух
Месцазнаходжанне, месцажыхарства|адрас
Месцапражыванне паэтаў і муз у Старажытнагрэцкай міфалогіі?|Парнас
Месцазнаходжанне душ грэшнікаў|пекла
Месцазнаходжанне чалавека да грэхападзення|эдэм
Радовішча пірагоў?|духоўка
Радовішча швэдраў|авечка
Месяц года; карціна І. Левітана|сакавік
Месяц года?|студзень
Месяц года?|травень
Месяц года?|жнівень
Месяц года?|люты
Месяц года?|сакавік
Месяц года?|красавік
Месяц года?|чэрвень
Месяц года?|ліпень
Месяц года?|верасень
Месяц года?|кастрычнік
Месяц года|лістапад
Месяц інш.-русск. календара|люты
Месяц старажытнарускага календара|сечень
Месяц з булгаковского рамана “Майстар і Маргарыта”|нисан
Месяц каляндарнага года, 31 дзень. Атрымаў назву па імі рымскага імператара?|жнівень
Месяц каляндарнага года|ліпень
Месяц каляндарнага года|травень
Месяц катоў і жаночага свята|сакавік
Месяц ландышаў|травень
Месяц месяцовага юдаісцкага календара (сэнт.-окт.)|тишрей
Месяц мусульманскага паста?|рамадан
Месяц па календары Французскай рэвалюцыі|брумер
Месяц па календары Французскай рэвалюцыі|вентоз
Месяц па календары Французскай рэвалюцыі|нивоз
Месяц па календары Французскай рэвалюцыі|фример
Месяц французскага рэспубліканскага календара?|тэрмідор
Месяц французскага рэвалюцыйнага календара|фример
Месяц, калі вы не зможаце адкрыць у аўтобусе акно, тое самае, якое не маглі зачыніць у снежні. Леанард Левинсон|жнівень
Месяц, услаўлены восьмым днём і катамі|сакавік
Кідаў. скрынка для стэрылізацыі перевязочн. матэрыялу|бікс
Кідаў. кольца на палі, шчогле; токапрымач трамвая|бугель
Кідаў. кольца на палі, шчогле|бугель
