Наіўны, дурны чалавек (жарг.)|лох
Намеснік правінцыі ў Старажытнай Персіі|сатрап
Намеснік правінцыі ў Старажытным Іране; дэспат|сатрап
Намеснік правінцыі ў Старажытным Іране|сатрап
Намеценая ветрам вялікая куча снега|гурба
Намецены віхурай гурба, які заступае шлях|намець
Намецены віхурай, ветрам гурба, што заступае шлях|намець
Намибийский народ|тва
Нанясенне на цела малюнка?|татуяванне
Наймальнік Доўбні|поп
Наносная града на дне мора|бар
Наносная паласа сушы, якая адлучае ад мора лагуну|бар
Наносная глеба, желтозем|лёс
Наос|целла
Напад – у шахматах, у ваеннай навуцы, у футболе|напад
Напад з мэтай рабавання|налёт
Напад з мэтай рабавання|разбой
Напарнік “задзірынкі” па прымаўцы|сучок
Напарнік Бракгаўза|Ефрон
Напевный характар выканання музыкі|арыёза
Напісаны тэкст, пасыланы для паведамлення каму-небудзь|ліст
Напоі атрымоўваныя з пладоў?|сокі
Напой Акіяніі|кава
Напой Алімпійскіх богаў|нектар
Напой неўміручасці ў індуізме|амрита
Напой богаў, які дае вечную юнацкасць (греч. міф.)|нектар
Напой для непітушчых|узвар
Напой з молатых зерняў (насення) кававага дрэва|кава
Напой з мякаці пладоў|сок
Напой з пальмы ў Інданэзіі|туак
Напой з пладоў шакаладнага дрэва|какава
Напой з рому і кіпеню з цукрам|грог
Напой з рому ці каньяку і гарачай вады з цукрам?|грог
Напой з рому з травой|пунш
Напой з рому, вскипяченного з цукрам, вадой, сокам|пунш
Напой з насення трапічнага дрэва|какава
Напой з сіропаў, сокаў, свежых пладоў і ягад|морс
Напой з сухафруктаў|узвар
Напой з фруктовых сіропаў, сокаў з дададзены. спиртн. нап.|санди
Напой з яйкаў, фруктовых сіропаў і малака|фліп
Напой з ячменнага соладу|піва
Напой ці месцы размяшчэння высакароднай сівізны – залежыць ад націску|віскі
Напой пад градусам|віно
Напой з вялікім колич. садавіны|коблер
Напой з пахмелля|расол
Напой з чарамі|зелле
Напой тыпу піва ва Ўгандзе, Бурундзі|аджон
Напой, абраны новым пакаленнем|пепсі
Напой, для падрыхтоўкі якога неабходзен міксер|коблер
Напой, пра які кажуць, што не бывае брыдкіх жанчын, проста яго мала|гарэлка
Напой, прыгатаваны з мякаці пладоў|сок
Напой, прыгатаваны са сквашанага малака вярблюдзіцы|шубат
Напой, які спрыяе выводзінам з мозгу “таксінаў стомленасці”|кава
Напой; прыток Волгі|сок
Напой; раман Ж. Амаду|какава
Напой; казка М. Салтыкова-Шчадрына|кісель
Напой|какава
Напой|кісель
Напой|малако
Напой|сок
Напішыце, калі ласка, два апошніх той шостай, якая дзейнічала ў межах адной шостай|камуністычная партыя
Наплечные рамяні, ранец, пояс?|рыштунак
Наплечный знак адрознення|аксельбант
Наплечный знак адрознення на формавай адзежы|пагон
Наплечный знак адрознення|пагон
Наплечный шнур у форме афіцэраў|аксельбант
Наплечный шнур на мундзірах некаторых ваенных чыноў|аксельбант
Наплечный шнур з металічным наканечнікам на ваенным мундзіры|аксельбант
Наплыў на ствалах, галінах і каранях дрэў|кап
Напалеон III у свой час замяніў залаты посуд у палацы Цюільры на... На якую?|алюмініевую
Напалеон пад пагрозай гільяціны забараніў падаваць яму стравы з гэтай птушкі|курыца
Напалеонаўскі маршал, “Роланд французскага войска”|Ланн
Напалеонаўскі маршал|Мортье
Напаўненне лёгкіх паветрам|удых
Напаўненне ямы для патройнага скачку|пясок
Напоўнены паветрам празрысты шарык у вадкасці|бурбалка
Напаўняльнік аэразольнага балончыка, разбуральны іёнасферу|фрэон
Напаўняльнік гурбы|снег
Напорны трубаправод на скрыжаванні вадаводам ракі, дарогі і т. п.|дзюкер
Напорны трубаправод, які майструецца на скрыжаванні ракі|дзюкер
Напорны трубаправод, што майструецца пры скрыжаванні вадаправодам ракі, канала, дарогі|дзюкер
Кірунак у дэкаратыўным і выяўленчым мастацтве канца 19-го і пачала 20-го стагоддзі|мадэрн
Кірунак у выяўленчым мастацтве пачатку ХХ стагоддзі, заснаванае Жоржем Шлюбам|кубізм
Кірунак у выяўленчым мастацтве|абстракцыянізм
Кірунак у мастацтве 20 у.?|сюррэалізм
Кірунак у мастацтве і архітэктуры, у якім знайшлі адлюстраванне ідэі велічы дзяржаўнай улады|ампір
Кірунак у мастацтве канца ХIХ–пачала ХХ ст.|мадэрн
Кірунак у мастацтве, супраць якога Н. Хрушчоў змагаўся бульдозерамі|авангардызм
Кірунак у мастацтве: адлюстраванне абстрактных выяў, а не физич. рэальнасці|абстракцыянізм
Кірунак у ісламе|шыізм
Кірунак у галіны навукі, мастацтвы|школа
Кірунак у стараверстве і сектанцтве|толк
Кірунак руху сонца|захад
Кірунак руху|курс
Кірунак да кропак бачнага гарызонту адносна краін святла|румб
Кірунак якой-небудзь палітычнай, грамадскай дзейнасці|курс
Кірунак каталіцкай філасофіі і тэалогіі, заснаванае Тамашам Аквінскім|тамізм
Кірунак лініі дарогі, трубаправода|траса
Кірунак моды, якое выкарыстоўвае матывы мінулых гадоў|рэтра
Кірунак на Меку, Каабу|кибла
Кірунак на мясцовасці, узятае па компасе ці інш. прыбору?|азімут
Кірунак на назіраны аб'ект у градусах (употр. на моры і ў авіяцыі)|пеленг
