Металическая адзежа старажытнага вайна|браня
Метад кампазіцыі на аснове адмовы ад танальнасці (муз.)|атональность
Метад лекавага ўздзеяння на хворага, які выклікае поўную ці частковую страту свядомасці, болевай адчувальнасці|знячуленне
Метад уяўнага вылучэння адных уласцівасцяў прадмета і адцягненні ад іншых|абстракцыя
Метад навуковага даследавання?|аналіз
Метад навуковага даследавання|сінтэз
Метад абязбольвання пры хірургічнай аперацыі|знячуленне
Метад выяўлення падводных аб'ектаў пры дапамозе адлюстраванай ультрагукавой хвалі|сонар
Метад псіхатэрапіі|аўтатрэнінг
Метад рэнтгеналагічнага даследавання крывяносных пасудзін|ангіяграфія
Метад рефлексотерапии, уздзеянне пальцамі на акт. кропкі|акупрессура
Метад збору першаснай інфармацыі са слоў удзельнікаў|апытанне
Метад збору першаснай інфармацыі?|апытанне
Метад збірання інфармацыі, які ўжываецца ў сацыяльных даследаваннях|апытанне
Метад злучэння дэталяў|зварка
Метад кіравання строгага, але шалапутнага начальніка|вокрык
Метад умацавання паверхні металічнай дэталі|наклёп
Метад, сістэма дзеянняў|спосаб
Метад, сукупнасць прыёмаў працы, дзейнасці, паводзін|стыль
Метады колькаснага вызначэння вады ў розных рэчывах|акваметрыя
Метр верша|пеон
Метраж, танаж, а на траіх заўсёды ...|литраж
Метрычная музычная адзінка|такт
Мятровая котка, якая гуляе сама па сабе па амерыканскіх лясах|ацэлот
Мех жывёлы з атрада грызуноў|бабёр
Мех маладой авечкі|баранка
Мех паўночнага аленя|пыжык
Механізаваны лук|арбалет
Механізм для кручэння свердзела|дрыль
Механізм для свідравання адтулін|дрыль
Механізм ці частка яго ў выглядзе спараных невялікіх валаў|валкі
Механізм агнястрэльнай зброі|засаўка
Механізм у розных прылад, машын, зброі|засаўка
Механізм, выкарыстоўваны для адпампоўкі вады са студняў|помпа
Механізм, службовец для перадачы кручэння паміж валамі, размешчанымі пад кутом адзін да аднаго|кардан
Механік 18 ст., вынайшаў аптычны прыцэл|Нартов
Механік цела і наладчык псіхікі|лекар
Механік, акадэмік|Макеев
Механич. вычислительн. машынка з ручн. прывадам|арыфмометр
Механічны Чалавек, які імітуе элементы руху і паводзін чалавека|робат
Механічны памагаты эксперыментатара?|прыбор
Механічнае злучэнне ў адно цэлае разнастайных ці аднастайных частак|агрэгат
Механічны супраціў, якое ўзнікае з пачаткам руху|трэнне
Механічная прылада для падачы гучных сігналаў|гудок
Механічная прылада, што здзяйсняе карысную працу з пераўтварэннем энергіі, матэрыялаў ці інфармацыі|машына
Футравая “адзежа” ў жывёл|шкура
Футравы абутак у народаў Поўначы і Сібіры|унты
Футравая адзежа жыхара поўначы|совик
Футравая сумачка з дзвюма адтулінамі, напрананая на рукі|муфта
Футравая жывёла|собаль
Футравы выраб, якое было ў руках у Людмілы Гурченко пры выкананні песенькі пра пяць мінуць у да/ф “Карнавальная ноч”|муфта
Футравы падатак з жыцця дореволюц. Расіі|ясак
Футравыя боты|пимы
Футравыя боты|унты
