Зладжанасць, узгодненасць дзеянняў|налаженность
Гадоўля і гаспадарчае выкарыстанне прыручанага паўночнага аленя|аленегадоўля
Стан змрочнасці, прыгнечанасці, прыгнечанасці|азмрочанасць
Пераход у катэгорыю прыслоўяў (пра словы, спалучэннях слоў)|онаречивание
Банкаўскі службовец, заняты выкананнем аперацый|операционист
Курильня опіуму|опиекурильня
Змена абалонак жывых раслінных клетак з прычыны адкладу ў іх тоўшчы суберина (коркі), што робіць іх непранікальнымі для вады і паветра|акаркавенне
Гаворка ці артыкул, у якой аспрэчваецца штосьці|аспрэчанне
Дзейнасць доследнікаў|доследніцтва
Вывучэнне і апісанне органаў раслін і жывёл|арганаграфія
Кніга, якая змяшчае апісанне органаў раслін ці жывёл|арганаграфія
Ступень асвятлення паверхні, прасторы|асветленасць
Наяўнасць абсталявання, неабходных тэхнічных сродкаў|абсталяванасць
Размякчэнне костак з прычыны страты імі вапнавых соляў|остеомаляция
Хваравітае ўшчыльненне косткі|остеосклероз
Стан ці пачуццё крайняй лютасці, апантанасці, разлютаванасці|азвярэнне
Здольнасць судна плаваць у прамым становішчы і выпроствацца пасля ладу|астойлівасць
Жыхар выспы|астраўлянін
Завостраны канец чаго-небудзь; лязо|остроконечие
Сродак для адбельвання|адбельнік
Зацвярдзелае, ушчыльненае месца; зацвярдзенне|зацвярдзеласць
Размяшчэнне, знаходжанне на далёкай адлегласці|аддаленасць
Скончанасць у аздабленні|отделанность
Стан адасобленага, адлучанага ад астатніх|адлучанасць
Адпачынак|адпачыванне
Стан адзіноты, адчужанасці, адсутнасць сувязі|адарванасць
Здольнасць святла, гукаў, радыёхваль і т. п. адлюстроўвацца|адбівальнасць
Нязлучанасць з атачальным|адрэзанасць
Забойства свайго бацькі|бацьказабойства
Вочнае люстэрка, пры дапамозе якога даследуецца вочнае дно|афтальмаскоп
Навуковая дысцыпліна, якая вывучае вядзенне паляўнічай гаспадаркі і спосабы палявання|паляўніцтвазнаўства
Прадстаўнік панавальнага класа ў рабаўладальніцкім грамадстве, што валодае ўсімі сродкамі вытворчасці і рабынямі|рабаўладальнік
Валоданне рабынямі|рабаўладанне
Гандаль рабынямі|рабагандаль
Прылада для выяўлення і вызначэнні месцазнаходжання аб'ектаў у прасторы па адлюстраваных ад іх радыёхвалям|радыёлакатар
Выяўленне і вызначэнне месцазнаходжання розных аб'ектаў у прасторы па адлюстраваных імі радыёхвалям|радыёлакацыя
Апаратура для перадачы і прыёму радыёсігналаў|радыёстанцыя
Ўстанова, якое здзяйсняе перадачу і прыём радыёсігналаў|радыёстанцыя
Тэлефонная сувязь, пры якой паведамленне перадаецца па радыё з адпаведным пераўтварэннем на прыёмным і перадавальным пунктах лініі сувязі|радыётэлефон
Лячэнне іянізавальнымі выпраменьваннямі|радыётэрапія
Галіна тэхнікі, што займаецца пытаннямі практычнага ўжывання электрамагнітных ваганняў высокай чашчыні|радыётэхніка
Навуковая дысцыпліна, якая вывучае электрамагнітныя ваганні высокай чашчыні|радыётэхніка
Абсталяванне (мясцовасці, памяшканні) радыётрансляцыйнымі вузламі, сеткай праваднога вяшчання ці радыёвяшчальнымі прымачамі|радыёфікацыя
Зводка, складзеная на падставе дадзеных выведкі|разведсводка
Месца, дзе разгаліноўваецца, разыходзіцца ў розныя бакі|разгалінаванне
Прылада для разграбання|разграбальнік
Прылада для разгрузкі|разгружатель
Асобнае, самастойнае існаванне|паасобнасць
Пакаранне, што ўжывалася да афіцэраў і службоўцам і якое складалася ў пазбаўленні іх ранейшага звання, чыну (у Расійскай дзяржаве да 1917 г.)|разжалаванне
Здольнасць рэчыва раскладацца, быць раскладзеным|раскладальнасць
Адсутнасць аднастайнасці|разнастайнасць
Наяўнасць непадобных, якія не паўтараюцца элементаў|разнастайнасць
Прыстасаванне для разрыхлення|разрыхляльнік
Месца, займанае вайсковым злучэннем|размяшчэнне
Парадак месцавання асобных частак па стаўленні адзін да аднаго; планоўка|размяшчэнне
Схільнасць, задаткі|размяшчэнне
Пастанова, загад|распараджэнне
Адсутнасць засяроджанасці, увагі, цікавасці навошта-або вызначанаму|безуважлівасць
Заняпад ці адсутнасць сіл, энергіі|паслабленне
Парушэнне ладу, адсутнасць складнасці; бязладнасць|засмучэнне
Няспраўны, дрэнны стан (дзеў, гаспадаркі і т. п.) з-за панесенай шкоды, парушэнні парадку ў чым-небудзь|засмучэнне
Захворванне, з прычыны якога перастае звычайна функцыянаваць орган|засмучэнне
Рэчыва, якое рашчыняе іншае рэчыва|растваральнік
Даўжыні, залішне вялізнае апавяданне|расцягненасць
Прыстасаванне, што выдаляе штыб ад рэжучага ланцуга врубовой машыны ці горнага камбайна падчас працы|расштыбоўшчык
Аднаўленне ў юрыдычных правах|рэабілітацыя
Аднаўленне працаздольнасці, дасяганае рознымі метадамі|рэабілітацыя
Паўторная вакцынацыя|рэвакцынацыя
Рэвалюцыйная ваенная рада, які ўяўляў сабою калегію Народнага камісарыята па ваенных і марскіх справах (у савецкай дзяржаве – з 1918 г. па 1934 г.)|рэўваенсавет
Працэс паступовага заціхання гуку ў замкнёнай прасторы пасля спынення дзеяння крыніцы гуку, абумоўлены шматразовымі адлюстраваннямі гукавых хваль|рэверберацыя
Токар, які працуе на рэвальверным станку|рэвальвершчык
Аддзел ва ўстанове, дзе вырабляецца рэгістрацыя|рэгістратура
Дзейнасць рэдактара|рэдактарства
Праверка ўсталяванай раней дзяржаўнай мяжы з аднаўленнем ці заменай памежных знакаў на мясцовасці|рэдэмаркацыя
Словаўтварэнне пасродкам падваення кораня, асновы ці цэлага слова (у лінгвістыцы)|рэдуплікацыя
Частка ўрада ў Нямеччыне да 1945 г.|рэйхсканцлер
Водгук, які змяшчае характарыстыку (звычайна спрыяльны)|рэкамендацыя
Рада, указанне, навучанне|рэкамендацыя
Апарат для рэктыфікацыі|рэктыфікатар
Паразітны хмызняк сямейства рэмнякветных, што расце ў трапічных краінах і на поўдні Расіі|рэменякветнік
Сямейства паразітных раслін (да якога ставяцца рэменякветнік, амела і т. п.)|рэмнякветныя
Дзейнасць рэпарцёра|рэпарцёрства
Прамежкавы пункт лініі сувязі, які вырабляе рэтрансляцыю|рэтранслятар
Прылада, нябеснае цела ці штучная электропроводящая асяроддзе, прызначаныя для рэтрансляцыі радыёсігналаў|рэтранслятар
Прыём сігналаў на прамежкавым пункце лініі сувязі з мэтай іх узмацнення і далейшай нескажанай перадачы|рэтрансляцыя
Прыбор для вызначэння каэфіцыента адлюстравання святла|рэфлектометр
Веравучэнне, што ўзнікла ў заходнім хрысціянстве ў сувязі з рэфармацыяй як пратэст супраць каталіцызму; адна з разнавіднасцяў пратэстанцтва|реформатство
Прыбор для вымярэння паказчыкаў пераламлення святла ў розных асяроддзях|рэфрактометр
Частка халадзільнай усталёўкі, дзе адбываецца выпарэнне вадкасці і адукацыя нізкай тэмпературы|рэфрыжэратар
Вагон, судна, аўтамабіль і т. п., абсталяваныя халадзільнымі машынамі, для перавозкі хуткапсавальных грузаў|рэфрыжэратар
Парода службовых сабак з доўгай чорнай поўсцю і з даўгаватай кудлатай пысай|ризеншнауцер
Аднаўленне ці выпраўленне формы носа метадамі пластычнай хірургіі|ринопластика
Чалец таемнага рэлігійна-містычнага грамадства, эмблемай якога былі ружа і крыж (у Нямеччыне, Галандыі і некаторых іншых краінах у ХVII–ХVIII стст.)|розенкрэйцар
Грубіянскі, лаянкавы выраз|лаянка
Жанчына, майстэрска якая займаецца самаробкай|майстрыха
Склад думак і дзеянняў русафіла|русафільства
Гарантыя, запэўненне, што забяспечваюць выкананне, спраўнасць ці пэўнасць|зарука
Камбінат па апрацоўцы рыбы|рыбакамбінат
Рыбныя прадукты|рыбапрадукты
Гандляр рыбай|рыбагандляр
Гандаль рыбай|рыбагандаль
Клас трапічных раслін, з якіх адны маюць выгляд пальмаў, іншыя нагадваюць дрэвападобную папараць; сагаўнікі|сагаўнікавыя
Ўладальнік саду (садоў)|садаўладальнік
Вытапливание сала|салотопление
Вострая кішачная інфекцыя, якая выклікаецца сальманеламі і што характарызуецца агульнай інтаксікацыяй, ліхаманкай, парушэннямі функцыі кішачніка і т. п.|сальманелёз
Выкліканне самому сабе|самаўнушэнне
Вечны рух і развіццё матэрыі, не якое ўзбуджаецца звонку, а ажыццяўлянае ў сілу ўласцівых ёй супярэчнасцяў, барацьбы супрацьлегласцяў (у філасофіі)|самарух
Неабмежаваная ўлада манарха|самадзяржаўе
Забыццё сваіх асабістых інтарэсаў у імя чаго-небудзь; самаахвяраванне, самаадрачэнне|самазабыццё
Крайняя ступень захопленасці, натхненні|самазабыццё
Прынясенне сябе ў ахвяру; самаахвяраванне|самозаклание
Незаконнае, самавольнае прысваенне чужога імя, званні|самазванства
Кантроль над самім сабой, сваімі паводзінамі, станам, сваёй працай|самакантроль
Імя, якім народнасць заве сябе сама|саманазва
Любоў самога сябе, каханне да самога сябе|самалюбаванне
Самастойнае навучанне|саманавучанне
Натуральнае ачышчэнне вады ці глебы ў выніку розных біяхімічных працэсаў|самаачышчэнне
Пачуццё, испытываемое чалавекам у залежнасці ад яго фізічнага ці маральнага стану; самаадчуванне|самаадчуванне
Ўласнае ўспрыманне, адчуванне|самаадчуванне
Спазнанне самога сябе, уласнай сутнасці|самапазнанне
Праверка самога сябе, уласных сіл, сваёй працы, сваіх ведаў|самаправерка
Разумовае ці фізічнае развіццё чалавека шляхам самастойных заняткаў, практыкаванняў|самаразвіццё
Развіццё ўласнымі сіламі, без садзейнічання вонкавых сіл|самаразвіццё
Поўнае разуменне сваёй сутнасці, самога сябе, сваёй ролі ў жыцці, у грамадстве|самасвядомасць
Наўмыснае пазбаўленне сябе жыцця|самагубства
Павага да самога сябе, да ўласнай асобы|самапавага
Прымяншэнне сваёй асобы, уласных добрых якасцяў, заслуг|самапрыніжэнне
Зневажэнне самога сябе, прымяншэнне ўласных добрых якасцяў|самаўніжэнне
Суцяшэнне самога сябе|самасуцяшэнне
Здольнасць рухацца на ўласнай цязе|самоходность
Агульны фізічны і маральны стан чалавека|самаадчуванне
Чалец санітарнай лютвы|сандружыннік
Адмысловец у вобласці санскрыту|санскрытолаг
Прылада, прыстасаванне для скідання|скідальнік
Гадоўля, гадоўля цукровага бурака|буракасеянне
Ўборка бурака|буракаўборка
Прыбытак, значна праўзыходная сярэднюю норму|звышпрыбытак
Моцная асоба, чые воля, жаданні і ўчынкі не падпарадкоўваюцца ніякім абмежаванням|звышчалавек
Выбітны, вялікі чалавек|звышчалавек
Ужыванне светлавых прамянёў, святла – сонечнага ці ад штучных крыніц – з лячэбнай мэтай|святлолячэнне
Вобласць тэхнікі, навуковая дысцыпліна, што вывучае спосабы атрымання і ўжыванні святла|святлатэхніка
