Араб-жывёлагадовец|бедуін
Арм. пісьменнік|Аладжанжян
Арм. пісьменнік|Ананян
Арм. пісьменнік|Арази
Арм. пісьменнік|Бакунц
Арм. пісьменнік|Севунц
Арм. паэт|Граши
Арм. паэт|Зарьян
Арм. паэт|Эмин
Арм. сяло, дзе нах-ся сярэднявечны манастыр|ахпат
Арм. суп, кожную порцыю кот. рыхтуюць у глін. збанку|пити
Арм. вуд. муз. прылада|дхол
Арм. ударн. муз. прылада|доол
Арм. харавы дырыжор|Алтунян
Арм. мастак|Сарьян
Армайн – индонез. пісьменнік|Пане
Армейская біблія|статут
Арменія (горад)|Гюмри
Арменія (горад)|Спитак
Войска здрадніка Ўласава|РОА
Войска|войска
Армян. кон. нац. гульня, стральба з лука на скаку|кабахи
Армяне – гань, грузіны – картвели, асяціны – ...|ирон
Армянск. дух. муз прылада|блул
Армянская гадзюка|радде
Армянская дынастыя|Арташесид
Армянская дынастыя|Арцрунид
Армянская дынастыя|Аршакид
Армянская саладосць, вінаградны дошаб з арэхамі і рэзкімі затаўкамі|шпот
Армянскія шашкі|тама
Армянскі бубен|даф
Армянскі контрреволюционер 19 ст.|Дашнак
Армянскі прыгонны|аназат
Армянская музычная прылада, род акарыны|пепук
Армянская музычная прылада, род флейты|тутак
Армянская нацыянальная агароднінная салата|ашук
Армянскі пісьменнік, заснавальнік новай армянскай літаратуры (1809–48)|Абовян
Армянскі пісьменнік|Раффи
Армянскі пісьменнік|Сирас
Армянскі публіцыст, частка армянскіх асветнікаў (1812–79)?|Назарян
Армянскі савецкі паэт і літаратуразнавец|Севак
Армянскі гатунак вінаграда|арарати
Армянскі суп з клёцкамі|кюфта
Армянскі які памірае і што ўваскрасае бог Ара Выдатны даў, па адданні, сваё імя раўніне. Які?|Арарацкай
Армянскі філолаг (1865–1944)|Абегян
Армянскі хлеб у выглядзе вялікай пшанічнай аладкі|лаваш
Армянскі цар|Ашот
Армянская страва з адыходаў ад забою скаціны – ног і рубцоў|хаш
Армянскі ласунак з вінаграднага сусла і рэзкіх затавак|шароц
Армянскае мужчынскае імя|Акоп
Армянская нацыянальная страва|бозбаш
Армянскае сыроподобное выраб з сумесі малочных прадуктаў|ховкул
Арнольд, Швейцарскі драматург, вочны лекар|Отт
Водар благога толку|смурод
Водар, духмянасць|пах
Ароматич. драўняная смала, использ. у мёд. і абрадавых мэтах|міро
Ароматич. смала, якой абкурваюць пры царкоўных абрадах|ладан
Ароматич. смала, якой абкурваюць пры царкоўных абрадах|фіміям
Ароматич. смала, якая ўжываецца пры набажэнстве|ладан
Ароматич. смала; трагедыя Альфьери|міро
Ароматич. смала|міро
Араматычны дадатак у тытунь|швара
Араматычная вадкасць|духі
Араматычная падушачка з цвёрдымі духмянымі рэчывамі|сашы
Араматычная смала з кары некаторых трапічных дрэў|міро
Араматычная смала, якая выдаткоўваецца некаторымі раслінамі|ладан
Араматычная смала, што ўжываецца для курэння пры набажэнстве|ладан
Араматычны кандэнсаваны вуглевадарод|антрацэн
Араматычны вуглевадарод|стырол
Араматычнае рэчыва, выкарыстоўванае ў царкоўных абрадах|ялей
Араматычнае арганічнае злучэнне, бясколерная атрутная вадкасць; ужываецца пры вырабе фарбавальнікаў|анілін
Духмяны напой да “салодкай парачкі”?|чай
Аркавы праём у зборы ці ў сцяне|люнет
Аркавы праём у зборы ці сцяне, абмежаваны знізу гарызанталлю|люнет
Аркавы праём у зборы, сцэне|люнет
Армянскае імя|Ашот
Артылерыйская гармата ў 16–18 павеках|гармата
Артылерыйская гармата і городошная постаць|гармата
Артылерыйская гармата, “сталінскі орган”|кацюша
Артылерыйская зброя (калібрам ад 100 мм і вышэй)?|гаўбіца
Артыст – выканавец пантамімы|мім
Артыст В. Золотухин як выхадзец роднага краю|алтаец
Артыст і рэжысёр савецкай эстрады|Брунов
Артыст цырка, нар. артыст СССР|Эдер
Артыст цырка|акрабат
Артыст, выступоўца з мастацкай дэкламацыяй|чытальнік
Артыст, выканаўца вядучыя партыі|саліст
Артыст, выканаўца ролі ў тэатральных спектаклях, у кіно|акцёр
Артыст, выканаўца сола|саліст
Артыст, здольны жэстамі паказаць, што ён пра вас думае|мім
Артыст, які згуляў адну з роляў у тэлесерыяле “Следства вядуць знаўцы”|Носік
Артыст, танцоўнік, выступоўца без удзелу іншых|саліст
Артыст-індывідуаліст|саліст
Артыстка, што дэкламуе вершы|дэкламатарка
Артюр, які перавярнуў паэзію Палі Верлена ў фільме “Поўнае зацьменне”|Рембо
Арфа ганарыстасці|ліслівасць
Арфістка, нар. артыстка СССР|Дулова
Арх. аблом, які складаецца з увагнутай і выпуклай дуг|гусек
Арх. аформленая частка будынка|партэр
Арх. перакрыцце, полукупол|конха
Архітэктар, ансамбль Біржы ў Пецярбургу (1805–10)|Томон
Архаич. бажаство ў міф. шэрагу народаў Передн. Азіі|Ишхара
Архаічны тып жылля ў Турцыі; дацкі біяхімік|дам
Архаічны тып жылля ў Турцыі|дам
Арханёл, які нясе дапамога, вылячэнне|Рафаіл
Архангельскі ці яраслаўскі пірог|сочень
Археозой, найстаражытныя адклады докембрия|архей
Археол. культура неаліту (Грэцыя)|сескло
Археол. культура палеаліту (Ц. і Ю. Амерыка)|кловис
Археолаг. культура позняга неаліту ў Грэцыі|димини
Археологич. культура железн. стагоддзі ў Цэнтр. Афрыцы|нак
Археологич. культура позняга бронзавага веку|ноа
Археалагічная культура ў Перу|чавин
Археалагічная культура, Індыя|сран
