Вандроўны студэнт ці клірык|вагант
Буянства, скандал з шумам і бойкай|дэбош
Літара (устар.) (агульнае)|літара
Літара Морзэ|працяжнік
Літара ангельскага алфавіту|эм
Літара ў дорев. рускім алфавіце, выключаная з яго арфаграфічнай рэформай 1917–1918 г.|ять
Літара греч. алфавіту; зорка созв. Ліры і Юж. Крыжа|альфа
Літара греч. алфавіту; зорка созв. Цэнтаўра|бэта
Літара греч. алфавіту; марка швейц. гадзін|амега
Літара греч. алфавіту|альфа
Літара греч. алфавіту|бэта
Літара греч. алфавіту|гама
Літара греч. алфавіту|зэта
Літара греч. алфавіту|лямбда
Літара греч. алфавіту|сігма
Літара греч. алфавіту|тэта
Літара греч. алфавіту|тэта
Літара грэцкага алфавіту|дэльта
Літара грэцкага алфавіту|дзэта
Літара грэцкага алфавіту|иота
Літара грэцкага алфавіту|каппа
Літара грэцкага алфавіту|ксі
Літара грэцкага алфавіту|ламбда
Літара грэцкага алфавіту|мю
Літара грэцкага алфавіту|ню
Літара грэцкага алфавіту|пі
Літара грэцкага алфавіту|пси
Літара грэцкага алфавіту|ро
Літара грэцкага алфавіту|тэта
Літара грэцкага алфавіту|фі
Літара грэцкага алфавіту|гэта
Літара дарэвалюцыйнага рускага алфавіту|а
Літара дарэвалюцыйнага рускага алфавіту|іжыца
Літара старажытнай кірыліцы|што
Літара старажытнарускай кірыліцы|рцы
Літара старажытнарускай кірыліцы|ша
Літара кірыліцы; прыток Аракса|ведзі
Літара кірыліцы|букі
Літара кірыліцы|ведзі
Літара кірыліцы|дабро
Літара кірыліцы|ёсць
Літара кірыліцы|зело
Літара кірыліцы|како
Літара кірыліцы|ён
Літара кірыліцы|ад
Літара кірыліцы|цвёрда
Літара кірыліцы|ферт
Літара кірыліцы|фіта
Літара кірыліцы|хер
Літара кірыліцы|ять
Літара лацінскага алфавіту, выкарыстоўваная для пазначэння зменнай|ігрэк
Літара лацінскага алфавіту|зэт
Літара славянскай азбукі|ер
Літара славянскай азбукі|што
Літара славянскай азбукі|іжыца
Літара славянскай азбукі|слова
Літара старога рус. алфавіту|іжыца
Літара стараславянскага алфавіту|а
Літара ліку|лічба
Літара, часта якая пазначае неизв. велічыню ў матэматыку|ікс
Літаральна “ціха” па-італьянску (музычнае)|адажыа
Літаральна – матэрыяльнае французскае імя|батыст
Літаральны пераклад з грэцкага слова “галера”?|катарга
Буквен. пазначэнне 1-го рада. легк. аўтамабіля|намі
Літарнае, лічбавае і т. п. пазначэнне ў сістэме якой-небудзь класіфікацыі|індэкс
Буквострой|алфавіт
Літары кірылічнага алфавіту (юс вялікай і юс малы)|юс
Букет, з якім не сустракаюць, а выпраўляюць|вянок
Букет, сплецены ў кольца|вянок
Букле, каверкот, кісяя (агульнае)|тканіна
Буксір наадварот|штурхач
Буксірнае судна|туер
Якая буксіруецца суднам (траўлерам) конусападобная сетка для лоўлі рыбы|трал
Што буксіруецца спорт. плыт|акваплан
Буксунда, п. прыток Колымы|Сугой
Булат як ён ёсць|сталь
Булгаковский герой|Воланд
Булочная рэзкая затаўка|аніс
Булочная рэзкая затаўка|карыца
Булачнік|пекар
Булычев-старэйшы|Ягор
Булён для халадніку|квас
Булён па-чарадзейску|зелле
Булён, выкипяченный да гушчыні|гляс
Бум наадварот|спад
Папера замест грошай|лялька
Папера для капіявання чарцяжоў|лазурак
Папера для кульмана|ватман
Папера, якая дае права на арышт ці на паляпшэнне жыллёвых умоў|ордар
Папера, канверт з лістом|пакет
Папяровая вопрошательница|анкета
Папяровая стужка для пакрыцця сцен у жылым пакоі|шпалеры
Папяровая, ізаляцыйная, магнітная|стужка
Папернік на моладзевым слэнгу|лапата
Папяровыя грошы (строга кажучы, выпушчаныя ў Расіі з 1769 па 1849 г.)|асігнацыі
Папяровыя грошы падчас Вялікай Французскай Рэвалюцыі ў канцы 19 ст. (ед. ч.)|ассигната
Папяровыя адыходы, якія ідуць на перапрацоўку|макулатура
Папяровы кружочак з невялікай колькасцю выбуховага рэчыва для цацачных пісталетаў|пистон
Папяровы мяшок для прадуктаў, скрутак|пакет
Папяровы патрон папяросы, набіты тытунем|гільза
Папяровы пенсион|архіў
Папяровы памер|фармат
Папяровы скрутак з чым-небудзь|пакет
Папяровы снарад, начынены порахам|петарда
Бунін, Шышкін, Крамской|Іван
Бунт на караблі|мяцеж
Свідар для даследаванняў глыбокіх пластоў глебы|зонд
Бурая ці жоўтая гліна з даволі значным утрыманнем вады і аксіду жалеза. Раней выкарыстоўвалі як лекі “tеrrа sigillаtа”|болюс
Бурая плёнка на балотнай вадзе|іржа
Бурж. партыя ў Казахстане 1917–20 гг.|алаш
Буржуазная з'ява ў рускай лёгкай музыцы|джаз
Буржуйскі “гуз”|ананас
Бурковая конь|сявец
Бурлацкая песня|стогн
Бурная непагадзь з дажджом, громам і маланкамі|навальніца
Бурныя працяглыя апладысменты|авацыя
Бурны грязекаменный струмень|сель
Свідра-жоўтая фарба для жывапісу|сіена
Свідравая прылада|долата
Бурскі, мова Афрыкі|афрыкаанс
Бураксу, народ Афрыкі (адказ у мн. ч.)|африканеры
Буры ці зялёны турмалін, ограночный камень|дравит
Буры капуцын|фаўн
Буры мядзведзь, які насяляе на поўначы паўночнаамерыканскага кантынента|грызлі
