Беларускі мастак|Цвирко
Бельгія, порт (горад у Еўропе)|Брюгге
Бельгія, порт (горад у Еўропе)|Гент
Бельгія, правінцыя|Эннае
Бялізнавая прышчэпка па сваёй сутнасці|заціск
Бялізнавая баваўняная тканіна|зефір
Бемоль угару|дыез
Бенгальскі фікус, чыя крона так разгалістая, што ў яе цені можа змясцуецца вёсачка|баньян
Бензін для каня|авёс
Бензаплотніцкая прылада|піла
Бенуа Бафіс, срэбны прызёр Францыі сярод юніёраў, – адзіны француз, які займаецца гэтым камандным выглядам спорту. Што ж гэта за выгляд спорту?|сінхроннае плаванне
Берберская духавая музычная прылада|раіта
Бераг, зручны для купання і сонечных ваннаў|пляж
Берагавая вайсковая частка, прызначаная для прыёму, месцаванні, забеспячэнні і абслугоўвання якое прыбывае папаўнення|экіпаж
Берагавая апора моста|аснова
Берагавое збудаванне, мноствам якіх Галандыя ратуецца ад надыходзячага мора|дамба
Берагавы вецер (што змяняецца)|брыз
Берагавы ўступ|кліф
Берагавыя крайнія апоры моста|асновы
Ашчадны чалавек|эканом
Ашчадны, гаспадарчы чалавек (састарэўшы.)|эканом
Бярозавая губка, труць|чага
Бярозавы лес|гай
Бяроста па сваёй сутнасці|кара
Бяроставы кораб|кузаў
Берасцяны заплечны клунак селяніна-хадака|трошня
Берасцяны посуд у выглядзе вядзерца|туес
устар. Берасцяны кораб з вечкам|бурак
Берасцяны|кораб
Бяры ... , пайшлі дахаты (песень.)|шынель
Бярлінск. скульптар і медальер 18–19 стст., вучань І. Шцірле|Яхтман
Бярлог|нара
Бярнард ... – ангел. фізіёлаг|Кац
Бертольд Брехт па нацыянальнасці|немец
Гутарка двух людзей|дыялог
Гутарка паміж дзвюма ці некалькімі людзьмі|дыялог
Гутарка з прыхільнасцю|допыт
Гутарка?|гутарка
Бескілявая птушка|казуар
Бескілявая птушка|ківі
Бясконцая тэлевізійная “мыльная опера”|серыял
Бясконцы спарадкаваны набор лікаў|паслядоўнасць
Бескарыслівая “служка” Мельпомены?|тэатрал
Бяскрылая муха|браула
Бяскрылая птушка Новай Зянландіі|ківі
Бяспалубная шлюпка|гіг
Беспілотны лятальны апарат з рэактыўным рухавіком|ракета
Бясплатнае прыкладанне да часопіса ці газеце (спец.)|прэмія
Бясплатнае казачнае лясное таксі|воўк
Бесхрыбтовая жывёла тыпу ігласкурых|афіура
Бесхрыбтовая жывёла|губка
Бесхрыбтовая марская жывёла з празрыстым халадцападобным целам, па краях забяспечаным шчупальцамі|медуза
Клапатлівая, цяжкая справа для нашага ўрада аказваць увагу свайму народу|клопат
Турбота, клапатлівая, цяжкая справа|клопат
Якая турбуе суседзяў частка другой назвы хатняга піяніна|фортэ
Бескарысныя ці шкодныя для арганізма прадукты абмену рэчываў (перен.)|дзындра
Бясполае размнажэнне арганізма (дзяленне, адлучэнне)|агамагонія
Бясполае размнажэнне|апаміксіс
Бездапаможна якая павісла канечнасць|пуга
Бездапаможны турэцкі вулкан|Арарат
Бязладзіца, блытаніна|ералаш
Бязладзіца, шум, мітусня (переносн.)|садом
Бязладны натоўп|чарада
Бязладны, неарганізаваны натоўп|арда
Бязладнае хваляванне на моры|сулой
Бязладная і шумная скупнасць людзей|чарада
Бязладнае нагрувашчванне гукаў?|какафонія
Бязладныя гукавыя ваганні|шум
Бяспраўны спартанец?|ілот
Бязмежная колькасць|процьма
Беспутевочный адпачывальнік|дзікун
Бесталковы чалавек, п'яніца (устар.)|ярыга
Нямоглая знямога душы ад адсутнасці жыццёва галоўнага|нуда
Бязмоўнае “ды”|кіў
Бязмоўнасць|немата
Нязменны на працягу доўгіх гадоў галоўны рэжысёр Маскоўскага тэатра сатыры|Плучек
Нязменны кіраўнік Кубы на працягу вось ужо сарока гадоў|Кастро
Несмяротны “страшылка” рускіх казак|кашчэй
Бяссэнсіца, недарэчнасць, нонсэнс|абракадабра
Бяззлучнікавасць, стылістыч. постаць, заключ. у апушчэнні звязаў|асиндетон
Бясспрэчная, не патрабавальная доказаў праўда|аксіёма
Бяссцёкавая западзіна ў Каракумах|Акчакая
Бяссцёкавае плыткае салёнае возера ў Танзаніі|Руква
Бяссцёкавае возера ў Казахстане|Балхаш
Бяссцёкавае возера ў Цэнтральнай Азіі|Лобнор
Бяссцёкавае салёнае возера на паўночным захадзе Казахстана|Индер
Бесталковы, грубіянскі і неотесанный лайдак|балбес
Бэстсэлер аднаго дня|газета
Бястужаў-Марлинский лічыў гэта думкай, пераходзячай у справу. Што ж гэта за псіхалагічны тэрмін?|воля
Бясформавасць, расплывістасць|аморфнасць
Бясформавы, расплывісты, бесхарактарны|аморфны
Бясхвостае земнаводнае сямейства жаб|ага
Бясхвостае земнаводнае, жарлянка|ука
Бясхвостае земнаводнае|жаба
Бясхвостае земнаводнае|квакша
Бесцв. вадкасць, якая ўтвараецца з плазмы крыві і забяспечвальная ў арганізме абмен рэчываў паміж крывёй і тканінамі|лімфа
Бясколерная гаручая вадкасць, растваральнік|ацэтон
Бясколерная гаручая вадкасць, прадукт перапрацоўкі нафты|бензін
Бясколерная гаручая вадкасць?|ацэтон
Бясколерная вадкасць у арганізме чалавека|лімфа
Бясколерная вадкасць у целе чалавека і хрыбетных жывёл, якая ўтвараецца з плазмы і што запаўняе міжклеткавае прасторы|лімфа
Бясколерная вадкасць, якая ўжываецца ў вытворчасці фарбавальнікаў, фармацэўтычных прэпаратаў, выбуховых рэчываў|анілін
Бясколерная вадкасць, ужываецца як растваральнік і для сінтэзу шматлікіх арганічных рэчываў|ацэтон
Бясколерная вадкасць, што выдаткоўваецца ў паражніны рота чалавека і жывёл|сліна
Бясколерная лятучая вадкасць з характэрным рэзкім пахам|эфір
Бясколерны водянопрозрачный апал|гиалит
Бясколерны газ са з'едлівым пахам|аміяк
Бясколерны газ з вострым пахам, ужываецца ў хімічным сінтэзе|цыян
Бясколерны газ з рэзкім пахам, выкарыстоўваны для абеззаражання вады і паветра|азон
Бясколерны газ з рэзкім пахам, які ўтвараецца пры гніенні арганічных рэчываў|аміяк
Бясколерны газ з рэзкім непрыемным пахам|аміяк
Бясколерны газ, што ўжываецца пры зварцы металаў|ацэтылен
Бясколерны газ|метан
Бясколерны рутил, выкарыстоўваны для імітацыі дыямента|астрил
Бясколерны атрутны газ з пахам горкага міндаля, злучэнне вугляроду з азотам|цыян
Ганьба, ганебнае, зневажальнае становішча|ганьба
Нячулы аб'ект глыбокай пашаны|ідал
Бесщитковое рыбообразное выкапнёвы хрыбетнік|анаспид
Бэта Пярсея|Алголь
Бетонная ці металлич. адкрытая знізу камера для прац пад вадой ці ў водонасыщенном грунце|кесон
Бетоннае ўмацаванне, хованка|дот
Бетонны абаронца сакрэтных аб'ектаў|плот
Бетонны ці драўляны брус, папярочная апора для рэек|шпала
Шалёная, якая патрапіла ў “Капкан для Шалёнай”|Дар'я
Біёграф Байрана|Полидори
Біёлаг, што прызнае наяўнасць у жывым арганізме душы|віталіст
Биологич. каталізатар|фермент
Біялагічнае сужыццё|сімбіёз
Біржаў. гандляр, одноврем. які купляе і продающ. кантракты|спредер
Біржавая ўгода па фіксаванай пры зняволенні кошту з выкананнем (напр., пастаўкай тавара, валюты) праз абумоўлены час|ф'ючэрс
Біржавы пасроднік|джоббер
Библ. вайскавод, які страціў галаву ад Юдифи|Олоферн
Біблейскі Самсон для прыгажуні Далілы|палюбоўнік
Біблейскі горад у Палестыне|Иерихон
Біблейскі дэман|асмодей
Біблейскі персанаж|Валтасар
Біблейскі цар Саламон|Сулейман
Біблейская гуманітарная дапамога|манна
Біблейская зямля|Ханаан
Біблейская кніга з “Новага запавету”|апакаліпсіс
Біблейская прарочыца і суддзя|Дебора
Біблейская смала|смирна
Біблейскі Янка|Іяан
Біблейскі Іосіф у мусульман|Юсуф
Біблейскі брат Исава|Якаў
Біблейскі волат-філістымлянін, пераможаны Давыдам|Галіяф
Біблейскі вяшчун, так што лупіў сваю асліцу, што яна, урэшце, загаварыла|Валаам
Біблейскі вылюдак|ірад
Біблейскі герой, “злучаны” з раманам “Да ўсходу ад рая” амерыканскага пісьменніка Джона Стейнбека|Каін
Біблейскі горад, знак распусты|Садом
