Афрыканская мова?|идома
Байка І. А. Крылова|квартэт
Барабан з падоўжаным корпусам|тамбурын
Барановы інтэрнат|аўчарнік
Панская звычка|замашка
Баржа з простымі прямоуг. абводамі для перагрузачных прац на рэйдзе, апор наплаўных мастоў|плашкоўт
Баржа для пагрузкі і разгрузкі судоў на рэйдзе і інш.|шаланда
Барма на Русі|оплечье
Бартарны абмен паміж арганізмам і атмасферай|дыханне
Выхваляка, хвалько|фанфарон
Матылёк сямейства ветразнікаў|апалон
Матылёк, шкоднік агрэста|агнёўка
Матылёк|пядзенік
Матылёк|чубатка
Бабнік|жанчыналюб
Бак з герметычным вечкам для перавозкі і захоўванні вадкасцяў|каністра
Бакінскі камісар|Азизбеков
Бакінскі камісар|Багданаў
Бакінскі камісар|Корганов
Бакінскі камісар|Полухин
Бакінскі камісар|Солнцев
Бактэрыяльны таксін, які захаваў антыгенныя ўласцівасці|анатаксін
Бактэрыі ў форме палачкі, што ўтвараюць спрэчкі|бацылы
Бактэрыя, якая мае выгнутую ў выглядзе коскі форму|вібрыён
Бактэрыя, што мае форму двух побач ляжалых шарыкаў|дыплакок
Бактэрыя, якая мае форму палачкі|бацыла
Чмут, гарэза|шалапут
Балет А. Глазунова|Раймонда
Балет Хачатуряна|Спартак
Балет украінскага кампазітара Д. Клебанова|буслянё
Балет М. Кажлаева|гаранка
Балет, у якім у ролі балярыны выступае конь|аб'езджванне
Балетмайстар, народная артыстка|Усцінава
Бэлька для падвешвання грузаў у грузозахватных прыстасаваннях|траверсу
Бэлька на дне судна|флор
Бэлька, ферма, цвёрда замацаваная адным канцом (іншы канец вольны)|кансоль
Бальнеялагічны курорт у Тульскай вобласці|Краинка
Бальная сукенка ў вершы Кантон Ляпіса-Трубяцкога з “Дванаццаці крэслаў” І. Ильфа і Е. Пятрова|пеньюар
Бальны танец, папулярны ў Еўропе ў ХIХ ст.|кадрыля
Бальны танец|алеманда
Бальны танец|босанова
Бальны танец|квикстеп
Бальны танец|мэдысан
Бальны танец|регтайм
Бальны танец|уанстеп
Бамбукавы|сцябло
Бандыт, рабаўнік|налётчык
Бандыт, злачынец, налётчык|гангстар
Банкаўская аперацыя, пры якой банк па даручэнні кліента атрымлівае належныя кліенту сумы на падставе разліковых дакументаў|інкаса
Банкаўскі квіток|банкнот
Слоікі, акцыянерныя грамадствы, якія валодаюць кантрольным пакетам акцый самастойных банкаў ці фірмаў з мэтай кантролю за іх аперацыямі|холдынг
Батарэя, але не артылерыя|радыятар
Вежавыя ці вялікія пакаёвыя гадзіны з музыкай|куранты
Башк. пісьменнік|Тагіраў
Чаравічак на мяккай падэшве для самых маленькіх дзяцей|пінетка
Чаравічкі|пінеткі
Вежападобная частка драўлянага жылога палаца ХII–ХVII стст.|повалуша
Вежа – ахаладжальнік вады на промышл. прадпрыемствах|градзірня
Вежа Моск. Крамля|набатная
Вежа Маскоўскага Крамля ХVI ст.|Кутафья
Вежа Маскоўскага Крамля|Царская
Вежа пры мячэці|мінарэт
Бяссілле, апатыя|слабасць
Сухацвет, травяністая расліна|сухацвет
Нязменны кіроўны Квна|Масляков
Бессэнсоўны, недарэчны ўчынак, годны памяшанага, дзівакаватага чалавека|юродства
Бяссцёкавае салёнае возера ў Казахстане|калибек
Бяссцёкавае плыткае салёнае возера на Поўдні Аўстраліі|Торренс
Незлічоная водная жыўнасць|планктон
Гутарка ў выглядзе адказаў на пытанні журналіста (інтэрв'юера)|інтэрв'ю
Гутарка палітычнага, грамадскага ці якога-небудзь дзеяча з прадстаўніком друку, радыё ці тэлебачанні|інтэрв'ю
Гутарка, дыялог|гутарка
Альтанка ці лёгкая пабудова ў садзе, парку|павільён
Бесхарактарны, бязвольны, нікчэмны чалавек|слімак
Бясхвостае земнаводнае з доўгімі заднімі нагамі, прыстасаванымі для прыгания|жаба
Няхітрасць|прастата
Бескарыслівы клопат пра выгоду іншых|альтруізм
Беспардонная адвага|дзёрзкасць
Бязладзіца, блытаніна, мітусня|вэрхал
Бязладная летаніна, клапатлівая паспешлівасць у дзеяннях|мітусня
Бесхрыбтовая ракападобная жывёла, аб'ект здабычы|крэветка
Бесхрыбтовая жывёла падкласа вышэйшых ракападобных|бокоплав
Бесхрыбтовая марская жывёла|малюск
Бесхрыбтовае, мяккім целам жывёльнае, звычайна пакрытае ракавінай|малюск
местн. Турбота, клопаты|колгота
Бесполозные санкі ў індзейцаў Канады|тобогган
Няспынна парушаў УК РСФСР, а менавіта артыкул 162-ю, якая тлумачыць пытанні выкрадання чужой маёмасці (крадзеж)|Мікалаеў
Бясплодны погляд у будучыню|скепсіс
Бясплодны гібрыд ад скрыжавання каня з зебрай|зеброід
Бесцялесная выява камунізму, што блукаў па Еўропе (па К. Марксу)|здань
Бязмэтна блукаць, хістацца па вуліцах (грубіянскі., разг.) (адказ – дзеяслоў)|швэндацца
Бесцвет. крышталі з камфорным пахам|адамантан
Бясколерная вадкасць з непрыемным пахам, якая змяшчаецца ў смолах|пиридин
Бясколерная шарападобная клетка крыві|лейкацыт
Бясколернае золата|энергія
Нялюдскі ўчынак, жорсткасць|зверства
Берагавы знак суднаходнага становішча|семафор
Ашчаднасць пры выдаткоўванні чаго-небудзь|эканомія
Ашчаднасць пры выдаткоўванні чаго-небудзь|эканомія
Бег на доўгія дыстанцыі|марафон
Бягун на кароткія дыстанцыі|спрынтар
Збеглы дыякан маскоўскага Чудова манастыра, што выдаў сябе за сына Івана IV, які ўвайшоў у гісторыю як Лжэдзмітрый I|Лахманоў
Бяда, непрыемнасць у прастамоўі|пошасць
Небарака, пакутнік, няўдачлівы чалавек (разг.)|небарака
Небарака, асуджаны на тое, каб пра яго ўвесь час выціралі ногі|палавік
Бедната, убоства, недастатковасць чаго-небудзь|злыбеда
Бедната, галеча|убогасць
Без указання імя аўтара, не падпісаны (дакумент, ліст) (адказ – прыметнік)|ананімны
Без яе, нават апрануўшы абутак, мы хадзілі б басанож|падэшва
Без яго не абыйсціся, калі трэба прасвідраваць сценку|шлямбур
Без яго не бывае паўправадніковага донара|акцэптар
Без яго талент не шмат варта|стараннасць
Бясхібнасць у пошуку ўласнага ложка ў стане поўнай адключкі|аўтапілот
Неразважлівасць, поўная страта разумнасці ў дзеяннях, у паводзінах|утрапёнасць
Безрысорны 2-колесн. лёгкі экіпаж|бидарка
Бязрогі алень|кабарга
Нястрымная і хлуслівая прапаганда|істэрыя
Нястрымная адданасць сваёй веры, ідэі|фанатызм
Бязбольнае забойства безнадзейных хворых па іх просьбе і са згоды сваякоў|эўтаназія
Бязвыплатнае падаванне грошай|субсідыя
Лайдак, той, хто жыве за чужы рахунак|дармаед
Лайдак, дармаед, які жыве за чужы рахунак|труцень
Бессаромная, грубіянска бесцырымонная і дзёрзкая жанчына|нахабніца
Бестурботна-радасны настрой, ажыўленае, радаснае времяпровождение|весялосць
Беззапаветна адданы чалавек|паладзін
Бяззубае млекопитающее трапічнай Амерыкі|мурашкаед
Безнадзейны вучань|двоечнік
Безвыходнасць|роспач
Белае сонца пустэльні (акцёр)|Кузняцоў
Белае вінаграднае віно|фетяска
Белае ці жаўтлявае тлушчавае рэчыва, што ідзе на выраб свечак|стэарын
Белае крышталічнае рэчыва з рэзкім пахам, якое ўжываецца ў тэхніку, а таксама для засцярогі поўсці і мяхі ад молі|нафталін
Беларус. гравёр па дрэве 18 ст.|Ангилейко
Беларус. першадрукар і асветнік|Скарына
Беларус. пісьменнік|Лыньков
Беларус. пісьменнік|Шамякин
Беларуская халодная супавая страва тыпу халадніку|хлодник
Беларуская страва з бурака з заправамі|цвикленя
Беларускае назв. бацвіння|холодник
Беларуская назва чабора, чабора|чамбор
Беларускі савецкі пісьменнік|Адамовіч
Беларускі суп з паразварванага гарбуза ці з шынкоў|гарбузок
Беларускі герой-партызан|Лобанок
Беларускі дзяржаўны дзеяч, Герай Савецкага Звяза (1944)|Машэраў
