Якая дэзінфікуе алеістая вадкасць чырвона-бурага колеру|лізол
Вяроўка, што прымацоўваецца да пояса гімнаста, акрабата пры выкананні асоба складаных і небяспечных нумароў для засцярогі ад падзення|лонжа
Пустазельная расліна сямейства сложноцветных з шырокім лісцем і чэпкімі калючкамі; дзядоўнік|лапух
Вялікая плоская скрыня для гандлю ўразнос і пераноскі тавараў|латок
Адкрыты прылавак для гандлю на вуліцы|латок
Адкрыты жолаб для сцёку, спуску, ссыпания|латок
Прыстасаванне ў выглядзе каўша, карыты для прамывання золотоносного пяску, аблогі прымешак пры выварванні солі і т. п.|латок
Шуфлік для зачэрпвання пакуты, крупы і т. п.|латок
Паўднёвая вадзяная расліна з прыгожымі буйнымі кветкамі|лотас
Кіраўніцтва для плавання па морах, рэкам, якое змяшчае сістэматычнае апісанне мораў, рэк і ўзбярэжжаў, гідралагічныя, метэаралагічныя і іншыя дадзеныя|лоцыя
Частка суднакіравання, што вывучае ўмовы плавання па морах, рэкам|лоцыя
Мешанка асліцы і жарабца|лашак
Пласт ці лапік свежага пласта драўнянай кары; лыка, луб|лубок
Ліпавая дошка, на якой гравіраваўся малюначак для друкавання|лубок
Літаратура, якая выдавалася з “асветнай” мэтай і што адрознівалася прымітыўнасцю ўтрымання і афармленні; лубачная літаратура|лубок
Шалупіна, лупіна насення некаторых раслін|луска
Месяцовы грунт|лунит
Невялікае паглыбленне, ямка|лунка
Паглыбленне ў сківічнай костцы, дзе змяшчаецца корань зуба|лунка
Прыстасаванне для лоўлі птушак у выглядзе дугі з сеткай|цыбулька
След, які пакідаецца на снегу пры хадзе, бегу па ім на лыжах|лыжня
Марская жывёла сямействы цюленевых; грэнландскі цюлень|лысун
Металічная форма для адліўкі металу; зложніца|ліяла
Жолаб уздоўж борта судна ў ніжняй частцы трума для сцякання вады|ліяла
Шматгадовая расліна сямейства орхидных, з духмянымі белымі ці зелянявымі кветкамі; начная фіялка|любка
Што заўгодна|любое
Поле сцяны, абмежаванае аркай і яе апорамі (звычайна ўпрыгожанае маляўнічымі ці скульптурнымі малюнкамі)|люнет
Прыстасаванне да металарэзнага станка, што служыць дадатковай апорай для апрацоўваных доўгіх і цяцвёрдых нарыхтовак|люнет
Травяністая расліна сямейства бабовых, выкарыстоўванае для ўгнаення ці як дэкаратыўнае|лубін
Сухоты скуры; ваўчанка|люпус
Палярная птушка сямейства чистиковых|люрик
Травяністая расліна са з'едлівым сокам і жоўтымі кветкамі|казялец
Старадаўняя струнная шчыпковая музычная прылада з кароткай шыйкай і авальным корпусам|лютня
Шырокі рамень са скуры ці трывалай тканіны, перекидываемый ці напрананы праз плячо для цягі ці палягчэнні пераноскі грузаў|шлейка
Палоска матэрыі, перакінутая праз плячо і падтрымная адзежу|шлейка
Бясколерны белы парашок, які ўжываецца ў медыцыне як противомикробное і прыпякаючы сродак; азотнакіслае срэбра|ляпіс
Душы памерлых злых людзей (у старажытнарымскай міфалогіі)|лярвы
Здані трагічна загінулых людзей (у сярэднявечнай дэманалогіі)|лярвы
Рымская назва карэннага насельніцтва Маўрытаніі (у старажытнасці)|маўры
Назва мусульманскага насельніцтва Пірэнэйскага паўвострава і заходняй часткі Паўночнай Афрыкі (у сярэднія вякі ў Заходняй Еўропе)|маўры
Араба-берберскае насельніцтва Маўрытаніі|маўры
Сукупнасць прыёмаў і абрадаў, злучаных з верай у здольнасць чалавека (ведзьмака, чараўніка) з дапамогай звышнатуральных сіл уздзейнічаць на прыроду, людзей, жывёл; вядзьмарства, чараўніцтва, вядзьмарства|магія
Расплаўленая маса пераважна сілікатнага складу, што ўтвараецца ў глыбінных зонах Зямлі|магма
Музычны лад, галоўныя, асноўныя гукі якога складаюць трохгучанне з вялікай тэрцыяй у аснове, якое надае акордам жыццярадаснае, светлае гучанне|мажор
Магільня святога (у мусульман)|мазар
Культавае збудаванне над магільняй святога (у мусульман)|мазар
Генератар індукаванага электрамагнітнага выпраменьвання ў дыяпазоне кароткіх радыёхваль|мазер
Творчая манера мастака|мазок
Пласт крыві, гноячы, слізі і т. п., нанесены на шкло для мікраскапічнага даследавання|мазок
Густыя алеістыя рэшткі нафты, якія атрымліваюцца пасля вылучэння з яе газы, бензіну і газойля|мазут
Трыкатажная кашуля без рукавоў і каўняра з вялікім выразам|суколка
Вясновы бяскрылы жук сямейства шпанак|суколка
Шырокая расколіна на лёду ці незамерзшее месца на рацэ; палонка, палонка|майна
Птушка сямейства скворцовых, што насяляе ў Сярэдняй Азіі; індыйскі шпак|майна
Вайсковае званне, чын старэйшага афіцэрскага складу войска, наступнае пасля капітана|маёр
Мадэль чаго-небудзь, прайграная звычайна ў паменшаным выглядзе|макет
Выпрабавальны ўзор кнігі, часопіса, газеты і т. п., а таксама папярэдняя разлепка ўсіх элементаў тэксту і ілюстрацый (у паліграфіі)|макет
Толькі што ці нядаўна якая выйшла з икринки рыбка|маляўка
Заячы след на снегу (у гаворкі паляўнічых)|малик
Прыстасаванне для вычэрчвання і вымярэнні кутоў, што ўжываецца пры будаўнічых працах|малка
Атрутная змяя сямейства аспідаў, распаўсюджаная ў Афрыцы|мамба
Памяшканне ці пляцоўка для трэніроўкі канёў, навучанні верхавой яздзе, конноспортивных спаборніцтваў|манеж
Арэна цырка|манеж
Памяшканне для трэніроўкі спартоўцаў-лёгкаатлетаў|манеж
Невялікая – абгароджаная па краях – пераносная пляцоўка для дзяцей, пачаткоўцаў хадзіць|манеж
Псіхічнае засмучэнне – стан хваравіта падвышанай узрушанасці, актыўнасці|манія
Ежа, якая падала з неба падчас вандроўкі габрэяў па пустэльні (па біблейскім адданні)|манна
Назва некаторых ядомых лішайнікаў сямейства леканоровых, распаўсюджаных у Паўднёва-усходняй Еўропе, Паўднёва-заходняй Азіі і Паўночнай Афрыцы, што маюць выгляд камячкоў, пераносных ветрам на вялікія адлегласці|манна
Застылы сок некаторых раслін (ясеня, гребенщика і т. п.), ужытны ў ежу, а таксама выкарыстоўваны ў фармакалогіі|манна
Дудачка, свісток для приманивания паляўнічым розных звяроў і птушак|вабік
Ручная птушка, сваім крыкам якая падваблівае да паляўнічага дзікіх птушак|вабік
Круглыя адкрытыя піражкі з прэснага цеста з начыннем з бараніны, прыгатаваныя на пару (усходняя страва)|манты
Драпежнае млекопитающее сямействы каціных з доўгім густым і пухнатым мехам, што насяляе ў Закаўказзе і ў стэпах Сярэдняй і Цэнтральнай Азіі|манул
Буйны алень, які насяляе ў Сібіры, самцы якога маюць вялікія галінастыя рогі|брудзіў
Знак аплаты паштовых і некаторых іншых збораў, звычайна ў выглядзе папяровай налепкі невялікага памеру з малюнкам і пазначэннем кошту|марка
Значок, жэтон, па якім вырабляецца наступная аплата|марка
Гандлёвы знак, таўро на вырабе, тавары з пазначэннем горада, прадпрыемствы, дзе вырабляецца выраб, яго якасці і т. п.|марка
Гатунак, тып ці якасць выраба, тавара і т. п.|марка
Грашовая адзінка ў Нямеччыне і Фінляндыі|марка
Манета, грашовы знак адпаведнай добрай якасці|марка
Памежная ўмацаваная адміністрацыйная акруга (у Франкскай дзяржаве VIII–IХ стст. і ў сярэднявечнай Нямеччыне)|марка
Сельская абшчына, у якой ралля была індывідуальнай уласнасцю (пры захаванні некаторых правоў абшчыны), а пашы, лясы і іншыя ўгоддзі – агульнай уласнасцю (у сярэднія вякі ў Заходняй Еўропе)|марка
Тонкая лёгкая баваўняная (звычайна белага колеру) тканіна з рэдка сплеценых нітак, якая ўжываецца ў медыцыне як перавязачны матэрыял|марля
Накладка на верхнюю частку твару ў выглядзе павязкі з выразамі для вачэй, напрананая, каб не быць пазнаным|маска
Злепак з гіпсу ці іншага матэрыялу, зняты з твару чалавека (звычайна памерлага)|маска
Ахоўная ці ізалявальная накладка на твар (пры некаторых выглядах прац, пры хірургічных аперацыях і т. п.)|маска
Сталы персанаж італьянскай камедыі сярэдзіны ХVI–ХVII стст., які пераходзіў са спектакля ў спектакль|маска
Вадкае ці цвёрдае тлушчавае рэчыва, штучна што здабываецца з рэчываў расліннага, мінеральнага ці жывёльнага паходжання|масла
Харчовы прадукт жывёльнага ці расліннага паходжання|масла
Важкасць і інэрцыя, уласцівыя матэрыі і энергіі|маса
Колькасць, аб'ём|маса
Цестападобнае рэчыва, якое з'яўляецца паўфабрыкатам у розных вытворчасцях; густая ці напаўвадкая сумесь|маса
Шырокія кругі працаўнікоў, насельніцтвы|масы
Вялікая сукупнасць людзей|масы
Колер поўсці ў жывёл і пёраў у птушак|масць
Одзін з чатырох разрадаў, на якія падзяляецца калода ігральных карт па колеры і форме ачкоў|масць
Самка-вытворніца ў жывёл|матка
Адзіная ў пчалінай сям'і самка, здольная адкладаць яйкі для высновы будучага роя|матка
Ўнутраны орган у жанчыны і ў самак живородящих жывёл, у якім развіваецца зародак|матка
Судна для абслугоўвання падводных лодак, тральшчыкаў, тарпедных катэраў і т. п.|матка
Таемная злачынная арганізацыя, якая мае разгалінаваную структуру і сувязі з паліцыяй, урадавымі кругамі і т. п. і выкарыстоўвалая метады гвалту, шантажу і тэрору|мафія
Высокі слуп ці высокае металічнае збудаванне на судне для мацавання ветразяў, уздыму сцяга, усталёўкі сігнальных агнёў, прылады пастоў кіравання і назіранні і т. п.|шчогла
Вертыкальная вышынная канструкцыя для розных тэхнічных мэт (падвескі электрычных правадоў, сігналізацыі, усталёўкі антэн і т. п.)|шчогла
Мяккі малады пласт драўніны паміж карой і цвёрдай драўнінай; абалона|жамерыны
Падрыхтаваная для далейшай перапрацоўкі кашицеобразная маса, якая атрымліваецца пры расціранні, драбненні пладоў, лісця, сцеблаў і іншых частак раслін|жамерыны
Элементарная часціца, маса якой больш масы электрона і менш масы пратона (у фізіцы)|мезон
Месца, што з'яўляецца аб'ектам імкненняў, частых наведванняў, паломніцтвы|мека
Кавалак мелу (для пісання, маляванні, чарчэнні)|крэйда
Паняцце меладычнага, песеннага пачатку ў музыцы|мелас
Спакладаны жарабец|конь
Сукупнасць дадзеных, якія вызначаюць памеры|мерка
Прадмет (лінейка, пасудзіна і т. п.), службовец для вымярэння каго-чаго-небудзь|мерка
Галоўнае набажэнства ў каталіцкай царкве|імша
Край, акруга, мясцовасць|месцы
Прастора, якое занята ці можа быць занята|месца
Вызначаная прастора, пункт, на якім (у якім) знаходзіцца, адбываецца ці можа знаходзіцца, адбывацца штосьці|месца
Вызначаная прастора для знаходжання ў ім ці на ім; прастора, прызначанае, вызначанае для чаго-небудзь|месца
Наўмыснае прычыненне зла за нанесеную абразу, крыўду|помста
Жаданне адпомсціць|помста
Адна дванаццатая частка астранамічнага года, якая мае кожная самастойная назва (студзень, люты, сакавік, красавік, травень, чэрвень, ліпень, жнівень, верасень, кастрычнік, лістапад, снежань)|месяц
Прамежак часу ў 30 дзён|месяц
Месяц|месяц
Бясколерны газ, што ўяўляе сабою злучэнне вугляроду з вадародам; балотны ці рудніковы газ|метан
Одновалентный арганічны радыкал|пазначаў
Нашчадак ад шлюбу паміж прадстаўнікамі розных чалавечых рос|метыс
Жывёла ці расліна, атрыманае ў выніку метызацыі; мешанка|метыс
Знак, зроблены на рэчы, на прадмеце і т. п. для адрознення ад іншых падобных|пазнака
Прадмет гаспадарчага ўжытку ў выглядзе злучаных у пучок дубцоў ці сцеблаў, прымацаваных да палкі|венік
Адно з рэчываў, якія ўжываюцца ў фатаграфіі як праяўляльнік – бясколерныя дробныя крышталі, добра растваральныя ў вадзе|метол
Уяўнае ці ўяўна прадстаўлянае; стварэнне ўяўлення|мара
Ўяўная выява чаго-небудзь моцна жаданага, вабнага|мара
Штосьці нерэальнае, няздзейснае, недасягальнае|мара
Бесхрыбтовая мяккацелая жывёла, складзенае ў ракавіну; двухстворкавы малюск|мідыя
Адсутнасць хабараў пры картачнай гульні ў бостан, прэферанс і т. п.|мізар
Змяшаны рэгістр пеўчага голасу, пераходны паміж грудным і галаўным рэгістрамі (у музыцы)|микст
Музычны лад, у аснове якога ляжыць трохгучанне з малой тэрцыяй і чыстай квінтай, якое надае яму лірычнае, сумнае гучанне|мінор
Знак адымання, што пазначаецца гарызантальнай рысай|мінус
Знак адмоўнай велічыні|мінус
Дабраякасная пухліна з цягліцавай тканіны|міёма
Ў некаторых народаў усходу – тытул чальца якая валадарыць дынастыі, прынца крыві|мірза
Ў некаторых народаў Усходу – ганаровае пазначэнне вышэйшых чыноў; спадар|мірза
Сакратар, пісец (у некаторых народаў Усходу)|мірза
Вузкі круг людзей, аб'яднаных агульнасцю інтарэсаў, заняткаў і т. п.|свецік
Вузкая, абмежаваная вобласць жыцця, з'яў, інтарэсаў|свецік
Рачная рыба сямейства карповых|мірон
Непрамое дзяленне клеткі, якое з'яўляецца найболей распаўсюджаным спосабам прайгравання клетак; кариокинез|мітоз
Бог сонца, дамовы, згоды, заступнік мірных, добразычлівых адносін паміж людзьмі (у старажытнаўсходніх рэлігіях)|Мітра
Пазалочаны і ўпрыгожаны рэлігійнымі эмблемамі высокі з круглым верхам галаўны ўбор вышэйшага праваслаўнага і каталіцкага духавенства, звычайна напрананы пры поўным уборы падчас набажэнства|мітра
Аднагадовая кармавая расліна сямейства травы|магар
Прадстаўнік тюрко-мангольскіх народаў, што прыбылі з Монголистана ў складзе войска заваёўнікаў (у сярэднявечнай Індыі)|могол
Мера аб'ёму вадкасцяў і сыпкіх целаў, якая ўжывалася ў старажытнай арабскай, грэцкай, рымскай і некаторых іншых сістэмах мер (прыблізна ад 6 да 40 кг)|модий
Разнавіднасць, спосаб, норма|модус
Разнавіднасць высноў, вызначаная колькасцю, формай і ўзаемазалежнасцю іх пасылак і зняволенняў (у логіцы)|модус
Мінучая ўласцівасць прадмета, уласцівае яму толькі ў некаторых станах (у філасофіі)|модус
Рыба сямейства корушак з падоўжаным, сціснутым з бакоў целам, звычайна ўжытная як прынада; усякая дробная рыба|мойва
Прыстасаванне, машына для мыцця, прамыванні чаго-небудзь; месца, дзе мыюць, прамываюць штосьці|мыйка
Машына ўдарнага дзеяння для апрацоўкі металаў ціскам|молат
Спартовы снарад для кідання, што складаецца з металічнага ядра з доўгай ручкай|молат
Бажаство, почитавшееся ў Палестыне, Фінікіі і Карфагене, якому прыносіліся чалавечыя ахвяры, асабліва дзеці|Малох
Страшная ненаедная сіла, якая патрабуе чалавечых ахвяр|малох
Аўстралійская яшчарка сямейства агам з шырокім, пляскатым целам, пакрытым, за выключэннем ніжняй часткі, шматлікімі шыпамі|малох
Мардоўскае рэлігійнае свята|молян
Чалец рэлігійнай абшчыны, што жыве ў манастыры, які прыняў пастрыжэнне і далы зарок весці аскетычнае жыццё ў адпаведнасці з манастырскім статутам|манах
Лёгкі матацыкл з педальным прывадам|мапед
Пярэдняя частка галавы жывёлы|пыса
Холад; сцюжа|мароз
Невялікае возера на нізінным узбярэжжы мора, часам, пры падвышэнні ўзроўня вады, сазлучанае з морам|морцо
Жанр вакальнай ці вакальна-інструментальнай шматгалоснай музыкі, першапачаткова царкоўнага характару, асабліва што развіўся ў Францыі ў ХII–ХVII стст.|мотет
Заахвочвальны чыннік, нагода да дзеяння|матыў
Найпростая рытмічная адзінка мелодыі, якая складаецца звычайна з дзвюх-трох гукаў, аб'яднаных адным лагічным акцэнтам (у музыцы)|матыў
Найпростая складовая частка сюжэту|матыў
Характэрны элемент, увесь час выкарыстоўваны ў малюнку (арнаменце, размалёўкі, гафту і т. п.)|матыў
