Кірунак, бок, процілеглыя поўдню|поўнач
Горная каза з невялікімі, загнутымі на канцах рогамі|сарна
Сыроватка крыві|сэрум
Невялікая сетка (для лоўлі рыбы, птушкі, звера)|сетка
Рознага прызначэння прыстасавання, прадметы са што перакрыжоўваюцца нітак, вяровак, правалок і т. п.|сетка
Малюнак, які атрымліваецца ў выніку разлінейвання паперы, карты і т. п.|сетка
Ганец, веснік (на Русі IХ–ХIII стст.)|сеунч
Прылада для рубкі капусты ці іншай гародніны; матыка|сечка
Дробненыя крупы|сечка
местн. Дробна насечаная салома з пакутай, вотруб'ем, якая служыць кормам скаціне|сечка
Каштоўная прамысловая рыба сямейства ласосевых з мясам ружовага колеру|сёмга
Верхні пласт зямной абалонкі, што складаецца з парод, багатых крэмніем і алюмініем (у геалогіі)|сиаль
Птушка сямейства сяўцоў; залацісты сявец|сявец
Млекопитающее сямействы вушастых цюленяў|сівуч
Назва літары грэцкага алфавіту|сігма
Цёмна-жоўтая фарба, якая ўжываецца ў жывапісе|сіена
Чалавек вялікай фізічнай сілы|асілак
Кароткія паўпетлі, абрэзаныя шыўкі, што ўжываюцца для пераносу ліній на парныя дэталі, вытачкі і т. п. (у швейнай справе)|сілы
Прыстасаванне ў выглядзе якая зацягваецца завесы для лоўлі птушак і дробных жывёл|сіло
Род штучнага валакна|силон
Сакавіты корм для скаціны, што атрымліваецца заквашваннем кармавых раслін у адмысловых збудаваннях (вежах, траншэях, ямах і т. п.)|силос
Другі перыяд палеазойскай эры ў гісторыі Землі (у геалогіі)|силур
Лёгкая, рухомая істота, якое з'яўляецца ўвасабленнем стыхіі паветра (у кельцкай і германскай міфалогіі)|сільф
Гатунак крымскіх яблыкаў|сінап
Разнавіднасць ляшча|сінец
Вышэйшы калегіяльны орган па справах рускай праваслаўнай царквы (заснаваны Пятром I замест скасаванага ім патрыярства); у наш час – дарадчы орган пры патрыярху Маскоўскім і Всея Русі|сінод
Збор духоўных і свецкіх твараў для дазволу найважных царкоўных спраў пратэстанцкай царквы|сінод
Трыганаметрычная функцыя кута, у прастакутным трыкутніку роўная стаўленню катэта процілеглага кута да гіпатэнузы (у матэматыку)|сінус
Паражніна, пазуха ў органе цела (у анатоміі)|сінус
Ссінелы сіняк на целе, твары як след удару, удару і т. п.|сіняк
Меданосная расліна з чырвона-сінімі кветкамі|сіняк
Разнавіднасць ядомага грыба|сіняк
Салдат наёмнага войска ў Індыі, які фармаваўся з сярэдзіны ХVIII ст. з мясцовых жыхароў еўрапейскімі каланізатарамі|сипай
Фантастычная птушка з жаночым тварам і грудзьмі (у старажытнарускай літаратуры і народных паданнях)|сірын
Невялікая птушка сямейства соў|сірын
Канцэнтраваны раствор цукру (звычайна з фруктовым ці ягадным сокам)|сіроп
Густы адвар з сокаў лекавай травы|сіроп
Старажытнаегіпецкая ўдарная музычная прылада ў выглядзе выгнутай металічнай пласціны, у якую ўстаўлены металічныя дубцы рознай велічыні, якія бразгаюць пры ўстрэсванні|систр
Народная струнная музычная прылада, распаўсюджаны ў Індыі, Афганістане, Іране і Ўзбекістане|ситар
Лёгкая баваўняная тканіна з набіваным малюнкам (радзей – аднакаляровая)|паркаль
Выгнутая трубка з каленамі рознай даўжыні, што служыць для пералівання вадкасцяў з адной пасудзіны ў іншай з ніжэйшым узроўнем|сіфон
Прылада для павелічэння цягі ў топцы паравоза падчас стаянкі|сіфон
Орган у выглядзе трубкі ў некаторых малюскаў|сіфон
Камяністы ўцёс ці гара са стромкімі, стромымі схіламі, вострымі выступамі|скала
Дэталь у ткацкім станку ў выглядзе вала ці бруса, пасродкам якой ніткі асновы перакладаюцца з вертыкальнага ў працоўнае гарызантальнае ці злёгку нахільнае становішча|скала
Горная парода, якая складаецца з силикатов кальцыя, магнію і жалеза, што ўтвараецца пры ўздзеянні расплаўленай магмы ці гарачых водных раствораў на вапнякі, даламіты і мергелі|скарн
Невялікі грамадскі сад у горадзе, мястэчку|сквер
Намёт, збудаванне для перапранання і выйсця акцёраў, якія выконваюць у далейшым роля дэкарацыі, архітэктурнага фону (у старажытнагрэцкім тэатры)|скена
Невялікая эстрадная п'еса (звычайна жартаўлівага ўтрымання)|скепт
Кароткая эстрадная п'еса жартаўлівага ўтрымання|скетч
Старажытныя іранамоўныя плямёны, кочевавшие ці што засялялі паўночнае Прычарнамор'е ў VII ст. да н. э. – III ст. н. э.|скіфы
Адмысловае месца, памяшканне для захоўвання|склад
Вялікая колькасць прадметаў, сабраных, складзеных у адным месцы|склад
Фізічнае аблічча чалавека ці жывёлы; целасклад|склад
Маральнае аблічча чалавека, яго характар, звычкі, перакананні|склад
Манера выкладаць думкі, пісаць ці казаць; стыль|склад
Які ўсталяваўся парадак, лад жыцця|склад
Спосаб пабудовы верша, песні і т. п.|склад
Унутранае памяшканне магільні, размешчанай звычайна ніжэй узроўня зямлі (у цэрквы ці на могілкі)|склеп
Нахільная паверхня, пахіл (горы, узгорка і т. п.)|схіл
Выгнутая паўколам металічная паласа, вбиваемая ў штосьці і служэлая ў якасці ручкі апоры чаго-небудзь, пры ўздыме і т. п.|клямка
Выгнутая пад кутом жалезная паласа ці дрот, якая служыць для змацавання частак|клямка
Буйная драпежная птушка сямейства каршаковых, што насяляе па берагах вадаёмаў і якая сілкуецца рыбай|кагалу
Клейкая стужка для пакавання|скотч
Металічны крышан і металічныя адыходы вытворчасці, што паступаюць у пераплаўленне з мэтай атрымання прыдатнага металу|скрап
Рэзкі гук, які ўзнікае пры трэнні, сціску і т. п.|рыпанне
Гук, які выдаецца некаторымі птушкамі (гілямі, драчамі і т. п.)|рыпанне
Цяжкі душэўны стан, якое выклікаецца адсутнасцю справы, цікавасці да атачальнага|нуда
Засмучэнне, нуда, панавальныя дзе-або, што выклікаюцца аднастайнасцю становішча, адсутнасцю справы, цікавасці да атачальнага|нуда
Месца на корпусе судна, дзе борт, закругляючыся, пераходзіць у насавую ці кармавую часткі|скула
Парныя асабовыя косткі чэрапа, размешчаныя пад вачніцамі і злучалыя верхнюю сківіцу са скроневымі косткамі|скулы
Часткі твару, якія адпавядаюць парным асабовым косткам чэрапа, размешчаным пад вачніцамі і злучалым верхнюю сківіцу са скроневымі косткамі|скулы
Драпежны пушны звярок сямейства куньих з каштоўным цёмна-карычневым ці чорным мехам, што выпырсквае ў выпадку небяспекі з околоанальных залоз смуродную вадкасць|скунс
Ганаровая вядомасць як сведчанне прызнання заслуг, таленту, доблесці|слава
Назва рускай народнай величальной песні, якая абвяшчае хвалу|слава
Доўгая тоўстая жэрдка|лата
Кропля бясколернай, празрыстай солоноватой вадкасці, што выдаткоўваецца залозамі, размешчанымі каля вачэй, пры некаторых фізіялагічных ці псіхічных станах|сляза
Сукупнасць слоў і выразаў, якія ўжываюцца прадстаўнікамі вызначаных груп, прафесій і т. п. і складнікаў пласт гутарковай лексікі, не адпаведнай нормам літаратурнай мовы (звычайна ў дачыненні да англамоўных краін)|слэнг
Бясколерная, празрыстая солоноватая вадкасць, якая выдаткоўваецца залозамі, размешчанымі каля вачэй, пры некаторых фізіялагічных ці псіхічных станах|слёзы
Пладовае дрэва ці хмызняк сямейства ружовых|зліву
Цягучая і слізкая вадкая маса, што выдаткоўваецца некаторымі клеткамі раслінных і жывёльных арганізмаў|слізь
Слізкі налёт на прадметах, які ўзнікае ад бруду, волкасці і т. п.|слізь
Тэкст вакальнага твора|словы
Адзінка гаворкі, якая ўяўляе сабою гукавы выраз асобнага прадмета думкі|слова
Гутарка, гаворка, выказванне|слова
Публічны выступ|слова
Назва літары старажытнай славянскай ці старой рускай азбукі|слова
Працаўнік у багатай хаце для асабістых паслуг|слуга
Гаворка, пляткарства|чуткі
Празрысты слоистый мінерал складанага складу, шырока ўжывальны ў тэхніку|лушчак
Цягучая, злёгку каламутная вадкасць, што выдаткоўваецца ў паражніны рота чалавека і жывёлы адмысловымі залозамі, якая спрыяе змочванню і пераварванню ежы|сліна
Група людзей, што выконваюць працу, адпачывальнікаў і т. п. і праз вызначаны прамежак часу зменных іншай групай|змена
Камплект адзежы, бялізны, перыядычна зменнай|змена
Селянін, земляроб (на Русі IХ–ХIII стст.)|смерд
Віхравы рух паветра ў выглядзе варонкі ці слупа, якое ўздымае пясок, пыл ці ваду|віхраслуп
Вылічэнне хуткіх выдаткаў і прыбыткаў, прыкладны разлік|каштарыс
Ліпкі, пахкі, што цвярдзее на паветры сок, які выдаткоўваецца іглічнымі і некаторымі іншымі раслінамі|смала
Арганічныя вялікамалекульныя рэчывы прыроднага паходжання (бурштын, каніфоль, каменнавугальная смала і т. п.) ці атрыманыя сінтэтычным шляхам і выкарыстоўваныя ў розных галінах прамысловасці|смолы
Публічнае азнаямленне з чым-небудзь з мэтай адзнакі, праверкі|агляд
Агідны пах, смурод|смурод
Мяцеж, беспарадкі, хваляванне|смута
Ўнутранае, лагічнае ўтрыманне чаго-небудзь (словы, гаворкі, з'явы), спасціганае розумам; значэнне|сэнс
Разумная падстава, мэта|сэнс
Жонка сына|нявестка
Шматгадовая травяністая расліна сямейства парасонавых з буйным лісцем і белымі кветкамі, сабранымі ў складаны парасонік|снітка
Збор выбарных ці службовых асоб для разгляду пытанняў арганізацыі, кіраванні і т. п.|сабор
З'езд прадстаўнікоў духавенства хрысціянскай царквы|сабор
Галоўная царква горада, манастыра|сабор
Навучанне, указанне як паступіць у тым ці іншым выпадку|рада
Нарада, паседжанне, сумеснае абмеркаванне пытанняў|рада
Распарадчы ці дарадчы калегіяльны орган пры ўстанове, арганізацыі і т. п.|рада
Назва некаторых органаў дзяржаўнага кіравання, якія складаюцца з выбарных ці прызначаных твараў і мелых кіраўнічае значэнне ў жыцці дзяржавы, у дзейнасці галіны гаспадаркі і т. п.|рада
Прадстаўнічы орган дзяржаўнай улады ў СССР і сучаснай Расіі|рада
Напрананая праз галаву верхняя адзежа паўночных народаў з каптуром з аленевых шкур поўсцю вонкі|совик
Птушка атрада соў; сплюшка|соўка
Начны матылёк цёмнай афарбоўкі; начніца|соўка
Лапатка з загнутымі дагары бакавымі краямі|шуфлік
Лясная пералётная птушка атрада вераб'іных з пярэстым апярэннем|сойка
Старадаўняе рускае ветразнае грузавое судна|сойма
Драпежная птушка з моцнай дзюбай і доўгімі вострымі крыламі, якая парыць пры палёце|сокал
Прылада ў выглядзе драўлянага ці алюмініевага шчытка з ручкай для нанясення раствора на паверхню, якую тынкуюць|сокал
Ударная прылада ў выглядзе падвеснай штангі для забівання клінаў, мацаванні байкоў і т. п.|сокал
Узвышэнне перад іканастасам ва ўсю яго даўжыню ў праваслаўнай царкве|салея
Прарошчаныя, высушаныя і буйна смолотые збожжа травы, якія ўжываюцца пры вырабе піва, спірту, квасу і т. п.|солад
Лірычны верш, якое складаецца з чатырнаццаці радкоў: двух чатырохрадкоўяў і двух трохрадкоўяў|санет
Невялікая гара з круглявай вяршыняй|сопка
Вулкан на Далёкім Усходзе|сопка
Злучны ці ланцужны силлогизм з канчатковым зняволеннем, выведзеным з шэрагу пасылак, без пасяродкавых зняволенняў|смеціць
Старадаўняя руская адзінка рахунку, што адпавядае чатыром дзясяткам|сорак
Звязак з чатырох дзясяткаў аднастайных футравых скурак|сорак
Група цэркваў, якая ўтварае благочиние і што складаецца прыблізна з чатырох дзясяткаў цэркваў|сорак
Сукупнасць цесна размешчаных органаў размнажэння, спаронгіёў, якія ўтвараюцца на ніжнім боку ліста папараці і некаторага багавіння|сорус
Вечназялёнае іглічнае дрэва, звычайна з прамым высокім ствалом, доўгай ігліцай і невялікімі гузамі|хвоя
Вонкавая частка малочнай залозы млекаспажыўца жывёлы і чалавека, што мае выгляд падоўжанай шишечки, з якой дзіцяня (у самкі) ці дзіця (у жанчыны) смокча малако|сасок
Дэталь, частка прадмета ці прылады ў выглядзе шишечки, выступу і т. п.|сасок
Месца ўваходжання глядзельнага нерва ў вочны яблык|сасок
Ёмішча для вадкіх і сыпкіх целаў (гарлач, бутэлька і т. п.)|пасудзіна
Трубчасты, эластычны орган у целе чалавека, жывёлы, па якім рухаецца кроў ці лімфа|пасудзіна
Элемент тканіны раслін у выглядзе трубкі, службовец для перасоўвання вады і раствораных у ёй рэчываў|пасудзіна
Прыстасаванне для адсмоктвання вады, вільгаці|смактун
Назва трэцяй ад канца лічбы шматзначнага ліку|сотні
Нявызначана вялікая колькасць|сотні
Адзінка рахунку, роўная ста|сотня
Вайсковая адзінка ў старажытнарускім войску і ў стралецкіх войсках ХVI–ХVII стст., якая складалася першапачаткова са ста чалавек|сотня
Вайсковае падраздзяленне ў казачых частках, што адпавядала эскадрону ў рэгулярнай кавалерыі (у Расійскай дзяржаве да 1917 г.)|сотня
Ваенная і адміністрацыйна-тэрытарыяльная адзінка (на Ўкраіне ў канцы ХVI–ХVIII стст.)|сотня
Внутрисословное аб'яднанне купцоў (на Русі ХII–ХVII стст.)|сотня
Тэатральны асвятляльны прыбор, прызначаны для асвятлення сцэны спераду і зверху|сафіт
Стойка з гарызантальным ашэсткам і гнёздамі ў ёй, якая служыць для складання стрэльбаў у вартавых памяшканнях|сошка
Прыстасаванне для ўпора на ствале стрэльбы, кулямёта, мінамёта ў выглядзе дзвюх невялікіх ножак|сошкі
Падстаўка са скрыжаваннем, што ўжываецца пры стральбе са стрэльбы з упора|сошкі
Празмерная ганарлівасць; фанабэрыстасць, пыха|пыха
Задняя частка тулава чалавека ці верхняя частка тулава жывёлы ад шыі да крыжа|спіна
Тонкі доўгі стрыжань для вязання; вязальная іголка|спіца
Драўляны ці металічны стрыжань рознага прызначэння|спіца
Одзін з драўляных ці металічных стрыжняў, які злучае ўтулку кола з вобадам|спіца
Злучэнне дзвюх ці некалькіх топкіх целаў|сплаў
Мікраскапічны зародак раслінных арганізмаў (багавіння, грыбоў, лішайнікаў, мохаў, папоротникообразных), службовец для іх размнажэння, распаўсюду, а таксама для захавання ў неспрыяльных умовах|спора
Одзін ці некалькі аднаклеткавых зародкаў у найпростых жывёл класа спаравікоў, акружаных шчыльнай абалонкай і службоўцаў для іх распаўсюду і захаванні ў неспрыяльных умовах|спора
Ўцёкі расліны, рэзка адрозны ад усіх астатніх (у батаніку)|спорт
Прылада для накіраванага распырсквання вадкасці|спрэй
Патрабаванне на тавар з боку пакупніка ці на працоўную сілу з боку наймальніка|попыт
Буйны васьміног|спрут
Рэзкае павелічэнне хуткасці руху пры бегу, плаванні, катанні на каньках і т. п.; рывок|спурт
Прыстасаванне, якое прыводзіць у дзеянне цынгель, засаўка|спуск
Рэчыва, што запаўняе прастора і якое валодае вызначанымі ўласцівасцямі|асяроддзе
Сукупнасць прыродных умоў жыццядзейнасці арганізма|асяроддзе
Асяроддзе, сацыяльна-побытавыя ўмовы, у якіх працякае жыццё чалавека|асяроддзе
Назва трэцяга дня тыдня, наступнага за аўторкам|асяроддзе
Стан узаемнай варожасці; спрэчка|сварка
Сродкі, што прадстаўляюцца ў крэдыт юрыдычнаму ці фізічнай асобе|пазыка
Група жывёл, звычайна аднаго выгляду, якія змяшчаюцца, што пасвяцца разам|статак
Вялікая група жывёл, птушак, рыб; зграя, вушак|статак
Цвёрды каваны метал серабрыста-шэрага колеру, які ўяўляе сабою сплаў жалеза з вугляродам і некаторымі іншымі прымешкамі|сталь
