Чалавек мужчынскай падлогі ва ўзросце, пераходным ад малалецтва да сталасці|юнак
Герметычна залітаваная шкляная пасудзіна з вузкім горлачкам, прызначаны для захоўвання лекавых прэпаратаў у стэрыльным стане|ампула
Невялікі прадмет, звычайна носны на целе чалавека і – па забабонных уяўленнях – што з'яўляецца магічным сродкам супраць хвароб, няшчасцяў і т. п.|кудмень
Вялікая пасудзіна з вузкім горлам і дзвюма ручкамі, прызначаны для захоўвання віна, маслы і т. п. (ужываны ў Старажытнай Грэцыі, Старажытным Рыме і на Русі Х–ХII стст.)|амфара
Метад навуковага даследавання рэчаіснасці, які складаецца ў рассячэнні цэлага на складовыя элементы|аналіз
Вызначэнне складу і ўласцівасцяў рэчыва шляхам раскладання яго на прасцейшыя элементы|аналіз
Дэталёвае, усебаковае вывучэнне, разгляд факту, з'явы, падзеі|аналіз
Трапічная травяністая расліна сямейства бромелиевых з буйнымі, авальнай формы, сакавітымі, духмянымі пладамі, падобнымі на гуз|ананас
Вострае інфекцыйнае захворванне, што характарызуецца запаленнем зяпы і паднябенных міндалін|ангіна
Бальны танец, узыходны да ангельскіх народных танцаў і распаўсюджаны ў Еўропе ХVII–ХIХ стст.|англез
Хваравіты стан, якое характарызуецца зніжэннем утрымання гемаглабіну ў крыві, а таксама памяншэннем агульнай масы крыві ў арганізме; малакроўе|анемія
Бясколерная атрутная вадкасць, выкарыстоўваная пры вырабе фарбавальнікаў, фармацэўтычных прэпаратаў, выбуховых рэчываў і т. п.|анілін
Апытальны ліст для атрымання звестак, складзены па вызначанай форме|анкета
Тэрыторыя ці частка тэрыторыі дзяржавы, з усіх бакоў акружаная тэрыторыяй іншай дзяржавы і не мелая марскога берага (у міжнародным праве)|анклаў
Запіс падзей у храналагічнай паслядоўнасці (у старажытных народаў – рымлян, егіпцян і т. п. і ў Заходняй Еўропе ў сярэднія вякі); летапіс|аналы
Аўтар складання, лісты і т. п., які схаваў сваё імя|ананім
Захворванне, што характарызуецца спыненнем вылучэння мачы|анурыя
Дробная марская рыба атрада сельдеобразных; хамса|анчоўс
Аб'ява пра тое, што ўсе квіткі – на спектакль, канцэрт, лекцыю і т. п. – прададзены|аншлаг
Палітыка гвалтоўнага далучэння Аўстрыі да Нямеччыны, якая праводзілася германскім імперыялізмам пасля першай сусветнай вайны|аншлюс
Форма мінулага часу дзеяслова ў некаторых мовах (грэцкім, стараславянскім і т. п.), якая пазначае адзінае, непадзеленае дзеянне ці стан, цалкам аднесенае да мінулага (у лінгвістыцы)|аарыст
Мінерал – фасфат кальцыя, звычайна выкарыстоўваны для вытворчасці фосфарных угнаенняў|апатыт
Стан глыбокай абыякавасці, абыякавасці|апатыя
Лекавы прэпарат з высушанага маткавага малачка пчол, што ўжываецца пры лячэнні неўратычных засмучэнняў|апилак
Празмерная самаўпэўненасць|апломб
Кропка арбіты Месяца ці штучнага спадарожніка Зямлі, найболей выдаленая ад цэнтра Зямлі|апагей
Кароткае іншасказальнае павучальнае апавяданне з жыцця жывёл, блізкае да байкі|аполаг
Склад з крухмалу, эфіру, сінтэтычных смол і іншых рэчываў, якім апрацоўваюцца тэкстыльныя матэрыялы для надання ім калянасці, безусадочности, несминаемости|апрэт
Назва чацвёртага месяца каляндарнага года|красавік
Паўкруглы, прастакутны ці шматгранны выступ будынка (звычайна алтарнай часткі храма), мелы ўласнае перакрыцце ў выглядзе полукупола ці полусвода (у архітэктуры)|апсіда
Ўстанова, якое займаецца продажам гатовых лекавых прэпаратаў і іншых медыцынскіх тавараў, а таксама вырабам лекаў па рэцэптах лекара|аптэка
Невялікае дрэва, хмызняковая ці шматгадовая травяністая расліна сямейства аралиевых з кветкамі, звычайна сабранымі ў парасонікі ці метелки, што расце ў Паўднёвай і Ўсходняй Азіі, на Далёкім Усходзе, поўдні Паўночнай Амерыкі|аралія
Старажытныя семіцкія плямёны, выхадцы з Аравіі|арамеи
Паўднёвая травяністая расліна сямейства бабовых з пладамі, якія змяшчаюць алеістыя рэчывы|арахіс
Падаванне адной дзяржавай іншаму правы карыстанні часткай сваёй тэрыторыі на аснове дамовы (у міжнародным праве)|арэнда
Найманне памяшкання, маёмасці ў часавае карыстанне на дамоўных пачатках|арэнда
Прадстаўнікі, з пункту гледжання расістаў, арыйскай – нардычнай – росы|арыйцы
Шэраг аднолькавых па форме арак, што абапіраюцца на слупы ці калоны|аркада
Вялікі лік сабраных у адным раёне ці адначасова дзейсных караблёў, самалётаў ці танкаў|армада
Высокая травяністая расліна сямейства сложноцветных, выкарыстоўванае ў фармакалогіі|купальнік
Прыемны пах, духмянасць|водар
Група твараў адной прафесіі (звычайна злучанай з фізічнай працай), якія аб'ядналіся для сумеснай працы на аснове агульнай адказнасці, самакіраванні, долевага ўдзелу ў прыбытках|талака
Прафесійны выканавец твораў мастацтва (акцёр, спявак, музыка і т. п.)|артыст
Запаленне сустава ці некаторых яго элементаў|артрыт
Хранічнае захворванне суставаў, злучанае з парушэннем абмену рэчываў і якое суправаджаецца зменамі ў што сучляняюцца паверхнях костак і дэфармацыяй суставаў|артроз
Вышэйшая службовая асоба ў гарадах-дзяржавах Старажытнай Грэцыі|архонт
Кудзелісты мінерал, які валодае вогнеўстойлівасцю, кіслотатрываласцю, теплоизолирующими і электраізалявальнымі ўласцівасцямі, шырока ўжывальны ў розных галінах прамысловасці|азбест
Пункт гледжання, з якой разглядаюцца прадметы, з'явы, паняцці і т. п.|аспект
Вызначаны бок з'явы, паняцці і т. п.|аспект
Сямейства атрутных змей, да якога ставяцца кобра, яхідна і т. п.|аспіды
Вышэйшы начальнік казачага войска|атаман
Сістэма поглядаў і перакананняў, якая адмаўляе існаванне Бога і што адпрэчвае ўсякую рэлігію|атэізм
Тытан, які трымае на сваіх плячах нябесны збор (у старажытнагрэцкай міфалогіі)|атлант
Вертыкальная апора ў выглядзе мужчынскай постаці, што падтрымлівае перакрыцце будынка, порціка і т. п. (у архітэктуры)|атлант
Першы шыйны пазванок, які сучляняецца з чэрапам (у чалавека і вышэйшых хрыбетнікаў)|атлант
Млявасць, паслабленне тонусу цягліц|атанія
Найболей выдаленая ад Сонца кропка арбіты нябеснага цела, што круціцца вакол Сонца (у астраноміі)|афелій
Другой па велічыні – пасля Еўразіі – мацярык Землі як адна з пяці частак свету|Афрыка
Кароткачасовы стан моцнага эмацыйнага перажывання – жаху, лютасці, роспачы, звычайна якое суправаджаецца стратай кантролю над сваімі дзеяннямі|афект
Частка слова, супрацьпастаўленая кораню і што выказвае вызначанае значэнне (у лінгвістыцы)|афікс
Соль і эфір воцатнай кіслаты (у хіміі)|ацэтат
Бясколерная гаручая вадкасць з рэзкім пахам, выкарыстоўваная звычайна як растваральнік арганічных рэчываў|ацэтон
Індзейскі народ у Мексіцы, які адносіцца да ацтэка-таноанской этноязыковой сям'і, што стварыў высокую цывілізацыю да заваёвы іспанцамі|ацтэкі
Сплаў на аснове цыну ці свінцу, які ўжываецца пры вырабе падшыпнікаў|бабіт
Малпа роду павіянаў|бабуін
Мяккія туфлі без заднікаў (звычайна на Ўсходзе)|бабуши
Старадаўняя шаўковая тканіна барвовага колеру|багра
Вечназялёнае дрэва ці хмызняк сямейства иллициевых; аніс зорчаты|бадзян
Травяністая расліна сямейства рутовых; ясянец|бадзян
Ручны гранатамёт|базука
Стэпавы грызун роду суркоў, восень і зіму што праводзіць у спячцы|абібок
Назва кожнага з двух трохдзённых мусульманскіх свят|байрам
Вечназялёнае трапічнае дрэва сямейства парнолистниковых з вельмі цвёрдай і цяжкай драўнінай; жалезнае дрэва|бакаўт
Вялікая вадаплаўная птушка атрада весланогіх з цёмным апярэннем, з дужай вострай дзюбай|баклан
Раўнавага|баланс
Вызначаныя суадносіны – звычайна ў колькасным выразе – частак, бакоў з'явы, працэсу, дзейнасці і т. п.|баланс
Форма бухгалтарскай справаздачнасці, якая ўяўляе сабою зборную табліцу паказчыкаў, у грашовым выразе характарызавалых стан сродкаў – актыву і пасіву – установы, прадпрыемствы і т. п.|баланс
Бярвенне вызначаных памераў, выкарыстоўваныя для вытворчасці цэлюлозы і паперы|баланс
Дэталь гадзіннікавага механізму ў выглядзе кольца з папярочкай, якая рэгулюе яго ход|баланс
Зачыненая пасудзіна шарападобнай ці цыліндрычнай формы (звычайна для вадкасцяў і газаў)|балон
Гумовая аўтамабільная ці веласіпедная шына, запоўненая паветрам; камера|балон
Абалонка аэрастата, наполняемая газам|балон
Фігурныя слупкі ў агароджы ўсходаў, тэрасы, гаўбца і т. п.|андрыдулы
Шматгадовая трапічная і субтрапічная расліна з дужым і гнуткім полым сцяблом|бамбук
Прылада, укрепляемое ў пярэдняй і задняй частцы аўтамабіля і служэлае буферам пры сутыкненні|бампер
Адмысловы пояс, прызначаны для ўмацавання брушнага прэса, падтрымкі ўнутраных органаў у звычайным становішчы і т. п.|бандаж
Чалец банды|бандыт
Урачысты прошаны абед ці вячэра, які ўладжваў па выпадку якой-небудзь знамянальнай падзеі, у гонар каго-або|бяседа
Невысокі вал з грунта ці друзу ўздоўж чыгуначнага палатна, дарогі, службовец для абароны ад вады, што засцерагае ад абсыпання зямлі|бяседа
Бар'ер, насып, якія перагароджваюць рэчышча ракі для правядзення якіх-небудзь будаўнічых прац, збудаванні чаго-небудзь і т. п.|бяседа
Кіраўнік банкам; уладальнік банка|банкір
Разнавіднасць поліаміднага сінтэтычнага валакна|банлон
Звышнатуральнае – па забабонных уяўленнях – істота, злы дух, які пасяляецца ў лазні|баннік
Цыліндрычная шчотка на доўгай ручцы для чысткі і змазкі канала ствала артылерыйскай гарматы|баннік
Картачная гульня, разнавіднасць банка|банчок
Уладальнік лазні|лазеннік
Гіганцкае трапічнае дрэва сямейства бомбаксовых з вельмі тоўстым ствалом|баабаб
Сінтэтычны матэрыял – заменнік скуры|барекс
Старадаўняя шчыльная цяжкая ваўняная тканіна, што ўжывалася для абіўкі мэблі|баркан
Вялікая многовесельная карабельная шлюпка|баркас
Невялікае самаходнае судна для грузавых перавозак, рыбнай лоўлі і т. п.|баркас
Уладальнік бара ці яго кіраўнік|бармэн
Загарода ў паветры з аэрастатаў, якое перашкаджае палёту самалётаў суперніка|бараж
Загарода з сетак, мін, бонаў ад надводных караблёў і падводных лодак суперніка|бараж
Збудаванне ў выглядзе ступеністай подпорной сценкі для абароны чыгуначнага шляху ў горах ад струменяў вады падчас ліўняў|бараж
Патруляванне ў паветры для аховы наземных аб'ектаў ад авіяцыі суперніка|бараж
Драпежная жывёла сямействы куньих, з нязграбным целам, вострай пысай і доўгай поўсцю|барсук
Тканіна – звычайна шаўковая – з густым мяккім кароткім ворсам на асабовым боку|аксаміт
Жонка пана|пані
Рускія народныя скокі, выкананая ў жывым, забіяцкім тэмпе|пані
Невысокая загарода, што перашкаджае праходу, праезду|бар'ер
Перашкода ў выглядзе перагародкі, ашэсткі на стойках (у спартовых змаганнях – бегу, скаканнях і т. п.)|бар'ер
Чорта перад кожным з удзельнікаў двубоя на пісталетах, якую яны не павінны пераступаць пры стрэле|бар'ер
Прадстаўнік ханскай улады і зборшчык даніны на Русі ў часы мангола-татарскай няволі|баскак
Тонкая напаўпразрыстая льняная ці баваўняная тканіна палатнянага перапляцення|батыст
Практыкаванне, якое складаецца ў выцягванні, рэзкім ці плыўным уздыманні ног (у класічным балетным танцы)|батман
Верхняя мужчынская кашуля ці жаночая блузка з зашпількай на планцы|батник
Наёмны сельскагаспадарчы працоўны|парабак
Сялянскі абутак, што ўяўляе сабою скураныя ці плеценыя з бяросты паўбоцікі, спераду сцяжныя папружкамі|бахілы
Мяккія скураныя боты з доўгімі, якія зачыняюць сцягно халявамі (звычайна абутак рыбакоў і паляўнічых)|бахілы
Напрананыя па-над абуткам ахоўныя панчохі|бахілы
Суконная ці ваўняная накідка ў выглядзе каптура з доўгімі канцамі, звычайна напрананая па-над шапкай|башлык
Апора для ўсталёўкі калон, шчоглаў і т. п.|чаравік
Клінаватая калодка, подкладываемая на чыгуначныя рэйкі пад колы вагонаў для тармажэння ці прыпынкі|чаравік
Танкіст-стрэлак, змешчаны ў вежы танка (у гаворкі вайскоўцаў)|башнер
Прылада для драбнення і змешванні матэрыялаў, якое складаецца з двух жоранаў|бегуны
Бедны, немаёмны чалавек|бядняк
Глыбіня, уяўная невымернай, не мелай дна; прорва|бездань
Найпростыя рычажные, а таксама спружынныя шалі|бязмен
Старадаўняя руская мера вагі, роўная 2,5 фунта (каля 1 кг)|бязмен
Род птушак сямейства сеўцападобных, да якога ставяцца бакас, дупель і т. п.|бакасы
Мужчынскае паліто са зборкамі ў станы|бекеша
Вугорскі і польскі кафтан са шнурамі|бекеша
Атрутная травяністая расліна сямейства пасленовых з фіялетава-жоўтымі кветкамі, лісцем, пакрытымі бялёсымі валасінкамі, і дурманлівым пахам, выкарыстоўванае ў фармакалогіі|блёкат
Белая мінеральная фарба, якая ўжываецца ў малярных працах і ў жывапісе|бялілы
Белае што фарбуе рэчыва, выкарыстоўванае як грым|бялілы
