Моцная шкода; згуба|пагібель
Шчыльны вузельчык на скуры чалавека, які ўтвараецца пры скурных раздражненнях, захворваннях|папула
Вялікае вядро для спаражненняў і памыяў, што стаіць у турэмнай камеры|параша
Невялікія гладкія дошчачкі з цвёрдых парод драўніны, выкарыстоўваныя для насцілкі асабовага пласта падлогі|паркет
Каменныя ці бетонныя пліты, выкарыстоўваныя для брукавання маставых ці кладкі падлогі|паркет
Адгароджаная і крытая прастора для ўтрымання трусаў невялікімі групамі|паркет
Назва горнага масіва ў Грэцыі, які – па старажытнагрэцкіх міфалагічных уяўленнях – служыў месцам знаходжання Апалона і муз|Парнас
Аддзяленне ў лазні, у якім парацца|парная
Кацёл для распаривания|шклярніца
Зашклёнае памяшканне для гадоўлі ранняй расады, ранняй гародніны і пладоў|шклярніца
Сакрэтнае слова, фраза, якія ўжываюцца для апазнання сваіх людзей (на ваеннай службе, а таксама ў канспірацыйных мэтах)|пароль
Адзінка вымярэння адлегласцяў у астраноміі, роўная адлегласці, для якога гадавы паралакс роўны адной секундзе|парсек
Шэрагі крэслаў у ніжняй частцы глядзельнай залы|партэр
Становішча барацьбіта ў спартовай барацьбе, калі ён, знаходзячыся на дыване, варта на каленах і абапіраецца пра дыван рукамі|партэр
Палітычная арганізацыя, што аб'ядноўвае найболей актыўных прадстаўнікоў класа ці сацыяльнага пласта, якая выказвае і што абараняе яго інтарэсы, кіраўнічая ім у дасягненні якіх-небудзь мэт|партыя
Група твараў, аб'яднаных агульнасцю гледжанняў, інтарэсаў ці адзіным меркаваннем па пытанні|партыя
Асобная частка ў шматгалосным музычным творы, выкананая адной прыладай, адным спеваком|партыя
Вызначаная колькасць які дастаўляецца, што адпраўляецца і т. п. (звычайна пра тавар)|партыя
Вызначаная колькасць якой-небудзь прадукцыі, вырабленай на вытворчасці; серыя|партыя
Поўная гульня з пачатку да канца|партыя
Група твараў, неабходных для ажыццяўлення гульні|партыя
Шлюб з пункту гледжання яго прымальнасці, выгоднасці|партыя
Мужчына і жанчына з пункту гледжання іх прымальнасці, прыдатнасці сябар для сябра як мужоў|партыя
Выгодны шлюб|партыя
Галаўны жаночы ўбор з каштоўнымі ўпрыгожваннямі|парюра
Месца, дзе расстаўлены вуллі з пчоламі|пчальнік
Пчалярская гаспадарка|пчальнік
Цукрыстая вадкасць, якая вылучаецца з перарэзаных пасудзін драўніны жывых раслін|пасока
Крытая галерэя з шэрагам крам ці кантор паабапал, што злучае дзве вуліцы|пасаж
Паслядоўнасць тонаў у хуткай змене музычных гукаў, аб'яднаная агульнай задумай|пасаж
Асобнае месца ў тэксце кнігі, артыкулы і т. п.|пасаж
Пераход герояў у кінасцэнары з аднаго становішча ў іншую|пасаж
Прышчэпка бактэрыі ад адной жывёлы іншаму|пасаж
Рытмічны рух каня на вельмі кароткай рысі (адзін з выглядаў верхавой язды)|пасаж
Сухі трапічны вецер, увесь час дующий ад субтрапічных шырот да экватара|пасат
Сукупнасць абавязкаў і абавязанняў прадпрыемства|пасіў
Залежны стан (у лінгвістыцы)|пасіў
Веравалыя цэрквы; вернікі|паства
Приходский святар у пратэстанцкай царкве|пастар
Дакумент на права заняткі гандлем ці здабычай|патэнт
Сведчанне, якая сведчыць наяўнасць у яго ўладальніка вылучнага права на вынаходства|патэнт
Ахвярная чара|патара
Густое, цягучае салодкае рэчыва – прадукт няпоўнага осахаривания крухмалу|патака
Гаспадар прадпрыемства, фірмы|патрон
Шляхетны грамадзянін (першапачаткова з патрыцыяў), заступнік залежных ад яго вольнаадпушчанікаў і кліентаў і іх абаронца на судзе (у Старажытным Рыме)|патрон
Куля ці дроб з парахавым зарадам і капсуль з запальнікам, зняволеныя ў гільзе|патрон
Прыстасаванне для замацавання на металарэзных станках апрацоўванай дэталі ці прылады|патрон
Частка электрычнага асвятляльнага прыбора, у якую ўшрубоўваецца лямпачка для далучэння яе да сеткі|патрон
Рачное несамоходное драўлянае бяспалубнае судна малой грузападымальнасці, з плоскім дном, прызначанае для перавозкі грузаў па плыткаводдзі|павузак
Бядняк, пазбаўлены ўсякіх сродкаў да існавання|паўпер
Узаранае поле, выкарыстоўванае пад пасевы сельскагаспадарчых культур; ралля|ворыва
Трапічнае галінастае полукустарниковое расліна сямейства губоцветных з духмяным лісцем і галінкамі|пачулі
Тонкае месца на выштукаванай скуры, якое лёгка прарываецца|пашина
Ніжняя брушная частка тушы жывёлы|пашина
Страва з адмысловай выявай прыгатаванага фаршу пячонкі, дзічыны, рыбы і т. п.|паштэт
Удзельнік царкоўнага хору|пявучы
Рычаг, які рухаецца нагой, у розных прыладах, механізмах і т. п.|педаль
Дэталь рычажного прылады ў музычных прыладах, якая кіруецца націскам нагі і служэлая для змены гучнасці і працягласці гучання|педаль
Служка пры судзе (у Заходняй Еўропе ў сярэднія вякі)|педель
Педагагічны факультэт|педфак
Буйная пляма іншага колеру на поўсці жывёлы, пёрах птушкі|пярэсціна
Агульны выгляд мясцовасці|пейзаж
Карціна ці малюнак, што паказваюць прыроду|пейзаж
Апісанне, малюнак прыроды ў літаратурным ці музычным творы|пейзаж
Кут паміж кірункам, паказваным компасам, і кірункам, па якім бачны дадзены прадмет, прыходзяць электрамагнітныя хвалі, чутны гук|пеленг
Лад ці баявы парадак, пры якім самалёты ці іх звёны будуюцца сябар за сябрам пад кутом, уступамі|пеленг
Рыба сямейства сігаў; сырок|сырок
Багі – захавальнікі хатняга агменю, супакою (у старажытнарымскай міфалогіі)|пенаты
Хатні агмень, родная хата|пенаты
Перыядычная – звычайна штомесячная – грашовая выплата ў якасці матэрыяльнага забеспячэння грамадзян па ўзросце, пры страце імі працаздольнасці, пры страце карміцеля і т. п.|пенсія
Пятиэлектродная электронная лямпа|пентод
Прядильное валакно са сцеблаў канопляў|пянька
Атожылкі на целе птушкі, з якіх вырастаюць пёры|пянькі
Сістэма кабальнай залежнасці; пазыковае рабства|пеанаж
Неабходнае для стрававання рэчыва, выпрацоўваемае залозамі страўніка|пепсін
Прадукт распаду бялкоў пры страваванні пад уздзеяннем пепсіну|пептон
Вадкая страва, з якога пачынаецца абед|першае
Тыя, хто займаюць пачатковыя месцы ў шэрагу, пераліку|першыя
Нізкая агароджа па вонкавым краі ўсходаў, тэрасы, гаўбца ці паабапал моста, якая засцерагае ад падзення ўніз|парэнчы
Матрац, цюхцяй, набіты пёрамі ці пухам|пярына
Прамежак часу, у які працякае вызначаная частка агульнага працэсу|перыяд
Прамежак часу, на працягу якога здзяйсняецца паўтаральны працэс|перыяд
Этап грамадскага ці культурна-гістарычнага развіцця, грамадскага руху ў жыцці краіны, народа|перыяд
Складаная сінтаксічная пабудова, што складаецца з адной складанай прапановы ці са злучэння групы прапаноў, якое характарызуецца падрабязным развіццём думкі і рытмічнай скончанасцю інтанацыі і ўжытнае як стылістычны прыём (у лінгвістыцы)|перыяд
Невялікая скончаная пабудова, што ўяўляе злучэнне дзвюх прапаноў, аднолькавых па іх меладычнай аснове, але розных па завяршэнні (у музыцы)|перыяд
Група паўтаральных лічбаў у бясконцым дзесятковым дробе (у матэматыку)|перыяд
Адна з разнавіднасцяў поліаміднага сінтэтычнага валакна|перлон
Старадаўняя руская зброя, якое складаецца з кароткага тронка з металічным наканечнікам у выглядзе шчыткоў (пёраў)|пернач
Пляцоўка ў чыгуначных шляхоў на станцыях і прыпынкавых пунктах для зручнай пасадкі і высадкі пасажыраў|перон
Дрэва сямейства ружовых з лісцем ланцетовидной формы, што прыносіць салодкія сакавітыя духмяныя плады|персік
Жаночы палавы орган раслін – цэнтральная частка кветкі, з якой утворыцца плён пасля апладнення пылком; пладнік|песцік
Одзін з асноўных родаў войскаў, якія дзейнічаюць у пешым ладу|пяхота
Вайскоўцы пешага войска; пяхотнікі|пяхота
Пачуццё суму, смуткуй, нуды; стан душэўнай гаркаты|смутак
Невялікі прадмет з малюнкам разьбяных знакаў на яго падставе для прайгравання іх фарбаю на паперы ці ў выглядзе адбітка на воску, сургучы, свінцы і т. п.|друк
Прайграванне тэксту, малюнкаў і т. п. паліграфічным шляхам; друкаванне|друк
Тэкст, надрукаваны друкарскім спосабам|друк
Літаратура (звычайна перыядычная); прэса|друк
Галіна вытворчасці, занятая падрыхтоўкай і вырабам друкаванай прадукцыі; друкарская і выдавецкая справа|друк
Самая буйная залоза ў жывёл і чалавека, якая выпрацоўвае жоўць|печань
Сямейная абшчына ў рускіх на Поўначы, што існавала да ХIХ ст. і якая засноўвалася на калектыўным землеўладанні|печище
Майстар па муры і рамонту печаў|пячнік
Пустэча ў зямной кары ці ў горным масіве з выйсцем вонкі, што ўтвараецца ў выніку дзеяння падземных вод ці вулканічных працэсаў|пячора
Выкапанае ў зямлі ці выдзеўбанае ў скале паглыбленне, якое служыць для жылля ці захоўванні|пячора
Жыллё манаха, пустэльніка і т. п.|пячора
Дробная грашовая адзінка і манета ў Турцыі, Егіпце, Сірыі і некаторых іншых краінах|піястр
Старадаўняя грашовая адзінка рознай каштоўнасці ў Іспаніі, Партугаліі і лацінаамерыканскіх краінах|піястр
Гандлёвая ўстанова, дзе прадаюць і п'юць піва|піўная
Агульная назва шэрагу нізкарослых плямёнаў Цэнтральнай Афрыкі, Паўднёва-усходняй Азіі і Акіяніі|пігмеі
Чалавек вельмі маленькага росту; карлік|пігмей
Верхняя частка мужчынскага гарнітура з рукавамі, адкрытым адкладным каўняром і якія зашпіляюцца падлогамі|пінжак
Запаленне нырачных лаханак|піяліт
Агульная гнойная інфекцыя арганізма, што характарызуецца адукацыяй шматлікіх агменяў гнойнага запалення ў розных органах|пиемия
Глыбокая пашана, паважнае стаўленне|піетэт
Мужчынскі ці жаночы хатні, спальны ці бальнічны гарнітур, які складаецца з шырокіх штаноў і курткі вольнага крою|піжама
Загарадны забаўляльны шпацыр кампаніяй (звычайна з закускай на адкрытым паветры)|пікнік
Гародніна, марынаваныя ў воцаце з рэзкімі затаўкамі, што ўжываюцца як заправа да мясных і рыбных страў|пікулі
Адмысловае памяшканне для механічнай пілкі лесу|пільня
Лекі, спрасаванае ў форме цвёрдага шарыка|пілюля
Невялікія спружынныя абцугі для захватывания і ўтрыманні дробных, далікатных і т. п. прадметаў|пінцэт
Парода дробных короткошерстных сабак з доўгімі вушамі|пінчар
Салдат сапёрнай часткі інжынерных войскаў (у Англіі, Нямеччыны і ў Расійскай дзяржаве да 30-х гадоў ХIХ ст.)|піянер
Вузкая, доўгая лодка ў народаў Цэнтральнай і Паўднёвай Амерыкі і Акіяніі, выдзеўбаная ці выпаленая са ствала дрэва|пірога
Поўны зварот танцоркі ці танцоўніка на месцы на полупальцах ці пальцах адной нагі (у харэаграфіі)|піруэт
Хуткае кручэнне цела вакол вертыкальнай восі (у фігурным катанні)|піруэт
Кругавы заваротак у паветры падчас скачку (у цыркавым мастацтве)|піруэт
Заваротак каня на задніх нагах (у верхавой яздзе)|піруэт
Поўны заваротак самалёта вакол восі|піруэт
Службовая асоба, якое займаецца перапіскай і складаннем канцылярскіх папер|пісарчук
Расліна сямейства хвощевых; палявы хвошч|пистик
Металічны каўпачок з выбуховым рэчывам, прызначаны для ўзгарання парахавога зарада ў стрэльбавых патронах ці снарадах|пистон
Поршань помпового вентыльнага механізму ў медных духавых музычных прыладах, што мае клавішу, нажиманием якой ён прыводзіцца ў дзеянне|пистон
Кароткая тонкая трубачка з загнутымі вакол канцамі, якая ўжываецца замест заклёпванняў у самалётабудаванні|пистон
Механічна насаживаемая круглая металічная аправа адтулін, пробиваемых у кардоне, скуры і т. п.|пистон
Папера з напісаным на ёй тэкстам, пасыланая з мэтай паведамлення пра выклады сваіх думак, выразы пачуццяў|ліст
Афіцыйны дакумент|ліст
Уменне, здольнасць пісаць|ліст
Сістэма графічных знакаў, прынятая для перадачы, запечатления пісанні; пісьменнасць|ліст
Прыёмы стварэння літаратурна-мастацкіх твораў|ліст
Прыёмы, манера напісання твораў жывапісу|ліст
Старадаўняя духавая музычная прылада тыпу дудачкі, жалейкі|пищаль
Старадаўняя агнястрэльная зброя, падобнае стрэльбе|пищаль
Старадаўняя артылерыйская гармата; гармата|пищаль
Птушка атрада вераб'іных з доўгай тонкай дзюбай і шаравата-бурым апярэннем|пішчуха
Невялікая жывёла сямействы грызуноў, з доўгім валасяным полагам, невялікімі вушамі і кароткім хвастом, якое выдае гукі, што нагадваюць піск|пішчуха
Пресноводный кольчатый чарвяк, які сілкуецца крывёй жывёл, да цела якіх ён прысмоктваецца|п'яўка
Одзін вытворчы цыкл выплаўлення металу|плаўленне
Мужчынскія кароткія прылеглыя трусікі (звычайна для плавання)|плаўленні
Забалочаныя ці пакрытыя вільгацелюбівай расліннасцю поймы нізоўяў рэк|плаўні
Вадкая частка крыві|плазма
Цёмна-зялёны халцэдон|плазма
Мастацкі малюнак, што суправаджаецца кароткім тэкстам, арганічна злучаным з малюнкам і закліквалым да вызначаных дзеянняў|плакат
Ліст паперы, паласа тканіны і т. п. з заклікам, лозунгам|плакат
Невялікая гладкая дошчачка, пласцінка, палоска з дрэва, металу, тканіны|планка
Частка спартовага снарада для скачкоў у вышыню ў выглядзе тонкай доўгай палкі|планка
Занясенне грошай у пакрыццё кошту скарыстанага, атрыманага і т. п.; плата|плацёж
Старадаўняя верхняя мужчынская адзежа з дарагіх тканін, якая служыла ў ХV–ХVII стст. уборам манархаў Русі пры ўрачыстых прыёмах, прыдворных цырымоніях і т. п.|платна
Невялікі кавалак тканіны квадратнай формы для смаркання і выціранні носа, твары, вока|хустка
Адзежа, носная па-над бялізнай|сукенка
Суцэльная жаночая адзежа, верхняя частка якой адпавядае кофце, а ніжняя – спадніцы|сукенка
Столь ці яго частка, упрыгожаныя жывапісам, мазаікай ці лепкай|плафон
Частка свяцільні, засня – звычайна празрысты – для электрычных лямпаў у люстры, бра і т. п.|плафон
Саматужная ўкраінская ваўняная ці папяровая тканіна з узорамі з квадратаў, палос, зорачак і т. п.|плахта
Чалавек з найнізкіх пластоў вольнага (не змешчанага ў рабстве) насельніцтвы, першапачаткова не які карыстаўся палітычнымі і грамадзянскімі правамі (у Старажытным Рыме)|плебей
