Твор Казановы|мемуары
Праява, функцыянаванне чаго-небудзь|дзеянне
Прусак сярод казурак|прусак
Спружына, дэталь падвескі аўтамабіля|торсион
Пры яго адсутнасці радыёпрымач змаўкае, а чалавек худнее|сілкаванне
Пры Кацярыне Другой пры двары іх стала асабліва шмат|фаварыты
Пры дачцы Пятра, Лізавеце 1, былі арганізаваны першыя рускія слоікі: Дваранскі, Купецкі і ...|Медны
Пры залатым стандарце мяжа адхілення кошту які змяшчаецца ў манеце валютнага металу ад яе наміналу|рэмедыум
Пры кашлі ўдыхаць гаючую пару трох лыжак гэтай травы, завараны. кіпенем|маяран
Пры кампутарным наборы тэксту – крок радкоў, роўны кегелю шрыфта|інтэрвал
Присемянник, паняцце ў батаніку|ариллус
Далучэнне каня да экіпажа|запрэжка
Прысутнасць, існаванне|наяўнасць
Прыслужніца ў гарэме, а таксама жыхарка гарэма|адаліска
Присп-іі для павелічэння дакладнасці прыцэла|диоптр
Присп-ние ў прыборах для знаходжання назіранага прадмета|шукальнік
Паслугач, ліслівец|клеўрэт
Паслугач, памагаты, прыхільнік|клеўрэт
Приспос. на сядле, адлучае стрэмя пры падзенні вершніка|шнеллер
Приспособл. для мацавання пустотелых вырабаў|апраўка
Прыстасаванне з рухомай планкай для завалы чаго-небудзь|засаўка
Прыстасаванне будынка і функцый арганізма да ўмоў існавання|адаптацыя
Прыстасаванне арганізма да ўмоў навакольнага асяроддзя|адаптацыя
Прыстасаванне ў цуглях|трэнзель
Прыстасаванне мастака, дошчачка для змешвання фарбаў|палітра
Падбор маляўнічых спалучэнняў у карціне, каляровая гама|палітра
Набор кветак (пры кампутарнай апрацоўцы малюнкаў у лічбавай форме)|палітра
Сукупнасць выразных сродкаў мастака|палітра
Спалучэнне кветак і каляровых адценняў пры вырабе фарбаў|палітра
Дошчачка, пласцінка з выразам для вялікага пальца, на якой жывапісец расцірае і змешвае фарбы|палітра
Характэрныя для творчасці пэўнага аўтара (акцёра і інш.) выразныя сродкі?|палітра
Характэрная для мастака ці пэўнай карціны каляровая гама?|палітра
Дошчачка для змешвання фарбаў?|палітра
Прыстасаванне ў борце лодкі для мацавання вясла|уключына
Прыстасаванне ў кухоннай пліце|духоўка
Прыстасаванне для скідання бомбаў з самалёта|касета
Прыстасаванне для сігналу|клаксон
Прыстасаванне для змацавання краёў адзежы|гузік
Прыстасаванне для спуску з які ляціць самалёта|парашут
Прыстасаванне для спуску цынгеля|гашэтка
Прыстасаванне для астуджэння газу ў кампрэсары|рэсівер
Прыстасаванне для обмахивания падчас спякоты|наабворвала
Прыстасаванне для адкрыцця агню з аўтаматычнай агнястрэльнай зброі|гашэтка
Прыстасаванне для рэзання гародніны|шаткаванне
Прыстасаванне для ручнога перасоўвання цяжараў, людзей|насілкі
Прыстасаванне для памяншэння ці ўхіленні ваганняў|дэмпфер
Прыстасаванне для выпасу сабак|ланцужок
